coreid,xmpRights:WebStatement,xmp:MetadataDate,exif:PixelXDimension,ac:mediumQualityAccessURI,dc:type,ac:tag,idigbio:uuid,dcterms:description,ac:caption,ac:bestQualityAccessURI,ac:goodQualityAccessURI,ac:provider,idigbio:recordIds,dwc:occurrenceID,ac:metadataLanguageLiteral,idigbio:etag,photoshop:Credit,ac:subjectPart,ac:metadataLanguage,dcterms:creator,dcterms:publisher,ac:goodQualityFormat,ac:providerManagedID,ac:bestQualityFurtherInformationURL,ac:subtype,dc:creator,ac:bestQualityFormat,idigbio:recordId,dcterms:format,ac:hashFunction,dc:format,dcterms:created,dcterms:available,dcterms:source,idigbio:associatedRecordsetReference,ac:metadataCreator,ac:associatedSpecimenReference,dc:rights,idigbio:version,ac:thumbnailAccessURI,dcterms:license,xmpRights:UsageTerms,ac:comments,idigbio:associatedRecordReference,ac:mediumQualityFormat,idigbio:createdBy,dcterms:references,idigbio:dateModified,Iptc4xmpExt:CreditLine,exif:PixelYDimension,ac:metadataProvider,ac:furtherInformationURL,http://ns.adobe.com/exif/1.0/PixelYDimension,dwc:nameAccordingTo,dcterms:type,http://ns.adobe.com/exif/1.0/PixelXDimension,ac:hashValue,dcterms:identifier,ac:goodQualityExtent,ac:subjectOrientation,xmpRights:Owner,ac:licenseLogoURL,ac:attributionLogoURL,ac:bestQualityExtent,dcterms:rightsHolder,ac:captureDevice,ac:variantLiteral,dcterms:rights,dcterms:title,ac:resourceCreationTechnique,ac:accessURI,dcterms:modified,dwc:scientificName,dcterms:provider,ac:thumbnailFormat
9f8d3b99-e309-45a5-9987-d250c7c3400d,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,bd2d299c-6800-488e-8d8f-1f6ad9cc2547,,,,,,,,,b249e2905b7ea812774a92a796e6c5029ae2cb6c,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-2566.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,9f8d3b99-e309-45a5-9987-d250c7c3400d,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:25.810Z,,,,,,,,,f3133ceec776997c2d0def8ab27d5b81,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/f3133ceec776997c2d0def8ab27d5b81,Thu Nov  5 14:41:31 2009,,,
de4267f9-ed0f-439c-96c6-6aacded24b78,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,fb6bf09d-7ac4-48cf-9310-eec81dfd033b,,,,,,,,,891d4ab1020e0aa84ae0c1387908ebf9be79e6b4,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-02909a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,de4267f9-ed0f-439c-96c6-6aacded24b78,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:19.667Z,,,,,,,,,c6db32e29c4e0757b91ffc5128543306,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/c6db32e29c4e0757b91ffc5128543306,2014-05-27 19:17:16.498946,,,
c3c2cfe2-ff20-4182-828d-d7fea48240fc,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,a6a856c7-de75-46e7-a932-f10ffb813631,,,,,,,,,cfadf5f87d8d2b1a8f7cd9cda6ccd6e276f5c20b,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-1046.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,c3c2cfe2-ff20-4182-828d-d7fea48240fc,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:59.758Z,,,,,,,,,2ed81ae0b55bb7e080957a5153334cb5,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/2ed81ae0b55bb7e080957a5153334cb5,Tue Nov  3 11:44:13 2009,,,
0c5d2d36-990f-4274-abd1-9a4e73546e8d,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,0b2732c4-7a6c-4d17-8ea3-71140aa93137,,,,,,,,,96a7e522aae4f68627e0443b104b6f6d48933d9a,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-01693a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,0c5d2d36-990f-4274-abd1-9a4e73546e8d,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:01:06.634Z,,,,,,,,,b4dee8c9dc7a7c4ff0dd1c05e9e0c2f2,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/b4dee8c9dc7a7c4ff0dd1c05e9e0c2f2,2014-05-27 19:12:27.883860,,,
7e395613-6a2f-4568-ad25-5c776f0a4d5b,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,ffed2d84-fafa-41b1-a92f-46821bf7a96e,,,,,,,,,ed49715a840442e495da3c0b750d6a165f497406,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-3262.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,7e395613-6a2f-4568-ad25-5c776f0a4d5b,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:01:05.833Z,,,,,,,,,ed857dee8ffe958941af2434bc25b91c,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/ed857dee8ffe958941af2434bc25b91c,Thu Nov  5 15:49:27 2009,,,
22f49ba7-2871-4406-8b9c-8c384922e169,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,106b115a-34be-4663-89b2-c4df67e28e1b,,,,,,,,,da31f0fd8bab2ad90f25ff4f2b3efa857e00dca0,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-3281.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,22f49ba7-2871-4406-8b9c-8c384922e169,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:25.916Z,,,,,,,,,49170dc86cf8dc3433d5a3f7ee8747f6,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/49170dc86cf8dc3433d5a3f7ee8747f6,Thu Nov  5 15:52:47 2009,,,
338d3634-ef73-4e86-a563-85de5e6e7035,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,b71744e5-95bc-4ebc-b0fb-656243c48056,,,,,,,,,06b50ea8a66f5df7bb8f9dff68d32e0c93bd68fb,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-03153a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,338d3634-ef73-4e86-a563-85de5e6e7035,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:57.849Z,,,,,,,,,12828f6fcf69e34ed91ee713b75adb06,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/12828f6fcf69e34ed91ee713b75adb06,2014-05-27 19:11:46.372107,,,
4213ab71-3421-4eed-b26c-bd4fd1f87abd,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,6d12e2e0-5e86-4775-ae8b-a38d62d53ad0,,,,,,,,,dcf320a0d1014a7d8eb61bb0a18ba116e3badfce,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-2268.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,4213ab71-3421-4eed-b26c-bd4fd1f87abd,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:03.028Z,,,,,,,,,1550678998fad917c40b771c94cefd1a,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/1550678998fad917c40b771c94cefd1a,Thu Nov  5 13:46:39 2009,,,
86c9dc08-165e-4517-bf3d-09945d1847c2,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,2c77b667-429c-42e8-82d8-33056b5dae1c,,,,,,,,,4c3db18ced2d3ab3b7d6dcc8d1be85022d58fa76,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-02422a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,86c9dc08-165e-4517-bf3d-09945d1847c2,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:58.160Z,,,,,,,,,2968d5971698ce7ae70fa58f38fd8400,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/2968d5971698ce7ae70fa58f38fd8400,2014-05-27 19:12:33.031870,,,
c7dbbf20-6de9-4d16-9f5d-46c43bbd852f,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,d934a162-7dc4-40f5-a768-f03538daa9be,,,,,,,,,ec2725306a43d8f2612b0e1fe93e630608c37ca7,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-3665.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,c7dbbf20-6de9-4d16-9f5d-46c43bbd852f,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:44.417Z,,,,,,,,,041e99a605628fd2382eda277987796d,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/041e99a605628fd2382eda277987796d,Thu Nov  5 16:16:26 2009,,,
