"","dwc.earliestPeriodOrLowestSystem","dwc.dynamicProperties","dwc.individualCount","dwc.verbatimLongitude","dwc.identificationVerificationStatus","idigbio.hostFamily","dcterms.modified","dwc.continent","dwc.decimalLongitude","dwc.stateProvince","idigbio.recordId","dwc.associatedReferences","dwc.dateIdentified","dwc.catalogNumber","dwc.datasetID","dwc.nomenclaturalStatus","dwc.taxonRemarks","dwc.identificationRemarks","dwc.specificEpithet","dwc.datasetName","dwc.endDayOfYear","dwc.verbatimDepth","dwc.day","dwc.verbatimTaxonRank","dwc.institutionID","dwc.collectionID","idigbio.associateIdentifier","fcc.datePicked","idigbio.associateRelationship","dwc.eventRemarks","dwc.originalNameUsage","dwc.minimumDepthInMeters","dwc.rights","dwc.startDayOfYear","dwc.behavior","dwc.locationAccordingTo","dcterms.bibliographicCitation","dwc.latestEpochOrHighestSeries","dwc.scientificName","dwc.country","dwc.georeferenceProtocol","dwc.latestPeriodOrHighestSystem","dwc.identificationID","dwc.island","dwc.taxonID","dwc.taxonRank","dwc.basisOfRecord","inhs.superfamily","dwc.geodeticDatum","dwc.rightsHolder","dwc.previousIdentifications","dwc.georeferenceRemarks","inhs.formII_males","idigbio.determinationHistory","dwc.lifeStage","idigbio.etag","dwc.phylum","inhs.formII_females","inhs.relic","dwc.identifiedBy","dwc.nomenclaturalCode","dwc.georeferenceSources","dwc.earliestAgeOrLowestStage","dcterms.accessRights","id","dwc.earliestEpochOrLowestSeries","dwc.verbatimEventDate","dwc.latestEraOrHighestErathem","idigbio.createdBy","dwc.occurrenceID","dwc.higherClassification","idigbio.subfamily","inhs.locationTrs","dwc.countryCode","dwc.identificationQualifier","dwc.preparations","symbiota.verbatimScientificName","dwc.associatedTaxa","dwc.formation","fcc.pickedBy","idigbio.associateNotes","dwc.vernacularName","dwc.otherCatalogNumbers","idigbio.associateDeterminedBy","dwc.associatedSequences","idigbio.tribe","idigbio.endangeredStatus","dwc.eventID","idigbio.preparationCount","idigbio.associateCommonName","inhs.juv_females","dwc.dataGeneralizations","dwc.minimumElevationInMeters","dwc.group","inhs.location_RiverMile","dcterms.rightsHolder","http...symbiota.org.terms.verbatimScientificName","dwc.nameAccordingTo","inhs.formI_males","dwc.georeferenceVerificationStatus","inhs.location_Stream","dwc.family","inhs.dead","fcc.subfamily","dwc.islandGroup","fcc.superfamily","dwc.verbatimCoordinateSystem","dwc.reproductiveCondition","dwc.coordinatePrecision","dcterms.reference","dwc.genus","dwc.institutionCode","dwc.kingdom","dwc.collectionCode","dwc.verbatimSRS","idigbio.associateAuthor","idigbio.associatedFamily","dwc.typeStatus","dwc.waterBody","dwc.fieldNotes","dwc.county","inhs.live","dwc.verbatimElevation","row.number","dwc.informationWithheld","idigbio.version","dwc.namePublishedInID","idigbio.associatedRelationship","dwc.month","dcterms.source","dwc.decimalLatitude","dwc.higherGeography","inhs.juv_undetermined","dwc.lowestBiostratigraphicZone","dwc.individualID","dwc.associatedOccurrences","dwc.municipality","dwc.disposition","dwc.verbatimCoordinates","inhs.instars_Female","dcterms.type","dwc.georeferencedBy","dwc.recordNumber","dwc.occurrenceStatus","dwc.lithostratigraphicTerms","dwc.verbatimLatitude","dwc.samplingEffort","dcterms.language","inhs.juv_males","dwc.earliestEraOrLowestErathem","dwc.sex","inhs.location_Basin","dwc.namePublishedIn","idigbio.preservative","dcterms.rights","dwc.occurrenceRemarks","idigbio.dateModified","dwc.footprintWKT","inhs.instars_Male","dwc.eventTime","dwc.order","dwc.bed","dwc.year","idigbio.uuid","dwc.recordedBy","dwc.class","dwc.maximumElevationInMeters","idigbio.associateCondition","inhs.total_Males","dwc.identificationReferences","dwc.maximumDepthInMeters","dcterms.references","dwc.preparation","dwc.VerbatimEventDate","dwc.coordinateUncertaintyInMeters","dwc.habitat","dwc.member","inhs.vouchered","dwc.scientificNameAuthorship","dwc.relatedResourceID","idigbio.recordID","dwc.latestAgeOrHighestStage","dwc.infraspecificEpithet","dwc.accessRights","dwc.samplingProtocol","dwc.scientificNameID","dwc.locality","idigbio.substrate","dwc.locationID","idigbio.subgenus","symbiotaverbatimScientificName","dwc.fieldNumber","dwc.locationRemarks","dwc.ownerInstitutionCode","idigbio.barcodeValue","dwc.georeferencedDate","inhs.total_females","dwc.establishmentMeans","idigbio.recordIds","dwc.eventDate","dwc.subgenus","dwc.verbatimLocality","dwc.associatedMedia"
"280",NA,"",NA,"","",NA,"09/08/2014","",48.23,"",NA,"","","7342-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",11,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Madagascar","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"ae5602fa955f3cc32ffc8a0e3383c977157de51a","",NA,NA,"","","",NA,NA,"272d4738-85bc-4073-a2b4-202613e53ffe",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","5AEC0755-BF54-4257-9C05-FDF9FFB02F36","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,-13.48,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T17:10:41.569Z",NA,NA,NA,"Aspidochirotida",NA,2008,"272d4738-85bc-4073-a2b4-202613e53ffe","E. Boissin, T. Hoareau","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"MGNW-11",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"286",NA,"",NA,"","",NA,"09/08/2014","",-166.2168,"Hawaiian Islands",NA,"","","6033-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",18,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","USA","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"9329d38418c672bdc34d26a950d06244852d1709","",NA,NA,"","","",NA,NA,"bb2236a6-5589-4715-a075-11f0232e5e3d",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","5BB97F97-C99F-44CE-8986-C7F415FFDD48","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"French Frigate Shoals",NA,NA,NA,NA,NA,NA,NA,10,NA,23.8563,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T14:20:48.587Z",NA,NA,NA,"Aspidochirotida",NA,2006,"bb2236a6-5589-4715-a075-11f0232e5e3d","Cory Pittman, Gustav Paulay, Sea McKeon, John Starmer, Tito Lotufo, Jim Maragos, Scott Godwin & Russell Moffitt","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"FFS-0105",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"376",NA,"",NA,"","",NA,"09/08/2014","",NA,"Mariana Islands",NA,"","","12279-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",10,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Northern Mariana Islands","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"e9c10006de458883cd59ebf334e7ce2776f6e3e0","",NA,NA,"","","",NA,NA,"9c6a398a-c822-430c-8b6a-9428994c87ff",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","DEDCA5A0-E7F6-4420-B3BB-13C19FEF9A46","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Maug Island",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T09:11:13.493Z",NA,NA,NA,"Aspidochirotida",NA,1975,"9c6a398a-c822-430c-8b6a-9428994c87ff","J. Doty","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"UGI-Station-345",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"380",NA,"",NA,"","",NA,"09/08/2014","",NA,"Caroline Islands",NA,"","","13340-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",4,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Federated States of Micronesia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"313126feeba072a03023ec3783101d162ca7e2db","",NA,NA,"","","",NA,NA,"d74c6947-a8e8-4506-82b3-21590c40f0c2",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","F7912866-94B6-45FD-A0B2-7BB671ED1B7E","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Pohnpei Island",NA,NA,NA,NA,NA,NA,NA,12,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T09:15:02.807Z",NA,NA,NA,"Aspidochirotida",NA,2002,"d74c6947-a8e8-4506-82b3-21590c40f0c2","Ron Clouse, Daniel Janies","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"Clouse-2002-Temwen",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"385",NA,"",NA,"","",NA,"09/08/2014","",-159.766667,"Cook Islands",NA,"","","5177-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",18,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Cook Islands","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"95a07023237e0b069b19d8e44ba31b18b1f37ab5","",NA,NA,"","","",NA,NA,"5996fecb-3907-44ad-b4b6-884349ccbbbb",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","5C9113A9-9ADE-403F-92F9-B8DCFCEC1E1D","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Rarotonga Island",NA,NA,NA,NA,NA,NA,NA,6,NA,-21.233333,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T09:31:43.881Z",NA,NA,NA,"Aspidochirotida",NA,2006,"5996fecb-3907-44ad-b4b6-884349ccbbbb","Machel Malay","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"MRARO-001",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"423",NA,"",NA,"","",NA,"09/08/2014","",-79.0299,"",NA,"","","9058-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Panama","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"a11e8b47f9786c17cd373eff6e374e5a000aaac1","",NA,NA,"","","",NA,NA,"ab091be5-24af-414d-b3e3-b770388c10b6",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","BB0A1BD0-8111-48C4-B04F-BDAC7A2ACE6C","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6317,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T14:18:37.511Z",NA,NA,NA,"Aspidochirotida",NA,2008,"ab091be5-24af-414d-b3e3-b770388c10b6","I. C. Enochs","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"Enochs-2008",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"446",NA,"",NA,"","",NA,"09/08/2014","",NA,"Queensland",NA,"","","8516-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",23,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Australia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"e9f8b5fe55b0af7ab8368f445cedbcc95170f046","",NA,NA,"","","",NA,NA,"8df4574d-550c-42dd-a450-5913032a0059",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","2FD18E74-9B41-4998-BB47-961AE16724D0","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T11:44:55.677Z",NA,NA,NA,"Aspidochirotida",NA,2009,"8df4574d-550c-42dd-a450-5913032a0059","Arthur Anker","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"AUST-ST-083",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"456",NA,"",NA,"","",NA,"09/08/2014","",113.6249,"Western Australia",NA,"","","9581-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Australia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"6f2b32654e70bdc3211ab4dd1b5d3c9f749e02f7","",NA,NA,"","","",NA,NA,"f0bad88e-38ac-4a51-a94d-4c36c74ebfea",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","67003D6C-EB48-4353-A878-423F5D86CDE4","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,-22.60826,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T11:06:14.338Z",NA,NA,NA,"Aspidochirotida",NA,2009,"f0bad88e-38ac-4a51-a94d-4c36c74ebfea","Julian Caley, Laetitia Plaisance","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"NIN09-St-70",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"483",NA,"",NA,"","",NA,"09/08/2014","",151.93375,"Queensland",NA,"","","9923-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",12,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Australia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"257bf58b6d9d640aac699fd37dde0575f2d99d04","",NA,NA,"","","",NA,NA,"1c1116b8-0e10-410a-b6de-e60459a4fbf1",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","6946946B-B33C-46E5-9AA7-FE428E22143F","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,-23.4332166666667,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T17:50:28.656Z",NA,NA,NA,"Aspidochirotida",NA,2009,"1c1116b8-0e10-410a-b6de-e60459a4fbf1","","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"HI09-006",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"500",NA,"",NA,"","",NA,"09/08/2014","",47.28366667,"Scattered Islands",NA,"","","9352-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",8,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","France","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"f6c7f3830a437d3c8b0c7491bf461fbb636e65f8","",NA,NA,"","","",NA,NA,"2c88b38f-cd7d-41dc-9dfb-62cb29753386",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","71F33976-49C9-439F-BE3D-5295D5AB005C","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Glorieuses Island",NA,NA,NA,NA,NA,NA,NA,5,NA,-11.5775,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T13:11:38.264Z",NA,NA,NA,"Aspidochirotida",NA,2009,"2c88b38f-cd7d-41dc-9dfb-62cb29753386","V. Denis","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"GLOR-16",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"524",NA,"",NA,"","",NA,"09/08/2014","",NA,"",NA,"","","12535-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Northern Mariana Islands","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"36f95e6ad513f0a9353322bfc1f86c9f051d3505","",NA,NA,"","","",NA,NA,"dc347370-37a6-4a47-88c4-1e898cc9456c",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","9F9B1167-0067-4051-B9C7-538C87D8182C","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Saipan Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T13:23:29.510Z",NA,NA,NA,"Aspidochirotida",NA,NA,"dc347370-37a6-4a47-88c4-1e898cc9456c","","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"JAS-SAI-306",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"551",NA,"",NA,"","",NA,"09/08/2014","",42.67256,"",NA,"","","12052-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",1,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Djibouti","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"cc9d49ca6d40244d505e8891c3f4ec2de10d0319","",NA,NA,"","","",NA,NA,"5261d556-983e-4c6c-bb13-980717b089a0",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","603A457A-A6EA-4453-B683-CB97B3CD465B","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,10,NA,11.51025,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T13:13:04.389Z",NA,NA,NA,"Aspidochirotida",NA,2012,"5261d556-983e-4c6c-bb13-980717b089a0","Gustav Paulay","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"DJRS-016",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"568",NA,"",NA,"","",NA,"09/08/2014","",163.09553,"New Caledonia",NA,"","","15966-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",20,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","France","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"09b220e678f1000bad4a4fefe6b26c0d66e1eb71","",NA,NA,"","","",NA,NA,"7487bd55-507a-42db-9e0c-dfc0c5e80feb",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","1ADAEA38-BB4B-43C8-AFDE-3842C6579440","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,-18.48788,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T17:18:14.559Z",NA,NA,NA,"Aspidochirotida",NA,2013,"7487bd55-507a-42db-9e0c-dfc0c5e80feb","Nathaniel Evans","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"NEST31",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"666",NA,"",NA,"","",NA,"09/08/2014","",163.01986,"Caroline Islands",NA,"","","6909-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",23,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Federated States of Micronesia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"8ae4f4fd461c497f85926e4fd2fdb57bded35aee","",NA,NA,"","","",NA,NA,"d20f2d65-3bac-468f-a993-b451c3fe98a9",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","E8BD00D6-0498-4702-9430-A393034D2B93","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Kosrae Island",NA,NA,NA,NA,NA,NA,NA,2,NA,5.34222,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T11:59:42.981Z",NA,NA,NA,"Aspidochirotida",NA,2008,"d20f2d65-3bac-468f-a993-b451c3fe98a9","Sun Kim, Alex Kerr, François Michonneau","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"KOSR-01",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"703",NA,"",NA,"","",NA,"09/08/2014","",113.6532,"Western Australia",NA,"","","9580-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Australia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"99de6c0bca4c1133b9e060b6dc0a5b795d2c0ad5","",NA,NA,"","","",NA,NA,"8a403bc2-5727-420f-b8f4-7a9d9e52c5f0",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","E026672E-E03C-43CE-85EA-CFEABDD97152","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,-22.62317,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T10:18:23.738Z",NA,NA,NA,"Aspidochirotida",NA,2009,"8a403bc2-5727-420f-b8f4-7a9d9e52c5f0","François Michonneau","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"NIN09-St-71",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
