"","dwc.informationWithheld","dwc.individualCount","dwc.geodeticDatum","dwc.originalNameUsage","idigbio.associateIdentifier","dwc.eventRemarks","dwc.namePublishedIn","inhs.instars_Female","dwc.identificationReferences","dwc.individualID","dwc.maximumDepthInMeters","fcc.subfamily","dwc.county","dwc.recordNumber","dwc.verbatimSRS","dwc.georeferenceSources","dcterms.accessRights","idigbio.associateCondition","inhs.formI_males","dcterms.language","dwc.vernacularName","idigbio.determinationHistory","dwc.class","dwc.day","dwc.infraspecificEpithet","http...symbiota.org.terms.verbatimScientificName","id","dwc.stateProvince","dwc.verbatimCoordinates","dwc.institutionCode","inhs.relic","dwc.fieldNumber","idigbio.barcodeValue","dwc.sex","row.number","inhs.juv_males","dwc.behavior","inhs.juv_females","dwc.country","dwc.occurrenceStatus","dwc.scientificNameID","dwc.formation","dwc.accessRights","dwc.eventID","dwc.nomenclaturalStatus","dwc.samplingEffort","dwc.eventDate","dcterms.type","dwc.rightsHolder","dwc.associatedTaxa","dwc.associatedReferences","dcterms.source","dwc.taxonRemarks","dwc.bed","dwc.genus","dwc.verbatimCoordinateSystem","dwc.verbatimElevation","dwc.occurrenceID","dwc.month","dwc.georeferenceRemarks","dwc.footprintWKT","dwc.nomenclaturalCode","dwc.verbatimLongitude","dwc.fieldNotes","dwc.lowestBiostratigraphicZone","dwc.earliestEraOrLowestErathem","dwc.disposition","dwc.decimalLatitude","idigbio.recordId","dwc.municipality","dwc.lithostratigraphicTerms","idigbio.hostFamily","dwc.endDayOfYear","inhs.location_RiverMile","dwc.reproductiveCondition","idigbio.etag","dwc.relatedResourceID","dwc.nameAccordingTo","dwc.lifeStage","dwc.dynamicProperties","dwc.preparation","inhs.superfamily","idigbio.associatedRelationship","dwc.VerbatimEventDate","idigbio.version","dwc.eventTime","inhs.formII_females","dwc.earliestAgeOrLowestStage","dwc.member","dwc.verbatimTaxonRank","dwc.collectionCode","idigbio.tribe","dwc.locationID","inhs.location_Basin","dcterms.references","idigbio.associatedFamily","dwc.establishmentMeans","dwc.locationAccordingTo","dwc.associatedSequences","dwc.phylum","dwc.latestEpochOrHighestSeries","dwc.earliestPeriodOrLowestSystem","dwc.countryCode","dwc.otherCatalogNumbers","dwc.identificationRemarks","dwc.georeferenceProtocol","dwc.waterBody","dwc.scientificNameAuthorship","dwc.decimalLongitude","fcc.superfamily","idigbio.associateDeterminedBy","idigbio.preparationCount","idigbio.subfamily","dwc.maximumElevationInMeters","dwc.rights","dwc.taxonRank","dwc.kingdom","dwc.minimumDepthInMeters","inhs.location_Stream","dwc.continent","dwc.verbatimEventDate","dwc.startDayOfYear","dwc.minimumElevationInMeters","idigbio.createdBy","dwc.institutionID","dwc.associatedOccurrences","inhs.formII_males","dwc.islandGroup","dwc.locationRemarks","dcterms.rightsHolder","inhs.total_Males","inhs.locationTrs","dwc.namePublishedInID","fcc.pickedBy","idigbio.dateModified","dwc.collectionID","dwc.verbatimDepth","dwc.higherGeography","dwc.dateIdentified","dwc.higherClassification","dcterms.rights","dwc.georeferencedBy","dwc.dataGeneralizations","dwc.subgenus","dwc.earliestEpochOrLowestSeries","dwc.scientificName","dcterms.reference","inhs.live","dwc.latestAgeOrHighestStage","idigbio.subgenus","dwc.identifiedBy","inhs.vouchered","dwc.verbatimLatitude","idigbio.associateNotes","dwc.preparations","symbiotaverbatimScientificName","dwc.order","idigbio.recordIds","idigbio.uuid","idigbio.associateCommonName","dwc.associatedMedia","inhs.instars_Male","idigbio.endangeredStatus","idigbio.associateAuthor","inhs.juv_undetermined","dwc.samplingProtocol","idigbio.recordID","idigbio.preservative","dwc.georeferencedDate","dwc.occurrenceRemarks","dwc.ownerInstitutionCode","idigbio.substrate","dwc.locality","dwc.habitat","dwc.latestEraOrHighestErathem","dwc.group","dwc.basisOfRecord","dwc.datasetName","dwc.identificationVerificationStatus","dwc.recordedBy","dcterms.bibliographicCitation","inhs.dead","dwc.specificEpithet","symbiota.verbatimScientificName","fcc.datePicked","dwc.coordinateUncertaintyInMeters","idigbio.associateRelationship","dwc.island","dwc.taxonID","dwc.latestPeriodOrHighestSystem","dwc.catalogNumber","dwc.year","dwc.georeferenceVerificationStatus","dwc.coordinatePrecision","dwc.previousIdentifications","inhs.total_females","dwc.datasetID","dwc.identificationID","dwc.identificationQualifier","dcterms.modified","dwc.family","dwc.typeStatus","dwc.verbatimLocality"
"792",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Europa Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",23,"",NA,"614fcaa9-43c3-4c9a-abb9-258ad7fdd4d8","Scattered Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"970A71B4-BA14-4137-8946-BA6514958D4D",4,"",NA,"","",NA,NA,NA,"",-22.34656667,NA,NA,NA,NA,NA,NA,NA,"c2b4f0e3a80682464064efcf584e8960f71e7638",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"EURO-7",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",40.33203333,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T18:10:25.302Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"614fcaa9-43c3-4c9a-abb9-258ad7fdd4d8",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","H. Bruggemann, M. Guillaume",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"9189-Echinodermata",2009,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"822",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Moorea Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",8,"",NA,"83bcc15c-0162-492d-90c5-06a2625a6ce0","Society Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"French Polynesia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"A1705E42-19B9-442F-BC28-E55A29F12E22",12,"",NA,"","",NA,NA,NA,"",-17.59568,NA,NA,NA,NA,NA,NA,NA,"a85ca5ca39f2737062e10c86c50a0a4ed574bc79",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"BIZ-257",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-149.84564,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T13:51:27.703Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"83bcc15c-0162-492d-90c5-06a2625a6ce0",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Sarah McPherson, Gustav Paulay, Chris Meyer",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"9868-Echinodermata",2009,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"837",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",16,"",NA,"5795cba8-d407-48fa-b371-10e26f4c0327","Taiwan","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"China",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"731FB5B9-97BA-4691-9077-5B5F1E2E5317",10,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"04422d02ce7d592602f4863103d5c3d5a15556d0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"BTAI-013",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T14:08:28.523Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"5795cba8-d407-48fa-b371-10e26f4c0327",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Gustav Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"1574-Echinodermata",2000,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"867",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"",NA,"d0f5d56c-36ca-4051-8058-a0e6ad15add3","Western Australia","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"5397CA5F-FD6A-4E31-99E7-99B0ED27FEF3",5,"",NA,"","",NA,NA,NA,"",-22.67235,NA,NA,NA,NA,NA,NA,NA,"86fe3303837d0774ea742f9f392178986ad02c14",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"NIN09-St-23",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",113.6395,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:09:59.870Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"d0f5d56c-36ca-4051-8058-a0e6ad15add3",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Robert Lasley",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"9490-Echinodermata",2009,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"869",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Moorea Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",21,"",NA,"db3ac791-8cea-4ac1-8b9d-488f419f5f7e","Society Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"French Polynesia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"91D939C8-76A7-43E9-B89F-E95DE82FE40D",6,"",NA,"","",NA,NA,NA,"",-17.5067,NA,NA,NA,NA,NA,NA,NA,"33f419e9e70895ba85cf093b113275f9c7ead265",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"GP-Loc-863",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-149.8522,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T15:22:04.847Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"db3ac791-8cea-4ac1-8b9d-488f419f5f7e",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Christian McKeon, Gustav Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"5293-Echinodermata",2006,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"965",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",18,"",NA,"31d02a92-33f1-48e0-8d07-a2cefb7e8fe3","","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Oman",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"41598C44-CDCF-4642-BD62-07A1CF1D245B",1,"",NA,"","",NA,NA,NA,"",20.3987,NA,NA,NA,NA,NA,NA,NA,"8ac619b7753a828f399fb6570ffd6ae05750ea53",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"GP-Loc-801",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",58.48965,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:20:02.349Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"31d02a92-33f1-48e0-8d07-a2cefb7e8fe3",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","V. Bonito, M. Claereboudt, G. Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"4196-Echinodermata",2005,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"989",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Oahu Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",30,"",NA,"567a3b50-0847-4860-a27c-39cbdb89344f","Hawaiian Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"FA753969-8939-4BC3-A158-25B9B5ED4A8A",12,"",NA,"","",NA,NA,NA,"",21.67,NA,NA,NA,NA,NA,NA,NA,"eef65335a4ee0f637867402ebc7800c4fbe561bf",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"JAS-JHAW-09",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-157.93889,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T11:27:16.090Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"567a3b50-0847-4860-a27c-39cbdb89344f",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Starmer, J.",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"4407-Echinodermata",2004,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"993",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Moorea Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",21,"",NA,"32480d06-883b-4000-ac9d-ce94cf344d5c","Society Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"French Polynesia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"C098660F-65CB-46EB-9640-EB84FFCDA35A",6,"",NA,"","",NA,NA,NA,"",-17.5067,NA,NA,NA,NA,NA,NA,NA,"e318111660f87779a0df55bfd055c2293f924fe7",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"GP-Loc-863",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-149.8522,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T11:44:20.589Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"32480d06-883b-4000-ac9d-ce94cf344d5c",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Christian McKeon, Gustav Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"5296-Echinodermata",2006,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1023",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Reunion Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",11,"",NA,"f60acfd2-f28c-4664-992f-3ab23371326b","Mascarene Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"B04E5F94-2397-4887-ABB4-3CF028945371",8,"",NA,"","",NA,NA,NA,"",-21.378889,NA,NA,NA,NA,NA,NA,NA,"9470e8f15165cb054aeb46152f2c218361a0c963",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"SWIO-11",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",55.676944,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T09:45:35.750Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"f60acfd2-f28c-4664-992f-3ab23371326b",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"6630-Echinodermata",2007,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1075",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",26,"",NA,"0e3658f3-a81c-42f5-8daa-852fff07c128","","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Oman",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"7CA94A53-A23C-48D7-83A7-BFFB595E9F20",1,"",NA,"","",NA,NA,NA,"",23.626,NA,NA,NA,NA,NA,NA,NA,"52f54b36952c81b49507417124e5591beb53d05f",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"GP-Loc-819",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",58.481,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:45:32.798Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"0e3658f3-a81c-42f5-8daa-852fff07c128",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","V. Bonito, M. Claereboudt, G. Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"4254-Echinodermata",2005,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1149",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"",NA,"ad3080f6-dcf2-4299-aaa8-3538f138af11","Western Australia","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"B9F6DA9B-D751-4D9B-A180-EFF080C17A08",5,"",NA,"","",NA,NA,NA,"",-22.657168,NA,NA,NA,NA,NA,NA,NA,"5eaa057218112bfe01deed5e29b10e0614d27e1a",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"NIN09-St-16",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",113.683831,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T13:20:06.572Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"ad3080f6-dcf2-4299-aaa8-3538f138af11",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"9098-Echinodermata",2009,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1285",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Guam Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",1,"",NA,"37990d71-a324-463d-9ba5-b844aebede81","Mariana Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"159AAE82-12BE-494A-B200-1112AF5F6FED",7,"",NA,"","",NA,NA,NA,"",13.5,NA,NA,NA,NA,NA,NA,NA,"b049e340e5d393f388291cdd134adc329121f0b1",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"UGI-Station-39",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T15:03:31.274Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"37990d71-a324-463d-9ba5-b844aebede81",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Sabath, Sabath",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"12289-Echinodermata",1969,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1304",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Rimatara Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",1,"",NA,"fe5dc4e5-17f7-4534-80f7-20b166a372bd","Austral Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"French Polynesia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"A27F0EA9-2ECB-4D76-9FDA-CA2A27BDB87C",10,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"6901a09233995af6f8b5fd95ade8de181e0de7dc",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"ZZZ-089006",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T16:56:03.886Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"fe5dc4e5-17f7-4534-80f7-20b166a372bd",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Paulay, G.",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"1656-Echinodermata",1982,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1306",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Maui Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",24,"",NA,"f90f2af6-4bbb-4325-aaa0-8d9a96dd6db9","Hawaiian Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"2174CD6D-04B4-4139-95EB-4B7D659E31AF",11,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1cd44f4b330eb566984cbe5b03a0f8fb1a7b973b",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"ZZZ-086977",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T16:05:35.757Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"f90f2af6-4bbb-4325-aaa0-8d9a96dd6db9",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Pittman, C.",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"958-Echinodermata",1999,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"1363",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",2,"",NA,"58746f4e-50a0-4142-9a4b-e958f439d38c","","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Taiwan",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"487C679D-CF52-4376-9F83-9FB82ED4325D",7,"",NA,"","",NA,NA,NA,"",25.142,NA,NA,NA,NA,NA,NA,NA,"5b0a852230bcff90bc0b47dc7677abddd8eb17d5",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"AMB-St004",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",121.803,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:37:04.063Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"58746f4e-50a0-4142-9a4b-e958f439d38c",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Mandy Bemis, Machel Malay, Jimmy Huang",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"11129-Echinodermata",2011,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
