"","dwc.latestEpochOrHighestSeries","dcterms.modified","inhs.juv_males","dwc.specificEpithet","dcterms.rightsHolder","dwc.minimumElevationInMeters","dwc.island","idigbio.dateModified","dwc.occurrenceID","inhs.vouchered","dcterms.references","dwc.decimalLongitude","idigbio.barcodeValue","idigbio.associatedRelationship","inhs.formII_males","dwc.identificationQualifier","dwc.verbatimLocality","dwc.scientificNameAuthorship","dwc.footprintWKT","dcterms.bibliographicCitation","dwc.verbatimDepth","dwc.countryCode","dwc.occurrenceRemarks","inhs.juv_females","idigbio.endangeredStatus","dwc.decimalLatitude","dwc.previousIdentifications","dwc.associatedOccurrences","idigbio.createdBy","idigbio.recordID","dwc.namePublishedInID","dwc.identificationReferences","dwc.georeferenceVerificationStatus","inhs.live","dwc.verbatimElevation","dwc.earliestEpochOrLowestSeries","dwc.nomenclaturalCode","dwc.stateProvince","dwc.verbatimCoordinateSystem","dwc.maximumElevationInMeters","dwc.fieldNotes","inhs.locationTrs","dwc.verbatimLongitude","idigbio.associateIdentifier","row.number","dwc.eventRemarks","dcterms.source","inhs.location_Basin","dwc.dataGeneralizations","dwc.infraspecificEpithet","dwc.municipality","dwc.earliestPeriodOrLowestSystem","dwc.institutionID","dwc.higherClassification","idigbio.subgenus","dwc.verbatimCoordinates","dwc.formation","dwc.month","dwc.year","dwc.kingdom","inhs.superfamily","dcterms.type","dwc.dateIdentified","dwc.georeferenceRemarks","dwc.habitat","dwc.latestPeriodOrHighestSystem","dwc.phylum","fcc.subfamily","dwc.datasetName","dwc.taxonRemarks","dwc.recordedBy","dwc.georeferencedBy","idigbio.associateCondition","dwc.georeferencedDate","inhs.juv_undetermined","dwc.identificationVerificationStatus","dwc.identifiedBy","inhs.total_females","dwc.eventTime","dwc.scientificName","inhs.formII_females","dwc.earliestEraOrLowestErathem","dwc.endDayOfYear","dwc.basisOfRecord","dwc.lowestBiostratigraphicZone","idigbio.recordIds","dwc.lifeStage","dwc.typeStatus","dwc.associatedSequences","dwc.identificationRemarks","dwc.rights","dwc.maximumDepthInMeters","symbiotaverbatimScientificName","fcc.superfamily","dwc.ownerInstitutionCode","idigbio.tribe","idigbio.associateNotes","idigbio.recordId","dwc.preparation","dcterms.reference","dwc.relatedResourceID","dwc.disposition","dwc.vernacularName","dwc.subgenus","idigbio.substrate","inhs.relic","inhs.formI_males","dwc.higherGeography","dwc.individualCount","idigbio.associateAuthor","dwc.behavior","idigbio.subfamily","idigbio.associateRelationship","dwc.waterBody","http...symbiota.org.terms.verbatimScientificName","idigbio.associateCommonName","dwc.genus","idigbio.uuid","dwc.order","dwc.reproductiveCondition","dwc.identificationID","dwc.taxonRank","dwc.latestEraOrHighestErathem","dwc.locationID","dwc.eventID","dwc.associatedMedia","inhs.total_Males","id","dwc.locationRemarks","dwc.fieldNumber","dwc.datasetID","dwc.individualID","dwc.georeferenceSources","fcc.pickedBy","dwc.establishmentMeans","idigbio.hostFamily","dcterms.rights","dcterms.language","dwc.eventDate","dwc.verbatimTaxonRank","dwc.group","dwc.nomenclaturalStatus","dwc.VerbatimEventDate","dwc.accessRights","dwc.associatedTaxa","inhs.instars_Male","idigbio.etag","dwc.originalNameUsage","dwc.informationWithheld","idigbio.associatedFamily","dwc.verbatimEventDate","dwc.preparations","dwc.locationAccordingTo","dwc.occurrenceStatus","dwc.dynamicProperties","dwc.recordNumber","dwc.sex","dwc.day","inhs.location_Stream","idigbio.preparationCount","dwc.county","fcc.datePicked","dwc.collectionCode","dwc.namePublishedIn","dwc.catalogNumber","dwc.verbatimLatitude","dwc.latestAgeOrHighestStage","dwc.associatedReferences","dwc.otherCatalogNumbers","idigbio.preservative","idigbio.version","dwc.geodeticDatum","dwc.continent","dwc.coordinateUncertaintyInMeters","dwc.coordinatePrecision","dwc.nameAccordingTo","inhs.dead","dwc.samplingProtocol","dwc.earliestAgeOrLowestStage","inhs.location_RiverMile","dwc.collectionID","dwc.startDayOfYear","dwc.scientificNameID","dwc.locality","dcterms.accessRights","dwc.taxonID","dwc.country","inhs.instars_Female","idigbio.associateDeterminedBy","dwc.verbatimSRS","dwc.class","idigbio.determinationHistory","dwc.islandGroup","dwc.minimumDepthInMeters","dwc.lithostratigraphicTerms","dwc.samplingEffort","dwc.georeferenceProtocol","dwc.bed","dwc.rightsHolder","dwc.member","symbiota.verbatimScientificName","dwc.family","dwc.institutionCode"
"310",NA,"2014-06-04 11:15:28.0",NA,"gyrifer","President and Fellows of Harvard College",NA,NA,"2014-06-18T06:35:31.402Z","MCZ:IZ:HOL-1534",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1534",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"",NA,NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"ICZN","","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria gyrifer",NA,"",NA,NA,NA,"Animalia",NA,"PhysicalObject","","","",NA,"Echinodermata",NA,NA,NA,"Harvard Australian Expedition 1931-1932","",NA,NA,NA,"","World Register of Marine Species, Hubert Lyman Clark",NA,NA,"Holothuria gyrifer",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Paratype",NA,"",NA,14.6304,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Western Central",1,NA,NA,NA,NA,"",NA,NA,"Holothuria","dcb3f97d-f664-4dd9-92d8-6a2a3d337a00","Aspidochirotida",NA,NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1534",NA,"dcb3f97d-f664-4dd9-92d8-6a2a3d337a00","","",NA,NA,"",NA,NA,NA,NA,"en","1932-05-22",NA,NA,NA,NA,NA,NA,NA,"fe4430bee05f2e288ddda3170e63dbb6b498e09d",NA,NA,NA,"May 22, 1932","whole animal (70% ethanol)",NA,NA,"","","",NA,NA,NA,"",NA,"IZ",NA,"HOL-1534","",NA,"","",NA,NA,"","Pacific Ocean",NA,NA,NA,NA,"",NA,NA,NA,0,NA,"Australia, Northern Territory, Cobourg Peninsula, Allaru Island",NA,NA,"",NA,NA,NA,"Holothuroidea",NA,NA,9.144,NA,NA,"",NA,NA,NA,NA,"Holothuriidae","MCZ"
"319",NA,"2014-06-04 11:15:28.0",NA,"gyrifer","President and Fellows of Harvard College",NA,NA,"2014-06-18T08:41:51.280Z","MCZ:IZ:HOL-1535",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1535",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"",NA,NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"ICZN","","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria gyrifer",NA,"",NA,NA,NA,"Animalia",NA,"PhysicalObject","","","",NA,"Echinodermata",NA,NA,NA,"Harvard Australian Expedition 1931-1932","",NA,NA,NA,"","World Register of Marine Species, Hubert Lyman Clark",NA,NA,"Holothuria gyrifer",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holotype",NA,"",NA,14.6304,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Western Central",1,NA,NA,NA,NA,"",NA,NA,"Holothuria","896f3418-f5e9-4a5b-8e1f-d1da7bca3b98","Aspidochirotida",NA,NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1535",NA,"896f3418-f5e9-4a5b-8e1f-d1da7bca3b98","","",NA,NA,"",NA,NA,NA,NA,"en","1932-05-22",NA,NA,NA,NA,NA,NA,NA,"89ae6af1d78b6fffad640e1a6133f459d8259f1e",NA,NA,NA,"May 22, 1932","whole animal (70% ethanol)",NA,NA,"","","",NA,NA,NA,"",NA,"IZ",NA,"HOL-1535","",NA,"","",NA,NA,"","Pacific Ocean",NA,NA,NA,NA,"",NA,NA,NA,0,NA,"Australia, Northern Territory, Cobourg Peninsula, Allaru Island",NA,NA,"",NA,NA,NA,"Holothuroidea",NA,NA,9.144,NA,NA,"",NA,NA,NA,NA,"Holothuriidae","MCZ"
