"","dwc.taxonRemarks","dwc.locationID","dwc.namePublishedIn","dwc.taxonRank","idigbio.subfamily","dwc.verbatimSRS","dwc.latestEpochOrHighestSeries","idigbio.associateAuthor","dwc.informationWithheld","dcterms.rights","dwc.eventDate","idigbio.tribe","dwc.nomenclaturalCode","dwc.minimumElevationInMeters","dwc.scientificNameAuthorship","dwc.sex","dwc.individualCount","dwc.associatedTaxa","dwc.latestEraOrHighestErathem","inhs.location_Stream","dwc.locationAccordingTo","dwc.group","dwc.locationRemarks","inhs.dead","dwc.reproductiveCondition","idigbio.uuid","dwc.month","dwc.georeferencedDate","idigbio.subgenus","idigbio.endangeredStatus","dwc.associatedMedia","dwc.collectionID","dwc.higherGeography","dcterms.rightsHolder","dwc.bed","dwc.ownerInstitutionCode","fcc.subfamily","dwc.verbatimLatitude","inhs.juv_undetermined","dwc.preparations","dwc.latestAgeOrHighestStage","idigbio.associatedRelationship","idigbio.determinationHistory","inhs.total_females","dwc.infraspecificEpithet","dwc.behavior","symbiota.verbatimScientificName","dwc.family","dwc.maximumElevationInMeters","dwc.identificationReferences","inhs.locationTrs","idigbio.associateNotes","inhs.juv_males","dwc.catalogNumber","dwc.associatedReferences","dwc.identificationRemarks","idigbio.recordId","idigbio.associatedFamily","dwc.decimalLongitude","dwc.occurrenceRemarks","dwc.minimumDepthInMeters","dwc.dataGeneralizations","inhs.location_RiverMile","dwc.verbatimCoordinateSystem","inhs.instars_Female","dwc.namePublishedInID","dwc.continent","dwc.institutionCode","dwc.georeferenceRemarks","dwc.identificationID","dcterms.reference","inhs.formII_males","dwc.municipality","dwc.originalNameUsage","dwc.georeferencedBy","dwc.fieldNotes","dwc.maximumDepthInMeters","inhs.formI_males","dwc.nomenclaturalStatus","idigbio.associateCommonName","dwc.samplingProtocol","dwc.typeStatus","dwc.locality","dcterms.accessRights","dwc.otherCatalogNumbers","idigbio.createdBy","dwc.verbatimCoordinates","idigbio.recordIds","dwc.geodeticDatum","dwc.latestPeriodOrHighestSystem","inhs.formII_females","idigbio.associateCondition","idigbio.preparationCount","dwc.island","dwc.taxonID","idigbio.barcodeValue","idigbio.associateRelationship","dwc.verbatimEventDate","http...symbiota.org.terms.verbatimScientificName","dwc.year","dwc.recordedBy","dwc.verbatimLongitude","idigbio.recordID","dwc.associatedSequences","dwc.county","inhs.live","dwc.fieldNumber","dwc.eventTime","dwc.verbatimLocality","dcterms.language","dwc.countryCode","dwc.relatedResourceID","dwc.formation","dwc.stateProvince","dwc.earliestAgeOrLowestStage","dwc.georeferenceVerificationStatus","dwc.subgenus","dwc.lowestBiostratigraphicZone","dwc.country","fcc.pickedBy","dwc.earliestEraOrLowestErathem","idigbio.version","inhs.vouchered","idigbio.substrate","dwc.rightsHolder","dwc.verbatimDepth","dwc.waterBody","dwc.datasetID","dwc.verbatimElevation","symbiotaverbatimScientificName","dwc.habitat","dwc.disposition","dwc.order","dwc.previousIdentifications","dwc.eventRemarks","inhs.location_Basin","idigbio.associateDeterminedBy","dwc.eventID","dwc.class","dwc.recordNumber","idigbio.etag","fcc.datePicked","idigbio.dateModified","dwc.footprintWKT","dwc.decimalLatitude","dwc.preparation","dwc.vernacularName","dwc.islandGroup","dwc.basisOfRecord","dwc.day","dwc.endDayOfYear","dwc.occurrenceID","id","dwc.coordinatePrecision","dwc.institutionID","dwc.higherClassification","dwc.scientificName","dwc.dateIdentified","dwc.specificEpithet","dwc.earliestEpochOrLowestSeries","dwc.phylum","dwc.establishmentMeans","dwc.collectionCode","inhs.total_Males","dwc.occurrenceStatus","dcterms.modified","dwc.nameAccordingTo","dwc.georeferenceProtocol","dwc.rights","idigbio.hostFamily","idigbio.preservative","fcc.superfamily","dwc.earliestPeriodOrLowestSystem","dwc.datasetName","dwc.lithostratigraphicTerms","dcterms.bibliographicCitation","idigbio.associateIdentifier","dwc.coordinateUncertaintyInMeters","dwc.VerbatimEventDate","inhs.superfamily","dwc.identifiedBy","dwc.accessRights","dwc.kingdom","dwc.member","inhs.juv_females","dwc.samplingEffort","row.number","inhs.instars_Male","dwc.georeferenceSources","inhs.relic","dwc.scientificNameID","dwc.identificationQualifier","dwc.lifeStage","dcterms.source","dwc.dynamicProperties","dwc.startDayOfYear","dwc.verbatimTaxonRank","dwc.associatedOccurrences","dwc.identificationVerificationStatus","dwc.genus","dwc.individualID","dcterms.references","dcterms.type"
"934",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1700-01-01/2014-06-02",NA,"ICZN",NA,"Delle Chiaje, 1823","",1,NA,NA,NA,NA,NA,"",NA,NA,"e3e0acdc-88dd-4060-8e0a-6a92b51cbe5c",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-581",NA,"Atlantic Ocean, Atlantic, Northeast","President and Fellows of Harvard College",NA,"Museum of Comparative Zoology, Harvard University",NA,"38.57734d",NA,"whole animal (70% ethanol)",NA,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"HOL-581","","",NA,NA,-28.686646,NA,NA,NA,NA,"decimal degrees",NA,NA,"Atlantic Ocean","MCZ","",NA,NA,NA,NA,NA,"Jessica Anne Mullen",NA,NA,NA,NA,NA,"wild caught","","Azores Islands, Faial Island",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"[date unknown]",NA,NA,"[no agent data]","-28.686646d",NA,NA,"",NA,"",NA,NA,"en",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","not applicable","Aspidochirotida",NA,"",NA,NA,NA,"Holothuroidea","","08c1441594379fe4f2a5dc14b83f7b5eca795f72",NA,"2014-07-13T03:53:01.677Z",NA,38.57734,NA,NA,NA,"PreservedSpecimen",NA,NA,"MCZ:IZ:HOL-581","e3e0acdc-88dd-4060-8e0a-6a92b51cbe5c",17343,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) sanctori","Holothuria (Platyperona) sanctori","","sanctori",NA,"Echinodermata",NA,"IZ",NA,NA,"2014-06-02 15:05:14.0",NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,17343,NA,NA,"[no agent data]",NA,"Animalia",NA,NA,NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,"",0,NA,"","unverified","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-581","PhysicalObject"
"1511",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1800-01-01/1867-01-01",NA,"ICZN",NA,"Delle Chiaje, 1823","",1,NA,NA,NA,NA,NA,"",NA,NA,"901df73f-fe3d-463e-a8b0-a242c8db1dca",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-580",NA,"Atlantic Ocean, Atlantic, Northeast","President and Fellows of Harvard College",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"whole animal (70% ethanol)",NA,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"HOL-580","","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Atlantic Ocean","MCZ","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Syntype","Azores",NA,"collector number=169","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,"[no agent data]","",NA,NA,"",NA,"",NA,NA,"en",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","not applicable","Aspidochirotida",NA,"",NA,NA,NA,"Holothuroidea","169","0cdc6b863baad3a7ff0cd8db2d709798d8d5b08f",NA,"2014-07-12T12:56:37.468Z",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"MCZ:IZ:HOL-580","901df73f-fe3d-463e-a8b0-a242c8db1dca",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) sanctori","Holothuria (Platyperona) sanctori","","sanctori",NA,"Echinodermata",NA,"IZ",NA,NA,"2012-09-18 14:47:54.0",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[no agent data], E. Selenka",NA,"Animalia",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",0,NA,"","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-580","PhysicalObject"
