"","idigbio.associatedRelationship","idigbio.determinationHistory","dwc.scientificNameAuthorship","dwc.scientificNameID","dwc.identificationVerificationStatus","dcterms.reference","dwc.typeStatus","inhs.location_Stream","dwc.verbatimLongitude","dcterms.rights","dwc.collectionCode","idigbio.associateAuthor","dwc.verbatimCoordinateSystem","dwc.countryCode","dwc.verbatimLocality","dwc.originalNameUsage","dwc.locationAccordingTo","fcc.superfamily","dwc.collectionID","dwc.associatedSequences","inhs.formII_males","dwc.earliestEraOrLowestErathem","dwc.bed","dwc.country","dwc.institutionID","idigbio.preservative","dcterms.accessRights","dwc.endDayOfYear","dwc.taxonRemarks","idigbio.createdBy","dwc.identificationQualifier","dcterms.modified","dwc.verbatimLatitude","dwc.group","inhs.instars_Male","dwc.georeferenceProtocol","dwc.occurrenceID","dwc.associatedMedia","dwc.continent","inhs.superfamily","dwc.establishmentMeans","idigbio.uuid","idigbio.associateNotes","dwc.rightsHolder","dwc.occurrenceRemarks","dwc.verbatimSRS","dwc.verbatimEventDate","dwc.latestEraOrHighestErathem","dwc.preparation","dwc.ownerInstitutionCode","dwc.lowestBiostratigraphicZone","dwc.class","dwc.occurrenceStatus","dwc.catalogNumber","dwc.informationWithheld","fcc.pickedBy","idigbio.preparationCount","dwc.kingdom","dwc.verbatimDepth","dwc.associatedOccurrences","dwc.taxonID","dcterms.source","idigbio.endangeredStatus","symbiotaverbatimScientificName","idigbio.version","dwc.coordinatePrecision","dwc.day","fcc.subfamily","dwc.municipality","dwc.month","dwc.lifeStage","dwc.county","row.number","dwc.nomenclaturalStatus","dwc.phylum","dwc.specificEpithet","dwc.locality","dwc.islandGroup","dwc.geodeticDatum","dwc.genus","dwc.latestEpochOrHighestSeries","inhs.location_Basin","dwc.family","dwc.island","dwc.nameAccordingTo","dwc.minimumDepthInMeters","dwc.earliestPeriodOrLowestSystem","idigbio.associateCondition","dwc.samplingEffort","dwc.associatedTaxa","dwc.higherGeography","dwc.formation","idigbio.associateCommonName","inhs.live","dcterms.bibliographicCitation","idigbio.subgenus","dwc.dataGeneralizations","dwc.identifiedBy","inhs.locationTrs","dwc.earliestAgeOrLowestStage","dwc.associatedReferences","dwc.eventTime","dwc.georeferenceRemarks","dwc.habitat","idigbio.dateModified","dwc.namePublishedIn","dwc.verbatimCoordinates","dwc.previousIdentifications","dwc.identificationReferences","idigbio.subfamily","idigbio.recordID","inhs.location_RiverMile","dwc.preparations","idigbio.hostFamily","id","dwc.scientificName","inhs.juv_females","dwc.vernacularName","dwc.locationID","inhs.formII_females","dwc.behavior","dwc.latestAgeOrHighestStage","dwc.sex","dwc.relatedResourceID","inhs.relic","dwc.identificationRemarks","dwc.reproductiveCondition","dwc.verbatimElevation","dwc.startDayOfYear","dwc.basisOfRecord","dwc.georeferenceSources","idigbio.associateDeterminedBy","dwc.maximumElevationInMeters","dwc.locationRemarks","idigbio.associateRelationship","inhs.dead","dwc.individualID","dwc.waterBody","dwc.eventRemarks","dwc.decimalLatitude","dwc.fieldNotes","dwc.eventDate","dwc.coordinateUncertaintyInMeters","idigbio.etag","symbiota.verbatimScientificName","dwc.samplingProtocol","inhs.vouchered","dwc.georeferencedDate","inhs.total_Males","dwc.stateProvince","idigbio.substrate","dwc.disposition","idigbio.recordIds","dwc.recordedBy","idigbio.tribe","dwc.latestPeriodOrHighestSystem","dcterms.references","idigbio.associatedFamily","fcc.datePicked","dwc.accessRights","idigbio.recordId","dwc.eventID","dwc.lithostratigraphicTerms","dwc.nomenclaturalCode","dwc.rights","dwc.dynamicProperties","dcterms.rightsHolder","dwc.datasetID","dwc.infraspecificEpithet","dwc.minimumElevationInMeters","dwc.taxonRank","idigbio.associateIdentifier","idigbio.barcodeValue","dwc.member","inhs.instars_Female","dwc.georeferenceVerificationStatus","dwc.namePublishedInID","dwc.fieldNumber","dwc.recordNumber","dwc.higherClassification","dcterms.language","dwc.order","dwc.VerbatimEventDate","dwc.institutionCode","dwc.datasetName","dwc.individualCount","inhs.formI_males","dwc.subgenus","dwc.footprintWKT","dcterms.type","dwc.year","http...symbiota.org.terms.verbatimScientificName","inhs.juv_males","dwc.earliestEpochOrLowestSeries","inhs.total_females","dwc.otherCatalogNumbers","dwc.identificationID","dwc.verbatimTaxonRank","dwc.maximumDepthInMeters","dwc.georeferencedBy","dwc.decimalLongitude","dwc.dateIdentified","inhs.juv_undetermined"
"266",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oman","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","3440E40E-3D12-4982-B67F-77930619CED5","","",NA,NA,"30f39a60-10ee-4496-a8ba-5fe40629d102",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"9123-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,16,NA,NA,5,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T15:34:17.906Z",NA,"",NA,NA,NA,NA,NA,"",NA,"30f39a60-10ee-4496-a8ba-5fe40629d102","Holothuria atra",NA,NA,"MOM-03",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",23.518016,NA,"",NA,"aec14dd7d3a2df14534c50de4c38c1034195f5a8",NA,"",NA,NA,NA,"",NA,"",NA,"Michel Claereboudt",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2008,NA,NA,NA,NA,"",NA,NA,NA,"",58.755663,"",NA
"272",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Federated States of Micronesia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","B451BF01-52E1-4AAD-96F3-DE05955768F5","","",NA,NA,"a86d2399-f2b8-4b6b-a127-7cb1f9c83a13",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"5897-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,5,NA,NA,8,NA,"Yap State",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T18:45:40.538Z",NA,"",NA,NA,NA,NA,NA,"",NA,"a86d2399-f2b8-4b6b-a127-7cb1f9c83a13","Holothuria atra",NA,NA,"AK-Yap-13",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",9.51686,NA,"",NA,"c561324af181a0c91fef77260d60b465fde46ada",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2007,NA,NA,NA,NA,"",NA,NA,NA,"",138.13593,"",NA
"273",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","D1EB7B81-6689-4C4B-A65F-CFA8D242EBAB","","",NA,NA,"fb544984-bfdc-464a-bc61-60e2b190524d",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"6486-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,9,NA,NA,8,NA,"Reunion Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T17:08:04.605Z",NA,"",NA,NA,NA,NA,NA,"",NA,"fb544984-bfdc-464a-bc61-60e2b190524d","Holothuria atra",NA,NA,"SWIO-9",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-21.087166,NA,"",NA,"34974f5fe983b6a7fdce6f0c170864f1ce763dc2",NA,"",NA,NA,NA,"Mascarene Islands",NA,"",NA,"Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2007,NA,NA,NA,NA,"",NA,NA,NA,"",55.2216,"",NA
"275",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Federated States of Micronesia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","026097B2-216A-4872-B8FC-42C9607F100E","","",NA,NA,"b5490461-1c7b-4069-a605-e597a075dd37",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"13330-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,25,NA,NA,11,NA,"Yap Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T15:42:01.538Z",NA,"",NA,NA,NA,NA,NA,"",NA,"b5490461-1c7b-4069-a605-e597a075dd37","Holothuria atra",NA,NA,"Clouse-2002-Manguuy",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",NA,NA,"",NA,"c974d12775ecebb2ecb9cc351cc20cb01b90cd1d",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"Ron Clouse, Daniel Janies",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2002,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA
"288",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","AB28AB9F-41F2-4465-8450-9AC0F5CFA864","","",NA,NA,"401afa6f-5b03-4679-84bc-158a48d13724",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"4717-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,16,NA,NA,7,NA,"Guam Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T14:22:24.711Z",NA,"",NA,NA,NA,NA,NA,"",NA,"401afa6f-5b03-4679-84bc-158a48d13724","Holothuria atra",NA,NA,"GP-Loc-752",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",13.42453333,NA,"",NA,"b9712698571a5c2c561a5a4da1dbd5f7685f3180",NA,"",NA,NA,NA,"Mariana Islands",NA,"",NA,"Paulay, G., Malay, M., Bonito, V.",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2003,NA,NA,NA,NA,"",NA,NA,NA,"",144.7858167,"",NA
"293",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","6DFB3502-582F-4DCC-8E12-BF5888D1B2CD","","",NA,NA,"05eacd0a-71ed-4694-b741-ee5862ecf633",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"14971-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,28,NA,NA,11,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T14:34:22.958Z",NA,"",NA,NA,NA,NA,NA,"",NA,"05eacd0a-71ed-4694-b741-ee5862ecf633","Holothuria atra",NA,NA,"PD53",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-5.172333,NA,"",NA,"4482b20b1434f70ba672a97dd599e4e685dcc4c9",NA,"",NA,NA,NA,"Madang Province",NA,"",NA,"Jean-François Barazer, Juliette Gorson",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2012,NA,NA,NA,NA,"",NA,NA,NA,"",145.80867,"",NA
"294",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","14C1B2F1-95A5-4B6A-9490-CD2F8C780217","","",NA,NA,"dbe5c8ca-5eac-4803-a464-f5e7eb1bbdfb",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"15785-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,13,NA,NA,11,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T15:35:12.335Z",NA,"",NA,NA,NA,NA,NA,"",NA,"dbe5c8ca-5eac-4803-a464-f5e7eb1bbdfb","Holothuria atra",NA,NA,"NEST21",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-17.91205,NA,"",NA,"0bc41a21b14ecb8e8d8c16357fc6f06cd62c51b7",NA,"",NA,NA,NA,"New Caledonia",NA,"",NA,"Nathaniel Evans",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2013,NA,NA,NA,NA,"",NA,NA,NA,"",162.8987,"",NA
"309",NA,NA,"Jaeger, 1833",NA,"",NA,"",NA,"",NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippines","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"","",NA,NA,"","urn:catalog:CAS:IZ:111370","","",NA,NA,"eb3acd6f-75b2-4f71-9e29-f5f4c1a1ab6f",NA,NA,NA,NA,"12 Apr 1973",NA,NA,"",NA,"",NA,"111370.0",NA,NA,NA,"Animalia","1-3 m","",NA,NA,NA,NA,NA,NA,12,NA,NA,4,NA,"",NA,NA,"ECHINODERMATA","atra","coral reef.",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,1,NA,NA,NA,NA,"PHILIPPINES: Mindanao: Zamboanga: Little Santa Cruz Island",NA,NA,NA,NA,NA,NA,"Rene G. Ledesma",NA,NA,"",NA,"","","2014-03-20T20:01:32.461Z",NA,"",NA,NA,NA,NA,NA,"75% EtOH",NA,"eb3acd6f-75b2-4f71-9e29-f5f4c1a1ab6f","Holothuria atra",NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,102,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",NA,NA,"1973-04-12 00:00:00.0",NA,"2c8f12460bce2f8fdcc15f5fbddb4902a1e11613",NA,"",NA,NA,NA,"",NA,"",NA,"F.B. Steiner",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","en","",NA,"CAS",NA,2,NA,NA,NA,"PhysicalObject",1973,NA,NA,NA,NA,"",NA,NA,3,"",NA,"1997-07-01 00:00:00.0",NA
"407",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Polynesia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","7D5CB08E-665D-48EF-9B14-FAE6653DC64B","","",NA,NA,"07039b4a-ca67-451e-b00e-5c405ef1f272",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"11188-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,23,NA,NA,11,NA,"Nuku Hiva",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T13:19:40.175Z",NA,"",NA,NA,NA,NA,NA,"",NA,"07039b4a-ca67-451e-b00e-5c405ef1f272","Holothuria atra",NA,NA,"MQ005",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-8.82555,NA,"",NA,"94657f3766eade9b271fc0b5c8f14adb8d4f136c",NA,"",NA,NA,NA,"Marquesas Islands",NA,"",NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2011,NA,NA,NA,NA,"",NA,NA,NA,"",-140.0536,"",NA
"411",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","444E77D5-4F9D-49F3-93F5-B142C3DE80E3","","",NA,NA,"d7c82d9c-c779-4c4e-8e04-aba88703e618",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"15361-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,22,NA,NA,11,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T12:59:03.714Z",NA,"",NA,NA,NA,NA,NA,"",NA,"d7c82d9c-c779-4c4e-8e04-aba88703e618","Holothuria atra",NA,NA,"PD45",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-5.019834,NA,"",NA,"254c2a72794c6315de10e92591943167edd0bc85",NA,"",NA,NA,NA,"Madang Province",NA,"",NA,"Jean-François Barazer, Grace Nugi, Dave Anan",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2012,NA,NA,NA,NA,"",NA,NA,NA,"",145.797836,"",NA
"474",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","B7481972-C4D2-4DC7-8B13-C02A787AC6CB","","",NA,NA,"351d2c13-e025-48f0-bea4-bef49fbc1da0",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"9300-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,"Glorieuses Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T16:12:21.936Z",NA,"",NA,NA,NA,NA,NA,"",NA,"351d2c13-e025-48f0-bea4-bef49fbc1da0","Holothuria atra",NA,NA,"GLOR-5",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-11.59155,NA,"",NA,"e7fe1734bfbc4cefa87fc393a2035bf8c25d6b0d",NA,"",NA,NA,NA,"Scattered Islands",NA,"",NA,"M. Malay, M. Guillaume, V. Denis, J.P. Rousse, J.B. Galves",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2009,NA,NA,NA,NA,"",NA,NA,NA,"",47.28533333,"",NA
"480",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","744E380C-6B4D-4FA3-A85A-E0D3CD8FADA8","","",NA,NA,"f430ba91-0dc8-4a77-812d-8041b53cdc9f",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"9946-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,12,NA,NA,11,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T16:13:40.646Z",NA,"",NA,NA,NA,NA,NA,"",NA,"f430ba91-0dc8-4a77-812d-8041b53cdc9f","Holothuria atra",NA,NA,"HI09-006",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-23.4332166666667,NA,"",NA,"305ab4a7a07fac34a7f45405eecd9fd32392b54e",NA,"",NA,NA,NA,"Queensland",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2009,NA,NA,NA,NA,"",NA,NA,NA,"",151.93375,"",NA
"499",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Federated States of Micronesia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","E10A5C19-DABD-4325-AF5E-B2C6B5AF99A9","","",NA,NA,"d6129660-5832-4f79-a781-cdd03f7fca1b",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"11376-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,7,NA,NA,7,NA,"Chuuk Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T13:37:19.053Z",NA,"",NA,NA,NA,NA,NA,"",NA,"d6129660-5832-4f79-a781-cdd03f7fca1b","Holothuria atra",NA,NA,"Kim-CHK-St-04",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",7.271797,NA,"",NA,"a0bcbada8091f7bb403388171404865884fc6f40",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"Sun Kim",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2011,NA,NA,NA,NA,"",NA,NA,NA,"",151.54334,"",NA
"502",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","98EB9ABD-BB28-41C4-BB79-4FE38B07F719","","",NA,NA,"959c5994-4e85-4904-9e29-498d5c513b7c",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"5927-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,27,NA,NA,8,NA,"Kingman Reef",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T17:41:23.419Z",NA,"",NA,NA,NA,NA,NA,"",NA,"959c5994-4e85-4904-9e29-498d5c513b7c","Holothuria atra",NA,NA,"KINB5",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",6.4453,NA,"",NA,"653bb5e740c0cf0f7da1d343bd4f1ea2bd73257e",NA,"",NA,NA,NA,"Line Islands",NA,"",NA,"Machel Malay",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2005,NA,NA,NA,NA,"",NA,NA,NA,"",-162.3976,"",NA
