"","idigbio.associateCondition","dwc.taxonRank","idigbio.determinationHistory","dwc.startDayOfYear","dwc.identificationRemarks","inhs.location_Basin","dwc.rightsHolder","fcc.pickedBy","fcc.subfamily","fcc.superfamily","dcterms.accessRights","dwc.day","dwc.behavior","dwc.associatedReferences","idigbio.associateRelationship","idigbio.preparationCount","dwc.higherClassification","dwc.occurrenceStatus","dwc.individualCount","dwc.scientificNameAuthorship","dwc.fieldNotes","inhs.superfamily","dwc.georeferenceProtocol","dwc.footprintWKT","dwc.georeferencedBy","dwc.latestPeriodOrHighestSystem","inhs.juv_undetermined","inhs.location_RiverMile","dwc.taxonID","dcterms.language","dwc.occurrenceRemarks","dwc.preparations","dwc.kingdom","dcterms.reference","dwc.identificationQualifier","idigbio.endangeredStatus","dcterms.rightsHolder","dwc.vernacularName","dwc.country","inhs.formI_males","dwc.relatedResourceID","idigbio.version","dwc.verbatimEventDate","dwc.ownerInstitutionCode","dwc.endDayOfYear","dwc.otherCatalogNumbers","idigbio.recordIds","idigbio.createdBy","dwc.locationID","dwc.identifiedBy","idigbio.barcodeValue","dwc.lithostratigraphicTerms","dwc.municipality","dwc.minimumDepthInMeters","dwc.county","dwc.typeStatus","dwc.georeferenceRemarks","inhs.total_Males","dwc.eventTime","dwc.maximumElevationInMeters","idigbio.etag","dwc.subgenus","dwc.specificEpithet","dwc.individualID","idigbio.subgenus","dwc.minimumElevationInMeters","dwc.waterBody","dwc.georeferencedDate","dwc.preparation","dwc.group","idigbio.preservative","symbiotaverbatimScientificName","dwc.verbatimLocality","dwc.eventRemarks","inhs.instars_Male","dwc.datasetID","idigbio.associateAuthor","dwc.coordinatePrecision","idigbio.dateModified","dwc.previousIdentifications","dwc.identificationVerificationStatus","dwc.member","dwc.identificationReferences","inhs.dead","dwc.verbatimCoordinateSystem","dwc.order","dwc.georeferenceVerificationStatus","idigbio.associateNotes","dwc.earliestEpochOrLowestSeries","dcterms.type","dwc.locationRemarks","dwc.associatedSequences","dwc.informationWithheld","symbiota.verbatimScientificName","dwc.stateProvince","dwc.continent","dwc.disposition","dwc.bed","dwc.earliestEraOrLowestErathem","dwc.dynamicProperties","dwc.sex","dwc.rights","dwc.infraspecificEpithet","idigbio.associateCommonName","dwc.associatedOccurrences","id","dwc.associatedMedia","idigbio.associatedFamily","dwc.collectionCode","inhs.juv_males","dwc.scientificNameID","dwc.institutionID","dwc.georeferenceSources","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinates","dwc.taxonRemarks","idigbio.associatedRelationship","dcterms.rights","dwc.dataGeneralizations","dwc.nameAccordingTo","dwc.namePublishedInID","dwc.lifeStage","inhs.instars_Female","inhs.formII_females","dwc.phylum","dwc.formation","dwc.identificationID","dwc.eventID","dwc.samplingEffort","dwc.fieldNumber","dwc.latestEpochOrHighestSeries","inhs.locationTrs","dwc.accessRights","dwc.latestEraOrHighestErathem","dcterms.bibliographicCitation","fcc.datePicked","dwc.verbatimLongitude","dwc.geodeticDatum","row.number","dwc.verbatimTaxonRank","inhs.juv_females","inhs.formII_males","dwc.catalogNumber","idigbio.tribe","dwc.earliestAgeOrLowestStage","dwc.reproductiveCondition","dwc.namePublishedIn","idigbio.recordID","dwc.recordNumber","dcterms.modified","dwc.establishmentMeans","dwc.verbatimDepth","dcterms.source","idigbio.hostFamily","dwc.locationAccordingTo","idigbio.substrate","dwc.higherGeography","dcterms.references","dwc.institutionCode","dwc.verbatimSRS","dwc.basisOfRecord","dwc.islandGroup","dwc.nomenclaturalStatus","dwc.nomenclaturalCode","dwc.decimalLatitude","dwc.verbatimElevation","inhs.location_Stream","inhs.relic","dwc.recordedBy","idigbio.subfamily","dwc.verbatimLatitude","dwc.island","dwc.occurrenceID","dwc.scientificName","dwc.locality","dwc.associatedTaxa","http...symbiota.org.terms.verbatimScientificName","dwc.year","inhs.total_females","idigbio.uuid","dwc.decimalLongitude","dwc.samplingProtocol","inhs.vouchered","dwc.originalNameUsage","idigbio.associateIdentifier","dwc.month","dwc.eventDate","dwc.collectionID","dwc.lowestBiostratigraphicZone","idigbio.recordId","dwc.countryCode","dwc.genus","idigbio.associateDeterminedBy","dwc.habitat","dwc.earliestPeriodOrLowestSystem","dwc.dateIdentified","dwc.latestAgeOrHighestStage","dwc.class","dwc.family","inhs.live","dwc.VerbatimEventDate","dwc.datasetName","dwc.maximumDepthInMeters"
"367",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"ab20b03d15806683de11771b84f5d6cbee490608",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T22:46:23.320Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","e41416f4-f7f5-4552-b900-0e8a12aa946e","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1418",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1418",NA,NA,NA,NA,NA,"","2014-02-14 11:02:28.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1418","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"T. Steir",NA,"",NA,"MCZ:IZ:HOL-1418","Holothuria (Halodeima) grisea","Cuba: Don Bruno",NA,NA,NA,NA,"e41416f4-f7f5-4552-b900-0e8a12aa946e",NA,"",NA,NA,NA,NA,"1700-01-01/2013-12-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"639",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"May-July 1893","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"1a6498f8063275cdee7e8702876b11aaafb0e022",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-26T00:41:21.476Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Pacific Ocean","not applicable",NA,NA,"","",NA,"",NA,"","aeb98ecd-ac38-43bb-a703-802a1b18bcce","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1335",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1335",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Pacific Ocean, Pacific, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1335","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Bahama Expedition  1893",NA,"",NA,"MCZ:IZ:HOL-1335","Holothuria (Halodeima) grisea","West Indies: Barbados",NA,NA,NA,NA,"aeb98ecd-ac38-43bb-a703-802a1b18bcce",NA,"",NA,NA,NA,NA,"1893-05-01/1893-07-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"890",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Jessica Anne Mullen",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"d3c4144f7599775649848354defd21cd976499ab",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,496,"2014-07-12T13:50:39.979Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","70b16a4e-7074-4f4f-bddf-47d2d21d79dd","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-615",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",496,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-76.845067d","WGS84",NA,NA,NA,NA,"HOL-615",NA,NA,NA,NA,NA,"","2014-06-16 09:51:41.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-615","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",17.905085,NA,NA,NA,"Hubert Lyman Clark",NA,"17.905085d",NA,"MCZ:IZ:HOL-615","Holothuria (Halodeima) grisea","Jamaica, Kingston Harbor, Port Royal, Drunken Mans Cay",NA,NA,NA,NA,"70b16a4e-7074-4f4f-bddf-47d2d21d79dd",-76.845067,"",NA,NA,NA,NA,"1700-01-01/1947-07-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1175",NA,NA,NA,0,"Found dry in Feb. 2007 by GCB.",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (dry)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"July 30, 1959","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"f732d06498018deb971e357584bc5102081a4ba4",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-05-28T21:28:29.945Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","545eee18-2f78-44a7-8fa7-b1617a8fdf91","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4291",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-4291",NA,NA,NA,NA,NA,"","2012-06-22 15:03:35.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4291","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Arthur G. Humes, Richard U. Gooding",NA,"",NA,"MCZ:IZ:HOL-4291","Holothuria (Halodeima) grisea","Puerto Rico, La Parguera Bay, El Corral Reef",NA,NA,NA,NA,"545eee18-2f78-44a7-8fa7-b1617a8fdf91",NA,"",NA,NA,NA,NA,"1959-07-30",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1192",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Jessica Anne Mullen",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"March  1912","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"55dbe2b9c2e4b8dcf92ea3ce671a8607bf3514a2",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,647,"2014-07-12T18:57:17.657Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","226febc6-19c4-4c2d-a596-a93c3a0ba2cf","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-913",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",647,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-77.931086d","WGS84",NA,NA,NA,NA,"HOL-913",NA,NA,NA,NA,NA,"","2014-06-02 10:02:34.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-913","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",18.46908,NA,NA,NA,"Hubert Lyman Clark",NA,"18.46908d",NA,"MCZ:IZ:HOL-913","Holothuria (Halodeima) grisea","Jamaica, Bogue Island, Montego Bay",NA,NA,NA,NA,"226febc6-19c4-4c2d-a596-a93c3a0ba2cf",-77.931086,"",NA,NA,NA,NA,"1912-03-01/1912-03-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1213",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"Apr 1865 - July 1866","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"291f0a3baac888fe90bd8440c44cce9521756e57",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T21:01:37.807Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","fb592615-729b-4a0c-af75-a083556b00ce","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-624",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-624",NA,NA,NA,NA,NA,"","2014-02-12 12:02:26.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Southwest","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-624","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Louis Agassiz",NA,"",NA,"MCZ:IZ:HOL-624","Holothuria (Halodeima) grisea","Brazil: Guarapary",NA,NA,NA,NA,"fb592615-729b-4a0c-af75-a083556b00ce",NA,"",NA,NA,NA,NA,"1865-04-01/1866-07-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1236",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[no verbatim date]","Museum of Comparative Zoology, Harvard University",NA,"other number=715",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"3cf0080df055070e036ca876dfd3a8e26269e055",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-13T02:53:45.383Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","ea7be5d7-5e05-4f31-87d2-75b381ce3ffd","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1414",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1414",NA,NA,NA,NA,NA,"","2014-02-14 14:02:25.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1414","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-1414","Holothuria (Halodeima) grisea","Florida, United States",NA,NA,NA,NA,"ea7be5d7-5e05-4f31-87d2-75b381ce3ffd",NA,"",NA,NA,NA,NA,"1800-01-01/1950-01-01",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1244",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Jessica Anne Mullen",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"1865-1866","Museum of Comparative Zoology, Harvard University",NA,"other number=1483",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"ffba57e9646609dba339ca6ec156b0b212518f2f",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1058,"2014-08-04T20:18:49.442Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","6813e8bc-26e3-4ea1-adab-d38c541e3cf7","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-625",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",1058,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-39.059991d","WGS84",NA,NA,NA,NA,"HOL-625",NA,NA,NA,NA,NA,"","2014-07-28 14:34:16.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Southwest","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-625","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",-16.444722,NA,NA,NA,"Thayer Expedition to Brazil, Edward Copeland, Charles F. Hartt",NA,"-16.444722d",NA,"MCZ:IZ:HOL-625","Holothuria (Halodeima) grisea","Brazil, Port Seguro",NA,NA,NA,NA,"6813e8bc-26e3-4ea1-adab-d38c541e3cf7",-39.059991,"",NA,NA,NA,NA,"1865-01-01/1866-12-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1460",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"April 14, 1936","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"75942eb99befc49dec87a05cdccc69636126f15a",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-02-28T07:52:02.127Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","ac603075-8e9d-4bf0-a19e-b7fc65312ef5","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1814",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1814",NA,NA,NA,NA,NA,"","2014-02-14 11:02:29.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1814","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"William J. Clench, Henry D. Russell",NA,"",NA,"MCZ:IZ:HOL-1814","Holothuria (Halodeima) grisea","Bahamas: Grand Bahamas Island",NA,NA,NA,NA,"ac603075-8e9d-4bf0-a19e-b7fc65312ef5",NA,"",NA,NA,NA,NA,"1936-04-14",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1466",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"4-28-25","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"bded50f94ce177922e5cb7feae9f8c3f61939f10",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-02-28T07:43:55.183Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","ec3ab9d8-7a6a-4480-96b2-a56fc0da90f4","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1475",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1475",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1475","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"James A. Dawson",NA,"",NA,"MCZ:IZ:HOL-1475","Holothuria (Halodeima) grisea","Cuba: Cienfuegos Bay, Near Pasacaballos",NA,NA,NA,NA,"ec3ab9d8-7a6a-4480-96b2-a56fc0da90f4",NA,"",NA,NA,NA,NA,"1925-04-28",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1502",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"other number=95, 596, 632, 634",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"2b03450a5cbd0e87f9bedd92f3117690a7f089c2",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T18:10:59.049Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","8ceb4554-99c8-427b-a4e9-d72b5aa9da58","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-622",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-622",NA,NA,NA,NA,NA,"","2014-02-14 11:02:32.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-622","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-622","Holothuria (Halodeima) grisea","Florida, United States",NA,NA,NA,NA,"8ceb4554-99c8-427b-a4e9-d72b5aa9da58",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
