"","dwc.dateIdentified","idigbio.version","id","dwc.georeferencedBy","dwc.continent","inhs.location_Basin","idigbio.associateCommonName","dwc.class","dwc.associatedReferences","dwc.infraspecificEpithet","idigbio.associateCondition","dwc.eventTime","dwc.occurrenceID","inhs.formII_females","dwc.georeferenceProtocol","idigbio.barcodeValue","dwc.georeferenceSources","dwc.group","dwc.verbatimLocality","dwc.rights","row.number","dwc.startDayOfYear","dwc.catalogNumber","dwc.taxonRemarks","dwc.disposition","dwc.verbatimCoordinateSystem","dwc.namePublishedIn","dwc.establishmentMeans","dwc.reproductiveCondition","fcc.subfamily","dwc.associatedTaxa","inhs.location_RiverMile","dwc.lithostratigraphicTerms","dwc.locationRemarks","dwc.lifeStage","dwc.identificationVerificationStatus","dcterms.reference","idigbio.substrate","dwc.dataGeneralizations","dwc.verbatimEventDate","dcterms.rights","dwc.latestAgeOrHighestStage","idigbio.preparationCount","inhs.juv_females","inhs.relic","dwc.countryCode","http...symbiota.org.terms.verbatimScientificName","dwc.georeferencedDate","dwc.georeferenceRemarks","dwc.occurrenceStatus","dwc.locationID","dwc.recordedBy","inhs.total_Males","dwc.eventRemarks","dwc.country","dwc.datasetID","dwc.stateProvince","idigbio.subgenus","dcterms.references","dwc.latestPeriodOrHighestSystem","dwc.lowestBiostratigraphicZone","dwc.identificationRemarks","dcterms.source","dwc.scientificNameAuthorship","dwc.latestEraOrHighestErathem","dwc.identifiedBy","dwc.originalNameUsage","dwc.county","dwc.earliestEraOrLowestErathem","idigbio.associateAuthor","dwc.nomenclaturalStatus","idigbio.uuid","dwc.associatedSequences","dwc.taxonRank","dwc.vernacularName","dwc.municipality","idigbio.associatedFamily","idigbio.preservative","dwc.formation","inhs.live","dwc.earliestPeriodOrLowestSystem","inhs.instars_Male","dwc.previousIdentifications","inhs.dead","dwc.island","fcc.pickedBy","dcterms.type","dwc.decimalLatitude","dwc.bed","idigbio.etag","dwc.verbatimLongitude","idigbio.endangeredStatus","idigbio.associateRelationship","idigbio.createdBy","dwc.identificationQualifier","inhs.location_Stream","dwc.informationWithheld","dwc.order","dwc.individualCount","dwc.samplingEffort","dwc.scientificName","dwc.endDayOfYear","dwc.georeferenceVerificationStatus","dwc.minimumDepthInMeters","dwc.specificEpithet","dwc.verbatimSRS","dwc.day","dwc.nomenclaturalCode","idigbio.associateIdentifier","dwc.accessRights","dwc.minimumElevationInMeters","dwc.higherClassification","dwc.sex","idigbio.subfamily","idigbio.tribe","dwc.scientificNameID","dwc.verbatimLatitude","dwc.relatedResourceID","dwc.taxonID","dwc.samplingProtocol","inhs.instars_Female","dwc.phylum","idigbio.associatedRelationship","dwc.latestEpochOrHighestSeries","dwc.earliestEpochOrLowestSeries","dwc.waterBody","dwc.otherCatalogNumbers","dwc.verbatimTaxonRank","dwc.earliestAgeOrLowestStage","dwc.fieldNumber","dcterms.bibliographicCitation","dwc.associatedMedia","dwc.coordinateUncertaintyInMeters","dwc.islandGroup","inhs.formI_males","symbiota.verbatimScientificName","dwc.behavior","fcc.superfamily","dwc.identificationReferences","dwc.identificationID","dwc.month","dwc.verbatimCoordinates","idigbio.dateModified","dwc.individualID","dwc.geodeticDatum","dcterms.accessRights","dwc.verbatimElevation","dwc.footprintWKT","dwc.namePublishedInID","dwc.kingdom","dwc.genus","dwc.collectionID","inhs.formII_males","dwc.locality","dwc.year","idigbio.associateNotes","dwc.eventDate","dwc.higherGeography","dwc.subgenus","inhs.vouchered","dwc.member","dwc.family","dwc.eventID","inhs.superfamily","dwc.institutionID","dcterms.language","dwc.verbatimDepth","dwc.rightsHolder","dwc.institutionCode","idigbio.recordIds","inhs.total_females","dwc.maximumDepthInMeters","idigbio.associateDeterminedBy","inhs.locationTrs","dwc.associatedOccurrences","dwc.coordinatePrecision","dwc.typeStatus","idigbio.determinationHistory","fcc.datePicked","dwc.ownerInstitutionCode","inhs.juv_males","inhs.juv_undetermined","dwc.dynamicProperties","dwc.occurrenceRemarks","dwc.preparation","dwc.basisOfRecord","dwc.VerbatimEventDate","dwc.fieldNotes","dwc.habitat","dwc.collectionCode","idigbio.recordID","idigbio.hostFamily","dwc.recordNumber","dcterms.rightsHolder","dwc.maximumElevationInMeters","dcterms.modified","dwc.preparations","dwc.datasetName","dwc.nameAccordingTo","idigbio.recordId","dwc.locationAccordingTo","dwc.decimalLongitude","symbiotaverbatimScientificName"
"496","",NA,"bae05ac5-642b-4364-bd64-bfd77780eb84","","",NA,NA,"Holothuroidea","","",NA,NA,"D858B2B3-C41F-4D82-94E5-87E95DCAD331",NA,"",NA,"",NA,NA,NA,NA,NA,"4878-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"SMBZE-004","Sea McKeon",NA,"","Belize",NA,"",NA,"",NA,NA,"",NA,"Pawson & Caycedo",NA,"",NA,"",NA,NA,NA,"bae05ac5-642b-4364-bd64-bfd77780eb84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"a02dd8051847157315de898f3d682dfef903568d","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Aspidochirotida",NA,NA,"Holothuria thomasi",NA,NA,NA,"thomasi",NA,26,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,5,"","2014-09-12T14:49:39.027Z",NA,"",NA,NA,NA,NA,"","Holothuria",NA,NA,"",2006,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,"","","",NA,"FLMNH",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,"","Invertebrate Zoology",NA,NA,"","",NA,"09/08/2014","",NA,NA,NA,NA,NA,NA
"2887","",NA,"94e5b430-b660-4674-b12d-abbd0f46ab67","","",NA,NA,"Holothuroidea","","",NA,NA,"56334DB7-6DA6-4CF0-BF4D-616E38A5E4C8",NA,"",NA,"",NA,NA,NA,NA,NA,"16035-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"NCI-Ramrod Reef 13","",NA,"","USA",NA,"Florida",NA,"",NA,NA,"",NA,"Pawson & Caycedo",NA,"",NA,"",NA,NA,NA,"94e5b430-b660-4674-b12d-abbd0f46ab67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24.557,NA,"1c43c108325ad784eaa387079f0d5fe765688bdb","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Aspidochirotida",NA,NA,"Holothuria thomasi",NA,NA,NA,"thomasi",NA,18,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,12,"","2014-09-12T17:00:53.237Z",NA,"",NA,NA,NA,NA,"","Holothuria",NA,NA,"",2011,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,"","","",NA,"FLMNH",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,"","Invertebrate Zoology",NA,NA,"","",NA,"09/08/2014","",NA,NA,NA,NA,-81.3601666666667,NA
