"","inhs.instars_Male","dwc.scientificNameID","symbiota.verbatimScientificName","dwc.order","dcterms.bibliographicCitation","dwc.rightsHolder","dwc.latestPeriodOrHighestSystem","dwc.municipality","idigbio.associatedFamily","id","dwc.eventRemarks","idigbio.barcodeValue","idigbio.associatedRelationship","dwc.phylum","dwc.taxonID","inhs.total_Males","dwc.verbatimCoordinateSystem","dwc.verbatimLocality","dwc.fieldNumber","dwc.latestEraOrHighestErathem","dwc.occurrenceID","dwc.namePublishedInID","fcc.superfamily","dwc.maximumElevationInMeters","dwc.locationAccordingTo","dwc.VerbatimEventDate","dwc.informationWithheld","dwc.establishmentMeans","symbiotaverbatimScientificName","inhs.superfamily","dwc.georeferenceSources","dwc.day","inhs.locationTrs","dwc.georeferenceProtocol","dcterms.references","idigbio.associateCommonName","idigbio.createdBy","dwc.identificationID","idigbio.associateNotes","dwc.genus","dwc.bed","dwc.lithostratigraphicTerms","dcterms.rightsHolder","dwc.locality","dcterms.reference","dwc.behavior","idigbio.hostFamily","inhs.vouchered","inhs.relic","dwc.verbatimLongitude","dwc.nameAccordingTo","dwc.georeferenceVerificationStatus","dwc.verbatimEventDate","row.number","dwc.otherCatalogNumbers","dwc.decimalLatitude","inhs.location_Basin","dwc.islandGroup","dwc.identifiedBy","inhs.juv_undetermined","idigbio.substrate","inhs.dead","dwc.startDayOfYear","idigbio.associateIdentifier","dcterms.language","idigbio.endangeredStatus","dwc.occurrenceStatus","dwc.minimumElevationInMeters","idigbio.associateAuthor","dwc.institutionCode","dcterms.source","dwc.geodeticDatum","dwc.countryCode","idigbio.etag","fcc.datePicked","dwc.nomenclaturalCode","dwc.basisOfRecord","dwc.footprintWKT","dwc.occurrenceRemarks","idigbio.version","dwc.lowestBiostratigraphicZone","inhs.location_RiverMile","dwc.rights","dwc.taxonRank","dwc.reproductiveCondition","dwc.infraspecificEpithet","fcc.pickedBy","idigbio.associateDeterminedBy","idigbio.recordId","inhs.total_females","dwc.associatedTaxa","dwc.earliestPeriodOrLowestSystem","dwc.previousIdentifications","dwc.georeferenceRemarks","dwc.year","dwc.sex","inhs.location_Stream","dwc.verbatimElevation","dwc.taxonRemarks","idigbio.subfamily","idigbio.associateRelationship","dwc.verbatimDepth","dwc.individualCount","dwc.namePublishedIn","idigbio.dateModified","dcterms.rights","dwc.latestAgeOrHighestStage","dwc.catalogNumber","dwc.group","dwc.locationRemarks","idigbio.preservative","dwc.fieldNotes","dwc.identificationQualifier","dwc.collectionCode","dwc.locationID","dwc.disposition","inhs.formII_females","dwc.latestEpochOrHighestSeries","dwc.recordNumber","idigbio.associateCondition","dwc.recordedBy","dwc.eventDate","dwc.minimumDepthInMeters","dwc.month","dwc.associatedOccurrences","dwc.eventID","inhs.juv_females","dwc.country","dwc.verbatimSRS","dwc.samplingProtocol","dwc.identificationRemarks","dwc.class","dwc.institutionID","idigbio.subgenus","dwc.georeferencedDate","dwc.habitat","fcc.subfamily","dcterms.modified","dwc.nomenclaturalStatus","inhs.live","dwc.coordinatePrecision","dwc.higherGeography","dwc.county","dwc.formation","dwc.preparations","idigbio.determinationHistory","dwc.eventTime","dwc.typeStatus","dcterms.type","dwc.georeferencedBy","dwc.relatedResourceID","idigbio.preparationCount","dwc.earliestEpochOrLowestSeries","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimCoordinates","inhs.instars_Female","dwc.associatedReferences","idigbio.recordID","dwc.originalNameUsage","idigbio.tribe","dwc.higherClassification","dwc.stateProvince","inhs.formII_males","dwc.datasetID","dwc.earliestEraOrLowestErathem","dwc.scientificNameAuthorship","dwc.individualID","dwc.ownerInstitutionCode","dwc.family","dcterms.accessRights","dwc.vernacularName","dwc.maximumDepthInMeters","dwc.identificationReferences","dwc.collectionID","dwc.member","dwc.endDayOfYear","dwc.dateIdentified","dwc.kingdom","dwc.datasetName","dwc.waterBody","dwc.dynamicProperties","dwc.accessRights","dwc.associatedSequences","dwc.subgenus","dwc.island","dwc.verbatimLatitude","dwc.scientificName","dwc.lifeStage","dwc.identificationVerificationStatus","idigbio.recordIds","dwc.verbatimTaxonRank","inhs.formI_males","dwc.coordinateUncertaintyInMeters","dwc.associatedMedia","inhs.juv_males","dwc.earliestAgeOrLowestStage","dwc.specificEpithet","idigbio.uuid","dwc.dataGeneralizations","dwc.continent","dwc.samplingEffort","dwc.decimalLongitude","dwc.preparation"
"1396",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"4de72944-5877-4389-a738-99f77135e4a9","",NA,NA,"",NA,NA,"",NA,"",NA,"600B14D9-3B48-4830-BBAD-E34A5C63906C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Holothuria",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",25.374,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"FLMNH",NA,"",NA,"960a4ee56c77639c274407422bef7fd90fd81c88",NA,"","PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"enodis",NA,NA,NA,NA,NA,NA,NA,"",2002,"",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T12:12:30.304Z",NA,NA,"3520-Echinodermata",NA,"",NA,NA,NA,"Invertebrate Zoology","FFS-2002-33","",NA,NA,"",NA,"Snelson, B.","",NA,6,"",NA,NA,"USA",NA,"","","Holothuroidea","",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"","",NA,"",NA,NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","Florida",NA,NA,NA,"Miller & Pawson",NA,"","Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","Holothuria lentiginosa",NA,"",NA,NA,NA,NA,"",NA,NA,"lentiginosa","4de72944-5877-4389-a738-99f77135e4a9",NA,"",NA,-83.9693333333333,NA
"2499",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"fdca0529-f73a-478d-8255-422b6786f32f","",NA,NA,"",NA,NA,"",NA,"",NA,"6FEA6232-94BD-42A3-A178-0EE57C1F3B7D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Holothuria",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",25.3746666666667,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"FLMNH",NA,"",NA,"998348d8934c48e4f9aa7bbad5422d24453f1198",NA,"","PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",2002,"",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T12:03:40.861Z",NA,NA,"3448-Echinodermata",NA,"",NA,NA,NA,"Invertebrate Zoology","FFS-2002-31","",NA,NA,"",NA,"Snelson, B.","",NA,6,"",NA,NA,"USA",NA,"","","Holothuroidea","",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"","",NA,"",NA,NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","Florida",NA,NA,NA,"von Marenzeller",NA,"","Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","Holothuria lentiginosa",NA,"",NA,NA,NA,NA,"",NA,NA,"lentiginosa","fdca0529-f73a-478d-8255-422b6786f32f",NA,"",NA,-83.9831666666667,NA
