"","dwc.fieldNotes","dwc.recordNumber","dcterms.accessRights","dwc.preparations","dwc.earliestPeriodOrLowestSystem","idigbio.preparationCount","idigbio.barcodeValue","dwc.occurrenceRemarks","dwc.latestPeriodOrHighestSystem","dwc.ownerInstitutionCode","dwc.locationRemarks","idigbio.etag","dwc.nameAccordingTo","dwc.maximumElevationInMeters","idigbio.subgenus","symbiota.verbatimScientificName","dwc.taxonRemarks","dwc.otherCatalogNumbers","inhs.instars_Male","dwc.institutionCode","dwc.VerbatimEventDate","dwc.collectionID","dwc.catalogNumber","dwc.institutionID","dwc.scientificNameAuthorship","dwc.samplingEffort","dwc.originalNameUsage","dwc.island","idigbio.uuid","dwc.preparation","idigbio.associateNotes","dwc.identificationRemarks","dwc.recordedBy","dwc.coordinatePrecision","dwc.day","idigbio.createdBy","dwc.verbatimSRS","dwc.occurrenceStatus","inhs.dead","dwc.individualCount","dwc.namePublishedInID","dwc.habitat","dwc.earliestEpochOrLowestSeries","dwc.accessRights","dwc.samplingProtocol","dwc.identificationVerificationStatus","idigbio.recordID","fcc.subfamily","dwc.earliestEraOrLowestErathem","dcterms.reference","dwc.lithostratigraphicTerms","row.number","dwc.formation","http...symbiota.org.terms.verbatimScientificName","dwc.year","dwc.footprintWKT","dwc.maximumDepthInMeters","inhs.total_Males","idigbio.determinationHistory","dwc.stateProvince","dwc.associatedSequences","inhs.formII_females","idigbio.recordIds","dwc.establishmentMeans","inhs.juv_females","dwc.family","inhs.juv_males","dwc.typeStatus","dwc.associatedMedia","dwc.county","dwc.nomenclaturalStatus","dwc.eventID","dwc.associatedReferences","inhs.superfamily","dwc.earliestAgeOrLowestStage","dwc.basisOfRecord","dwc.infraspecificEpithet","dwc.previousIdentifications","dwc.minimumDepthInMeters","dwc.endDayOfYear","dwc.individualID","dwc.verbatimCoordinateSystem","dwc.scientificName","inhs.instars_Female","dwc.dataGeneralizations","idigbio.associateIdentifier","idigbio.dateModified","dwc.genus","dwc.locality","dwc.georeferencedBy","dwc.collectionCode","dcterms.rights","dwc.kingdom","fcc.superfamily","dwc.country","dcterms.source","dwc.coordinateUncertaintyInMeters","dwc.order","dwc.vernacularName","dwc.latestAgeOrHighestStage","dwc.group","dwc.georeferenceRemarks","idigbio.associateDeterminedBy","dwc.georeferenceVerificationStatus","idigbio.tribe","dcterms.modified","dwc.disposition","dwc.georeferencedDate","fcc.pickedBy","idigbio.associateAuthor","idigbio.subfamily","dwc.scientificNameID","dwc.latestEpochOrHighestSeries","inhs.formII_males","dwc.eventDate","dwc.decimalLatitude","dwc.informationWithheld","id","dwc.eventRemarks","dwc.higherGeography","dwc.subgenus","dwc.verbatimLatitude","dwc.fieldNumber","dwc.latestEraOrHighestErathem","dwc.verbatimCoordinates","inhs.location_Stream","dwc.identificationQualifier","idigbio.associateCommonName","idigbio.recordId","dwc.datasetName","dwc.associatedTaxa","dwc.rightsHolder","dwc.verbatimElevation","dwc.countryCode","idigbio.hostFamily","dcterms.language","idigbio.associateCondition","inhs.location_RiverMile","dwc.verbatimDepth","idigbio.associateRelationship","dwc.bed","dwc.class","dwc.continent","dwc.waterBody","dcterms.rightsHolder","dwc.member","inhs.relic","dcterms.type","idigbio.endangeredStatus","dwc.lowestBiostratigraphicZone","dwc.verbatimEventDate","dwc.datasetID","dwc.georeferenceProtocol","idigbio.associatedFamily","inhs.location_Basin","inhs.juv_undetermined","dwc.identificationReferences","dwc.georeferenceSources","dwc.specificEpithet","dwc.namePublishedIn","dwc.phylum","dwc.nomenclaturalCode","dwc.verbatimTaxonRank","dwc.startDayOfYear","inhs.formI_males","dwc.geodeticDatum","inhs.vouchered","dwc.higherClassification","dwc.reproductiveCondition","dwc.rights","dwc.occurrenceID","dwc.sex","dwc.verbatimLongitude","dwc.dateIdentified","inhs.locationTrs","inhs.live","dwc.verbatimLocality","symbiotaverbatimScientificName","dwc.minimumElevationInMeters","dwc.identifiedBy","dcterms.bibliographicCitation","idigbio.preservative","dwc.islandGroup","dwc.lifeStage","dwc.eventTime","dwc.relatedResourceID","dwc.municipality","dwc.dynamicProperties","dwc.behavior","idigbio.associatedRelationship","fcc.datePicked","dwc.associatedOccurrences","dcterms.references","dwc.taxonRank","idigbio.version","dwc.month","dwc.taxonID","dwc.decimalLongitude","dwc.locationAccordingTo","idigbio.substrate","dwc.locationID","inhs.total_females","dwc.identificationID"
"51",NA,"391-13",NA,"whole animal (dry)",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University","","f6096180dc6c156a28cef10259d6c31b1b2a67b6",NA,NA,NA,NA,NA,"collector number=391-13; original ledger number=2096A",NA,"MCZ",NA,NA,"HOL-2096","b4640710-8e03-11d8-b956-b8a03c50a862","Deichmann, 1937",NA,NA,NA,"b255a864-780b-4ad3-b9ec-7d06b368a1fc",NA,NA,"Found dry on shelf in March 2007 by GCB.","RV Velero III, Hancock Pacific Expeditions",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,1,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.72,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2096","",NA,NA,"",NA,NA,"PreservedSpecimen","typica",NA,45.72,NA,NA,"","Holothuria (Vaneyothuria) zacae typica",NA,NA,NA,"2014-07-22T07:58:53.699Z","Holothuria","Mexico, Baja California, Entrance to Angeles Bay","","IZ",NA,"Animalia",NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,NA,NA,"2014-07-02 13:14:56.0","not applicable",NA,NA,NA,NA,NA,NA,NA,"1936-03-03",NA,NA,"b255a864-780b-4ad3-b9ec-7d06b368a1fc","","Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"",NA,NA,"Holothuroidea","Pacific Ocean","","President and Fellows of Harvard College",NA,NA,"PhysicalObject",NA,NA,"1936-03-03",NA,"",NA,NA,NA,NA,"","zacae",NA,"Echinodermata","ICZN",NA,0,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Vaneyothuria) zacae typica",NA,NA,"MCZ:IZ:HOL-2096","","","",NA,NA,NA,NA,NA,"Elisabeth Deichmann, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2096",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"2428",NA,"391-4",NA,"whole animal (dry)",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University","","e659966ee4b3a140d3a0e813132ed6ffc4da2a2f",NA,NA,NA,NA,NA,"collector number=391-4; original ledger number=2096 H",NA,"MCZ",NA,NA,"126419","b4640710-8e03-11d8-b956-b8a03c50a862","Deichmann, 1937",NA,NA,NA,"0934414c-4b6a-4e2d-a55b-53156711618c",NA,NA,"Found dry on shelf in March 2007 by GCB.","RV Velero III, Hancock Pacific Expeditions",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,1,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126419","",NA,NA,"",NA,NA,"PreservedSpecimen","typica",NA,NA,NA,NA,"","Holothuria (Vaneyothuria) zacae typica",NA,NA,NA,"2014-07-22T07:51:31.275Z","Holothuria","Mexico, Gulf of California, Angel de la Guardia, Puerto Refugio","","IZ",NA,"Animalia",NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,NA,NA,"2014-07-02 13:14:55.0","not applicable",NA,NA,NA,NA,NA,NA,NA,"1936-03-04",NA,NA,"0934414c-4b6a-4e2d-a55b-53156711618c","","Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"",NA,NA,"Holothuroidea","Pacific Ocean","","President and Fellows of Harvard College",NA,NA,"PhysicalObject",NA,NA,"1936-03-04",NA,"",NA,NA,NA,NA,"","zacae",NA,"Echinodermata","ICZN",NA,0,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Vaneyothuria) zacae typica",NA,NA,"MCZ:IZ:126419","","","",NA,NA,NA,NA,NA,"Elisabeth Deichmann, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126419",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
