"","dwc.kingdom","idigbio.preservative","dwc.dataGeneralizations","dwc.occurrenceID","dcterms.rightsHolder","dwc.specificEpithet","dwc.datasetName","dwc.georeferencedBy","dwc.individualID","dwc.waterBody","id","dwc.eventRemarks","dcterms.accessRights","dwc.locationID","dwc.earliestEraOrLowestErathem","dwc.order","idigbio.associatedFamily","dwc.habitat","dwc.group","dwc.identificationVerificationStatus","dwc.associatedSequences","dwc.formation","inhs.juv_males","dwc.relatedResourceID","dwc.eventDate","dwc.collectionID","dwc.taxonID","dwc.verbatimDepth","idigbio.associateIdentifier","dwc.samplingProtocol","dwc.latestEraOrHighestErathem","inhs.location_RiverMile","dcterms.modified","dwc.otherCatalogNumbers","inhs.total_females","dwc.dynamicProperties","idigbio.determinationHistory","dwc.month","fcc.superfamily","dwc.georeferenceSources","dwc.continent","dwc.samplingEffort","dwc.reproductiveCondition","dwc.taxonRank","idigbio.recordId","dwc.rightsHolder","dcterms.reference","dwc.georeferenceProtocol","fcc.subfamily","dwc.verbatimLocality","dwc.rights","dwc.countryCode","symbiotaverbatimScientificName","dwc.earliestPeriodOrLowestSystem","dwc.stateProvince","idigbio.subfamily","dwc.verbatimCoordinateSystem","dwc.verbatimSRS","dwc.county","dwc.verbatimTaxonRank","dwc.earliestEpochOrLowestSeries","fcc.datePicked","idigbio.associateRelationship","dwc.earliestAgeOrLowestStage","dwc.member","dwc.associatedReferences","inhs.vouchered","dwc.identificationQualifier","dwc.identificationID","dwc.accessRights","dwc.higherGeography","idigbio.endangeredStatus","idigbio.subgenus","dwc.individualCount","inhs.location_Basin","dwc.coordinatePrecision","dcterms.bibliographicCitation","dwc.associatedOccurrences","idigbio.uuid","inhs.juv_females","dwc.fieldNotes","idigbio.associateNotes","dwc.sex","dwc.lowestBiostratigraphicZone","dwc.island","dwc.coordinateUncertaintyInMeters","dwc.verbatimElevation","dwc.associatedTaxa","dwc.fieldNumber","idigbio.createdBy","dwc.verbatimLongitude","fcc.pickedBy","dwc.scientificNameID","inhs.relic","idigbio.version","inhs.juv_undetermined","dwc.preparation","dwc.scientificName","idigbio.associatedRelationship","inhs.total_Males","idigbio.hostFamily","dwc.day","idigbio.associateCondition","dwc.previousIdentifications","idigbio.recordID","dwc.occurrenceStatus","dwc.minimumDepthInMeters","dwc.catalogNumber","dwc.behavior","inhs.instars_Male","dcterms.source","dwc.namePublishedIn","idigbio.etag","dwc.identifiedBy","dwc.georeferencedDate","dwc.municipality","dwc.typeStatus","dwc.lifeStage","idigbio.dateModified","inhs.dead","dwc.subgenus","dwc.collectionCode","inhs.locationTrs","dwc.country","idigbio.substrate","dwc.verbatimCoordinates","dwc.footprintWKT","dwc.datasetID","row.number","dwc.institutionCode","dwc.verbatimLatitude","dwc.infraspecificEpithet","dwc.endDayOfYear","dwc.nomenclaturalCode","dwc.associatedMedia","dwc.decimalLongitude","dwc.recordedBy","dwc.higherClassification","dwc.recordNumber","http...symbiota.org.terms.verbatimScientificName","inhs.formII_males","symbiota.verbatimScientificName","dwc.class","dwc.basisOfRecord","dwc.nomenclaturalStatus","dwc.georeferenceVerificationStatus","dwc.preparations","dwc.maximumElevationInMeters","idigbio.associateAuthor","dwc.year","dwc.identificationRemarks","dwc.genus","dwc.institutionID","dwc.locality","dwc.geodeticDatum","dwc.scientificNameAuthorship","dcterms.rights","dwc.VerbatimEventDate","dwc.lithostratigraphicTerms","dwc.taxonRemarks","dwc.phylum","dwc.identificationReferences","dcterms.language","inhs.superfamily","dwc.islandGroup","dwc.verbatimEventDate","dwc.informationWithheld","dwc.disposition","idigbio.recordIds","dwc.latestPeriodOrHighestSystem","dwc.ownerInstitutionCode","dwc.locationRemarks","dwc.bed","dcterms.references","dwc.family","dwc.eventTime","dwc.startDayOfYear","dwc.georeferenceRemarks","inhs.formI_males","idigbio.barcodeValue","dwc.maximumDepthInMeters","dwc.establishmentMeans","dwc.occurrenceRemarks","dwc.vernacularName","dwc.originalNameUsage","dwc.latestEpochOrHighestSeries","inhs.live","dwc.minimumElevationInMeters","idigbio.associateCommonName","idigbio.tribe","dwc.latestAgeOrHighestStage","inhs.location_Stream","idigbio.preparationCount","dwc.namePublishedInID","dwc.nameAccordingTo","idigbio.associateDeterminedBy","dwc.decimalLatitude","dwc.locationAccordingTo","dcterms.type","dwc.eventID","inhs.instars_Female","dwc.dateIdentified","inhs.formII_females"
"610","Animalia",NA,NA,"MCZ:IZ:HOL-735","President and Fellows of Harvard College","verrucosa",NA,"",NA,"","03128688-c4cc-41ff-bdaf-fa055a82a5e6","",NA,"",NA,"Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,"",NA,"",NA,NA,"2013-06-12 15:18:00.0","collector number=617",NA,"",NA,NA,NA,"","Pacific Ocean",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,1,NA,NA,NA,"","03128688-c4cc-41ff-bdaf-fa055a82a5e6",NA,NA,NA,"",NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,"Holothuria (Lessonothuria) verrucosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOL-735",NA,NA,NA,NA,"19a98748d5187e26d5444f73abd9e7dfe8178cee","World Register of Marine Species, E. Selenka",NA,NA,"Syntype",NA,"2014-07-13T03:32:26.830Z",NA,NA,"IZ",NA,"",NA,"",NA,NA,NA,"MCZ","","",NA,"ICZN","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-735",NA,"Andrew Garrett","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) verrucosa","617",NA,NA,NA,"Holothuroidea","PreservedSpecimen",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"","Holothuria","b4640710-8e03-11d8-b956-b8a03c50a862","United States, Hawaii","","Selenka, 1867",NA,NA,NA,NA,"Echinodermata",NA,"en",NA,NA,"Unknown",NA,"not applicable",NA,NA,"Museum of Comparative Zoology, Harvard University","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-735","Holothuriidae",NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,"",NA
"1515","Animalia",NA,NA,"MCZ:IZ:HOL-1477","President and Fellows of Harvard College","verrucosa",NA,"Jessica Anne Mullen",NA,"","0433c2ac-584a-4448-a8a9-1077073f4278","",NA,"",NA,"Aspidochirotida",NA,"",NA,"unverified",NA,NA,NA,NA,"1700-01-01/2014-05-02",NA,NA,"",NA,"",NA,NA,"2014-06-30 11:02:26.0","other number=567",NA,"",NA,NA,NA,"GEOLocate","Indian Ocean",NA,NA,NA,NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,"",NA,"decimal degrees",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Indian Ocean, Indian Ocean, Western",NA,NA,1,NA,67127,NA,"","0433c2ac-584a-4448-a8a9-1077073f4278",NA,NA,NA,"",NA,NA,67127,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","39.473784d",NA,NA,NA,NA,NA,NA,"Holothuria (Lessonothuria) verrucosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOL-1477",NA,NA,NA,NA,"587754378f47b81a8cae0d0535d1f88f8b6fa7b3","Elisabeth Deichmann, [no agent data], [no agent data]",NA,NA,"",NA,"2014-07-12T14:00:48.192Z",NA,NA,"IZ",NA,"",NA,"",NA,NA,NA,"MCZ","-6.028749d","",NA,"ICZN","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1477",39.473784,"Captain Francis R. Webb","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) verrucosa","",NA,NA,NA,"Holothuroidea","PreservedSpecimen",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"","Holothuria","b4640710-8e03-11d8-b956-b8a03c50a862","Tanzania, Zanzibar","WGS84","Selenka, 1867",NA,NA,NA,NA,"Echinodermata",NA,"en",NA,NA,"[date unknown]",NA,"not applicable",NA,NA,"Museum of Comparative Zoology, Harvard University","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1477","Holothuriidae",NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.028749,NA,"PhysicalObject",NA,NA,"",NA
