"","idigbio.associatedFamily","dwc.group","symbiotaverbatimScientificName","dwc.infraspecificEpithet","dwc.islandGroup","inhs.formI_males","dwc.county","inhs.relic","dwc.occurrenceStatus","dwc.member","dwc.order","dwc.locality","dcterms.reference","dwc.country","dwc.informationWithheld","dwc.earliestEraOrLowestErathem","dcterms.accessRights","dwc.subgenus","dwc.georeferenceSources","dwc.footprintWKT","idigbio.hostFamily","dwc.decimalLongitude","dwc.verbatimLatitude","dwc.dateIdentified","idigbio.associateAuthor","dwc.month","dwc.coordinatePrecision","dwc.georeferenceRemarks","dwc.collectionID","dwc.accessRights","dwc.decimalLatitude","dwc.locationRemarks","inhs.formII_females","inhs.superfamily","dwc.scientificNameID","idigbio.dateModified","dcterms.rightsHolder","dwc.namePublishedIn","inhs.location_RiverMile","dwc.verbatimTaxonRank","dwc.identificationQualifier","dwc.georeferenceVerificationStatus","dwc.catalogNumber","dwc.vernacularName","dwc.namePublishedInID","inhs.dead","dwc.verbatimLongitude","idigbio.subfamily","dwc.municipality","dwc.occurrenceRemarks","fcc.superfamily","dwc.eventDate","inhs.total_Males","dwc.otherCatalogNumbers","dwc.establishmentMeans","dcterms.modified","dwc.preparations","inhs.total_females","dwc.ownerInstitutionCode","dwc.identificationID","inhs.juv_males","fcc.datePicked","dwc.locationAccordingTo","idigbio.subgenus","dwc.identificationRemarks","dwc.scientificNameAuthorship","dwc.taxonRank","idigbio.determinationHistory","dwc.taxonID","idigbio.createdBy","inhs.instars_Male","idigbio.endangeredStatus","dwc.basisOfRecord","idigbio.associateNotes","idigbio.associateDeterminedBy","dwc.reproductiveCondition","dwc.preparation","dwc.startDayOfYear","dwc.institutionCode","dwc.sex","dwc.formation","dwc.verbatimCoordinateSystem","dwc.lithostratigraphicTerms","dwc.earliestEpochOrLowestSeries","dwc.minimumDepthInMeters","dwc.lifeStage","idigbio.associateIdentifier","dwc.waterBody","dwc.behavior","http...symbiota.org.terms.verbatimScientificName","dwc.associatedOccurrences","dwc.nameAccordingTo","idigbio.uuid","fcc.subfamily","inhs.juv_females","dwc.higherGeography","dwc.habitat","dwc.collectionCode","dwc.individualID","dwc.endDayOfYear","inhs.location_Stream","dwc.datasetID","inhs.vouchered","dwc.verbatimSRS","dwc.kingdom","dwc.island","dwc.eventRemarks","dwc.genus","idigbio.associateRelationship","dwc.occurrenceID","inhs.live","dwc.bed","dwc.associatedTaxa","dwc.rightsHolder","idigbio.recordId","dwc.identifiedBy","dwc.rights","idigbio.substrate","dwc.typeStatus","dwc.samplingEffort","symbiota.verbatimScientificName","idigbio.preparationCount","dwc.verbatimElevation","idigbio.associateCondition","dwc.datasetName","row.number","dwc.earliestPeriodOrLowestSystem","dwc.identificationVerificationStatus","dwc.recordedBy","dwc.relatedResourceID","dwc.verbatimDepth","dwc.dynamicProperties","dwc.higherClassification","dwc.coordinateUncertaintyInMeters","dwc.individualCount","dwc.latestAgeOrHighestStage","dwc.geodeticDatum","dwc.maximumElevationInMeters","dcterms.rights","dcterms.references","dwc.associatedMedia","dwc.year","dwc.eventTime","idigbio.tribe","idigbio.version","dwc.class","idigbio.barcodeValue","dwc.associatedReferences","dcterms.source","dwc.stateProvince","idigbio.associatedRelationship","inhs.location_Basin","dwc.verbatimLocality","dwc.taxonRemarks","inhs.locationTrs","dwc.eventID","inhs.formII_males","inhs.juv_undetermined","dwc.nomenclaturalStatus","dwc.lowestBiostratigraphicZone","dwc.dataGeneralizations","dwc.recordNumber","idigbio.recordID","fcc.pickedBy","id","dwc.phylum","dwc.maximumDepthInMeters","idigbio.associateCommonName","dwc.nomenclaturalCode","dwc.earliestAgeOrLowestStage","dwc.disposition","inhs.instars_Female","dwc.previousIdentifications","dwc.verbatimCoordinates","dwc.institutionID","dcterms.type","idigbio.preservative","dwc.originalNameUsage","dwc.identificationReferences","dwc.fieldNotes","dwc.VerbatimEventDate","dwc.day","dwc.scientificName","dcterms.bibliographicCitation","dwc.specificEpithet","dcterms.language","idigbio.etag","idigbio.recordIds","dwc.fieldNumber","dwc.associatedSequences","dwc.latestEraOrHighestErathem","dwc.continent","dwc.samplingProtocol","dwc.latestPeriodOrHighestSystem","dwc.countryCode","dwc.georeferenceProtocol","dwc.georeferencedBy","dwc.georeferencedDate","dwc.latestEpochOrHighestSeries","dwc.family","dwc.verbatimEventDate","dwc.minimumElevationInMeters","dwc.locationID"
"2",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"Aspidochirotida","off Northern Territory: Quail Island: 35 mi W of Darwin",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"2014-01-11T03:44:24.707Z","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"HOL-1548",NA,NA,NA,"",NA,NA,NA,NA,"1929-07-08",NA,"",NA,"2013-06-12 14:39:32.0","whole animal (70% ethanol)",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"","Hubert Lyman Clark",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,0,"MCZ","",NA,"",NA,NA,18.288,NA,NA,"",NA,NA,"",NA,"532f90e8-c64a-4897-97b5-539b12972e22",NA,NA,"Pacific Ocean, Pacific, Western Central","","IZ",NA,NA,NA,NA,NA,NA,"Animalia",NA,"","Holothuria",NA,"MCZ:IZ:HOL-1548",NA,NA,NA,NA,NA,"World Register of Marine Species, Hubert Lyman Clark",NA,NA,"Paratype",NA,NA,NA,NA,NA,NA,NA,NA,"","Carnegie Australian Harvard Expedition",NA,"","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Metriatyla) conica",NA,1,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1548","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1548",NA,NA,NA,NA,"Holothuroidea",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"532f90e8-c64a-4897-97b5-539b12972e22","Echinodermata",21.9456,NA,"ICZN",NA,"not applicable",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862","PhysicalObject",NA,NA,NA,NA,NA,NA,"Holothuria (Metriatyla) conica",NA,"conica","en","17d9a04e6426a95e260e7d312e77517b602c8ac7",NA,"",NA,NA,"Pacific Ocean","",NA,NA,"","",NA,NA,"Holothuriidae","July 8, 1929",NA,""
"584",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"Aspidochirotida","off Northern Territory: Quail Island: 35 mi W of Darwin",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"2014-01-11T14:03:12.842Z","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"HOL-1547",NA,NA,NA,"",NA,NA,NA,NA,"1929-07-08",NA,"",NA,"2013-06-12 14:38:59.0","whole animal (70% ethanol)",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"","Hubert Lyman Clark",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,0,"MCZ","",NA,"",NA,NA,18.288,NA,NA,"",NA,NA,"",NA,"94d6c9c2-dbe8-48c5-8313-31bfe860d89d",NA,NA,"Pacific Ocean, Pacific, Western Central","","IZ",NA,NA,NA,NA,NA,NA,"Animalia",NA,"","Holothuria",NA,"MCZ:IZ:HOL-1547",NA,NA,NA,NA,NA,"World Register of Marine Species, Hubert Lyman Clark",NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,"","Carnegie Australian Harvard Expedition",NA,"","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Metriatyla) conica",NA,1,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1547","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1547",NA,NA,NA,NA,"Holothuroidea",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"94d6c9c2-dbe8-48c5-8313-31bfe860d89d","Echinodermata",21.9456,NA,"ICZN",NA,"not applicable",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862","PhysicalObject",NA,NA,NA,NA,NA,NA,"Holothuria (Metriatyla) conica",NA,"conica","en","f54e6312978f38e977905e26713fa3e286b16b02",NA,"",NA,NA,"Pacific Ocean","",NA,NA,"","",NA,NA,"Holothuriidae","July 8, 1929",NA,""
