"","dwc.latestPeriodOrHighestSystem","idigbio.dateModified","dwc.verbatimCoordinates","inhs.formI_males","dwc.VerbatimEventDate","idigbio.recordId","dwc.earliestEpochOrLowestSeries","dcterms.accessRights","dwc.datasetName","dwc.associatedMedia","dcterms.language","inhs.live","dwc.otherCatalogNumbers","dcterms.references","dwc.county","dwc.month","inhs.instars_Female","dwc.geodeticDatum","dwc.verbatimCoordinateSystem","dwc.basisOfRecord","dwc.coordinatePrecision","dwc.georeferencedBy","idigbio.associatedRelationship","dwc.verbatimSRS","dwc.decimalLatitude","dwc.infraspecificEpithet","dwc.locationID","idigbio.preservative","dwc.municipality","dwc.verbatimLatitude","dwc.rights","dwc.country","dwc.minimumElevationInMeters","dwc.samplingEffort","idigbio.associateDeterminedBy","dwc.informationWithheld","id","dwc.eventTime","dwc.recordedBy","dwc.lithostratigraphicTerms","dwc.verbatimLongitude","dwc.identificationQualifier","dwc.preparation","dwc.dataGeneralizations","dwc.sex","dwc.recordNumber","inhs.locationTrs","dwc.identificationRemarks","dwc.occurrenceStatus","dwc.identifiedBy","dwc.footprintWKT","dwc.identificationReferences","dwc.genus","dwc.coordinateUncertaintyInMeters","dwc.verbatimLocality","dwc.associatedSequences","dwc.eventID","idigbio.associateRelationship","dwc.stateProvince","dwc.georeferencedDate","dwc.taxonRank","idigbio.substrate","dwc.rightsHolder","inhs.juv_males","idigbio.associateCondition","dwc.associatedOccurrences","idigbio.etag","inhs.vouchered","inhs.instars_Male","idigbio.barcodeValue","idigbio.endangeredStatus","dwc.earliestEraOrLowestErathem","dwc.year","idigbio.associateAuthor","inhs.superfamily","inhs.total_females","dwc.maximumElevationInMeters","dwc.collectionCode","idigbio.associatedFamily","dcterms.modified","dwc.nameAccordingTo","inhs.location_Stream","dwc.fieldNotes","dwc.taxonRemarks","dcterms.rightsHolder","dwc.kingdom","idigbio.subgenus","dwc.scientificNameID","dwc.eventDate","dwc.earliestPeriodOrLowestSystem","dwc.taxonID","symbiota.verbatimScientificName","dwc.fieldNumber","http...symbiota.org.terms.verbatimScientificName","dwc.scientificName","dwc.verbatimTaxonRank","dwc.group","dwc.individualCount","inhs.total_Males","dwc.locationRemarks","dwc.class","dwc.locationAccordingTo","idigbio.tribe","inhs.juv_females","dwc.disposition","idigbio.recordID","dwc.startDayOfYear","dwc.nomenclaturalStatus","fcc.superfamily","dwc.countryCode","dwc.island","dwc.latestAgeOrHighestStage","dwc.reproductiveCondition","dwc.typeStatus","dwc.collectionID","dwc.lowestBiostratigraphicZone","idigbio.preparationCount","symbiotaverbatimScientificName","dwc.verbatimElevation","fcc.pickedBy","inhs.formII_females","idigbio.associateNotes","dwc.latestEraOrHighestErathem","dwc.namePublishedIn","dwc.formation","idigbio.createdBy","inhs.dead","dwc.vernacularName","dwc.datasetID","dwc.ownerInstitutionCode","inhs.relic","dwc.habitat","dwc.locality","dwc.georeferenceSources","dwc.higherClassification","dwc.dynamicProperties","dwc.nomenclaturalCode","dwc.accessRights","idigbio.uuid","inhs.location_RiverMile","dcterms.type","dwc.georeferenceVerificationStatus","idigbio.recordIds","dwc.georeferenceRemarks","idigbio.version","dwc.bed","dwc.phylum","dwc.decimalLongitude","dwc.family","dwc.earliestAgeOrLowestStage","dwc.endDayOfYear","dwc.eventRemarks","dwc.samplingProtocol","dwc.occurrenceID","dwc.relatedResourceID","dwc.occurrenceRemarks","dwc.institutionCode","dwc.namePublishedInID","dwc.catalogNumber","dwc.establishmentMeans","dwc.originalNameUsage","idigbio.determinationHistory","dwc.member","dwc.day","dwc.preparations","dwc.previousIdentifications","dwc.waterBody","inhs.formII_males","dwc.scientificNameAuthorship","dcterms.rights","idigbio.subfamily","idigbio.hostFamily","dcterms.reference","dwc.identificationVerificationStatus","row.number","dwc.specificEpithet","dwc.georeferenceProtocol","dwc.minimumDepthInMeters","dwc.institutionID","dwc.order","dwc.associatedTaxa","dwc.identificationID","dwc.dateIdentified","dwc.lifeStage","dwc.verbatimDepth","fcc.datePicked","dwc.latestEpochOrHighestSeries","dwc.associatedReferences","idigbio.associateIdentifier","dwc.verbatimEventDate","dwc.higherGeography","dwc.maximumDepthInMeters","dwc.islandGroup","idigbio.associateCommonName","inhs.location_Basin","dwc.behavior","dcterms.bibliographicCitation","inhs.juv_undetermined","dcterms.source","dwc.individualID","fcc.subfamily","dwc.subgenus","dwc.continent"
"1346",NA,"2014-09-12T10:20:18.792Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",11,NA,"","","PreservedSpecimen",NA,"",NA,NA,-5.019131,"","PM25",NA,NA,"",NA,"Papua New Guinea",NA,NA,NA,NA,"c590ec87-4c4d-46b9-a8d8-869659615be6",NA,"Yasunori Kano, Pierre Lozouet, John Slapcinsky, Timea Neusser, Bastian Brenzinger, Audrey Espalieu, Ken Ganzik, Dave Anan, Graham Kaina, Mande Holford",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Madang Province",NA,NA,NA,NA,NA,NA,"","61a03ee0261972d66953d27739bedccef10811ec",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"c590ec87-4c4d-46b9-a8d8-869659615be6",NA,"",NA,NA,"",NA,NA,"",145.798438,"Holothuriidae",NA,NA,"","","FB8A9021-133F-4950-912C-C81D11F4966E",NA,NA,"FLMNH",NA,"14801-Echinodermata",NA,NA,NA,NA,15,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"1925",NA,"2014-09-12T10:16:11.973Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","Iriomote Island",7,NA,"","","PreservedSpecimen",NA,"",NA,NA,24.421202,"","GUOK10-St-067",NA,NA,"",NA,"Japan",NA,NA,NA,NA,"1a0d644b-d561-4d70-9a73-00e8501d6c7e",NA,"Nat Evans, Francois Michonneau",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Okinawa Prefecture",NA,NA,NA,NA,NA,NA,"","cfc7a72d276642296ff047572ff5867d45e9d21c",NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"1a0d644b-d561-4d70-9a73-00e8501d6c7e",NA,"",NA,NA,"",NA,NA,"",123.802599,"Holothuriidae",NA,NA,"","","A7F5F882-3E8C-4F11-B943-5F625D2FB2A0",NA,NA,"FLMNH",NA,"10529-Echinodermata",NA,NA,NA,NA,10,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2139",NA,"2014-09-12T09:31:43.887Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","Guam Island",6,NA,"","","PreservedSpecimen",NA,"",NA,NA,13.445104,"","GUOK10-St-048",NA,NA,"",NA,"USA",NA,NA,NA,NA,"ee4c3f20-2f27-46ec-86a4-d2e72af4ce17",NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Mariana Islands",NA,NA,NA,NA,NA,NA,"","37954d1575f8470f3f0f63ff39d567ada7f56b8a",NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"ee4c3f20-2f27-46ec-86a4-d2e72af4ce17",NA,"",NA,NA,"",NA,NA,"",144.631506,"Holothuriidae",NA,NA,"","","F5D72619-9EE6-48C8-B4C3-6A4721E5785D",NA,NA,"FLMNH",NA,"10760-Echinodermata",NA,NA,NA,NA,23,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2170",NA,"2014-09-12T12:28:39.873Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",11,NA,"","","PreservedSpecimen",NA,"",NA,NA,-5.18395,"","PFM-001",NA,NA,"",NA,"Papua New Guinea",NA,NA,NA,NA,"41859699-ae9a-4a55-83b7-d847c593db24",NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Madang Province",NA,NA,NA,NA,NA,NA,"","1255b2e676848dce07326572a215a067f8d507e8",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"41859699-ae9a-4a55-83b7-d847c593db24",NA,"",NA,NA,"",NA,NA,"",145.802183,"Holothuriidae",NA,NA,"","","F88AE7C4-9C27-4879-A4D2-5A52143759CE",NA,NA,"FLMNH",NA,"14501-Echinodermata",NA,NA,NA,NA,9,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2180",NA,"2014-09-12T13:08:52.226Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.42923,"","MGNW-38",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"d3c5006e-7df3-454b-aee5-b5260e8fecff",NA,"Gustav Paulay",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","de3fa5ff81a5d71642ad5c77f55a3161f75940f6",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"d3c5006e-7df3-454b-aee5-b5260e8fecff",NA,"",NA,NA,"",NA,NA,"",48.36398,"Holothuriidae",NA,NA,"","","30306535-C5ED-44B9-85D8-F67BD640352E",NA,NA,"FLMNH",NA,"7153-Echinodermata",NA,NA,NA,NA,28,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2214",NA,"2014-09-12T15:18:27.091Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.4139,"","MGNW-23",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"d6909ce8-2ac9-4529-be11-155b5e943eed",NA,"Gustav Paulay",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","c9a49510146f59973d779046c02393f3f1494f7c",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"d6909ce8-2ac9-4529-be11-155b5e943eed",NA,"",NA,NA,"",NA,NA,"",48.3056,"Holothuriidae",NA,NA,"","","EB9EC2B0-287E-427B-931D-434B36F94830",NA,NA,"FLMNH",NA,"7167-Echinodermata",NA,NA,NA,NA,16,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2276",NA,"2014-09-12T09:10:21.423Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","Guam Island",6,NA,"","","PreservedSpecimen",NA,"",NA,NA,13.596892,"","GUOK10-St-006",NA,NA,"",NA,"USA",NA,NA,NA,NA,"763201dd-7428-4e43-88b5-c81ddfb39729",NA,"Francois Michonneau, Tom Schils, Amanda Devilliers, Daisuke Uyeno, Tohru Naruse",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Mariana Islands",NA,NA,NA,NA,NA,NA,"","d772c9ab8cb465b1fa4421b6f86e18ce6a4d49a6",NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"763201dd-7428-4e43-88b5-c81ddfb39729",NA,"",NA,NA,"",NA,NA,"",144.834935,"Holothuriidae",NA,NA,"","","364B368A-C789-49D5-A3AE-8ABDAA13B17D",NA,NA,"FLMNH",NA,"10318-Echinodermata",NA,NA,NA,NA,11,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2477",NA,"2014-09-12T09:07:59.648Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",9,NA,"","","PreservedSpecimen",NA,"",NA,NA,11.5100333333333,"","DJRS-013",NA,NA,"",NA,"Djibouti",NA,NA,NA,NA,"42c23b9a-10ed-447a-bbde-d165c0ff709b",NA,"Gustav Paulay",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","0e6ab55dd86945cb4d0eebfb545545494472b3df",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"42c23b9a-10ed-447a-bbde-d165c0ff709b",NA,"",NA,NA,"",NA,NA,"",42.6725,"Holothuriidae",NA,NA,"","","28D5357F-BD3B-4140-AC6B-4A0D1E1D187F",NA,NA,"FLMNH",NA,"12028-Echinodermata",NA,NA,NA,NA,30,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2494",NA,"2014-09-12T11:56:47.461Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",11,NA,"","","PreservedSpecimen",NA,"",NA,NA,-5.1695,"","PR21",NA,NA,"",NA,"Papua New Guinea",NA,NA,NA,NA,"d89c6ca1-863d-4c94-ad2b-a22de181c5ef",NA,"François Michonneau, Jessica Goodheart, Rachel James, Mande Holford, Sasha Fedesov",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Madang Province",NA,NA,NA,NA,NA,NA,"","d769639902b628c894ea4dadbb912ca3bccf0dcd",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"d89c6ca1-863d-4c94-ad2b-a22de181c5ef",NA,"",NA,NA,"",NA,NA,"",145.840164,"Holothuriidae",NA,NA,"","","921AA627-87B6-4C0B-8440-C72A89EEE113",NA,NA,"FLMNH",NA,"14614-Echinodermata",NA,NA,NA,NA,12,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2561",NA,"2014-09-12T16:54:02.567Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",NA,NA,"","","PreservedSpecimen",NA,"",NA,NA,-23.4403,"","Ebert-Heron Island",NA,NA,"",NA,"Australia",NA,NA,NA,NA,"11f15364-4c61-4a5a-9ae9-3bcb019b82a5",NA,"T. A. Ebert",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Queensland",NA,NA,NA,NA,NA,NA,"","b9667c26a9e9d34d78b5517703bd5281fec55813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"11f15364-4c61-4a5a-9ae9-3bcb019b82a5",NA,"",NA,NA,"",NA,NA,"",151.9125,"Holothuriidae",NA,NA,"","","2786DBE7-790D-438A-A1AC-0199B1DFE162",NA,NA,"FLMNH",NA,"16176-Echinodermata",NA,NA,NA,NA,NA,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2793",NA,"2014-09-12T09:33:02.668Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",11,NA,"","","PreservedSpecimen",NA,"",NA,NA,-5.0795,"","PR26",NA,NA,"",NA,"Papua New Guinea",NA,NA,NA,NA,"26167dac-f736-452e-b862-d3be69105260",NA,"François Michonneau, Jessica Goodheart, Inga Meyer-Wachsmuth, Mande Holford, Pi-Hsien Kuo, Cia-Wei Lin",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Madang Province",NA,NA,NA,NA,NA,NA,"","0ad7f7715da4b6aae2bc6946f1085cebc430b71a",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"26167dac-f736-452e-b862-d3be69105260",NA,"",NA,NA,"",NA,NA,"",145.814499,"Holothuriidae",NA,NA,"","","68707C5D-565E-460D-BADE-202FEB502876",NA,NA,"FLMNH",NA,"14650-Echinodermata",NA,NA,NA,NA,13,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2865",NA,"2014-09-12T18:48:37.697Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",3,NA,"","","PreservedSpecimen",NA,"",NA,NA,7.503,"","BPAL-098",NA,NA,"",NA,"Palau",NA,NA,NA,NA,"2db28daa-d9cc-4a8f-b134-8b7bfe36b1ba",NA,"Paulay, G.",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","51077c7c004483b550765d2383306103b6d22028",NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"2db28daa-d9cc-4a8f-b134-8b7bfe36b1ba",NA,"",NA,NA,"",NA,NA,"",134.501,"Holothuriidae",NA,NA,"","","EC737D23-5C21-4C05-AE5C-B941A4964BDA",NA,NA,"FLMNH",NA,"1615-Echinodermata",NA,NA,NA,NA,6,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2882",NA,"2014-09-12T18:23:39.366Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",9,NA,"","","PreservedSpecimen",NA,"",NA,NA,11.5100333333333,"","DJRS-013",NA,NA,"",NA,"Djibouti",NA,NA,NA,NA,"3136eab2-c05b-4104-b716-3cc85ef83a5e",NA,"Gustav Paulay",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","1ffe6ac7e66c193b990f40c95c03b10eb97ddee6",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"3136eab2-c05b-4104-b716-3cc85ef83a5e",NA,"",NA,NA,"",NA,NA,"",42.6725,"Holothuriidae",NA,NA,"","","74B10CBB-DD46-4E0E-8A96-BE3AF3260FE5",NA,NA,"FLMNH",NA,"12029-Echinodermata",NA,NA,NA,NA,30,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
