"","idigbio.associatedFamily","dwc.relatedResourceID","dwc.basisOfRecord","dwc.associatedReferences","idigbio.associateNotes","dwc.verbatimLatitude","dwc.associatedSequences","dwc.latestEraOrHighestErathem","http...symbiota.org.terms.verbatimScientificName","idigbio.etag","dwc.eventRemarks","idigbio.dateModified","dcterms.rightsHolder","idigbio.substrate","idigbio.associateAuthor","dwc.ownerInstitutionCode","idigbio.associateDeterminedBy","dwc.VerbatimEventDate","dwc.identificationReferences","dwc.accessRights","dwc.namePublishedIn","idigbio.uuid","dwc.eventTime","dwc.countryCode","inhs.live","dwc.occurrenceStatus","dwc.behavior","dwc.identificationID","dwc.fieldNotes","dcterms.modified","idigbio.tribe","dwc.coordinatePrecision","dwc.order","dwc.verbatimEventDate","idigbio.hostFamily","dwc.earliestPeriodOrLowestSystem","dwc.informationWithheld","dwc.preparation","inhs.juv_females","inhs.formII_females","dwc.family","dcterms.bibliographicCitation","dcterms.references","dwc.institutionID","dwc.endDayOfYear","idigbio.preparationCount","dwc.verbatimDepth","dwc.nameAccordingTo","dwc.nomenclaturalStatus","dwc.lithostratigraphicTerms","dwc.locationAccordingTo","idigbio.subfamily","dwc.verbatimLongitude","dwc.vernacularName","dwc.earliestAgeOrLowestStage","inhs.location_Stream","dwc.catalogNumber","fcc.pickedBy","idigbio.subgenus","dwc.identificationRemarks","dwc.lifeStage","fcc.superfamily","inhs.formII_males","dwc.identificationVerificationStatus","dwc.latestAgeOrHighestStage","dwc.day","idigbio.recordID","dwc.previousIdentifications","dwc.rights","idigbio.associateIdentifier","inhs.juv_undetermined","dcterms.type","dwc.decimalLatitude","dwc.collectionID","dwc.lowestBiostratigraphicZone","dwc.recordNumber","dwc.higherGeography","dwc.island","dwc.georeferencedBy","dwc.phylum","dcterms.accessRights","idigbio.associateRelationship","inhs.total_Males","dwc.habitat","dwc.eventDate","inhs.total_females","dwc.sex","dwc.scientificNameID","dwc.kingdom","inhs.instars_Male","dwc.member","inhs.locationTrs","dwc.continent","dwc.class","dwc.occurrenceID","dwc.institutionCode","dwc.scientificNameAuthorship","dwc.reproductiveCondition","dwc.maximumElevationInMeters","dcterms.language","dwc.year","inhs.formI_males","dwc.associatedMedia","idigbio.preservative","dwc.georeferenceProtocol","dwc.earliestEpochOrLowestSeries","dwc.islandGroup","dwc.locationID","inhs.dead","dwc.locationRemarks","dwc.eventID","idigbio.associatedRelationship","dwc.associatedTaxa","dwc.georeferenceVerificationStatus","inhs.relic","dwc.individualID","idigbio.barcodeValue","dwc.georeferencedDate","dwc.coordinateUncertaintyInMeters","dcterms.reference","idigbio.recordId","dwc.otherCatalogNumbers","dwc.samplingProtocol","dwc.namePublishedInID","dwc.preparations","dwc.waterBody","dwc.scientificName","fcc.datePicked","dcterms.rights","dwc.datasetName","dwc.month","dwc.verbatimSRS","dwc.taxonRank","dwc.minimumDepthInMeters","dwc.stateProvince","fcc.subfamily","idigbio.endangeredStatus","inhs.superfamily","dwc.startDayOfYear","dwc.country","dwc.datasetID","dwc.infraspecificEpithet","dwc.decimalLongitude","dwc.municipality","dwc.typeStatus","dwc.formation","inhs.instars_Female","dwc.georeferenceSources","dwc.dataGeneralizations","dwc.associatedOccurrences","dwc.county","dwc.georeferenceRemarks","dwc.occurrenceRemarks","dwc.latestEpochOrHighestSeries","dwc.verbatimCoordinateSystem","idigbio.version","dwc.identificationQualifier","dwc.rightsHolder","dwc.latestPeriodOrHighestSystem","inhs.juv_males","dwc.verbatimElevation","dwc.dateIdentified","dwc.collectionCode","dcterms.source","dwc.establishmentMeans","dwc.earliestEraOrLowestErathem","dwc.verbatimCoordinates","idigbio.determinationHistory","dwc.originalNameUsage","dwc.geodeticDatum","idigbio.createdBy","dwc.maximumDepthInMeters","inhs.location_Basin","dwc.minimumElevationInMeters","idigbio.associateCondition","inhs.vouchered","dwc.group","dwc.dynamicProperties","dwc.bed","dwc.higherClassification","dwc.footprintWKT","dwc.nomenclaturalCode","idigbio.associateCommonName","dwc.verbatimLocality","dwc.genus","inhs.location_RiverMile","dwc.subgenus","dwc.disposition","dwc.individualCount","dwc.taxonRemarks","dwc.identifiedBy","symbiota.verbatimScientificName","dwc.samplingEffort","dwc.taxonID","symbiotaverbatimScientificName","dwc.fieldNumber","idigbio.recordIds","row.number","dwc.specificEpithet","dwc.verbatimTaxonRank","dwc.locality","dwc.recordedBy","id"
"314",NA,NA,"PreservedSpecimen","",NA,"",NA,NA,NA,"8093bb1bdee54fa89b225ac182da1bbd5df46cff","","2014-01-11T06:18:39.511Z","President and Fellows of Harvard College",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"f6d9b3a0-6c4b-4aa8-ab18-b4a3655e4d40",NA,NA,NA,NA,NA,NA,NA,"2013-06-18 15:17:42.0",NA,NA,"Aspidochirotida","April 10, 1936",NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1808","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"HOL-1808",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,"","Echinodermata",NA,NA,NA,"","1936-04-10",NA,"",NA,"Animalia",NA,NA,NA,"Pacific Ocean","Holothuroidea","MCZ:IZ:HOL-1808","MCZ","Deichmann, 1937",NA,NA,"en",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1808",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"station number=141: D-1","",NA,"whole animal (70% ethanol); whole animal (70% ethanol) sample","","Holothuria (Stauropora) pluricuriosa",NA,NA,NA,NA,NA,NA,12.8016,"",NA,NA,NA,0,"",NA,"",NA,NA,"Holotype",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"2012-08-21 00:00:00.0","IZ",NA,NA,NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",16.4592,NA,NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) pluricuriosa",NA,"ICZN",NA,NA,"Holothuria",NA,NA,"not applicable",1,NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,"",NA,NA,"pluricuriosa",NA,"Mexico: Gulf of California, Santa Inez Bay","Zaca Expedition, Templeton Crocker","f6d9b3a0-6c4b-4aa8-ab18-b4a3655e4d40"
"2643",NA,NA,"PreservedSpecimen","",NA,"",NA,NA,NA,"b6e8fbfbcd3a9041d0f7a9a08feda5d15509e45e","","2014-05-28T21:43:35.310Z","President and Fellows of Harvard College",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"28da388f-ce54-4945-a4d6-88a9d6529de0",NA,NA,NA,NA,NA,NA,NA,"2012-12-11 12:02:31.0",NA,NA,"Aspidochirotida","October 21, 1991",NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127885","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"127885",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,"","Echinodermata",NA,NA,NA,"","1991-10-21",NA,"",NA,"Animalia",NA,NA,NA,"Pacific Ocean","Holothuroidea","MCZ:IZ:127885","MCZ","Deichmann, 1937",NA,NA,"en",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127885",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donor number=5.31.36","",NA,"whole animal (95% ethanol)","","Holothuria (Stauropora) pluricuriosa",NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,0,"",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","IZ",NA,NA,NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",2,NA,NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) pluricuriosa",NA,"ICZN",NA,NA,"Holothuria",NA,NA,"not applicable",1,NA,"World Register of Marine Species, Francisco Sólis Marín",NA,NA,NA,NA,"",NA,NA,"pluricuriosa",NA,"Mexico, Gulf of California, La Paz Bay, La Gaviota Beach","M. Dinorah Herrero","28da388f-ce54-4945-a4d6-88a9d6529de0"
