"","fcc.superfamily","dwc.associatedOccurrences","idigbio.subgenus","fcc.pickedBy","inhs.location_Stream","dwc.behavior","dwc.latestAgeOrHighestStage","dwc.maximumDepthInMeters","idigbio.associateRelationship","idigbio.associateCondition","dwc.eventTime","dwc.fieldNumber","dwc.kingdom","dwc.eventDate","idigbio.associateIdentifier","symbiotaverbatimScientificName","dwc.specificEpithet","id","dwc.identifiedBy","dwc.continent","idigbio.dateModified","dwc.VerbatimEventDate","dwc.country","dwc.day","dwc.county","idigbio.preservative","dwc.verbatimLongitude","dwc.rightsHolder","dwc.catalogNumber","inhs.juv_undetermined","idigbio.endangeredStatus","dwc.reproductiveCondition","idigbio.determinationHistory","dwc.bed","dcterms.references","dwc.individualCount","http...symbiota.org.terms.verbatimScientificName","inhs.juv_females","dwc.georeferenceSources","idigbio.associateDeterminedBy","dwc.associatedReferences","inhs.locationTrs","idigbio.preparationCount","dwc.decimalLatitude","dwc.establishmentMeans","dcterms.type","dwc.basisOfRecord","inhs.total_Males","inhs.live","dwc.formation","dwc.verbatimCoordinateSystem","dcterms.language","dcterms.rightsHolder","dwc.verbatimLocality","dwc.occurrenceID","dwc.identificationRemarks","dwc.latestEpochOrHighestSeries","dcterms.reference","inhs.vouchered","inhs.juv_males","dwc.typeStatus","dwc.dynamicProperties","dwc.phylum","dwc.vernacularName","inhs.superfamily","dwc.group","dwc.occurrenceRemarks","dwc.fieldNotes","dwc.lithostratigraphicTerms","dwc.dateIdentified","dwc.collectionID","dcterms.modified","dwc.island","dwc.maximumElevationInMeters","idigbio.recordID","dwc.locality","idigbio.tribe","dwc.nomenclaturalCode","idigbio.associateAuthor","dwc.recordNumber","inhs.instars_Female","dwc.geodeticDatum","dwc.namePublishedInID","dwc.eventRemarks","dwc.latestPeriodOrHighestSystem","dwc.locationRemarks","dwc.countryCode","idigbio.recordId","dwc.namePublishedIn","idigbio.associateNotes","inhs.formII_males","dwc.lowestBiostratigraphicZone","dwc.lifeStage","dwc.waterBody","dwc.decimalLongitude","dwc.verbatimElevation","inhs.relic","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.informationWithheld","dwc.disposition","inhs.dead","dwc.family","dwc.datasetID","dwc.sex","dwc.dataGeneralizations","dwc.verbatimDepth","dwc.taxonRank","dwc.earliestEraOrLowestErathem","idigbio.uuid","inhs.total_females","dwc.coordinateUncertaintyInMeters","dwc.year","dwc.verbatimSRS","dwc.georeferencedDate","dwc.individualID","dwc.samplingEffort","dwc.ownerInstitutionCode","dwc.datasetName","dwc.georeferenceProtocol","dwc.taxonRemarks","dwc.earliestPeriodOrLowestSystem","idigbio.version","symbiota.verbatimScientificName","dwc.earliestEpochOrLowestSeries","dwc.startDayOfYear","dwc.locationAccordingTo","dwc.higherGeography","dwc.scientificNameID","dwc.georeferenceRemarks","dwc.associatedTaxa","dcterms.accessRights","dwc.taxonID","row.number","dwc.subgenus","dwc.preparation","dwc.municipality","dwc.originalNameUsage","dwc.rights","dwc.latestEraOrHighestErathem","idigbio.recordIds","dwc.nameAccordingTo","dwc.verbatimEventDate","dwc.previousIdentifications","dwc.preparations","dwc.collectionCode","dwc.verbatimCoordinates","dwc.habitat","dwc.month","inhs.location_RiverMile","dwc.relatedResourceID","dwc.identificationReferences","dwc.recordedBy","dwc.accessRights","dwc.member","dcterms.rights","dwc.minimumElevationInMeters","idigbio.subfamily","dwc.georeferencedBy","dwc.scientificName","fcc.datePicked","inhs.formII_females","inhs.instars_Male","dwc.identificationQualifier","idigbio.barcodeValue","dwc.genus","idigbio.etag","dwc.institutionCode","idigbio.hostFamily","inhs.formI_males","dwc.infraspecificEpithet","dcterms.source","inhs.location_Basin","dwc.samplingProtocol","dwc.institutionID","idigbio.associateCommonName","dwc.eventID","dwc.coordinatePrecision","dwc.associatedSequences","dwc.occurrenceStatus","dwc.identificationVerificationStatus","idigbio.substrate","dwc.order","dwc.endDayOfYear","dwc.identificationID","dwc.scientificNameAuthorship","dwc.verbatimTaxonRank","dcterms.bibliographicCitation","dwc.locationID","dwc.verbatimLatitude","dwc.class","dwc.stateProvince","dwc.georeferenceVerificationStatus","dwc.islandGroup","idigbio.createdBy","dwc.nomenclaturalStatus","dwc.associatedMedia","dwc.earliestAgeOrLowestStage","idigbio.associatedRelationship","dwc.higherClassification","fcc.subfamily","dwc.footprintWKT","idigbio.associatedFamily"
"628",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1898-11-01/1898-11-30",NA,NA,"difficilis","92613777-26dc-4ae5-a561-c2900cec4167","World Register of Marine Species, Hubert Lyman Clark","Pacific Ocean","2014-07-12T13:11:38.455Z",NA,"",NA,"",NA,"",NA,"HOL-601",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-601",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-601","",NA,NA,NA,NA,"Syntype","","Echinodermata",NA,NA,NA,NA,NA,NA,"2012-07-26 00:00:00.0",NA,"2013-06-18 15:17:42.0",NA,NA,NA,"Clipperton Island",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"92613777-26dc-4ae5-a561-c2900cec4167",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"November 1898",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"Hubert Lyman Clark, Hopkins-Stanford Galapagos Expedition 1898-99",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","ff7e081120d3b58b091a55a2622ce52c6c66576d","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-601",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"893",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1800-01-01/1867-12-31",NA,NA,"difficilis","c4806cd2-8b1e-42a3-b3f0-2e00df972fd0","World Register of Marine Species, Carl Semper","Pacific Ocean","2014-07-12T13:41:46.213Z",NA,"",NA,"",NA,"",NA,"HOL-572",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-572",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-572","",NA,NA,NA,NA,"Syntype","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-06-12 14:40:14.0",NA,NA,NA,"Samoa",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"c4806cd2-8b1e-42a3-b3f0-2e00df972fd0",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","10faf9683b8e30dd159669eabf5ae04b49c393c0","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-572",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"905",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1898-02-01/1898-03-31",NA,NA,"difficilis","cde3a5a5-90b1-4620-9425-0f14ca3ce953","Hubert Lyman Clark","Pacific Ocean","2014-07-12T15:01:20.805Z",NA,"",NA,"",NA,"159.0727d",NA,"HOL-573",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-573",1,NA,NA,"GEOLocate",NA,"",NA,NA,-31.532389,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"decimal degrees","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-573","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-06-11 10:00:07.0",NA,NA,NA,"Australia, New South Wales, Lord Howe Island",NA,"ICZN",NA,"",NA,"WGS84",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",159.0727,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"cde3a5a5-90b1-4620-9425-0f14ca3ce953",NA,12662,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"GEOLocate",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Southwest",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February - March 1898",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"HMCS Thetis",NA,NA,NA,NA,NA,"Penny Benson","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","30cb2d608f1dd2b9016c39f657a5a3c48a98170e","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,12662,NA,NA,"migration",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","-31.532389d","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-573",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"907",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1938-01-17",NA,NA,"difficilis","e9e2baec-0c56-487a-b127-3697f20a12ef","[no agent data], Elisabeth Deichmann","Pacific Ocean","2014-08-04T20:18:42.051Z",NA,"",NA,"",NA,"-89.954333d",NA,"128114",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128114",1,NA,NA,"GEOLocate",NA,"",NA,NA,0.310934,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"decimal degrees","en","President and Fellows of Harvard College",NA,"MCZ:IZ:128114","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-07-29 12:15:55.0",NA,NA,NA,"Ecuador: Galapagos, Genovesa Island, Darwin Bay",NA,"ICZN",NA,"465-20",NA,"WGS84",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",-89.954333,NA,NA,"collector number=465-20; original ledger number=2097 H; station number=784-38",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"e9e2baec-0c56-487a-b127-3697f20a12ef",NA,832,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"GEOLocate",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Southeast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 17, 1938",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,NA,"Penny Benson","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","6b765d319db0ac53a0a77c44077f69f18cc032fa","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,832,NA,NA,"unverified",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","0.310934d","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128114",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1198",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1800-01-01/2000-01-01",NA,NA,"difficilis","3a5382a7-d3bc-4c27-b3e5-0c7f0be101eb","William Blaxland Benham, Elisabeth Deichmann","Pacific Ocean","2014-07-12T15:34:09.068Z",NA,"",NA,"",NA,"",NA,"HOL-825",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-825",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-825","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-03-22 11:02:30.0",NA,NA,NA,"Kermadec Islands",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"3a5382a7-d3bc-4c27-b3e5-0c7f0be101eb",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Southwest",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"William Blaxland Benham",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","4348dfaa5b45f77e411aa1ad262e8482b12bd67e","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-825",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1209",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1871-01-01/1871-12-31",NA,NA,"difficilis","506895a8-9697-47d9-a1e5-6a7d466836a2","[no agent data]","Indian Ocean","2014-07-13T00:54:28.660Z",NA,"",NA,"",NA,"",NA,"HOL-574",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-574",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-574","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-03-22 11:02:30.0",NA,NA,NA,"Republic of Mauritius",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"506895a8-9697-47d9-a1e5-6a7d466836a2",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Indian Ocean, Indian Ocean, Western",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1871",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"Nicholas Pike",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","e71911db0aec42d9c08efde7f5f4663a1b7b49bc","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-574",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1243",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1939-03-16",NA,NA,"difficilis","3d2275fa-fca3-4f4a-a884-f60d26bf29d1","[no agent data], Elisabeth Deichmann","Pacific Ocean","2014-07-22T07:58:41.685Z",NA,"",NA,"",NA,"",NA,"128108",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128108",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:128108","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-07-02 13:14:56.0",NA,NA,NA,"Mexico: Clarion Islands, Sulphur Bay",NA,"ICZN",NA,"465-4",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"collector number=465-4; original ledger number=2097 B; station number=916-39",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"3d2275fa-fca3-4f4a-a884-f60d26bf29d1",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March 16, 1939",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","e2be787348297c6b9b1f06ea41cc2af48223cb7a","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128108",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1245",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1938-01-17",NA,NA,"difficilis","87a35bc6-89c8-4dd0-adea-2addce2ec34c","[no agent data]","Pacific Ocean","2014-08-04T20:17:35.627Z",NA,"",NA,"",NA,"-89.954333d",NA,"HOL-1884",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1884",1,NA,NA,"GEOLocate",NA,"",NA,NA,0.310934,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"decimal degrees","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1884","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-07-29 12:15:55.0",NA,NA,NA,"Ecuador: Galapagos, Genovesa Island, Darwin Bay",NA,"ICZN",NA,"",NA,"WGS84",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",-89.954333,NA,NA,"station number=784-38",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"87a35bc6-89c8-4dd0-adea-2addce2ec34c",NA,832,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"GEOLocate",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Southeast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 17, 1938",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,NA,"Penny Benson","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","ea8a98284dd518aa1bbe0b376d96b3c877e1ad55","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,832,NA,NA,"unverified",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","0.310934d","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1884",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1246",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1938-01-16",NA,NA,"difficilis","511afd99-15d7-4a8d-b930-aa35c805b2e2","[no agent data], Elisabeth Deichmann","Pacific Ocean","2014-08-04T20:19:14.542Z",NA,"",NA,"",NA,"-89.954333d",NA,"128112",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128112",1,NA,NA,"GEOLocate",NA,"",NA,NA,0.310934,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"decimal degrees","en","President and Fellows of Harvard College",NA,"MCZ:IZ:128112","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-07-29 12:13:34.0",NA,NA,NA,"Ecuador: Galapagos, Genovesa Island, Darwin Bay",NA,"ICZN",NA,"465-5",NA,"WGS84",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",-89.954333,NA,NA,"collector number=465-5; original ledger number=2097 F; station number=782-38",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"511afd99-15d7-4a8d-b930-aa35c805b2e2",NA,832,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"GEOLocate",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Southeast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 16, 1938",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,NA,"Penny Benson","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","cd53b82fddea06cd86652243e9b6337440535861","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,832,NA,NA,"unverified",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","0.310934d","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128112",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1247",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1938-01-14",NA,NA,"difficilis","91569a6b-22f8-4d60-ab87-45162277c1a9","[no agent data]","Pacific Ocean","2014-07-26T00:41:55.072Z",NA,"",NA,"",NA,"",NA,"HOL-1883",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1883",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1883","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-07-18 14:25:46.0",NA,NA,NA,"Costa Rica, Cocos Island, Chatham Bay",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"91569a6b-22f8-4d60-ab87-45162277c1a9",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 14, 1938",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","9258e3360d5ab5a478d93cd1b87334b430a438e3","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1883",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"1473",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1913-12-08",NA,NA,"difficilis","92bd8126-4a36-403e-a21d-5c845a81afc7","Hubert Lyman Clark","Pacific Ocean","2014-06-18T06:00:50.061Z",NA,"",NA,"",NA,"",NA,"HOL-1022",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1022",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1022","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-05-22 10:46:13.0",NA,NA,NA,"United States, Hawaii, Hilo",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"92bd8126-4a36-403e-a21d-5c845a81afc7",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December 8, 1913",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","ebafaaa3e798e3ab9a24049892ec51d328f033f8","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1022",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
