"","dwc.earliestEraOrLowestErathem","idigbio.barcodeValue","dwc.decimalLongitude","inhs.juv_undetermined","fcc.datePicked","dwc.establishmentMeans","dwc.verbatimDepth","inhs.instars_Male","idigbio.endangeredStatus","inhs.superfamily","dwc.catalogNumber","dwc.scientificNameID","dwc.latestAgeOrHighestStage","dwc.institutionID","symbiotaverbatimScientificName","dwc.countryCode","dwc.coordinateUncertaintyInMeters","dwc.earliestPeriodOrLowestSystem","dwc.scientificName","inhs.juv_males","dwc.georeferenceRemarks","idigbio.associateDeterminedBy","dwc.lithostratigraphicTerms","dwc.nomenclaturalCode","dwc.behavior","dwc.verbatimCoordinates","dwc.namePublishedInID","dwc.preparation","dwc.latestEpochOrHighestSeries","dwc.relatedResourceID","dcterms.references","http...symbiota.org.terms.verbatimScientificName","dwc.lifeStage","dwc.taxonRank","dwc.formation","dwc.municipality","dcterms.bibliographicCitation","dwc.individualCount","dwc.startDayOfYear","dwc.ownerInstitutionCode","dcterms.source","dwc.otherCatalogNumbers","dwc.eventID","dwc.county","dwc.eventTime","dwc.associatedReferences","inhs.dead","dwc.latestEraOrHighestErathem","inhs.formII_females","dwc.year","idigbio.subgenus","dwc.occurrenceRemarks","dwc.namePublishedIn","dwc.phylum","dwc.recordedBy","id","dwc.preparations","fcc.superfamily","inhs.juv_females","dwc.locationID","dwc.occurrenceStatus","dwc.class","dwc.geodeticDatum","dwc.verbatimSRS","dwc.georeferenceVerificationStatus","dcterms.accessRights","dwc.datasetID","dwc.infraspecificEpithet","row.number","dwc.earliestAgeOrLowestStage","dwc.originalNameUsage","dwc.locationRemarks","dwc.verbatimLocality","idigbio.associateIdentifier","inhs.relic","inhs.locationTrs","dwc.scientificNameAuthorship","dcterms.rightsHolder","dwc.accessRights","dwc.specificEpithet","dwc.higherGeography","dwc.nameAccordingTo","idigbio.associateNotes","dwc.collectionID","inhs.location_RiverMile","fcc.subfamily","dwc.family","dwc.taxonID","dwc.recordNumber","dwc.habitat","dwc.group","dwc.rightsHolder","dwc.georeferencedBy","dwc.georeferencedDate","dwc.bed","dcterms.reference","dwc.island","dwc.endDayOfYear","inhs.live","idigbio.associateCommonName","idigbio.dateModified","dwc.samplingEffort","dwc.fieldNotes","idigbio.associateAuthor","idigbio.substrate","dwc.day","dwc.informationWithheld","dwc.identificationVerificationStatus","dwc.higherClassification","dwc.disposition","dwc.dynamicProperties","dcterms.rights","idigbio.recordId","inhs.formI_males","dwc.taxonRemarks","dwc.verbatimLongitude","dwc.waterBody","dwc.dateIdentified","idigbio.recordIds","idigbio.etag","idigbio.preparationCount","inhs.formII_males","dwc.previousIdentifications","dwc.continent","dwc.earliestEpochOrLowestSeries","dwc.locationAccordingTo","dwc.verbatimEventDate","dwc.stateProvince","inhs.location_Basin","idigbio.recordID","dwc.islandGroup","dwc.nomenclaturalStatus","dwc.associatedSequences","idigbio.subfamily","dwc.associatedMedia","idigbio.preservative","dwc.associatedOccurrences","dcterms.modified","dwc.minimumDepthInMeters","dwc.individualID","idigbio.tribe","dwc.genus","dwc.maximumDepthInMeters","dwc.identificationQualifier","dwc.eventDate","dwc.coordinatePrecision","dwc.basisOfRecord","dwc.samplingProtocol","dwc.VerbatimEventDate","dwc.identificationReferences","inhs.total_females","dwc.dataGeneralizations","dwc.verbatimLatitude","dwc.verbatimCoordinateSystem","dwc.verbatimElevation","idigbio.hostFamily","symbiota.verbatimScientificName","idigbio.uuid","inhs.total_Males","dwc.maximumElevationInMeters","dwc.typeStatus","dwc.month","dcterms.type","inhs.instars_Female","idigbio.associatedFamily","dwc.lowestBiostratigraphicZone","dwc.vernacularName","dwc.minimumElevationInMeters","dwc.institutionCode","dwc.subgenus","idigbio.associateCondition","idigbio.determinationHistory","idigbio.associatedRelationship","dwc.kingdom","inhs.location_Stream","dwc.reproductiveCondition","dwc.order","dwc.footprintWKT","dwc.identificationRemarks","dwc.rights","dwc.locality","dwc.fieldNumber","dwc.decimalLatitude","dwc.collectionCode","dwc.georeferenceProtocol","dwc.identifiedBy","dcterms.language","inhs.vouchered","dwc.member","dwc.datasetName","idigbio.version","dwc.sex","dwc.latestPeriodOrHighestSystem","dwc.georeferenceSources","dwc.verbatimTaxonRank","dwc.associatedTaxa","dwc.country","idigbio.createdBy","fcc.pickedBy","idigbio.associateRelationship","dwc.eventRemarks","dwc.identificationID","dwc.occurrenceID"
"27",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"HOL-1044",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria (Lessonothuria) immobilis",NA,"",NA,NA,"ICZN",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1044",NA,NA,NA,NA,NA,NA,1,0,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"Echinodermata","Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","da9d9d75-4b14-41cc-819a-c4123076bcc4","whole animal (70% ethanol)",NA,NA,"",NA,"Holothuroidea","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Semper, 1868","President and Fellows of Harvard College",NA,"immobilis","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"2014-07-12T14:43:05.676Z",NA,NA,NA,NA,NA,NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) immobilis","not applicable","",NA,NA,NA,NA,"","","",NA,"15492bee17f767b7f031836bd082df4a08fe7046",NA,NA,NA,"Pacific Ocean",NA,NA,"September - October 1913","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1044",NA,"","2014-06-09 15:38:46.0",NA,NA,NA,"Holothuria",NA,NA,"1913-09-01/1913-10-31",NA,"PreservedSpecimen","",NA,NA,NA,NA,"","",NA,NA,NA,"da9d9d75-4b14-41cc-819a-c4123076bcc4",NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,"MCZ",NA,NA,NA,NA,"Animalia",NA,NA,"Aspidochirotida",NA,"",NA,"Australia, Queensland, Torres Strait, Murray Island (Mer)","",NA,"IZ","","[no agent data]","en",NA,NA,NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,"MCZ:IZ:HOL-1044"
"2408",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"HOL-1802",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria (Lessonothuria) immobilis",NA,"",NA,NA,"ICZN",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1802",NA,NA,NA,NA,NA,NA,1,0,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"Echinodermata","Max Weber","e078fb9c-e1e4-4f26-94a5-0df339420e66","whole animal (70% ethanol)",NA,NA,"",NA,"Holothuroidea","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Semper, 1868","President and Fellows of Harvard College",NA,"immobilis","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"2014-07-13T04:21:46.733Z",NA,NA,NA,NA,NA,NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) immobilis","not applicable","",NA,NA,NA,NA,"","","",NA,"edeea1245fb3dfaf0e4f52f8c978467cbf6bd741",NA,NA,NA,"Pacific Ocean",NA,NA,"[no verbatim date]","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1802",NA,"","2014-02-14 14:02:25.0",NA,NA,NA,"Holothuria",NA,NA,"",NA,"PreservedSpecimen","",NA,NA,NA,NA,"","",NA,NA,NA,"e078fb9c-e1e4-4f26-94a5-0df339420e66",NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,"MCZ",NA,NA,NA,NA,"Animalia",NA,NA,"Aspidochirotida",NA,"",NA,"Indonesia: Padang, Wilhelmena Bay","",NA,"IZ","","[no agent data]","en",NA,NA,NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,"MCZ:IZ:HOL-1802"
