"","dwc.locationRemarks","dwc.earliestPeriodOrLowestSystem","dwc.dynamicProperties","dcterms.references","dwc.earliestEpochOrLowestSeries","dwc.lowestBiostratigraphicZone","inhs.location_Stream","dwc.minimumDepthInMeters","dwc.otherCatalogNumbers","dcterms.source","inhs.superfamily","dwc.georeferenceVerificationStatus","dwc.taxonID","dwc.verbatimLongitude","inhs.location_Basin","inhs.instars_Male","idigbio.preservative","dwc.latestAgeOrHighestStage","dwc.vernacularName","inhs.locationTrs","dwc.taxonRank","inhs.formII_males","inhs.location_RiverMile","inhs.juv_females","idigbio.associateDeterminedBy","dwc.scientificNameID","inhs.instars_Female","fcc.pickedBy","dwc.associatedOccurrences","dwc.namePublishedInID","dwc.decimalLatitude","dwc.sex","idigbio.subfamily","dwc.lithostratigraphicTerms","dwc.samplingProtocol","dwc.samplingEffort","fcc.subfamily","dwc.datasetName","dwc.earliestAgeOrLowestStage","dwc.formation","dwc.verbatimCoordinateSystem","idigbio.recordIds","dwc.latestEraOrHighestErathem","dwc.identifiedBy","dwc.habitat","dwc.institutionID","dwc.nomenclaturalStatus","dwc.identificationReferences","dwc.higherGeography","inhs.formI_males","dwc.locality","dwc.coordinatePrecision","dwc.endDayOfYear","dwc.associatedTaxa","dwc.latestEpochOrHighestSeries","idigbio.preparationCount","dwc.order","dwc.verbatimLocality","dwc.latestPeriodOrHighestSystem","idigbio.recordId","dwc.VerbatimEventDate","dwc.occurrenceRemarks","inhs.live","dwc.identificationVerificationStatus","dwc.rightsHolder","dwc.verbatimTaxonRank","idigbio.barcodeValue","dwc.associatedMedia","dwc.behavior","dwc.occurrenceStatus","dwc.decimalLongitude","dwc.islandGroup","dwc.datasetID","dcterms.rights","dwc.class","inhs.juv_males","dcterms.rightsHolder","symbiotaverbatimScientificName","dwc.eventDate","idigbio.endangeredStatus","dwc.member","inhs.total_Males","dwc.genus","dwc.eventTime","idigbio.associateCommonName","dwc.identificationRemarks","dwc.minimumElevationInMeters","dwc.bed","dwc.preparation","dwc.individualID","dwc.nomenclaturalCode","idigbio.associatedRelationship","row.number","dwc.originalNameUsage","dwc.verbatimCoordinates","id","dwc.collectionCode","dwc.maximumDepthInMeters","dwc.verbatimElevation","dwc.dataGeneralizations","dwc.group","inhs.juv_undetermined","idigbio.associateAuthor","dwc.footprintWKT","dwc.county","dwc.identificationID","http...symbiota.org.terms.verbatimScientificName","dwc.specificEpithet","idigbio.associateNotes","dwc.associatedReferences","dwc.nameAccordingTo","idigbio.recordID","dwc.collectionID","dwc.earliestEraOrLowestErathem","dwc.infraspecificEpithet","dwc.phylum","dwc.georeferencedBy","idigbio.associatedFamily","dwc.recordNumber","inhs.total_females","dwc.typeStatus","dcterms.bibliographicCitation","dwc.geodeticDatum","dwc.recordedBy","dwc.fieldNotes","dwc.georeferenceSources","dwc.informationWithheld","dwc.waterBody","dwc.verbatimSRS","dwc.institutionCode","idigbio.uuid","dwc.kingdom","dwc.catalogNumber","dwc.taxonRemarks","dwc.family","dwc.countryCode","fcc.superfamily","dwc.previousIdentifications","dwc.georeferenceProtocol","dwc.verbatimLatitude","dwc.establishmentMeans","dwc.locationID","idigbio.associateIdentifier","idigbio.subgenus","dwc.subgenus","dwc.reproductiveCondition","idigbio.associateRelationship","dcterms.modified","idigbio.dateModified","dwc.eventID","dwc.day","dwc.month","dcterms.language","dwc.associatedSequences","dwc.disposition","idigbio.substrate","inhs.formII_females","dwc.namePublishedIn","dwc.higherClassification","dwc.rights","dcterms.accessRights","dwc.ownerInstitutionCode","dwc.individualCount","dwc.preparations","idigbio.hostFamily","inhs.relic","fcc.datePicked","idigbio.version","dwc.stateProvince","dwc.scientificNameAuthorship","dcterms.type","dwc.verbatimEventDate","idigbio.tribe","symbiota.verbatimScientificName","idigbio.associateCondition","dwc.basisOfRecord","dwc.accessRights","inhs.vouchered","dwc.coordinateUncertaintyInMeters","dwc.startDayOfYear","inhs.dead","dcterms.reference","dwc.relatedResourceID","dwc.country","dwc.eventRemarks","idigbio.createdBy","dwc.municipality","idigbio.determinationHistory","dwc.fieldNumber","dwc.scientificName","dwc.verbatimDepth","dwc.maximumElevationInMeters","dwc.occurrenceID","dwc.dateIdentified","dwc.continent","dwc.georeferencedDate","dwc.year","dwc.island","dwc.georeferenceRemarks","idigbio.etag","dwc.locationAccordingTo","dwc.identificationQualifier","dwc.lifeStage"
"838","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11.7183,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,43.1561,NA,NA,NA,"Holothuroidea",NA,"",NA,"",NA,NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","065432e4-076b-480b-bfdb-01db3b9445d2","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"sp. 32",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,"","Gustav Paulay",NA,"",NA,"",NA,"FLMNH","065432e4-076b-480b-bfdb-01db3b9445d2","","12087-Echinodermata",NA,"Holothuriidae",NA,NA,NA,"","",NA,"DJRS-021",NA,NA,NA,NA,NA,"09/08/2014","2014-09-12T14:14:32.249Z",NA,2,10,"",NA,"",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Djibouti","","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Holothuria sp. 32","",NA,"54E6053F-860F-42D3-B816-AE61F222A8BE","","",NA,2012,NA,"","65e545101dc80af129c3ae8e3bd020b0e2a04399",NA,NA,NA
"2863","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11.7183,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,43.1561,NA,NA,NA,"Holothuroidea",NA,"",NA,"",NA,NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","0fb117c8-02ab-49fa-8e11-d4013abe1cb7","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"sp. 32",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,"","Gustav Paulay",NA,"",NA,"",NA,"FLMNH","0fb117c8-02ab-49fa-8e11-d4013abe1cb7","","11955-Echinodermata",NA,"Holothuriidae",NA,NA,NA,"","",NA,"DJRS-021",NA,NA,NA,NA,NA,"09/08/2014","2014-09-12T18:50:41.729Z",NA,2,10,"",NA,"",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Djibouti","","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Holothuria sp. 32","",NA,"B5B84F01-2555-43AD-9189-C7D3265E9E38","","",NA,2012,NA,"","b2df3b50ac62554af0c0bd456891450ec19bf0b1",NA,NA,NA
