"","inhs.instars_Male","inhs.relic","dwc.kingdom","dcterms.rights","dwc.waterBody","dwc.taxonID","dcterms.references","dwc.rights","dwc.verbatimCoordinateSystem","dwc.relatedResourceID","inhs.dead","dcterms.source","idigbio.subfamily","dwc.recordNumber","dwc.dataGeneralizations","inhs.total_Males","dwc.dynamicProperties","dwc.identifiedBy","fcc.superfamily","dwc.sex","dwc.locationID","inhs.live","dcterms.rightsHolder","dwc.recordedBy","dwc.ownerInstitutionCode","dwc.previousIdentifications","dcterms.language","dwc.associatedOccurrences","idigbio.endangeredStatus","idigbio.barcodeValue","dwc.occurrenceID","idigbio.associateCondition","dwc.earliestAgeOrLowestStage","dwc.vernacularName","dwc.dateIdentified","dwc.disposition","dwc.identificationVerificationStatus","idigbio.associateNotes","dwc.higherGeography","dwc.island","dwc.verbatimLocality","dwc.nomenclaturalCode","dwc.nameAccordingTo","idigbio.preparationCount","dwc.latestEraOrHighestErathem","dwc.preparation","dcterms.accessRights","dwc.locality","dwc.catalogNumber","idigbio.associateIdentifier","idigbio.associatedRelationship","dwc.endDayOfYear","idigbio.recordID","idigbio.preservative","dwc.institutionCode","dwc.datasetID","idigbio.determinationHistory","dwc.geodeticDatum","inhs.locationTrs","dwc.verbatimCoordinates","fcc.subfamily","dwc.informationWithheld","dcterms.modified","dwc.lowestBiostratigraphicZone","dwc.preparations","dwc.samplingProtocol","dwc.county","dwc.verbatimSRS","dwc.phylum","dwc.islandGroup","dwc.georeferenceProtocol","idigbio.associateRelationship","dwc.coordinatePrecision","dwc.originalNameUsage","inhs.formII_females","inhs.juv_males","dwc.associatedTaxa","dwc.higherClassification","dwc.verbatimTaxonRank","symbiotaverbatimScientificName","idigbio.associateCommonName","idigbio.subgenus","dwc.infraspecificEpithet","dwc.genus","dwc.verbatimLongitude","dwc.fieldNotes","dwc.continent","dwc.georeferencedDate","fcc.pickedBy","symbiota.verbatimScientificName","dwc.verbatimDepth","dwc.georeferenceSources","dwc.behavior","dwc.namePublishedInID","row.number","dwc.occurrenceStatus","idigbio.etag","dwc.associatedMedia","dwc.fieldNumber","inhs.instars_Female","idigbio.createdBy","dwc.maximumDepthInMeters","dwc.minimumElevationInMeters","dwc.identificationQualifier","dwc.lithostratigraphicTerms","dwc.scientificNameAuthorship","dwc.latestPeriodOrHighestSystem","fcc.datePicked","dwc.earliestEpochOrLowestSeries","dwc.identificationID","inhs.superfamily","idigbio.hostFamily","dwc.rightsHolder","dwc.minimumDepthInMeters","inhs.formI_males","dwc.country","dwc.specificEpithet","dwc.family","dwc.day","dwc.eventDate","dwc.maximumElevationInMeters","dwc.taxonRank","dwc.scientificNameID","dwc.startDayOfYear","dwc.verbatimLatitude","dcterms.reference","dwc.georeferenceVerificationStatus","dwc.samplingEffort","dwc.eventRemarks","inhs.location_RiverMile","dwc.group","dwc.georeferenceRemarks","dwc.latestAgeOrHighestStage","dwc.collectionCode","dwc.datasetName","inhs.juv_undetermined","idigbio.recordId","dwc.coordinateUncertaintyInMeters","dwc.countryCode","dwc.locationAccordingTo","dwc.member","dwc.associatedReferences","idigbio.recordIds","dwc.individualID","dwc.VerbatimEventDate","inhs.location_Stream","dwc.earliestEraOrLowestErathem","dwc.accessRights","dwc.reproductiveCondition","idigbio.uuid","inhs.juv_females","dwc.lifeStage","idigbio.tribe","dwc.identificationRemarks","inhs.formII_males","dcterms.type","dwc.locationRemarks","dcterms.bibliographicCitation","dwc.verbatimEventDate","http...symbiota.org.terms.verbatimScientificName","dwc.order","inhs.vouchered","dwc.subgenus","dwc.eventTime","idigbio.substrate","inhs.total_females","dwc.latestEpochOrHighestSeries","idigbio.associatedFamily","dwc.habitat","dwc.bed","idigbio.associateAuthor","idigbio.version","id","dwc.eventID","dwc.municipality","dwc.decimalLongitude","idigbio.associateDeterminedBy","dwc.institutionID","dwc.taxonRemarks","dwc.individualCount","dwc.nomenclaturalStatus","dwc.footprintWKT","dwc.month","dwc.earliestPeriodOrLowestSystem","dwc.namePublishedIn","dwc.basisOfRecord","dwc.scientificName","inhs.location_Basin","dwc.occurrenceRemarks","dwc.formation","dwc.establishmentMeans","dwc.collectionID","dwc.verbatimElevation","dwc.typeStatus","dwc.stateProvince","dwc.year","dwc.otherCatalogNumbers","dwc.class","dwc.decimalLatitude","dwc.associatedSequences","dwc.identificationReferences","dwc.georeferencedBy","idigbio.dateModified"
"637",NA,NA,"Animalia",NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1062",NA,"decimal degrees",NA,NA,NA,NA,"",NA,NA,"","World Register of Marine Species, Hubert Lyman Clark",NA,"","",NA,"President and Fellows of Harvard College","Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","Museum of Comparative Zoology, Harvard University",NA,"en","from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3224650""> MCZ IZ CRI-513</a>",NA,NA,"MCZ:IZ:HOL-1062",NA,NA,NA,"","not applicable","unverified",NA,"Pacific Ocean, Pacific, Western Central",NA,NA,"ICZN",NA,NA,NA,NA,NA,"Australia, Queensland, Torres Strait, Murray Islands (Mer)","HOL-1062",NA,NA,NA,NA,NA,"MCZ",NA,NA,"WGS84",NA,"",NA,NA,"2014-06-09 14:24:29.0",NA,"whole animal (70% ethanol)","","",NA,"Echinodermata",NA,"GEOLocate",NA,2768,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Metriatyla) martensii",NA,NA,NA,NA,"","Holothuria","144.05164d",NA,"Pacific Ocean",NA,NA,NA,"","GEOLocate",NA,NA,NA,NA,"62b8319d7d96f4ebf63d7bae09e9a0a2a5ded7fe","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1062","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","martensii","Holothuriidae",NA,"1913-10-01/1913-10-31",NA,NA,NA,0,"-9.91518d",NA,NA,NA,"",NA,NA,"",NA,"IZ",NA,NA,NA,2768,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"f7f3406d-6b12-4c3e-92cc-2df98d4e709a",NA,NA,NA,"",NA,"PhysicalObject","",NA,"October 1913",NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"f7f3406d-6b12-4c3e-92cc-2df98d4e709a",NA,NA,144.05164,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,1,NA,NA,NA,NA,NA,"PreservedSpecimen","Holothuria (Metriatyla) martensii",NA,NA,NA,NA,NA,NA,"Holotype","",NA,"","Holothuroidea",-9.91518,NA,NA,"Jessica Anne Mullen","2014-07-12T23:21:21.502Z"
"1225",NA,NA,"Animalia",NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-851",NA,"",NA,NA,NA,NA,"",NA,NA,"","[no agent data]",NA,"","",NA,"President and Fellows of Harvard College","Great Barrier Reef Expedition - 1928-1929","Museum of Comparative Zoology, Harvard University",NA,"en","",NA,NA,"MCZ:IZ:HOL-851",NA,NA,NA,"","not applicable","",NA,"Pacific Ocean, Pacific, Western Central",NA,NA,"ICZN",NA,NA,NA,NA,NA,"Australia, Queensland: North Direction Island, Monterey","HOL-851",NA,NA,NA,NA,NA,"MCZ",NA,NA,"",NA,"",NA,NA,"2014-05-13 10:36:24.0",NA,"whole animal (70% ethanol)","","",NA,"Echinodermata",NA,"",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Metriatyla) martensii",NA,NA,NA,NA,"","Holothuria","",NA,"Pacific Ocean",NA,NA,NA,"","",NA,NA,NA,NA,"7f095071b5fcb3450dfd6a93cadac9a74169ae88","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-851","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",34.7472,NA,NA,NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,34.7472,NA,"","martensii","Holothuriidae",NA,"1929-03-09",NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,"",NA,"IZ",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"36f8f89b-63d4-4d9a-9cfa-a5c4e0e5a316",NA,NA,NA,"",NA,"PhysicalObject","",NA,"March 9, 1929",NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"36f8f89b-63d4-4d9a-9cfa-a5c4e0e5a316",NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,1,NA,NA,NA,NA,NA,"PreservedSpecimen","Holothuria (Metriatyla) martensii",NA,NA,NA,NA,NA,NA,"","",NA,"station number=17","Holothuroidea",NA,NA,NA,"","2014-07-13T03:02:20.599Z"
