"","row.number","dwc.individualID","dwc.taxonRemarks","dwc.coordinateUncertaintyInMeters","idigbio.tribe","dwc.endDayOfYear","dwc.scientificNameID","dwc.rights","idigbio.preparationCount","dwc.identificationVerificationStatus","dwc.verbatimTaxonRank","fcc.datePicked","dwc.datasetName","idigbio.recordID","dwc.nameAccordingTo","dwc.samplingEffort","dwc.waterBody","dwc.reproductiveCondition","dwc.nomenclaturalStatus","dwc.dynamicProperties","dwc.group","dwc.typeStatus","dwc.occurrenceRemarks","dcterms.source","dwc.VerbatimEventDate","dwc.identificationRemarks","dwc.associatedMedia","fcc.pickedBy","dwc.minimumDepthInMeters","inhs.formI_males","dwc.year","inhs.vouchered","inhs.location_Stream","inhs.total_females","dcterms.rightsHolder","dwc.vernacularName","dwc.scientificNameAuthorship","dwc.decimalLongitude","dwc.verbatimCoordinateSystem","dwc.identificationQualifier","dwc.kingdom","inhs.superfamily","inhs.location_RiverMile","idigbio.version","dwc.collectionID","dcterms.type","dwc.continent","dwc.verbatimLocality","dwc.bed","dwc.decimalLatitude","inhs.formII_males","dwc.locationRemarks","dwc.stateProvince","dwc.georeferenceVerificationStatus","idigbio.associatedRelationship","dwc.earliestPeriodOrLowestSystem","dwc.locationAccordingTo","dwc.verbatimSRS","dwc.nomenclaturalCode","idigbio.uuid","dwc.associatedSequences","idigbio.endangeredStatus","dwc.minimumElevationInMeters","dwc.georeferenceSources","dwc.footprintWKT","dwc.recordNumber","dwc.associatedOccurrences","dwc.geodeticDatum","dwc.locality","dwc.basisOfRecord","dwc.preparations","dwc.latestAgeOrHighestStage","http...symbiota.org.terms.verbatimScientificName","dwc.recordedBy","dwc.dateIdentified","inhs.live","dwc.ownerInstitutionCode","idigbio.hostFamily","dwc.fieldNotes","dwc.lowestBiostratigraphicZone","idigbio.createdBy","dwc.verbatimCoordinates","dwc.namePublishedIn","idigbio.subfamily","dwc.habitat","idigbio.etag","dwc.occurrenceID","dwc.sex","dwc.institutionID","dwc.latestEpochOrHighestSeries","dwc.informationWithheld","inhs.juv_females","dwc.georeferencedDate","dwc.latestEraOrHighestErathem","dwc.earliestEpochOrLowestSeries","dwc.fieldNumber","dwc.countryCode","idigbio.substrate","dcterms.modified","dwc.taxonID","symbiota.verbatimScientificName","inhs.total_Males","dcterms.rights","dwc.eventID","dcterms.bibliographicCitation","idigbio.subgenus","dwc.catalogNumber","dwc.order","dwc.verbatimDepth","dwc.verbatimLongitude","dwc.verbatimEventDate","dwc.taxonRank","idigbio.barcodeValue","dwc.coordinatePrecision","dwc.locationID","inhs.formII_females","inhs.juv_males","dwc.day","idigbio.associateAuthor","idigbio.preservative","dwc.preparation","dwc.relatedResourceID","inhs.instars_Female","dwc.phylum","dwc.occurrenceStatus","idigbio.associateDeterminedBy","idigbio.associateRelationship","idigbio.associateCommonName","dwc.islandGroup","dwc.infraspecificEpithet","dwc.municipality","idigbio.recordId","idigbio.associateCondition","dwc.identifiedBy","dwc.lithostratigraphicTerms","dcterms.language","dwc.class","inhs.location_Basin","dwc.earliestEraOrLowestErathem","dwc.samplingProtocol","dwc.otherCatalogNumbers","dwc.maximumDepthInMeters","idigbio.associateNotes","dwc.identificationReferences","idigbio.dateModified","dwc.eventTime","inhs.locationTrs","dwc.accessRights","dwc.identificationID","dwc.member","dwc.country","dwc.eventDate","idigbio.recordIds","idigbio.determinationHistory","symbiotaverbatimScientificName","inhs.dead","inhs.instars_Male","dwc.specificEpithet","idigbio.associatedFamily","inhs.juv_undetermined","dwc.latestPeriodOrHighestSystem","dwc.associatedReferences","id","dwc.namePublishedInID","dcterms.reference","dwc.maximumElevationInMeters","dwc.lifeStage","dwc.rightsHolder","dcterms.references","dwc.month","dwc.originalNameUsage","dwc.family","fcc.superfamily","dwc.georeferenceRemarks","fcc.subfamily","dwc.behavior","dwc.previousIdentifications","dwc.eventRemarks","dwc.disposition","dwc.georeferencedBy","dwc.individualCount","inhs.relic","idigbio.associateIdentifier","dwc.earliestAgeOrLowestStage","dwc.genus","dwc.higherGeography","dwc.startDayOfYear","dwc.formation","dcterms.accessRights","dwc.higherClassification","dwc.verbatimLatitude","dwc.subgenus","dwc.georeferenceProtocol","dwc.institutionCode","dwc.dataGeneralizations","dwc.datasetID","dwc.associatedTaxa","dwc.island","dwc.collectionCode","dwc.scientificName","dwc.establishmentMeans","dwc.verbatimElevation","dwc.county"
"743",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2009,NA,NA,NA,"",NA,"Brandt",151.916916666667,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-23.2601166666667,NA,"","Queensland",NA,NA,NA,NA,NA,"","c947618f-b9a1-4bbd-b96f-24f4d8b054cf",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Sea McKeon, François Michonneau","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","ec7139eef4f92c3464cf7e7b351ca6b8c671370f","F9D9856A-D919-47AE-87B7-05FE684912A5","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"10013-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"HI09-025",NA,NA,15,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T09:39:45.701Z",NA,NA,NA,NA,NA,"Australia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","c947618f-b9a1-4bbd-b96f-24f4d8b054cf",NA,NA,NA,NA,NA,"",11,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"758",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2009,NA,NA,NA,"",NA,"Brandt",39.191,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-6.125,NA,"","",NA,NA,NA,NA,NA,"","a74e3b68-0a64-4fe3-b8b4-42cf2fea4c94",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Tim Werner","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","3c07cfabf8984ebc1dd291bbc01e503d8cb17ce2","156BDA38-93CD-4898-B4A8-8610651B9B78","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"8920-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"Werner-Zanzibar-1",NA,NA,12,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T17:12:23.894Z",NA,NA,NA,NA,NA,"Tanzania","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","a74e3b68-0a64-4fe3-b8b4-42cf2fea4c94",NA,NA,NA,NA,NA,"",8,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"778",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2013,NA,NA,NA,"",NA,"Brandt",NA,"",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","af6a5b76-80ec-4764-9bbe-91bebc0833f9",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Tan Chia Sing, Tay Teresa Stephanie, David John William Lane, Daphne Gail Fautin, Ria Tan, Arthur Anker, Nathaniel Evan, Sammy Benny Jacky De Grave, Kenny Chua Wei Jie, Zee, Niel B, Bee Yan","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","c5965bfe79a958be91a94a5eab906e92fe3c8aa6","BC6B2DE5-BBD0-499F-9B95-1B994CF6BF08","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"13715-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"IT95",NA,NA,28,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T16:09:41.719Z",NA,NA,NA,NA,NA,"Singapore","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","af6a5b76-80ec-4764-9bbe-91bebc0833f9",NA,NA,NA,NA,NA,"",5,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"786",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2005,NA,NA,NA,"",NA,"Brandt",123.3909,"",NA,"",NA,NA,NA,NA,"","",NA,NA,9.8686,NA,"","Cebu Province",NA,NA,NA,NA,NA,"","efc49b82-ed30-4807-983c-54043d0f834b",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Netchy, K. & Belleza, D.","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","4ca9efb9da35a12b8d5b71a09952ed1646a131f6","6EA96F73-595E-4249-81ED-453A6422C8A9","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"4118-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"KNRL-037",NA,NA,25,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T18:17:36.254Z",NA,NA,NA,NA,NA,"Philippines","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","efc49b82-ed30-4807-983c-54043d0f834b",NA,NA,NA,NA,NA,"",4,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"806",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2013,NA,NA,NA,"",NA,"Brandt",163.47628,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-18.844935,NA,"","New Caledonia",NA,NA,NA,NA,NA,"","77bceb9d-99e1-4c2a-b55d-006961ce1c4a",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Nathaniel Evans","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","87bb835630455424b9ff1f2fc01c8c3607bd626a","CB61C51B-F22E-487A-A65F-155EEC7C938A","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"15909-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"NEST15",NA,NA,7,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T16:07:46.901Z",NA,NA,NA,NA,NA,"France","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","77bceb9d-99e1-4c2a-b55d-006961ce1c4a",NA,NA,NA,NA,NA,"",11,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"833",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2009,NA,NA,NA,"",NA,"Brandt",113.7258,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-22.49297,NA,"","Western Australia",NA,NA,NA,NA,NA,"","e5cebf7a-1fad-4ff7-9070-689b5bb72a45",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"François Michonneau","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","02a0a5b1e96f12c18c2950e861abfba7a8902404","7D044DFD-6931-4176-8275-E400221685E7","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"9543-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"NIN09-St-53",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T13:55:04.964Z",NA,NA,NA,NA,NA,"Australia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","e5cebf7a-1fad-4ff7-9070-689b5bb72a45",NA,NA,NA,NA,NA,"",5,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"865",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2006,NA,NA,NA,"",NA,"Brandt",-149.765,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-17.4836,NA,"","Society Islands",NA,NA,NA,NA,NA,"","560d093e-797e-42b8-bba9-d8998228052a",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Christian McKeon, Chris Meyer, Gustav Paulay","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","2ecea1d9999e31bdbcdc0bd619aecfcc087770cc","13B837E4-6B07-42B1-9520-03E3646EF234","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"5313-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"GP-Loc-901",NA,NA,6,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T15:23:59.146Z",NA,NA,NA,NA,NA,"French Polynesia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","560d093e-797e-42b8-bba9-d8998228052a",NA,NA,NA,NA,NA,"",8,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Moorea Island"
"982",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,91,NA,NA,NA,"",NA,"Brandt",-169.9,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-19.1,NA,"","Niue Island",NA,NA,NA,NA,NA,"","48845c1f-c2e6-44ca-8022-526dc471b61f",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Holthuis, B. & Paulay, G.","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","6a46a960f6743c89c872cc5af1ca714ba3e2bb54","2463B21F-F271-4ECF-9104-74A721E204F2","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"1340-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"BNIUE-423-2",NA,NA,29,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T11:22:35.313Z",NA,NA,NA,NA,NA,"Niue Island","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","48845c1f-c2e6-44ca-8022-526dc471b61f",NA,NA,NA,NA,NA,"",10,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Niue Island"
"1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2003,NA,NA,NA,"",NA,"Brandt",144.7858167,"",NA,"",NA,NA,NA,NA,"","",NA,NA,13.42453333,NA,"","Mariana Islands",NA,NA,NA,NA,NA,"","4d80b33a-c599-40b2-a180-ca500718d783",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Paulay, G., Malay, M., Bonito, V.","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","5f53d04c4a69238e4e72970cbe69b4b959094090","3E47F9E1-B110-43DA-9B48-A98F0FD42598","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"1692-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"GP-Loc-752",NA,NA,16,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T16:28:28.504Z",NA,NA,NA,NA,NA,"USA","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","4d80b33a-c599-40b2-a180-ca500718d783",NA,NA,NA,NA,NA,"",7,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Guam Island"
"1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2009,NA,NA,NA,"",NA,"Brandt",39.28727,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-6.38733,NA,"","",NA,NA,NA,NA,NA,"","06eed2aa-c7b6-45c5-a6a9-7b8525e89f69",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Tim Werner","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","81c9361ce8bcae325f84ea9990ee05dee116a45b","D9408192-0308-4472-A6AB-DBD8D5E3B52B","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"8948-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"Werner-Zanzibar-3",NA,NA,16,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T16:49:31.725Z",NA,NA,NA,NA,NA,"Tanzania","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","06eed2aa-c7b6-45c5-a6a9-7b8525e89f69",NA,NA,NA,NA,NA,"",8,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"1144",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2012,NA,NA,NA,"",NA,"Brandt",145.794118,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-5.002631,NA,"","Madang Province",NA,NA,NA,NA,NA,"","3b455657-e7e3-429d-893c-6c5c41587168",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Pierre Lozouet, Laurent Charles, Timea Neusser, Bastian Brenzinger, John Slapcinsky, Juliette Gorson, Mande Holford, Cyndie Dupoux","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","bf548ba3c6162e0f503c56e76f6ce430e6a9cfe7","7D4E7462-C0ED-4453-B4E8-E1A2E19E2EF0","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"15372-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"PM12",NA,NA,9,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T17:28:33.300Z",NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","3b455657-e7e3-429d-893c-6c5c41587168",NA,NA,NA,NA,NA,"",11,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2011,NA,NA,NA,"",NA,"Brandt",151.541051,"",NA,"",NA,NA,NA,NA,"","",NA,NA,7.285022,NA,"","Caroline Islands",NA,NA,NA,NA,NA,"","babb26ef-228f-430e-ac2c-63a322039bd0",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Sun Kim","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","2035f36deb919b3aeedb4d947459da4b5311a1e6","EF02D059-16F6-4B03-A587-7E42B85155DC","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"11372-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"Kim-CHK-St-01",NA,NA,4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T18:09:31.754Z",NA,NA,NA,NA,NA,"Federated States of Micronesia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","babb26ef-228f-430e-ac2c-63a322039bd0",NA,NA,NA,NA,NA,"",7,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Chuuk Island"
"1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2008,NA,NA,NA,"",NA,"Brandt",48.32303,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-13.46678,NA,"","",NA,NA,NA,NA,NA,"","e22458d3-4200-4841-8f8c-5c73ff97241d",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"G. Bakary, G. Paulay, T. Werner","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","0f1c82b3cda8d553d0cb3346ff6e1e735ed3fea3","324B5892-F48E-440D-8F2C-431CD1A52B48","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"7324-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"MGNW-52",NA,NA,27,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T13:57:04.068Z",NA,NA,NA,NA,NA,"Madagascar","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","e22458d3-4200-4841-8f8c-5c73ff97241d",NA,NA,NA,NA,NA,"",5,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"1167",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2009,NA,NA,NA,"",NA,"Brandt",39.191,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-6.125,NA,"","",NA,NA,NA,NA,NA,"","6ea66110-3de7-4467-835e-916201d876e4",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Tim Werner","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","1eec1bc57dc5613a71e46ab61038bb9cd64c868c","7BAB82DC-3EFC-4C47-A8DA-740BADEC7208","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"8921-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"Werner-Zanzibar-1",NA,NA,12,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T14:36:26.882Z",NA,NA,NA,NA,NA,"Tanzania","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","6ea66110-3de7-4467-835e-916201d876e4",NA,NA,NA,NA,NA,"",8,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
