"","dwc.verbatimEventDate","dwc.associatedSequences","dwc.verbatimCoordinateSystem","dwc.lowestBiostratigraphicZone","dwc.verbatimLocality","idigbio.preservative","idigbio.uuid","dwc.preparation","dwc.verbatimDepth","dwc.individualCount","dwc.verbatimLongitude","dwc.verbatimTaxonRank","dwc.startDayOfYear","dwc.identificationID","dwc.VerbatimEventDate","inhs.location_Stream","dwc.verbatimCoordinates","dwc.continent","dwc.earliestPeriodOrLowestSystem","dwc.rights","idigbio.barcodeValue","dwc.verbatimLatitude","inhs.total_Males","idigbio.determinationHistory","dwc.namePublishedIn","idigbio.tribe","dwc.occurrenceID","dwc.disposition","inhs.formII_females","inhs.superfamily","dwc.occurrenceRemarks","dwc.georeferencedBy","dwc.collectionID","dwc.nameAccordingTo","dwc.nomenclaturalCode","dwc.formation","idigbio.subfamily","dwc.institutionID","dwc.recordNumber","dcterms.reference","dwc.institutionCode","dwc.otherCatalogNumbers","idigbio.endangeredStatus","dwc.footprintWKT","dwc.eventTime","dwc.countryCode","http...symbiota.org.terms.verbatimScientificName","dwc.collectionCode","dwc.verbatimElevation","inhs.relic","inhs.live","dwc.dynamicProperties","idigbio.associatedFamily","dwc.taxonRemarks","inhs.instars_Male","dwc.endDayOfYear","dwc.reproductiveCondition","dwc.taxonID","idigbio.hostFamily","dwc.earliestEraOrLowestErathem","inhs.juv_males","inhs.dead","dcterms.source","dwc.scientificNameID","dwc.infraspecificEpithet","dwc.stateProvince","inhs.juv_undetermined","dwc.taxonRank","dwc.phylum","dwc.behavior","dwc.individualID","idigbio.associateCommonName","dwc.basisOfRecord","dwc.nomenclaturalStatus","dwc.year","idigbio.version","dcterms.accessRights","dwc.month","dwc.higherClassification","id","dcterms.references","dwc.scientificName","dwc.country","dwc.earliestAgeOrLowestStage","dwc.catalogNumber","dwc.minimumDepthInMeters","dwc.fieldNotes","dcterms.language","fcc.pickedBy","dwc.order","dwc.lithostratigraphicTerms","dwc.informationWithheld","dwc.identificationVerificationStatus","inhs.locationTrs","dwc.samplingProtocol","symbiota.verbatimScientificName","dwc.lifeStage","dwc.originalNameUsage","dwc.bed","dwc.typeStatus","dwc.coordinateUncertaintyInMeters","dwc.ownerInstitutionCode","idigbio.associatedRelationship","dwc.family","dwc.previousIdentifications","symbiotaverbatimScientificName","dwc.day","dwc.verbatimSRS","inhs.juv_females","inhs.vouchered","dwc.datasetName","dwc.georeferencedDate","dcterms.rights","dwc.identificationRemarks","fcc.superfamily","dwc.decimalLongitude","fcc.subfamily","dwc.latestPeriodOrHighestSystem","dwc.identificationQualifier","idigbio.substrate","inhs.location_Basin","dwc.establishmentMeans","dwc.minimumElevationInMeters","dwc.habitat","dwc.geodeticDatum","dwc.latestEpochOrHighestSeries","dcterms.type","idigbio.recordId","dwc.eventID","inhs.formII_males","dwc.genus","dwc.higherGeography","idigbio.createdBy","dwc.georeferenceProtocol","dwc.eventRemarks","idigbio.recordIds","dwc.maximumElevationInMeters","dwc.subgenus","dwc.maximumDepthInMeters","idigbio.associateAuthor","dcterms.modified","inhs.location_RiverMile","inhs.instars_Female","dwc.datasetID","dwc.earliestEpochOrLowestSeries","dwc.kingdom","dwc.islandGroup","idigbio.recordID","fcc.datePicked","dwc.associatedMedia","dwc.associatedReferences","row.number","idigbio.associateDeterminedBy","dwc.occurrenceStatus","dwc.rightsHolder","inhs.total_females","dwc.municipality","idigbio.associateIdentifier","idigbio.preparationCount","dwc.decimalLatitude","dwc.locality","dwc.dateIdentified","dwc.identificationReferences","dwc.accessRights","dwc.specificEpithet","dwc.associatedTaxa","dwc.identifiedBy","dwc.fieldNumber","idigbio.associateRelationship","idigbio.etag","dwc.samplingEffort","idigbio.associateCondition","dwc.preparations","dwc.dataGeneralizations","dwc.coordinatePrecision","dwc.latestAgeOrHighestStage","dwc.locationAccordingTo","idigbio.associateNotes","dcterms.rightsHolder","dwc.georeferenceRemarks","idigbio.dateModified","dwc.scientificNameAuthorship","dwc.georeferenceVerificationStatus","dwc.member","dwc.locationID","dwc.waterBody","dwc.latestEraOrHighestErathem","dwc.georeferenceSources","dwc.group","dwc.class","dwc.associatedOccurrences","dwc.locationRemarks","dcterms.bibliographicCitation","idigbio.subgenus","inhs.formI_males","dwc.relatedResourceID","dwc.county","dwc.recordedBy","dwc.eventDate","dwc.namePublishedInID","dwc.vernacularName","dwc.sex","dwc.island"
"742","",NA,"",NA,NA,NA,"b7bf9edf-0664-4a31-ac6d-be61c6167980",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"839C7CD6-502E-4A55-9EDC-35B937EF3E68","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2006,NA,NA,NA,"","b7bf9edf-0664-4a31-ac6d-be61c6167980","","Holothuria tubulosa","France",NA,"4473-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"8339a5533f7657d588a1fc1f2959fddb4ed81051",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T09:40:13.925Z","Gmelin",NA,NA,"Romans-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Pascal Romans","",NA,NA,"",NA
"1045","",NA,"",NA,NA,NA,"ea2b9248-53d5-4530-9ee9-4244ddbf77ac",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"72CA9C2B-099D-403C-98E4-21EA73C61CBE","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 27",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","ea2b9248-53d5-4530-9ee9-4244ddbf77ac","","Holothuria tubulosa","Algeria",NA,"5484-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"61c53420f1b020830b8f0b55fab6e837920a93c1",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T15:56:44.087Z","Gmelin",NA,NA,"Mezali-003","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1111","",NA,"",NA,NA,NA,"baf53ea9-e435-4fa2-bb6e-e33336859a78",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"E4DB1B4D-0790-4386-8C34-3E813D58D09A","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Girona Province",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2014,NA,NA,6,"","baf53ea9-e435-4fa2-bb6e-e33336859a78","","Holothuria tubulosa","Spain",NA,"16216-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,23,NA,NA,NA,NA,NA,NA,"",NA,2.9396,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,41.7226,"","",NA,NA,"tubulosa",NA,"","",NA,"6b2d36c2ea596aa73d32def7c4fc24e857400f6e",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T13:23:17.522Z","Gmelin",NA,NA,"GP-Loc 1043","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Gustav Paulay","",NA,NA,"",NA
"1138","",NA,"",NA,NA,NA,"b43be3f8-63b1-49e0-bd0b-54846a2cec7a",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"A743B2F6-68EF-4471-93D6-F30CDD17ABB0","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 16",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2006,NA,NA,12,"","b43be3f8-63b1-49e0-bd0b-54846a2cec7a","","Holothuria tubulosa","Algeria",NA,"4973-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,17,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"145a3cf470816055471e202b419ac5799e276bae",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T15:02:25.879Z","Gmelin",NA,NA,"Mezali-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1166","",NA,"",NA,NA,NA,"e7ce6890-d042-4d97-8464-a73ae9f86c26",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"87D71224-3D0B-4BBB-B9D8-86873CFC959F","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,1,"","e7ce6890-d042-4d97-8464-a73ae9f86c26","","Holothuria tubulosa","France",NA,"4472-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"0e4e22d15ae8525dcc95599270439ebe7670b95d",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T14:33:03.029Z","Gmelin",NA,NA,"Mezali-006","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1263","",NA,"",NA,NA,NA,"27d9dc5e-e74e-4bb2-89ea-02eee7236db3",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"CEDA577B-2B2C-4703-9BAB-860913AA5351","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 35",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","27d9dc5e-e74e-4bb2-89ea-02eee7236db3","","Holothuria tubulosa","Algeria",NA,"5462-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"169fb8791d649e7eba8fbe2322cb7918a0d8211d",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T13:15:23.462Z","Gmelin",NA,NA,"Mezali-002","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1352","",NA,"",NA,NA,NA,"2e6e01c6-9dd3-40d6-acc0-77f5704607ba",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"2D666CB5-7FB3-4DB3-B79C-1E5973037BF9","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 35",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","2e6e01c6-9dd3-40d6-acc0-77f5704607ba","","Holothuria tubulosa","Algeria",NA,"5478-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"843fbc6ec7e2c3ddc95a321ced9d05a82be29210",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T10:41:33.060Z","Gmelin",NA,NA,"Mezali-002","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1360","",NA,"",NA,NA,NA,"5cd5928d-64df-41e6-9162-2543bd69dfb0",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"F5C1B4B2-35C1-427F-AA93-EE9171C619BE","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 16",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","5cd5928d-64df-41e6-9162-2543bd69dfb0","","Holothuria tubulosa","Algeria",NA,"5466-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"86c8b0b020481b6e6a959c59e34f5c1b9e020721",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T12:28:59.640Z","Gmelin",NA,NA,"Mezali-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1441","",NA,"",NA,NA,NA,"570b8824-ed07-4512-84ca-6c2ddddb267c",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"D4F40912-7BE4-49B9-A418-5ACBCD0D5C22","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 27",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","570b8824-ed07-4512-84ca-6c2ddddb267c","","Holothuria tubulosa","Algeria",NA,"5471-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"a85cdecd9abc2a851c42f5a52767f0fe7942abeb",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T17:13:32.185Z","Gmelin",NA,NA,"Mezali-003","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1587","",NA,"",NA,NA,NA,"64ac480a-f05b-437f-9e40-41c5dcd72823",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"E655F242-3364-4049-B18E-9AFA36401887","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 27",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","64ac480a-f05b-437f-9e40-41c5dcd72823","","Holothuria tubulosa","Algeria",NA,"5458-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"4140c2082f2f6cca4bcf288d6e80d1db000f046c",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T12:48:17.844Z","Gmelin",NA,NA,"Mezali-003","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1695","",NA,"",NA,NA,NA,"f4aa1d6d-3abb-43a0-a968-21a80dffe25a",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"28CCB3B2-D4C4-40F3-8056-E5F30240AC04","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 35",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","f4aa1d6d-3abb-43a0-a968-21a80dffe25a","","Holothuria tubulosa","Algeria",NA,"3851-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"599ceb0f337e9b3e422988e0296d0606056db924",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T18:40:28.359Z","Gmelin",NA,NA,"Mezali-002","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"1953","",NA,"",NA,NA,NA,"75ad13f2-f416-4572-84fe-ee4765b5f636",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"0CC8F954-B7E5-4E97-85B8-603EEE262630","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 16",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","75ad13f2-f416-4572-84fe-ee4765b5f636","","Holothuria tubulosa","Algeria",NA,"5467-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"9b1d9face4034e424a3ecc253d1a26b4c67e0c38",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T10:46:26.506Z","Gmelin",NA,NA,"Mezali-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"2005","",NA,"",NA,NA,NA,"7a126f68-0c14-43c8-8c30-5c1d575841d9",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"8441FAA0-3C25-4416-9EE4-C36A6A9B3CC3","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 27",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","7a126f68-0c14-43c8-8c30-5c1d575841d9","","Holothuria tubulosa","Algeria",NA,"3844-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"f472746d860960082029b0a126f1e3a674b063db",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T16:30:44.597Z","Gmelin",NA,NA,"Mezali-003","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"2027","",NA,"",NA,NA,NA,"f2ad1527-fb70-4de3-a314-9567cbe3f0f3",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"C63B839F-65B1-43B7-A513-60A26C7EEDB3","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 35",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","f2ad1527-fb70-4de3-a314-9567cbe3f0f3","","Holothuria tubulosa","Algeria",NA,"3852-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"6e8b36ded6213b1ca8e6875d81476b185857b07b",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T17:45:14.635Z","Gmelin",NA,NA,"Mezali-002","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"2171","",NA,"",NA,NA,NA,"75448164-30bb-4a90-b9e4-680aa5142465",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"65110A2C-6F71-4DF7-984E-F0EF78D7BDC2","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2006,NA,NA,NA,"","75448164-30bb-4a90-b9e4-680aa5142465","","Holothuria tubulosa","France",NA,"4469-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"4f45d69ecd62021e428b8175f41856237d73a46c",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T12:30:16.312Z","Gmelin",NA,NA,"Romans-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Pascal Romans","",NA,NA,"",NA
