"","idigbio.determinationHistory","dwc.taxonID","inhs.total_Males","dwc.georeferenceVerificationStatus","dwc.phylum","idigbio.substrate","dwc.family","dwc.preparations","dwc.associatedTaxa","dwc.class","dwc.earliestAgeOrLowestStage","dcterms.bibliographicCitation","dwc.taxonRank","idigbio.associateAuthor","idigbio.associatedFamily","dwc.islandGroup","inhs.locationTrs","symbiotaverbatimScientificName","dwc.datasetName","inhs.superfamily","dwc.coordinatePrecision","idigbio.subgenus","id","dwc.formation","idigbio.associateIdentifier","dwc.typeStatus","dwc.member","dwc.earliestEpochOrLowestSeries","dwc.continent","dwc.minimumElevationInMeters","dwc.habitat","dwc.locationRemarks","idigbio.endangeredStatus","dwc.collectionCode","dwc.order","idigbio.subfamily","dcterms.references","dwc.day","inhs.instars_Male","dwc.earliestPeriodOrLowestSystem","dwc.subgenus","dwc.lowestBiostratigraphicZone","dwc.georeferenceSources","dwc.occurrenceRemarks","dwc.institutionCode","dwc.kingdom","inhs.juv_females","dwc.georeferenceRemarks","fcc.superfamily","dwc.eventDate","dwc.latestEpochOrHighestSeries","idigbio.recordIds","dwc.scientificName","dwc.scientificNameAuthorship","dwc.preparation","dwc.stateProvince","dwc.associatedSequences","dwc.identificationQualifier","dwc.countryCode","inhs.formII_males","fcc.subfamily","dwc.eventTime","inhs.instars_Female","dcterms.rights","dwc.nomenclaturalCode","dwc.group","idigbio.associateNotes","dwc.higherGeography","dwc.latestEraOrHighestErathem","dwc.fieldNumber","dwc.locationID","dwc.latestPeriodOrHighestSystem","idigbio.dateModified","dwc.scientificNameID","dwc.verbatimDepth","idigbio.tribe","dwc.datasetID","dwc.vernacularName","idigbio.version","dwc.geodeticDatum","dwc.informationWithheld","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimLocality","inhs.location_RiverMile","dwc.namePublishedIn","dwc.verbatimTaxonRank","row.number","dcterms.rightsHolder","dwc.locality","dwc.endDayOfYear","dwc.relatedResourceID","dwc.associatedMedia","dwc.individualID","inhs.formII_females","dwc.locationAccordingTo","dwc.individualCount","dwc.VerbatimEventDate","dcterms.source","symbiota.verbatimScientificName","dwc.startDayOfYear","fcc.datePicked","dwc.institutionID","inhs.location_Stream","dwc.georeferencedDate","dwc.waterBody","dwc.dataGeneralizations","inhs.juv_males","dwc.latestAgeOrHighestStage","dwc.dateIdentified","dwc.samplingProtocol","inhs.live","dwc.verbatimEventDate","dwc.decimalLatitude","idigbio.hostFamily","dwc.infraspecificEpithet","dwc.georeferencedBy","dcterms.language","dwc.namePublishedInID","dwc.basisOfRecord","dwc.island","dwc.originalNameUsage","idigbio.recordId","dwc.samplingEffort","dwc.establishmentMeans","inhs.relic","dwc.bed","dwc.footprintWKT","dwc.municipality","dwc.county","idigbio.associateCondition","dwc.verbatimSRS","dwc.verbatimCoordinateSystem","idigbio.etag","dwc.lifeStage","dwc.identificationID","dwc.recordNumber","dwc.ownerInstitutionCode","idigbio.preparationCount","dwc.genus","idigbio.associateRelationship","dwc.behavior","idigbio.uuid","dcterms.modified","dwc.identificationRemarks","dwc.catalogNumber","dwc.georeferenceProtocol","dwc.occurrenceStatus","dwc.eventRemarks","idigbio.recordID","dcterms.accessRights","dwc.recordedBy","dwc.taxonRemarks","dwc.associatedOccurrences","dwc.nomenclaturalStatus","dwc.associatedReferences","idigbio.associateDeterminedBy","dwc.sex","inhs.juv_undetermined","dwc.previousIdentifications","dwc.disposition","idigbio.associatedRelationship","dwc.verbatimLongitude","dwc.maximumDepthInMeters","fcc.pickedBy","dcterms.type","dwc.lithostratigraphicTerms","idigbio.barcodeValue","dwc.earliestEraOrLowestErathem","dwc.dynamicProperties","dwc.eventID","dwc.identificationVerificationStatus","dwc.rights","dwc.maximumElevationInMeters","dwc.identifiedBy","dwc.fieldNotes","inhs.total_females","dwc.occurrenceID","dwc.accessRights","dwc.decimalLongitude","dwc.higherClassification","inhs.formI_males","inhs.vouchered","dwc.verbatimLatitude","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.rightsHolder","idigbio.associateCommonName","dwc.verbatimCoordinates","inhs.dead","idigbio.preservative","dwc.identificationReferences","dwc.reproductiveCondition","dwc.coordinateUncertaintyInMeters","dwc.year","dcterms.reference","dwc.verbatimElevation","dwc.country","inhs.location_Basin","dwc.specificEpithet","dwc.month","dwc.nameAccordingTo","idigbio.createdBy","dwc.collectionID"
"2112",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c19ecef3-bc71-4d74-80b8-0abc5e72a37b",NA,NA,"",NA,NA,"[no higher geography data]",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-519",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"[no higher geography data], null",NA,"","",NA,"2014-07-12T19:51:09.561Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","[no specific locality data]",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-519",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"unknown",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","ef192f9596f8aeb031365833025e87a160193f53",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"c19ecef3-bc71-4d74-80b8-0abc5e72a37b","2014-06-10 16:59:13.0","","HOL-519","",NA,"",NA,NA,"[no agent data]",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-519",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2115",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8d21cb59-839c-43af-8fd8-8aaf2f0db2ea",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1882",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1938-01-14",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-26T00:41:43.772Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Costa Rica, Cocos Island, Chatham Bay",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1882",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"January 14, 1938",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","799072dbc5a67f59f9744c95338ba1d9382801bc",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"8d21cb59-839c-43af-8fd8-8aaf2f0db2ea","2014-07-18 14:25:46.0","","HOL-1882","",NA,"",NA,NA,"Hancock Pacific Expeditions, RV Velero III",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1882",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2350",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (dry)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8238afc8-ece7-4c3f-aa85-cad20f42650a",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4067",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1962-01-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-01-10T17:41:28.212Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Off Mexico, Sonora, Norse Beach",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4067",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1962-01-31",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","2b4ae330f3797a3a4966a748406324ff2aab5279",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"8238afc8-ece7-4c3f-aa85-cad20f42650a","2012-12-17 10:23:49.0","Found dry on March 16, 2007 by JW.","HOL-4067","",NA,"",NA,NA,"CAW Jr",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], [no agent data]",NA,NA,"MCZ:IZ:HOL-4067",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","other number=2",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2359",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,"fe5fcd6e-3c5c-423c-bdfe-b141219fdb8a",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-692",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1899-06-26",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-06-18T05:24:54.271Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Bermuda, Hungry Bay",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-692",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"June 26, 1899",32.288889,NA,"","Jessica Anne Mullen","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","f586fdde2779736eb521272a3aef4365daa3d207",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"fe5fcd6e-3c5c-423c-bdfe-b141219fdb8a","2012-11-01 11:47:57.0","","HOL-692","GEOLocate",NA,"",NA,NA,"Hubert Lyman Clark, Bermuda Expedition 1899",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"-64.760556d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"Hubert Lyman Clark, [no agent data]",NA,NA,"MCZ:IZ:HOL-692",NA,-64.760556,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"32.288889d","",NA,NA,NA,"",NA,NA,NA,NA,301,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2369",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (dry)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fe645190-922b-4088-96e1-79000b71830a",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-3000",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1935-01-27",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-12T15:42:14.651Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Colombia",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-3000",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1935-01-27",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","150516a13701adbefaef5d1e5ef8c00f6bd0f520",NA,NA,"397-51","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"fe645190-922b-4088-96e1-79000b71830a","2014-07-02 13:06:12.0","Found dry in March 2007 by GCB.","HOL-3000","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:HOL-3000",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-51; original ledger number=3000A",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2389",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (dry)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0cea8895-6e1b-4474-9e22-9a0e6d431a00",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125735",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1934-12-06",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Southeast",NA,"","",NA,"2014-07-12T13:27:58.811Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Galapagos Islands, Charles Island [Ecuador]",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125735",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1934-12-06",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","b5a8867298cb4e0d14b45967436a0dfcca896558",NA,NA,"397-41","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"0cea8895-6e1b-4474-9e22-9a0e6d431a00","2014-07-02 13:06:12.0","Found dry on in March 2007 by GCB.","125735","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Elisabeth Deichmann, [no agent data]",NA,NA,"MCZ:IZ:125735",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-41; original ledger number=3000I",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2391",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c0853578-d6b8-4247-9fed-6558d5bdcf62",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127884",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1934-02-15",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-12T16:59:13.502Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Colombia, Port Utria",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127884",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"February 15, 1934",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","c414b038e52271d26e2f3b707bd7a008bbe93888",NA,NA,"397-11","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"c0853578-d6b8-4247-9fed-6558d5bdcf62","2014-07-02 13:06:12.0","","127884","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:127884",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-11; original ledger number=3000O; station number=239-34",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2393",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e67d9a73-beab-41bf-8e91-9fcdc8012954",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1938",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1925-02-01/1925-08-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Southeast",NA,"","",NA,"2014-07-12T17:35:51.726Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Ecuador: Galapagos, Tower Island",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1938",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"February- August 1925",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","20244f2f0f30c44c59e04264a58a5447205f273e",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"e67d9a73-beab-41bf-8e91-9fcdc8012954","2012-11-19 12:02:39.0","","HOL-1938","",NA,"",NA,NA,"William Beebe",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1938",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2405",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074,NA,"daf4e690-ec83-4c8c-8254-5d8d5782a641",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1505",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1932-04-01/1932-04-30",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Southwest",NA,"","",NA,"2014-07-12T14:12:24.139Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Australia, off New South Wales, Lord Howe Island; Ned&#39;s Beach",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1505",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"April 1932",-31.516,NA,"","Penny Benson","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","d82e624ed7afeb80cb99c5eb1821bff9439d68a7",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"daf4e690-ec83-4c8c-8254-5d8d5782a641","2014-06-18 15:12:07.0","","HOL-1505","GEOLocate",NA,"",NA,NA,"Harvard Australian Expedition 1931-1932",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"159.083d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1505",NA,159.083,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"-31.516d","",NA,NA,NA,"",NA,NA,NA,NA,1074,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2415",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a13c94b5-441d-4049-81cb-e2450df15347",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127882",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1934-03-05",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-12T20:25:06.768Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Mexico, Magdalena Island, Tres Maria Islands, Gulf of California",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127882",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"March 9, 1934",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","10be41f125b9749161d100bc72ffb4b8be2813a9",NA,NA,"397-18","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"a13c94b5-441d-4049-81cb-e2450df15347","2014-07-02 13:06:12.0","","127882","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:127882",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-18; original ledger number=3000L; station number=972-39",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2433",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (dry)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6aa2ec3f-0234-4e56-88f5-3acff7698f82",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125733",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1934-06-10",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-22T07:53:41.835Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Mexico, Clarion Is.",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125733",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1934-06-10",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","fa278350f80d201004c18823a7a1cded1471324c",NA,NA,"397-42","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"6aa2ec3f-0234-4e56-88f5-3acff7698f82","2014-07-02 13:14:55.0","Found dry in March 2007 by GCB.","125733","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Elisabeth Deichmann, [no agent data]",NA,NA,"MCZ:IZ:125733",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-42; original ledger number=3000J",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
