"","row.number","fcc.superfamily","dwc.behavior","http...symbiota.org.terms.verbatimScientificName","dwc.eventRemarks","dwc.verbatimLongitude","dwc.rightsHolder","inhs.total_Males","dwc.vernacularName","dwc.latestAgeOrHighestStage","dwc.namePublishedInID","dwc.georeferenceSources","dwc.latestPeriodOrHighestSystem","idigbio.associateRelationship","dwc.VerbatimEventDate","dwc.individualID","dwc.member","dwc.institutionCode","idigbio.recordID","dwc.catalogNumber","idigbio.preparationCount","inhs.formII_females","inhs.instars_Female","dwc.nameAccordingTo","dwc.namePublishedIn","inhs.vouchered","dwc.identifiedBy","dwc.georeferencedBy","dwc.dataGeneralizations","idigbio.associatedFamily","dwc.samplingEffort","dwc.identificationID","dwc.associatedReferences","symbiotaverbatimScientificName","dcterms.references","dwc.waterBody","dwc.class","dwc.taxonRemarks","inhs.juv_females","dwc.family","idigbio.version","dwc.verbatimCoordinateSystem","dwc.identificationReferences","dwc.coordinateUncertaintyInMeters","idigbio.hostFamily","dwc.collectionCode","dcterms.rights","dwc.associatedSequences","dwc.sex","dwc.associatedTaxa","inhs.live","dwc.institutionID","dwc.scientificNameAuthorship","dwc.endDayOfYear","dwc.samplingProtocol","dwc.maximumElevationInMeters","dwc.identificationRemarks","dwc.nomenclaturalStatus","dcterms.modified","inhs.location_RiverMile","dwc.specificEpithet","dwc.group","dwc.earliestPeriodOrLowestSystem","dwc.countryCode","fcc.datePicked","idigbio.etag","dwc.taxonID","dwc.preparations","inhs.instars_Male","dwc.eventTime","dwc.scientificName","dwc.occurrenceStatus","dcterms.accessRights","dwc.collectionID","dwc.typeStatus","dwc.latestEraOrHighestErathem","dwc.associatedOccurrences","dwc.habitat","idigbio.recordIds","dwc.verbatimCoordinates","inhs.juv_undetermined","dwc.reproductiveCondition","dwc.informationWithheld","dwc.minimumDepthInMeters","dwc.otherCatalogNumbers","dcterms.type","dwc.subgenus","inhs.location_Basin","dwc.geodeticDatum","dwc.verbatimDepth","dwc.verbatimElevation","dwc.datasetName","dwc.higherGeography","dwc.verbatimLocality","inhs.locationTrs","dwc.disposition","dwc.month","inhs.location_Stream","dcterms.bibliographicCitation","idigbio.associateIdentifier","dwc.identificationQualifier","dwc.earliestAgeOrLowestStage","dwc.georeferenceVerificationStatus","idigbio.dateModified","dwc.georeferencedDate","dwc.recordedBy","dwc.occurrenceID","dwc.eventID","symbiota.verbatimScientificName","dwc.bed","dwc.lowestBiostratigraphicZone","idigbio.tribe","dwc.lithostratigraphicTerms","dwc.verbatimLatitude","dwc.formation","idigbio.endangeredStatus","dwc.infraspecificEpithet","dwc.lifeStage","idigbio.subfamily","dwc.associatedMedia","dwc.recordNumber","inhs.superfamily","dwc.verbatimSRS","idigbio.recordId","dwc.verbatimTaxonRank","dwc.rights","dwc.country","dwc.basisOfRecord","dwc.georeferenceProtocol","dwc.locationAccordingTo","idigbio.uuid","dwc.taxonRank","inhs.formII_males","id","fcc.subfamily","idigbio.associateDeterminedBy","dwc.kingdom","dwc.county","dwc.establishmentMeans","inhs.total_females","idigbio.barcodeValue","idigbio.preservative","dwc.stateProvince","dwc.previousIdentifications","dwc.identificationVerificationStatus","dwc.islandGroup","dwc.relatedResourceID","idigbio.substrate","dwc.fieldNotes","idigbio.associateAuthor","idigbio.associateCommonName","inhs.relic","dwc.nomenclaturalCode","dwc.locationRemarks","dwc.latestEpochOrHighestSeries","dwc.earliestEpochOrLowestSeries","dwc.locationID","dwc.day","dwc.earliestEraOrLowestErathem","idigbio.associateCondition","dwc.decimalLongitude","dwc.coordinatePrecision","dwc.dateIdentified","dwc.municipality","dwc.order","inhs.juv_males","dwc.locality","dwc.originalNameUsage","dwc.dynamicProperties","dcterms.source","inhs.formI_males","dwc.startDayOfYear","dwc.verbatimEventDate","dwc.decimalLatitude","dwc.footprintWKT","dwc.fieldNumber","dwc.preparation","dwc.maximumDepthInMeters","idigbio.createdBy","dcterms.rightsHolder","fcc.pickedBy","dwc.year","dwc.individualCount","dwc.genus","dwc.ownerInstitutionCode","dwc.scientificNameID","dwc.eventDate","dwc.continent","dcterms.language","dwc.georeferenceRemarks","idigbio.subgenus","dwc.accessRights","inhs.dead","dwc.minimumElevationInMeters","dwc.phylum","dwc.datasetID","dcterms.reference","dwc.island","idigbio.associateNotes","idigbio.determinationHistory","dwc.occurrenceRemarks","idigbio.associatedRelationship","dwc.higherClassification"
"486",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"FLMNH",NA,"8863-Echinodermata",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"","","Holothuroidea",NA,NA,"Holothuriidae",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,NA,"",NA,NA,"","Clark",NA,"",NA,"",NA,"09/08/2014",NA,"macroperona",NA,NA,NA,NA,"ea734acbb9efdaf47373d7e4c11a977f4c352d31",NA,"",NA,NA,"Holothuria macroperona",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,"",5,NA,NA,NA,NA,NA,NA,"2014-09-12T16:14:53.416Z",NA,"Robert Lasley & Rainbo Dixon","E34A532C-5DD2-4FF9-B199-864AFD849534",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"Australia","PreservedSpecimen","",NA,"ce7c0e18-af45-4a31-aa84-fcda4af2f0a8",NA,NA,"ce7c0e18-af45-4a31-aa84-fcda4af2f0a8",NA,NA,"","",NA,NA,NA,NA,"South Australia",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"Lasley-SA-3",3,NA,NA,137.749,NA,"",NA,"Aspidochirotida",NA,"",NA,"",NA,NA,NA,"",-35.085,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,2009,NA,"Holothuria","",NA,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,""
"2206",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"FLMNH",NA,"8872-Echinodermata",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"","","Holothuroidea",NA,NA,"Holothuriidae",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,NA,"",NA,NA,"","Clark",NA,"",NA,"",NA,"09/08/2014",NA,"macroperona",NA,NA,NA,NA,"63028877a708f94d3f05f824d8ca0f252d75daf7",NA,"",NA,NA,"Holothuria macroperona",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,"",5,NA,NA,NA,NA,NA,NA,"2014-09-12T18:31:43.627Z",NA,"Robert Lasley & Rainbo Dixon","C133F9EB-9D36-40EF-BA4A-FEDBFEA6866A",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"Australia","PreservedSpecimen","",NA,"9149979d-0e58-4a6e-9766-8ee7b77fe717",NA,NA,"9149979d-0e58-4a6e-9766-8ee7b77fe717",NA,NA,"","",NA,NA,NA,NA,"South Australia",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"Lasley-SA-3",3,NA,NA,137.749,NA,"",NA,"Aspidochirotida",NA,"",NA,"",NA,NA,NA,"",-35.085,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,2009,NA,"Holothuria","",NA,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,""
