"","dwc.collectionID","inhs.formII_females","dwc.higherClassification","idigbio.associateIdentifier","inhs.vouchered","dwc.earliestEraOrLowestErathem","dwc.institutionCode","fcc.datePicked","dwc.collectionCode","dwc.rightsHolder","idigbio.dateModified","fcc.subfamily","inhs.formII_males","dwc.typeStatus","dwc.namePublishedIn","dwc.verbatimCoordinateSystem","dwc.scientificName","inhs.instars_Female","dcterms.rights","inhs.location_Stream","dwc.relatedResourceID","dwc.member","dwc.identificationRemarks","dwc.lowestBiostratigraphicZone","dwc.coordinatePrecision","dwc.georeferenceRemarks","idigbio.hostFamily","inhs.juv_undetermined","dcterms.accessRights","dwc.georeferenceVerificationStatus","dwc.latestEpochOrHighestSeries","dcterms.source","dwc.taxonID","fcc.pickedBy","idigbio.barcodeValue","inhs.relic","inhs.live","dwc.verbatimLocality","inhs.dead","dwc.startDayOfYear","idigbio.tribe","dwc.basisOfRecord","dwc.dataGeneralizations","dwc.institutionID","dwc.informationWithheld","dwc.disposition","idigbio.preservative","dwc.associatedOccurrences","idigbio.recordIds","dwc.vernacularName","dwc.nameAccordingTo","dwc.family","dwc.identifiedBy","dwc.georeferencedDate","dwc.waterBody","inhs.location_Basin","dwc.minimumDepthInMeters","dwc.reproductiveCondition","inhs.formI_males","dwc.lithostratigraphicTerms","dwc.samplingEffort","dwc.verbatimElevation","dwc.specificEpithet","idigbio.recordId","dwc.locationAccordingTo","dwc.locationRemarks","inhs.juv_females","dwc.earliestEpochOrLowestSeries","dwc.associatedMedia","id","idigbio.associateAuthor","idigbio.subfamily","dcterms.rightsHolder","dwc.fieldNotes","dwc.latestAgeOrHighestStage","dwc.phylum","dwc.taxonRank","idigbio.associateRelationship","inhs.total_females","dwc.kingdom","dwc.municipality","dwc.minimumElevationInMeters","dwc.behavior","dwc.endDayOfYear","dwc.verbatimDepth","dwc.class","dwc.associatedTaxa","dwc.associatedReferences","dwc.previousIdentifications","dwc.identificationReferences","dwc.scientificNameID","symbiota.verbatimScientificName","dwc.eventID","dwc.verbatimLongitude","idigbio.associateCondition","dwc.day","dwc.taxonRemarks","dwc.VerbatimEventDate","dwc.infraspecificEpithet","idigbio.associateDeterminedBy","idigbio.associateNotes","idigbio.etag","dwc.preparation","dwc.verbatimLatitude","fcc.superfamily","dwc.bed","dwc.georeferenceSources","dwc.earliestAgeOrLowestStage","dwc.island","dwc.identificationID","dwc.higherGeography","dcterms.modified","dwc.month","dwc.scientificNameAuthorship","dwc.originalNameUsage","idigbio.determinationHistory","dwc.decimalLongitude","dwc.order","dwc.identificationVerificationStatus","dwc.earliestPeriodOrLowestSystem","dwc.locality","dwc.occurrenceRemarks","dwc.datasetName","dwc.accessRights","dwc.year","inhs.juv_males","dwc.georeferencedBy","dwc.samplingProtocol","idigbio.uuid","http...symbiota.org.terms.verbatimScientificName","dcterms.reference","inhs.total_Males","dwc.latestEraOrHighestErathem","dwc.ownerInstitutionCode","dwc.establishmentMeans","dcterms.type","dcterms.bibliographicCitation","dwc.subgenus","dwc.decimalLatitude","dwc.dateIdentified","idigbio.subgenus","dwc.geodeticDatum","dwc.stateProvince","row.number","idigbio.version","dwc.occurrenceStatus","dwc.datasetID","dwc.eventDate","idigbio.recordID","idigbio.endangeredStatus","dwc.maximumDepthInMeters","inhs.location_RiverMile","dwc.coordinateUncertaintyInMeters","dwc.identificationQualifier","dwc.namePublishedInID","dwc.associatedSequences","dwc.rights","inhs.superfamily","dwc.recordedBy","dwc.nomenclaturalStatus","idigbio.substrate","symbiotaverbatimScientificName","inhs.instars_Male","dwc.locationID","dwc.nomenclaturalCode","dwc.group","dwc.individualCount","dcterms.references","idigbio.createdBy","inhs.locationTrs","dwc.sex","dwc.verbatimCoordinates","dwc.otherCatalogNumbers","dwc.county","dwc.continent","idigbio.associateCommonName","dwc.eventTime","dwc.maximumElevationInMeters","dcterms.language","dwc.habitat","idigbio.associatedRelationship","dwc.georeferenceProtocol","dwc.lifeStage","dwc.catalogNumber","dwc.occurrenceID","dwc.eventRemarks","dwc.latestPeriodOrHighestSystem","dwc.countryCode","dwc.individualID","idigbio.associatedFamily","dwc.recordNumber","dwc.verbatimEventDate","dwc.formation","dwc.islandGroup","dwc.genus","dwc.dynamicProperties","dwc.preparations","dwc.country","dwc.verbatimTaxonRank","dwc.fieldNumber","idigbio.preparationCount","dwc.footprintWKT","dwc.verbatimSRS"
"442",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T11:28:31.102Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","50a820c9-0b08-4f09-afb3-1a841bb8c3d7",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,29,NA,NA,"",NA,NA,"d2b67f050a4c7d8548439ee34c8b354f1423f8c2",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",6,"Selenka",NA,NA,146.672777777778,"Aspidochirotida","",NA,"",NA,NA,NA,2003,NA,"","","50a820c9-0b08-4f09-afb3-1a841bb8c3d7",NA,NA,NA,NA,"",NA,"",NA,NA,-2.26027777777778,"",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kirkendale, L.",NA,NA,NA,NA,"LAK-165","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"2264-Echinodermata","538D88D4-5B7A-4B78-AB00-36457BC70F07","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Papua New Guinea",NA,"",NA,NA,NA
"454",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T10:58:27.135Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","1543b9b0-e580-4ac9-af98-a9588436993a",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,8,NA,NA,"",NA,NA,"91a1d6c7112735d0e550668f42e323607308f591",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",11,"Selenka",NA,NA,163.53815,"Aspidochirotida","",NA,"",NA,NA,NA,2013,NA,"","","1543b9b0-e580-4ac9-af98-a9588436993a",NA,NA,NA,NA,"",NA,"",NA,NA,-18.86125,"",NA,"","New Caledonia",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nathaniel Evans",NA,NA,NA,NA,"NEST16","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"15939-Echinodermata","177F6B6A-609C-4F95-B20B-591C84F8D530","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","France",NA,"",NA,NA,NA
"466",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T12:30:10.522Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","3049bcc5-47ce-40c3-aa97-7a4edf93df48",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,26,NA,NA,"",NA,NA,"0a5016d8aea57cd1e42efe56b681866c07609dec",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",11,"Selenka",NA,NA,-140.6638,"Aspidochirotida","",NA,"",NA,NA,NA,2011,NA,"","","3049bcc5-47ce-40c3-aa97-7a4edf93df48",NA,NA,NA,NA,"",NA,"",NA,NA,-7.96316666666667,"",NA,"","Marquesas Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,NA,NA,NA,"MQ011","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Eiao","",NA,NA,NA,"","",NA,"",NA,"11224-Echinodermata","803D5C91-2AB9-46E7-AFC1-0B00D49D079F","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","French Polynesia",NA,"",NA,NA,NA
"481",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T16:28:16.679Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","f2fe4f6d-400c-4944-b7bd-07c577685e93",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,16,NA,NA,"",NA,NA,"3e50736249a2d901d974d25eab5963272c2b3eb1",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",10,"Selenka",NA,NA,-166.2348,"Aspidochirotida","",NA,"",NA,NA,NA,2006,NA,"","","f2fe4f6d-400c-4944-b7bd-07c577685e93",NA,NA,NA,NA,"",NA,"",NA,NA,23.8732,"",NA,"","Hawaiian Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gustav Paulay, Sea McKeon, John Starmer, Tito Lotufo, Scott Godwin, Jody Martin & Jim Maragos",NA,NA,NA,NA,"FFS-0087","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","French Frigate Shoals","",NA,NA,NA,"","",NA,"",NA,"6151-Echinodermata","E31FEB8C-0C59-4639-8264-EFA2E4C86DA1","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","USA",NA,"",NA,NA,NA
"497",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T13:20:00.521Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","d71f1640-f693-4345-b497-e1498704c586",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,4,NA,NA,"",NA,NA,"f95ca50d4587d8fe1e62254468b0f8e5dfdd4bbd",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",12,"Selenka",NA,NA,-149.772984,"Aspidochirotida","",NA,"",NA,NA,NA,2009,NA,"","","d71f1640-f693-4345-b497-e1498704c586",NA,NA,NA,NA,"",NA,"",NA,NA,-17.48859,"",NA,"","Society Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarah McPherson",NA,NA,NA,NA,"BIZ-225","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Moorea Island","",NA,NA,NA,"","",NA,"",NA,"9862-Echinodermata","D8D91AA0-7E50-4E5C-9D55-E1544DABB49C","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","French Polynesia",NA,"",NA,NA,NA
"507",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T16:38:36.306Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","10b2ad3a-e7b8-49e7-9e20-7792598ee3e7",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,28,NA,NA,"",NA,NA,"8d137916d64c5f7d859b75f459c57fff1ec73d2a",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",2,"Selenka",NA,NA,163.01382,"Aspidochirotida","",NA,"",NA,NA,NA,2008,NA,"","","10b2ad3a-e7b8-49e7-9e20-7792598ee3e7",NA,NA,NA,NA,"",NA,"",NA,NA,5.36916,"",NA,"","Caroline Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sun Kim, Alex Kerr, François Michonneau",NA,NA,NA,NA,"KOSR-11","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Kosrae Island","",NA,NA,NA,"","",NA,"",NA,"6932-Echinodermata","D213EBDE-6B69-455A-94D9-5562F2970EED","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Federated States of Micronesia",NA,"",NA,NA,NA
"697",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T10:09:48.700Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","5ea6203f-bb7e-4d90-8603-3e6109ce505d",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,18,NA,NA,"",NA,NA,"07df7b9888651c5b457452c83d6c20b0731c4959",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",4,"Selenka",NA,NA,144.8,"Aspidochirotida","",NA,"",NA,NA,NA,1965,NA,"","","5ea6203f-bb7e-4d90-8603-3e6109ce505d",NA,NA,NA,NA,"",NA,"",NA,NA,13.5,"",NA,"","Mariana Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V. Cone",NA,NA,NA,NA,"UGI-Station-108","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Guam Island","",NA,NA,NA,"","",NA,"",NA,"12298-Echinodermata","C5038A4B-FC47-411B-B9BF-FE679E3177E3","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","USA",NA,"",NA,NA,NA
"707",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T10:27:42.326Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","f5b792ea-e809-4f45-ac61-1e2486d063df",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,24,NA,NA,"",NA,NA,"dda7940095958b39bd23bf170ce293613a5c009e",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",11,"Selenka",NA,NA,-140.71175,"Aspidochirotida","",NA,"",NA,NA,NA,2011,NA,"","","f5b792ea-e809-4f45-ac61-1e2486d063df",NA,NA,NA,NA,"",NA,"",NA,NA,-7.97956666666667,"",NA,"","Marquesas Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,NA,NA,NA,"MQ007","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Eiao","",NA,NA,NA,"","",NA,"",NA,"11199-Echinodermata","CF45C195-839E-4313-9156-475F19230413","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","French Polynesia",NA,"",NA,NA,NA
"732",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T09:08:30.419Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","54a920ba-fab0-433a-8817-ab550bfdd102",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"1e8457a25d8b162b449218f5dbfddb6b8bb59198",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",11,"Selenka",NA,NA,152,"Aspidochirotida","",NA,"",NA,NA,NA,2009,NA,"","","54a920ba-fab0-433a-8817-ab550bfdd102",NA,NA,NA,NA,"",NA,"",NA,NA,-23,"",NA,"","Queensland",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"HI09-131","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"10210-Echinodermata","9BC8A429-1A37-41EA-B05C-271A7A905DB8","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Australia",NA,"",NA,NA,NA
"749",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T17:44:55.470Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","26eeb5bf-bc95-4336-80d6-04d88343cd41",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,25,NA,NA,"",NA,NA,"d5760ecc0cc155359737a87ae69b2b63e6247c1a",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",4,"Selenka",NA,NA,123.3909,"Aspidochirotida","",NA,"",NA,NA,NA,2005,NA,"","","26eeb5bf-bc95-4336-80d6-04d88343cd41",NA,NA,NA,NA,"",NA,"",NA,NA,9.8686,"",NA,"","Cebu Province",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Netchy, K. & Belleza, D.",NA,NA,NA,NA,"KNRL-037","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"4111-Echinodermata","10DE49A8-66FA-42AC-B50E-E8C5E3D786E9","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Philippines",NA,"",NA,NA,NA
"791",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T16:10:48.615Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","6ceace06-98ff-4f90-8726-498471434a4a",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,16,NA,NA,"",NA,NA,"4b95bc7dfd9b8fd54d31fdf5d7d6f97b0d8093fe",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",2,"Selenka",NA,NA,145.3506,"Aspidochirotida","",NA,"",NA,NA,NA,2009,NA,"","","6ceace06-98ff-4f90-8726-498471434a4a",NA,NA,NA,NA,"",NA,"",NA,NA,-14.6068,"",NA,"","Queensland",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robert Lasley, François Michonneau",NA,NA,NA,NA,"AUST-ST-047","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"8357-Echinodermata","B5B15F87-89AE-4482-AFB7-681ABBF7592B","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Australia",NA,"",NA,NA,NA
"796",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T18:49:14.503Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","1a9dabdf-58c1-4626-8e58-1d850cdfad29",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"e07413b489dd1004cfc21613f6387394d072733e",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",5,"Selenka",NA,NA,113.7073,"Aspidochirotida","",NA,"",NA,NA,NA,2009,NA,"","","1a9dabdf-58c1-4626-8e58-1d850cdfad29",NA,NA,NA,NA,"",NA,"",NA,NA,-22.40793,"",NA,"","Western Australia",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"François Michonneau",NA,NA,NA,NA,"NIN09-St-101","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"9632-Echinodermata","6464681A-1B5D-42ED-A1C3-0A59B59FCBE9","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Australia",NA,"",NA,NA,NA
"807",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T17:51:29.621Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","aa573b3a-6bc3-4e47-8696-f1173ffe9c16",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,14,NA,NA,"",NA,NA,"594eb04f13dc923a281e216a053e471c34521f49",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",2,"Selenka",NA,NA,144.796052,"Aspidochirotida","",NA,"",NA,NA,NA,2008,NA,"","","aa573b3a-6bc3-4e47-8696-f1173ffe9c16",NA,NA,NA,NA,"",NA,"",NA,NA,13.426695,"",NA,"","Mariana Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"François Michonneau",NA,NA,NA,NA,"FM-St-GU08-03","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Guam Island","",NA,NA,NA,"","",NA,"",NA,"6723-Echinodermata","8F06ABD2-2268-43FC-9344-83C12EC0D88C","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","USA",NA,"",NA,NA,NA
"818",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T13:12:08.386Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","12571a6b-8bb2-44e1-be24-b5d9ee2c77e0",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,8,NA,NA,"",NA,NA,"2c3ce6a96271fab3e3cf2bb8d14308ac237d053c",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",4,"Selenka",NA,NA,171.21438,"Aspidochirotida","",NA,"",NA,NA,NA,2008,NA,"","","12571a6b-8bb2-44e1-be24-b5d9ee2c77e0",NA,NA,NA,NA,"",NA,"",NA,NA,7.15792,"",NA,"","Marshall Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"François Michonneau & Sun Kim",NA,NA,NA,NA,"FM-St-MAJ08-11","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Majuro Atoll","",NA,NA,NA,"","",NA,"",NA,"6757-Echinodermata","9E2DB27E-0A1D-4713-879A-B93006CC99CA","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Republic of the Marshall Islands",NA,"",NA,NA,NA
