"","dwc.identificationReferences","dwc.member","dwc.latestAgeOrHighestStage","dwc.institutionCode","dwc.infraspecificEpithet","inhs.juv_females","dwc.dateIdentified","dwc.disposition","dcterms.language","idigbio.hostFamily","dwc.occurrenceStatus","dwc.verbatimSRS","dwc.eventTime","idigbio.etag","dwc.georeferenceSources","dwc.vernacularName","dwc.latestEpochOrHighestSeries","inhs.formI_males","inhs.total_females","dwc.countryCode","idigbio.preparationCount","idigbio.associateRelationship","dwc.kingdom","dwc.eventRemarks","dwc.verbatimDepth","inhs.instars_Female","idigbio.associateAuthor","dwc.occurrenceID","idigbio.subfamily","idigbio.associateNotes","dwc.samplingProtocol","inhs.location_Stream","dwc.otherCatalogNumbers","dwc.taxonRemarks","dwc.lowestBiostratigraphicZone","idigbio.associateCommonName","dwc.month","dwc.municipality","dwc.decimalLatitude","dwc.scientificName","inhs.location_Basin","dwc.habitat","dwc.taxonID","dwc.locationAccordingTo","dwc.identificationQualifier","idigbio.preservative","symbiotaverbatimScientificName","dwc.datasetID","dwc.decimalLongitude","dwc.verbatimElevation","inhs.location_RiverMile","dwc.relatedResourceID","dwc.minimumDepthInMeters","dcterms.accessRights","dwc.verbatimTaxonRank","dwc.rightsHolder","dwc.preparation","dwc.fieldNumber","idigbio.createdBy","dcterms.type","dwc.taxonRank","dwc.georeferencedDate","dwc.earliestEpochOrLowestSeries","dwc.fieldNotes","dwc.stateProvince","idigbio.endangeredStatus","dwc.originalNameUsage","idigbio.associatedRelationship","dwc.verbatimCoordinates","dwc.scientificNameID","http...symbiota.org.terms.verbatimScientificName","inhs.locationTrs","dwc.nomenclaturalStatus","dwc.continent","idigbio.associatedFamily","dwc.identifiedBy","inhs.relic","idigbio.uuid","idigbio.recordID","dwc.dynamicProperties","idigbio.dateModified","idigbio.recordIds","dwc.footprintWKT","dwc.VerbatimEventDate","dwc.country","id","dwc.earliestPeriodOrLowestSystem","dwc.locationID","dwc.verbatimLongitude","inhs.juv_undetermined","idigbio.recordId","dwc.day","dwc.locality","dwc.individualCount","dwc.subgenus","inhs.formII_males","dwc.phylum","dcterms.source","idigbio.associateCondition","dwc.nameAccordingTo","dcterms.rights","dwc.group","dwc.class","dwc.specificEpithet","dwc.latestEraOrHighestErathem","dwc.maximumDepthInMeters","dwc.locationRemarks","dwc.verbatimLatitude","dwc.georeferenceVerificationStatus","dwc.year","dwc.associatedTaxa","dwc.identificationVerificationStatus","dwc.georeferenceRemarks","dwc.genus","dwc.startDayOfYear","dwc.endDayOfYear","dwc.catalogNumber","dwc.sex","inhs.dead","dwc.order","dwc.county","dwc.previousIdentifications","dwc.recordedBy","dwc.rights","dwc.establishmentMeans","dwc.typeStatus","dwc.collectionID","dwc.earliestEraOrLowestErathem","dcterms.references","dwc.identificationID","dwc.formation","dwc.samplingEffort","dwc.verbatimLocality","inhs.vouchered","inhs.formII_females","dwc.ownerInstitutionCode","dwc.namePublishedInID","row.number","symbiota.verbatimScientificName","inhs.live","dwc.family","dwc.behavior","dwc.lithostratigraphicTerms","dwc.verbatimEventDate","dwc.earliestAgeOrLowestStage","dwc.occurrenceRemarks","dcterms.modified","dwc.institutionID","dwc.collectionCode","dwc.associatedSequences","dwc.informationWithheld","dwc.nomenclaturalCode","inhs.juv_males","fcc.superfamily","dwc.datasetName","dwc.georeferenceProtocol","idigbio.subgenus","dwc.dataGeneralizations","dwc.namePublishedIn","dwc.coordinateUncertaintyInMeters","dwc.coordinatePrecision","dcterms.reference","dwc.lifeStage","dwc.identificationRemarks","dwc.verbatimCoordinateSystem","dwc.minimumElevationInMeters","fcc.subfamily","idigbio.substrate","dwc.latestPeriodOrHighestSystem","dwc.associatedMedia","dwc.associatedOccurrences","dwc.georeferencedBy","fcc.datePicked","dwc.higherGeography","dwc.scientificNameAuthorship","idigbio.barcodeValue","dcterms.bibliographicCitation","dwc.reproductiveCondition","idigbio.determinationHistory","dwc.associatedReferences","dwc.higherClassification","dwc.individualID","idigbio.associateIdentifier","dwc.eventDate","idigbio.associateDeterminedBy","dwc.islandGroup","dwc.waterBody","dwc.basisOfRecord","dwc.geodeticDatum","dwc.island","dwc.eventID","inhs.superfamily","inhs.instars_Male","inhs.total_Males","dwc.accessRights","idigbio.version","dwc.bed","fcc.pickedBy","dcterms.rightsHolder","dwc.maximumElevationInMeters","dwc.recordNumber","idigbio.tribe","dwc.preparations"
"341",NA,NA,NA,"MCZ","",NA,"","not applicable","en",NA,NA,NA,NA,"0ede389d8fb65d01a15a64c4199c8c97a9cc20e7","Google Earth, historical handrawn map by JHBlake",NA,NA,NA,NA,NA,NA,NA,"Animalia","","",NA,NA,"MCZ:IZ:HOL-855",NA,NA,"",NA,"",NA,NA,NA,NA,NA,-33.63587,"Holothuria (Mertensiothuria) platei",NA,"",NA,NA,NA,NA,NA,NA,-78.822803,NA,NA,NA,NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","PhysicalObject",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Pacific Ocean",NA,"[no agent data]",NA,"d09605ef-c203-4aef-87f1-b436e98f7a70",NA,"","2014-07-12T19:17:45.940Z",NA,NA,NA,"","d09605ef-c203-4aef-87f1-b436e98f7a70",NA,"","-78.822803d",NA,NA,NA,"Chile, Juan Fernandez Island (Cumberland Harbor)",1,NA,NA,"Echinodermata",NA,NA,NA,NA,NA,"Holothuroidea","platei",NA,NA,"","-33.63587d",NA,NA,NA,"unverified","","Holothuria",0,NA,"HOL-855","",NA,"Aspidochirotida","",NA,"Hassler Expedition",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-855",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"Holothuriidae",NA,NA,"April 29-May 2, 1872",NA,NA,"2014-06-30 15:02:27.0","b4640710-8e03-11d8-b956-b8a03c50a862","IZ",NA,NA,"ICZN",NA,NA,NA,"Google Earth",NA,NA,NA,5000,5000,NA,NA,"","decimal degrees",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-855","","Penny Benson",NA,"Pacific Ocean, Pacific, Southeast","Ludwig, 1898",NA,NA,NA,NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) platei",NA,NA,"1872-04-29/1872-05-02",NA,NA,"","PreservedSpecimen","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,"whole animal (70% ethanol)"
"932",NA,NA,NA,"MCZ","",NA,"","not applicable","en",NA,NA,NA,NA,"98e3f6a957445bffb2d48b10462c190d96245ba8","",NA,NA,NA,NA,NA,NA,NA,"Animalia","","",NA,NA,"MCZ:IZ:HOL-682",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"Holothuria (Mertensiothuria) platei",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","PhysicalObject",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Pacific Ocean",NA,"World Register of Marine Species, Hubert Ludwig",NA,"a4a9758d-353b-4244-a2ec-77187302cbed",NA,"","2014-07-12T20:44:19.575Z",NA,NA,NA,"","a4a9758d-353b-4244-a2ec-77187302cbed",NA,"","",NA,NA,NA,"Chile: Juan Fernandez Islands",1,NA,NA,"Echinodermata",NA,NA,NA,NA,NA,"Holothuroidea","platei",NA,NA,"","",NA,NA,NA,"","","Holothuria",0,NA,"HOL-682","",NA,"Aspidochirotida","",NA,"[no agent data]",NA,NA,"Syntype",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-682",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"Holothuriidae",NA,NA,"unknown",NA,NA,"2013-06-12 15:15:15.0","b4640710-8e03-11d8-b956-b8a03c50a862","IZ",NA,NA,"ICZN",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-682","","",NA,"Pacific Ocean, Pacific, Southeast","Ludwig, 1898",NA,NA,NA,NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) platei",NA,NA,"1800-01-01/1898-01-01",NA,NA,"","PreservedSpecimen","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,"whole animal (70% ethanol)"
