"","dwc.locationRemarks","idigbio.etag","inhs.juv_females","dwc.verbatimSRS","dwc.catalogNumber","dwc.latestPeriodOrHighestSystem","dwc.stateProvince","dwc.identificationVerificationStatus","dwc.verbatimLocality","dwc.preparation","dwc.occurrenceStatus","inhs.instars_Female","dwc.minimumElevationInMeters","dwc.verbatimElevation","dwc.locality","dwc.otherCatalogNumbers","dwc.georeferencedBy","dwc.scientificName","inhs.formII_males","fcc.subfamily","idigbio.associateCondition","idigbio.barcodeValue","dwc.family","dwc.dataGeneralizations","dwc.verbatimDepth","dwc.associatedMedia","dwc.originalNameUsage","dwc.endDayOfYear","idigbio.determinationHistory","dwc.day","dwc.order","symbiotaverbatimScientificName","dcterms.rightsHolder","dwc.informationWithheld","dcterms.rights","idigbio.preservative","dcterms.modified","inhs.location_Stream","dwc.associatedTaxa","dwc.bed","dwc.latestAgeOrHighestStage","inhs.live","dwc.institutionCode","dwc.dateIdentified","dwc.geodeticDatum","dwc.continent","dwc.waterBody","dwc.earliestAgeOrLowestStage","dwc.occurrenceID","dwc.class","dwc.lithostratigraphicTerms","dwc.phylum","inhs.formII_females","dwc.verbatimTaxonRank","dwc.behavior","dwc.sex","idigbio.recordIds","dwc.identifiedBy","dwc.year","idigbio.uuid","dwc.recordedBy","dwc.subgenus","dwc.earliestEraOrLowestErathem","dwc.associatedReferences","dwc.group","dwc.nomenclaturalStatus","dwc.rights","dwc.higherGeography","dwc.nomenclaturalCode","dwc.coordinatePrecision","dcterms.source","dwc.formation","dwc.accessRights","dwc.scientificNameID","dwc.preparations","dwc.islandGroup","dwc.individualID","dwc.collectionID","dwc.startDayOfYear","dwc.countryCode","dwc.genus","idigbio.associateIdentifier","dwc.georeferenceRemarks","dwc.kingdom","dwc.decimalLatitude","dwc.latestEraOrHighestErathem","inhs.formI_males","symbiota.verbatimScientificName","dwc.minimumDepthInMeters","dwc.previousIdentifications","dcterms.language","dwc.lifeStage","inhs.juv_males","dcterms.type","dwc.taxonRemarks","inhs.location_Basin","dwc.samplingProtocol","dwc.georeferenceSources","dwc.identificationRemarks","idigbio.subfamily","dwc.fieldNumber","dwc.maximumElevationInMeters","inhs.superfamily","dwc.scientificNameAuthorship","dwc.fieldNotes","dwc.identificationReferences","dwc.dynamicProperties","dwc.decimalLongitude","dwc.eventID","dwc.collectionCode","dwc.county","inhs.instars_Male","dwc.taxonRank","dwc.taxonID","idigbio.substrate","dwc.occurrenceRemarks","dwc.associatedOccurrences","dwc.establishmentMeans","dwc.samplingEffort","dwc.locationID","dwc.identificationQualifier","idigbio.associatedFamily","idigbio.recordID","idigbio.endangeredStatus","dwc.maximumDepthInMeters","dwc.island","dwc.nameAccordingTo","dwc.eventTime","idigbio.preparationCount","inhs.relic","idigbio.associateCommonName","idigbio.associateAuthor","inhs.total_Males","fcc.datePicked","dwc.datasetID","dwc.coordinateUncertaintyInMeters","dwc.disposition","dwc.infraspecificEpithet","dwc.georeferenceVerificationStatus","idigbio.associateRelationship","fcc.superfamily","dwc.verbatimCoordinates","dwc.verbatimLongitude","dwc.eventRemarks","dwc.earliestEpochOrLowestSeries","dwc.higherClassification","dwc.identificationID","dwc.basisOfRecord","inhs.total_females","idigbio.subgenus","idigbio.associateDeterminedBy","idigbio.createdBy","dwc.member","inhs.locationTrs","dwc.relatedResourceID","dwc.lowestBiostratigraphicZone","dwc.georeferencedDate","dwc.verbatimCoordinateSystem","dwc.month","dwc.verbatimLatitude","dwc.typeStatus","dwc.individualCount","dcterms.bibliographicCitation","idigbio.recordId","dwc.recordNumber","id","http...symbiota.org.terms.verbatimScientificName","dwc.associatedSequences","dwc.latestEpochOrHighestSeries","dwc.eventDate","dwc.vernacularName","inhs.juv_undetermined","dwc.namePublishedIn","fcc.pickedBy","dwc.ownerInstitutionCode","inhs.vouchered","dcterms.reference","dwc.institutionID","idigbio.tribe","dcterms.references","dwc.country","dwc.datasetName","idigbio.version","dwc.municipality","idigbio.associatedRelationship","dwc.namePublishedInID","dwc.VerbatimEventDate","dwc.earliestPeriodOrLowestSystem","idigbio.associateNotes","dwc.reproductiveCondition","dwc.verbatimEventDate","dcterms.accessRights","dwc.rightsHolder","dwc.habitat","dwc.georeferenceProtocol","inhs.dead","inhs.location_RiverMile","dwc.locationAccordingTo","idigbio.dateModified","row.number","dwc.specificEpithet","dwc.footprintWKT","idigbio.hostFamily"
"498","","31fd165adefbe762ce96d03adf029743b6307003",NA,NA,"4812-Echinodermata",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,24,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"42657B1E-6482-43D1-8CFF-BCA7BB19D27F","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"47e26d70-f680-432e-a02b-655c5e757dde","J. Earle, J. Hoover, G. Paulay",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",19.99667,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-155.24556,NA,"Invertebrate Zoology","Oahu Island",NA,NA,NA,NA,NA,"",NA,NA,"GP-Loc-852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","47e26d70-f680-432e-a02b-655c5e757dde",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:12:46.423Z",NA,"impatiens",NA,NA
"501","","f43846c00767e1d9110b737186637f692e9df6b3",NA,NA,"6485-Echinodermata",NA,"Mascarene Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,9,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"AF3994CC-10E6-4235-B8D9-F3ABF9B22CAA","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2007,"d68a83a0-ae3a-4d97-87ed-b048c02d2d63","Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-21.1116,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",55.24895,NA,"Invertebrate Zoology","Reunion Island",NA,NA,NA,NA,NA,"",NA,NA,"SWIO-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","d68a83a0-ae3a-4d97-87ed-b048c02d2d63",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:50:42.179Z",NA,"impatiens",NA,NA
"503","","c0dec2c4555f1dfe109d7385a7c7c564e885b34b",NA,NA,"10951-Echinodermata",NA,"Ryukyus","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,14,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"370E7D76-D0DD-4BC4-9307-409FE9A25BCE","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2011,"7fe20494-1c48-4976-ad78-5dce9f608f5e","François Michonneau, Yoshida Ryuta",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",26.444199,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",127.772746,NA,"Invertebrate Zoology","Okinawa",NA,NA,NA,NA,NA,"",NA,NA,"FMOK11-St-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","7fe20494-1c48-4976-ad78-5dce9f608f5e",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T18:32:15.033Z",NA,"impatiens",NA,NA
"509","","04be9018833f6a97606748932352e77a108a3d3a",NA,NA,"12291-Echinodermata",NA,"Peleliu State","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,14,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"FE9011AB-3DEA-41C9-A587-AFD62F3B0462","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",1966,"46907f75-4055-4084-82b3-b7c303f7477e","C. Otto",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"UGI-Station-383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","46907f75-4055-4084-82b3-b7c303f7477e",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T18:41:07.914Z",NA,"impatiens",NA,NA
"520","","dd0847c448de723514744e526a7d76e1764a32de",NA,NA,"10658-Echinodermata",NA,"Okinawa Prefecture","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,20,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"6EC8E8C5-5CCF-4CE9-AD0A-292446B34C81","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2010,"808618b4-c800-462b-ba02-69fb6b57d1df","Nat Evans, Francois Michonneau, Gustav Paulay, Tohru Naruse, Yuji Ise",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",26.328821,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",127.744105,NA,"Invertebrate Zoology","Okinawa Island",NA,NA,NA,NA,NA,"",NA,NA,"GUOK10-St-080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",7,"","",NA,NA,NA,"","808618b4-c800-462b-ba02-69fb6b57d1df",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T17:08:22.913Z",NA,"impatiens",NA,NA
"526","","18eb4ef94c6eca7617c9ff55d69e9dc2b2626e6c",NA,NA,"12207-Echinodermata",NA,"Mariana Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,8,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"DFCA41A3-F954-458F-B431-0CC5AB1E17DC","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",1970,"9517b782-c42b-4d3e-a0d8-bd08c3e5ee06","R. C. LeMon",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",13.5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",144.8,NA,"Invertebrate Zoology","Guam Island",NA,NA,NA,NA,NA,"",NA,NA,"UGI-Station-226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","9517b782-c42b-4d3e-a0d8-bd08c3e5ee06",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:24:40.963Z",NA,"impatiens",NA,NA
"528","","f0e643c2bb11888d279638238a01e77ba66fecab",NA,NA,"4098-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,14,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"38AD0AD7-D13F-411A-8645-4E137270731A","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2005,"9acd90fc-2630-42d6-a363-a974f3184d65","Netchy, K. & Lasley, R.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",21.9333,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",120.8167,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"KNRL-030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","9acd90fc-2630-42d6-a363-a974f3184d65",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Taiwan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T15:05:30.992Z",NA,"impatiens",NA,NA
"529","","31bec412b678d12eb555295153bd4f4d8f7d397d",NA,NA,"5156-Echinodermata",NA,"Society Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,31,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"42CC3211-BBA8-4E81-8D3F-80F605F60147","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"16290411-41f5-4cba-b9b7-bc322e22c522","Machel Malay & Esther Emmanuelli",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-17.5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-149.8,NA,"Invertebrate Zoology","Moorea Island",NA,NA,NA,NA,NA,"",NA,NA,"MMOOR-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","16290411-41f5-4cba-b9b7-bc322e22c522",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T16:23:08.666Z",NA,"impatiens",NA,NA
"534","","f2594528756c14cd922ee16a8a59593111adbc08",NA,NA,"4737-Echinodermata",NA,"Mariana Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,NA,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"5142B9F2-574C-419A-8C5A-3C73E3E68A8E","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2003,"274ea9ec-9114-491c-af00-449e88c7acfb","Paulay, G.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",13.5403,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",144.804831,NA,"Invertebrate Zoology","Guam Island",NA,NA,NA,NA,NA,"",NA,NA,"BGUAM-099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"","274ea9ec-9114-491c-af00-449e88c7acfb",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T18:01:45.624Z",NA,"impatiens",NA,NA
"538","","b19862502304ed3df6b6c91efc293d8df91a5f24",NA,NA,"8172-Echinodermata",NA,"Queensland","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,9,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"F1503207-3A95-437A-AD61-5567E8E7D1E2","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2009,"b08a6ee9-d7e7-4744-823f-079bbdb66112","Robert Lasley",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"AUST-ST-010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","b08a6ee9-d7e7-4744-823f-079bbdb66112",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T15:50:44.700Z",NA,"impatiens",NA,NA
"539","","b45b4236db6bcb6cc6c7d5400e30343bc364fdc3",NA,NA,"8574-Echinodermata",NA,"Queensland","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,NA,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"3ECAE0DD-4137-4C13-A37A-D005933843FA","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2009,"d7ea9dcd-fb48-432d-8080-48c82fff49c6","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"AUST-ST-000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","d7ea9dcd-fb48-432d-8080-48c82fff49c6",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T17:31:31.646Z",NA,"impatiens",NA,NA
"553","","bb6572da96731e68eb61e007bd1183078ca944e1",NA,NA,"8604-Echinodermata",NA,"Queensland","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,NA,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"C6BFBC41-C2F9-466E-B68E-3343AA4381D3","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2009,"89c564a3-5acf-469a-876a-9fad3a29a82a","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"AUST-ST-000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","89c564a3-5acf-469a-876a-9fad3a29a82a",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T16:12:09.856Z",NA,"impatiens",NA,NA
"554","","ea9760d2c011573f6602da398700cdb91ca70194",NA,NA,"9049-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,NA,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"99AD5A98-0622-4BE2-A43E-EB3F3FCF5BCB","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2008,"f18d43c8-753d-4b00-9b18-c488925b4c32","I. C. Enochs",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",8.6317,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-79.0299,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"Enochs-2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"","f18d43c8-753d-4b00-9b18-c488925b4c32",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T16:29:29.244Z",NA,"impatiens",NA,NA
"566","","68bbc8908af28a5df6a721da3be9171647e8ef57",NA,NA,"318-Echinodermata",NA,"Tuamotu Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,29,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"0FFC2B3B-E259-4FF5-A49D-FC860C2BEECB","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2001,"f68d98c7-4d73-40a2-bd5e-62db08ea5b35","Paulay, G.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-14.9833333333333,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-147.616666666667,NA,"Invertebrate Zoology","Rangiroa Atoll",NA,NA,NA,NA,NA,"",NA,NA,"BRNG-032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",10,"","",NA,NA,NA,"","f68d98c7-4d73-40a2-bd5e-62db08ea5b35",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T16:08:43.816Z",NA,"impatiens",NA,NA
"694","","7784cf6ce97e533f864d65fbfb12e5f699b71c8a",NA,NA,"8354-Echinodermata",NA,"Queensland","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,16,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"39BB4369-8100-4DA0-9652-7A8D8683B8FE","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2009,"2bbe5980-04fb-46c2-99a3-2f604231f7e6","Robert Lasley, François Michonneau",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-14.7746,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",145.3673,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"AUST-ST-046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","2bbe5980-04fb-46c2-99a3-2f604231f7e6",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T10:05:31.882Z",NA,"impatiens",NA,NA
