"","dwc.individualCount","dwc.scientificNameID","dwc.dynamicProperties","inhs.total_females","dwc.latestEraOrHighestErathem","dwc.minimumElevationInMeters","idigbio.hostFamily","dwc.decimalLongitude","dwc.coordinateUncertaintyInMeters","dcterms.source","dwc.identificationID","dwc.specificEpithet","dwc.infraspecificEpithet","dcterms.accessRights","inhs.juv_females","dwc.year","dwc.identifiedBy","idigbio.recordIds","dwc.lithostratigraphicTerms","fcc.subfamily","inhs.relic","dwc.genus","idigbio.tribe","dwc.fieldNumber","idigbio.associatedFamily","dcterms.bibliographicCitation","inhs.location_Stream","dwc.dateIdentified","dwc.island","idigbio.etag","dwc.institutionCode","dwc.verbatimLongitude","dwc.verbatimCoordinateSystem","dwc.maximumDepthInMeters","inhs.location_RiverMile","dwc.collectionID","dwc.minimumDepthInMeters","dwc.eventDate","dwc.individualID","dwc.class","dwc.vernacularName","dwc.georeferenceSources","dwc.verbatimDepth","inhs.instars_Female","inhs.juv_males","dwc.locality","dcterms.type","dwc.rights","dwc.taxonRank","dwc.islandGroup","dwc.recordedBy","dwc.samplingProtocol","dwc.latestPeriodOrHighestSystem","idigbio.determinationHistory","dwc.originalNameUsage","dwc.recordNumber","dwc.informationWithheld","inhs.vouchered","dwc.taxonID","dwc.month","idigbio.associateCondition","dwc.accessRights","dwc.order","dcterms.language","dwc.georeferencedDate","idigbio.associateRelationship","dwc.preparations","dwc.associatedSequences","idigbio.uuid","dwc.catalogNumber","dwc.verbatimSRS","dwc.identificationQualifier","inhs.dead","dwc.georeferenceVerificationStatus","dwc.lifeStage","idigbio.preservative","dwc.startDayOfYear","dwc.habitat","dwc.county","idigbio.dateModified","dwc.countryCode","dwc.occurrenceRemarks","dwc.sex","dwc.typeStatus","dwc.associatedOccurrences","dwc.georeferencedBy","dwc.member","dwc.associatedTaxa","inhs.juv_undetermined","fcc.superfamily","dwc.waterBody","dwc.family","dwc.identificationRemarks","dwc.eventTime","dwc.identificationReferences","row.number","dwc.group","dwc.verbatimEventDate","dwc.endDayOfYear","dwc.eventRemarks","dwc.preparation","dwc.identificationVerificationStatus","idigbio.version","dwc.ownerInstitutionCode","dwc.day","dcterms.rights","idigbio.associateIdentifier","inhs.formI_males","idigbio.barcodeValue","http...symbiota.org.terms.verbatimScientificName","dwc.phylum","dwc.verbatimElevation","dwc.stateProvince","dcterms.references","dwc.continent","dwc.samplingEffort","dcterms.rightsHolder","dwc.geodeticDatum","idigbio.createdBy","dwc.associatedMedia","idigbio.associatedRelationship","dwc.earliestEraOrLowestErathem","dwc.verbatimCoordinates","dwc.country","dwc.subgenus","dwc.higherGeography","dwc.eventID","dwc.municipality","dwc.occurrenceID","inhs.formII_males","dwc.namePublishedIn","inhs.location_Basin","dwc.namePublishedInID","idigbio.associateCommonName","dwc.taxonRemarks","dwc.basisOfRecord","dwc.higherClassification","dwc.verbatimTaxonRank","dwc.nameAccordingTo","dwc.datasetName","dwc.occurrenceStatus","dwc.collectionCode","idigbio.subgenus","dwc.earliestPeriodOrLowestSystem","dcterms.reference","dwc.verbatimLatitude","dwc.decimalLatitude","idigbio.subfamily","symbiota.verbatimScientificName","inhs.superfamily","dwc.lowestBiostratigraphicZone","dwc.georeferenceRemarks","fcc.pickedBy","inhs.total_Males","dcterms.modified","dwc.previousIdentifications","dwc.latestAgeOrHighestStage","dwc.reproductiveCondition","idigbio.recordID","dwc.nomenclaturalCode","idigbio.associateNotes","idigbio.substrate","dwc.behavior","inhs.instars_Male","dwc.otherCatalogNumbers","dwc.earliestEpochOrLowestSeries","dwc.scientificNameAuthorship","id","dwc.locationAccordingTo","idigbio.associateDeterminedBy","dwc.latestEpochOrHighestSeries","dwc.disposition","dwc.associatedReferences","dwc.locationRemarks","dwc.institutionID","inhs.live","dwc.establishmentMeans","fcc.datePicked","dwc.formation","idigbio.recordId","dwc.footprintWKT","dwc.nomenclaturalStatus","dwc.locationID","dwc.kingdom","dwc.bed","symbiotaverbatimScientificName","dwc.dataGeneralizations","dwc.relatedResourceID","dwc.earliestAgeOrLowestStage","dwc.rightsHolder","inhs.locationTrs","dwc.scientificName","dwc.coordinatePrecision","dwc.VerbatimEventDate","dwc.fieldNotes","idigbio.preparationCount","dwc.datasetID","idigbio.endangeredStatus","dwc.verbatimLocality","dwc.maximumElevationInMeters","inhs.formII_females","dwc.georeferenceProtocol","idigbio.associateAuthor"
"200",NA,NA,"",NA,NA,NA,NA,128.05617,NA,NA,NA,"notabilis","",NA,NA,2011,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,NA,"",NA,"4ad93bb1d85a92fb950120dffaae6283d7f76da2","FLMNH","","",NA,NA,NA,NA,"",NA,"Holothuroidea",NA,"","",NA,NA,"","",NA,NA,NA,"Masami Obuchi, Daisuke Uyeno, Kris White","",NA,NA,NA,"",NA,NA,NA,5,NA,NA,"Aspidochirotida","",NA,NA,"",NA,"f8aa5f54-dec8-492a-be9d-c8ff6a8fc4cf","11030-Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","Okinawa","2014-09-12T12:21:36.613Z",NA,NA,"","","","",NA,NA,NA,NA,"","Holothuriidae","",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",20,NA,NA,NA,NA,NA,"",NA,"Ryukyus","","",NA,"","","872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","Japan",NA,"",NA,NA,"520B1B1C-DBBE-4843-A6D7-6205AE799CEB",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",26.541006,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Ludwig","f8aa5f54-dec8-492a-be9d-c8ff6a8fc4cf",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"FMOK11-St-34","",NA,NA,NA,NA,NA,NA,NA,"Holothuria notabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2927",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"notabilis","",NA,NA,2009,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,NA,"",NA,"2c6273d9a1a4aba1a10036cc70ca2f6224482d37","FLMNH","","",NA,NA,NA,NA,"",NA,"Holothuroidea",NA,"","",NA,NA,"","",NA,NA,NA,"S.J. Tan","",NA,NA,NA,"",NA,NA,NA,3,NA,NA,"Aspidochirotida","",NA,NA,"",NA,"d2d6bdfd-d6bf-43cd-8c0f-3019554fb2f9","9025-Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","","2014-09-12T14:25:41.071Z",NA,NA,"","","","",NA,NA,NA,NA,"","Holothuriidae","",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",10,NA,NA,NA,NA,NA,"",NA,"Tuas","","",NA,"","","872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","Singapore",NA,"",NA,NA,"3032061A-7B0F-46C6-8D29-ADA269AEEAD1",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Ludwig","d2d6bdfd-d6bf-43cd-8c0f-3019554fb2f9",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"ZZZ-093530","",NA,NA,NA,NA,NA,NA,NA,"Holothuria notabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
