"","dwc.lithostratigraphicTerms","dwc.continent","dwc.collectionID","inhs.superfamily","dwc.dateIdentified","dwc.family","dwc.coordinateUncertaintyInMeters","dwc.earliestAgeOrLowestStage","dwc.individualID","dwc.latestEraOrHighestErathem","dwc.preparations","dwc.rights","fcc.superfamily","dcterms.type","dwc.earliestEpochOrLowestSeries","inhs.formII_males","dwc.rightsHolder","dwc.disposition","dcterms.source","dwc.county","dwc.identificationID","dwc.establishmentMeans","dwc.lowestBiostratigraphicZone","inhs.location_Stream","dwc.nomenclaturalCode","idigbio.hostFamily","dwc.scientificNameID","dwc.originalNameUsage","dwc.namePublishedInID","dwc.earliestEraOrLowestErathem","dwc.higherClassification","dcterms.rights","dwc.associatedOccurrences","symbiota.verbatimScientificName","dwc.lifeStage","dwc.identificationQualifier","dwc.georeferenceProtocol","idigbio.uuid","dwc.coordinatePrecision","dwc.associatedTaxa","inhs.instars_Female","dwc.georeferenceSources","dwc.member","dwc.decimalLatitude","idigbio.etag","dwc.georeferenceVerificationStatus","dwc.behavior","dwc.recordNumber","dwc.recordedBy","dwc.latestPeriodOrHighestSystem","inhs.juv_males","dwc.institutionCode","dwc.verbatimDepth","idigbio.dateModified","dwc.footprintWKT","dwc.taxonRemarks","dwc.taxonID","dwc.day","dcterms.rightsHolder","fcc.datePicked","dcterms.accessRights","dwc.georeferenceRemarks","dwc.occurrenceID","dwc.verbatimCoordinates","dwc.kingdom","dwc.otherCatalogNumbers","idigbio.associateCommonName","dwc.preparation","fcc.subfamily","dcterms.reference","dwc.locality","idigbio.associatedRelationship","dwc.islandGroup","dwc.geodeticDatum","dcterms.modified","dwc.earliestPeriodOrLowestSystem","dwc.namePublishedIn","idigbio.associatedFamily","dwc.verbatimLatitude","idigbio.recordIds","idigbio.createdBy","dwc.verbatimTaxonRank","idigbio.subgenus","dwc.identificationRemarks","idigbio.associateRelationship","inhs.vouchered","dwc.country","dwc.countryCode","dwc.samplingProtocol","dwc.identifiedBy","idigbio.determinationHistory","dwc.ownerInstitutionCode","dwc.nameAccordingTo","dwc.sex","dwc.maximumDepthInMeters","dwc.fieldNotes","dwc.georeferencedDate","inhs.instars_Male","dwc.locationID","inhs.formI_males","id","dwc.genus","idigbio.barcodeValue","dwc.scientificNameAuthorship","dwc.verbatimElevation","dwc.scientificName","dwc.accessRights","idigbio.associateDeterminedBy","idigbio.associateIdentifier","dwc.subgenus","dwc.maximumElevationInMeters","idigbio.endangeredStatus","dwc.island","dwc.higherGeography","dcterms.references","dwc.municipality","dwc.datasetName","dwc.individualCount","row.number","inhs.location_Basin","idigbio.substrate","dwc.basisOfRecord","dwc.bed","inhs.juv_females","inhs.juv_undetermined","dwc.verbatimLongitude","dwc.locationRemarks","dwc.reproductiveCondition","dwc.eventID","fcc.pickedBy","dwc.waterBody","dwc.VerbatimEventDate","dwc.typeStatus","dwc.verbatimCoordinateSystem","dwc.eventDate","dwc.latestEpochOrHighestSeries","dwc.fieldNumber","dwc.taxonRank","dwc.class","dwc.dynamicProperties","idigbio.preparationCount","dwc.locationAccordingTo","idigbio.associateAuthor","dwc.vernacularName","dwc.identificationReferences","idigbio.recordID","idigbio.preservative","dwc.minimumDepthInMeters","dwc.minimumElevationInMeters","dwc.decimalLongitude","dwc.associatedMedia","dwc.nomenclaturalStatus","http...symbiota.org.terms.verbatimScientificName","dwc.infraspecificEpithet","inhs.locationTrs","dwc.occurrenceStatus","dwc.specificEpithet","dwc.datasetID","inhs.dead","idigbio.associateNotes","inhs.relic","dwc.relatedResourceID","dwc.formation","dwc.endDayOfYear","idigbio.recordId","idigbio.tribe","dwc.collectionCode","dwc.verbatimSRS","dwc.habitat","idigbio.associateCondition","dwc.eventRemarks","dwc.samplingEffort","inhs.total_Males","dwc.latestAgeOrHighestStage","dwc.associatedSequences","dwc.institutionID","dwc.informationWithheld","inhs.formII_females","dwc.month","idigbio.version","dwc.occurrenceRemarks","dwc.order","dwc.catalogNumber","dwc.verbatimEventDate","dwc.year","dwc.identificationVerificationStatus","dcterms.language","dwc.eventTime","dwc.dataGeneralizations","inhs.live","dwc.verbatimLocality","dwc.stateProvince","inhs.location_RiverMile","dwc.startDayOfYear","dwc.previousIdentifications","dwc.associatedReferences","dwc.georeferencedBy","dwc.phylum","dwc.group","dcterms.bibliographicCitation","idigbio.subfamily","symbiotaverbatimScientificName","inhs.total_females"
"1412",NA,"",NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","2547641d-9d07-4ee5-ad5b-4ed1af6d1c0b",NA,NA,NA,"",NA,-5.195717,"f5d4f32622785999b821ae271cbd7b1ed34f9a14",NA,NA,"","Philippe Archambault, Laure Corbari, Jacques Grall, Cindy Grant, Claude Payri, Selma Pomalak, Anders Waren, François Michonneau, Paula Martin-Lefevre, Delson Opos",NA,NA,"FLMNH","","2014-09-12T14:06:10.374Z",NA,NA,NA,26,"",NA,NA,"","455F394A-FFAA-4081-B2D5-0A8E9409C0B6","","","",NA,NA,NA,NA,"",NA,NA,"","09/08/2014",NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,"Papua New Guinea",NA,"","",NA,"",NA,"",NA,NA,NA,NA,"CP3949",NA,"2547641d-9d07-4ee5-ad5b-4ed1af6d1c0b","Holothuria",NA,"",NA,"Holothuria sp. 45",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,"",NA,"Holothuroidea","",NA,NA,NA,NA,NA,NA,NA,NA,NA,145.84671,"",NA,NA,"",NA,NA,"sp. 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,11,NA,NA,"Aspidochirotida","14912-Echinodermata","",2012,"","",NA,NA,NA,NA,"Madang Province",NA,NA,NA,"","","",NA,NA,NA,NA,NA
"2747",NA,"",NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","a4f1259d-d47b-4029-b6bb-317a03da49d0",NA,NA,NA,"",NA,-5.195717,"959fd38a27a8c5e2455eea0c08fefc5132176c55",NA,NA,"","Philippe Archambault, Laure Corbari, Jacques Grall, Cindy Grant, Claude Payri, Selma Pomalak, Anders Waren, François Michonneau, Paula Martin-Lefevre, Delson Opos",NA,NA,"FLMNH","","2014-09-12T13:47:33.464Z",NA,NA,NA,26,"",NA,NA,"","34FB920F-4E83-4185-AD31-4D4A73205737","","","",NA,NA,NA,NA,"",NA,NA,"","09/08/2014",NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,"Papua New Guinea",NA,"","",NA,"",NA,"",NA,NA,NA,NA,"CP3949",NA,"a4f1259d-d47b-4029-b6bb-317a03da49d0","Holothuria",NA,"",NA,"Holothuria sp. 45",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,"",NA,"Holothuroidea","",NA,NA,NA,NA,NA,NA,NA,NA,NA,145.84671,"",NA,NA,"",NA,NA,"sp. 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,11,NA,NA,"Aspidochirotida","14911-Echinodermata","",2012,"","",NA,NA,NA,NA,"Madang Province",NA,NA,NA,"","","",NA,NA,NA,NA,NA
