"","dcterms.rights","dwc.nomenclaturalCode","dwc.namePublishedIn","idigbio.version","idigbio.endangeredStatus","dwc.verbatimDepth","dwc.ownerInstitutionCode","dwc.stateProvince","dwc.verbatimCoordinateSystem","dwc.taxonID","dwc.scientificNameID","dwc.disposition","dwc.lithostratigraphicTerms","idigbio.associateAuthor","dwc.samplingProtocol","dwc.subgenus","dwc.otherCatalogNumbers","idigbio.recordID","inhs.formII_males","inhs.dead","idigbio.associateRelationship","dwc.rightsHolder","idigbio.associateNotes","symbiota.verbatimScientificName","dwc.verbatimElevation","dwc.locationRemarks","dwc.verbatimLocality","dwc.associatedTaxa","dwc.habitat","symbiotaverbatimScientificName","dwc.verbatimLongitude","dwc.occurrenceID","dwc.verbatimCoordinates","inhs.instars_Female","dwc.preparations","dwc.endDayOfYear","dcterms.reference","dwc.islandGroup","inhs.juv_undetermined","inhs.location_Stream","inhs.vouchered","dwc.relatedResourceID","dwc.identificationReferences","inhs.locationTrs","dwc.samplingEffort","dwc.lowestBiostratigraphicZone","dwc.identificationRemarks","dwc.island","dwc.county","dcterms.rightsHolder","dwc.establishmentMeans","dwc.verbatimLatitude","idigbio.associatedRelationship","dwc.family","idigbio.barcodeValue","dwc.locationID","dwc.minimumElevationInMeters","fcc.subfamily","dcterms.bibliographicCitation","dwc.fieldNumber","dwc.vernacularName","dwc.scientificName","dwc.decimalLatitude","dwc.verbatimTaxonRank","dwc.eventTime","dwc.order","dwc.locationAccordingTo","dwc.reproductiveCondition","dwc.identificationID","dwc.minimumDepthInMeters","inhs.location_Basin","idigbio.substrate","dwc.latestEpochOrHighestSeries","dwc.waterBody","idigbio.subfamily","dwc.lifeStage","dwc.maximumElevationInMeters","dwc.eventRemarks","dwc.catalogNumber","dwc.verbatimEventDate","idigbio.etag","dwc.associatedReferences","inhs.juv_females","dwc.previousIdentifications","dwc.countryCode","dcterms.modified","idigbio.uuid","dcterms.references","dwc.coordinateUncertaintyInMeters","idigbio.determinationHistory","dwc.georeferenceVerificationStatus","id","dwc.identifiedBy","dwc.geodeticDatum","dwc.georeferenceProtocol","dwc.locality","dwc.day","dwc.originalNameUsage","dwc.taxonRank","inhs.total_females","dwc.verbatimSRS","dwc.dynamicProperties","dwc.month","idigbio.preservative","idigbio.recordIds","dwc.associatedOccurrences","dwc.individualID","dwc.namePublishedInID","dwc.coordinatePrecision","dcterms.accessRights","idigbio.tribe","dwc.occurrenceRemarks","inhs.instars_Male","dwc.identificationVerificationStatus","inhs.juv_males","dwc.earliestAgeOrLowestStage","idigbio.createdBy","dwc.georeferenceSources","dwc.recordNumber","inhs.superfamily","idigbio.preparationCount","dwc.rights","dwc.georeferencedBy","dwc.fieldNotes","dwc.scientificNameAuthorship","dwc.identificationQualifier","dwc.georeferenceRemarks","dwc.collectionID","dwc.member","idigbio.dateModified","idigbio.recordId","dwc.continent","dwc.institutionID","fcc.pickedBy","dwc.formation","idigbio.associateIdentifier","dwc.basisOfRecord","idigbio.associateDeterminedBy","dwc.specificEpithet","inhs.formI_males","row.number","dwc.individualCount","inhs.relic","dwc.dataGeneralizations","dwc.latestEraOrHighestErathem","dwc.associatedMedia","dwc.occurrenceStatus","dwc.genus","dwc.decimalLongitude","dwc.latestPeriodOrHighestSystem","dwc.accessRights","dwc.higherClassification","dwc.informationWithheld","fcc.datePicked","inhs.total_Males","dwc.collectionCode","dcterms.type","dcterms.language","inhs.formII_females","dwc.preparation","dwc.earliestPeriodOrLowestSystem","dwc.datasetName","dwc.datasetID","dwc.earliestEraOrLowestErathem","dwc.typeStatus","dwc.country","dcterms.source","dwc.behavior","dwc.class","dwc.infraspecificEpithet","dwc.phylum","dwc.latestAgeOrHighestStage","fcc.superfamily","dwc.sex","dwc.year","dwc.eventDate","dwc.nameAccordingTo","dwc.higherGeography","dwc.institutionCode","idigbio.hostFamily","idigbio.associatedFamily","dwc.eventID","dwc.dateIdentified","dwc.earliestEpochOrLowestSeries","idigbio.subgenus","dwc.group","dwc.maximumDepthInMeters","dwc.VerbatimEventDate","dwc.bed","http...symbiota.org.terms.verbatimScientificName","idigbio.associateCondition","dwc.footprintWKT","dwc.georeferencedDate","dwc.nomenclaturalStatus","dwc.startDayOfYear","idigbio.associateCommonName","dwc.kingdom","inhs.location_RiverMile","dwc.recordedBy","inhs.live","dwc.taxonRemarks","dwc.municipality","dwc.associatedSequences"
"1735",NA,"",NA,NA,NA,"","","Mariana Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","68F2F314-72B8-4EC8-B6C7-3AC8AEC6C9A0","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Guam Island","",NA,"",NA,"Holothuriidae",NA,"GP-Loc-764",NA,NA,NA,"",NA,"Holothuria fuscocinerea",13.5,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","4707-Echinodermata","","b5d7fc4979061d09ba5d58e91932abe1bff89d38","",NA,NA,NA,"09/08/2014","560f69e1-4c6a-46f1-98dd-195808885969","",NA,NA,NA,"560f69e1-4c6a-46f1-98dd-195808885969","","","","",19,NA,NA,NA,NA,"",7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:53:57.275Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",144.8,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","USA",NA,NA,"Holothuroidea","","",NA,NA,"",2003,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Paulay, G., Malay, M., Bonito, V.",NA,NA,NA,NA
"1754",NA,"",NA,NA,NA,"","","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","1EEE37C8-82D0-4058-81BD-F0D75482CDF2","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"MGNW-20",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-13.4244,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","7480-Echinodermata","","6a6d3a9740e6b9f0ca259323f4f764e8fa7da8b5","",NA,NA,NA,"09/08/2014","d79d71d1-4eb1-445e-800c-0f6dab8a6a54","",NA,NA,NA,"d79d71d1-4eb1-445e-800c-0f6dab8a6a54","","","","",15,NA,NA,NA,NA,"",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T16:53:20.666Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",48.3642,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Madagascar",NA,NA,"Holothuroidea","","",NA,NA,"",2008,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA
"1898",NA,"",NA,NA,NA,"","","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","642499CC-ACC3-4B75-8C1E-EE7479AD03FC","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"MGNW-20",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-13.4244,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","7479-Echinodermata","","379324e61fe663c6e925812399217fe6218008cf","",NA,NA,NA,"09/08/2014","1fb7e0fd-4f68-4e27-90da-9bf6d9b92e33","",NA,NA,NA,"1fb7e0fd-4f68-4e27-90da-9bf6d9b92e33","","","","",15,NA,NA,NA,NA,"",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T09:05:33.648Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",48.3642,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Madagascar",NA,NA,"Holothuroidea","","",NA,NA,"",2008,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA
"1980",NA,"",NA,NA,NA,"","","Caroline Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","DE50F6FE-0B8E-4DDF-B0FA-977EF514CE65","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Chuuk Island","",NA,"",NA,"Holothuriidae",NA,"Kim-CHK-St-08",NA,NA,NA,"",NA,"Holothuria fuscocinerea",7.271582,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","11380-Echinodermata","","a771de79b83cf2be8bc349ec57bdfe328c0c45f0","",NA,NA,NA,"09/08/2014","825af847-031e-4464-9151-24ac23a95ab2","",NA,NA,NA,"825af847-031e-4464-9151-24ac23a95ab2","","","","",10,NA,NA,NA,NA,"",7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:36:42.447Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",151.535942,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Federated States of Micronesia",NA,NA,"Holothuroidea","","",NA,NA,"",2011,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Sun Kim",NA,NA,NA,NA
"2036",NA,"",NA,NA,NA,"","","Negros Oriental","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","C547A94A-F3F7-4323-9A45-B9AB35798D20","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"SEMP-07",NA,NA,NA,"",NA,"Holothuria fuscocinerea",9.60988,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","5599-Echinodermata","","c1acd0dd43dd99229137b015a56d3098ac58dd1b","",NA,NA,NA,"09/08/2014","2a6e5e7c-8e9a-4f96-b506-a26eb2579614","",NA,NA,NA,"2a6e5e7c-8e9a-4f96-b506-a26eb2579614","","","","",24,NA,NA,NA,NA,"",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T18:12:25.523Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",123.17229,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Philippines",NA,NA,"Holothuroidea","","",NA,NA,"",2006,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Kris Netchy & Alex Kerr",NA,NA,NA,NA
"2176",NA,"",NA,NA,NA,"","","Mascarene Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","FF2108B4-0F92-4296-96AB-DF9B001A68BC","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Reunion Island","",NA,"",NA,"Holothuriidae",NA,"SWIO-FM31",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-21.0941,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","7416-Echinodermata","","7b7fe30d9221e5e5a959a7759541d5ab80bd7da9","",NA,NA,NA,"09/08/2014","dc7020f1-9f63-4503-9581-97c37d0d1cc1","",NA,NA,NA,"dc7020f1-9f63-4503-9581-97c37d0d1cc1","","","","",30,NA,NA,NA,NA,"",7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T12:42:48.059Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",55.2347,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","France",NA,NA,"Holothuroidea","","",NA,NA,"",2007,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"François Michonneau",NA,NA,NA,NA
"2300",NA,"",NA,NA,NA,"","","New Caledonia","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","D0548BF3-9645-4DE3-BA37-3A5F270015D7","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"NEST32",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-18.48788,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","15849-Echinodermata","","13fbe4ba280fad1e06e93b591fe86b28a3f394dc","",NA,NA,NA,"09/08/2014","770aa3e4-08ee-43a5-9b80-d6c99d740827","",NA,NA,NA,"770aa3e4-08ee-43a5-9b80-d6c99d740827","","","","",21,NA,NA,NA,NA,"",11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T13:03:15.480Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",163.09553,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","France",NA,NA,"Holothuroidea","","",NA,NA,"",2013,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Nathaniel Evans",NA,NA,NA,NA
"2326",NA,"",NA,NA,NA,"","","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","5AB59278-1324-4FA1-B2E6-AF230CAF9320","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"MGNW-38",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-13.42923,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","7591-Echinodermata","","36b7bc080b8c318317e7dae5435c482e2e1a7415","",NA,NA,NA,"09/08/2014","51a481bb-b916-46b9-86c8-22126328d692","",NA,NA,NA,"51a481bb-b916-46b9-86c8-22126328d692","","","","",20,NA,NA,NA,NA,"",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:13:51.176Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",48.36398,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Madagascar",NA,NA,"Holothuroidea","","",NA,NA,"",2008,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"A. Anker, G. Bakary, E. Boissin, H. Bruggemann, T. Horeau, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA
"2444",NA,"",NA,NA,NA,"","","Society Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","0F5FE148-77E5-428A-9D9F-A5459783F1CD","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Moorea Island","",NA,"",NA,"Holothuriidae",NA,"BIZ-068",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-17.478385,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","9806-Echinodermata","","523196369e823795a6447d174d2f653501218a64","",NA,NA,NA,"09/08/2014","65810e8f-eaec-4755-b9a1-94fb4166926b","",NA,NA,NA,"65810e8f-eaec-4755-b9a1-94fb4166926b","","","","",29,NA,NA,NA,NA,"",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T14:08:56.542Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",-149.763871,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","French Polynesia",NA,NA,"Holothuroidea","","",NA,NA,"",2009,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Gustav Paulay, Seabird McKeon, Stephanie Bush, Steve Haddock",NA,NA,NA,NA
"2445",NA,"",NA,NA,NA,"","","Mariana Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","11EC8BF4-AC7C-463C-92CF-09443A446125","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Guam Island","",NA,"",NA,"Holothuriidae",NA,"ZZZ-085858",NA,NA,NA,"",NA,"Holothuria fuscocinerea",13.5,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","174-Echinodermata","","4c5f4d6d035806c780e7b4576e05d737e715421d","",NA,NA,NA,"09/08/2014","fe6f38f2-c60d-4349-8b0f-259e199c5ea3","",NA,NA,NA,"fe6f38f2-c60d-4349-8b0f-259e199c5ea3","","","","",22,NA,NA,NA,NA,"",8,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T14:10:15.659Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",144.8,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","USA",NA,NA,"Holothuroidea","","",NA,NA,"",1984,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Kirkendale, L.",NA,NA,NA,NA
"2476",NA,"",NA,NA,NA,"","","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","FCD35854-BB9D-4625-B0D9-8C9E324BC282","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"BPAL-098",NA,NA,NA,"",NA,"Holothuria fuscocinerea",7.503,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","1756-Echinodermata","","a4c12eab1bec604d13b8be62f091a841d9e78db5","",NA,NA,NA,"09/08/2014","56e1afb6-4a71-4dad-9df3-3b87ca17599c","",NA,NA,NA,"56e1afb6-4a71-4dad-9df3-3b87ca17599c","","","","",6,NA,NA,NA,NA,"",3,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:14:02.789Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",134.501,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Palau",NA,NA,"Holothuroidea","","",NA,NA,"",2003,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Paulay, G.",NA,NA,NA,NA
"2825",NA,"",NA,NA,NA,"","","Cebu Province","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","E2B64A2C-F175-4682-9000-2DAEBEE00296","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"KNRL-037",NA,NA,NA,"",NA,"Holothuria fuscocinerea",9.8686,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","4107-Echinodermata","","45a01f2e927853bc7f75fa83aaf1c3fa2738e8b2","",NA,NA,NA,"09/08/2014","489f247d-a474-4998-a2d9-94d6af361b8a","",NA,NA,NA,"489f247d-a474-4998-a2d9-94d6af361b8a","","","","",25,NA,NA,NA,NA,"",4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T10:55:26.657Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",123.3909,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Philippines",NA,NA,"Holothuroidea","","",NA,NA,"",2005,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Netchy, K. & Belleza, D.",NA,NA,NA,NA
"2852",NA,"",NA,NA,NA,"","","Bohol","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","63012EDF-1380-4DB4-8C3C-A6DFCF7742CC","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"SEMP-35",NA,NA,NA,"",NA,"Holothuria fuscocinerea",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","5629-Echinodermata","","1a20c2c1151b234eea81cd304fd87934b7072b03","",NA,NA,NA,"09/08/2014","63a1c586-9e7a-4024-bd8d-41d06b624c93","",NA,NA,NA,"63a1c586-9e7a-4024-bd8d-41d06b624c93","","","","",13,NA,NA,NA,NA,"",6,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T10:32:27.876Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",NA,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Philippines",NA,NA,"Holothuroidea","","",NA,NA,"",2006,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Kris Netchy & Alex Kerr",NA,NA,NA,NA
"2879",NA,"",NA,NA,NA,"","","Mascarene Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","7CFDDF0E-BF91-4F13-AA18-611DF15AD25F","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Reunion Island","",NA,"",NA,"Holothuriidae",NA,"SWIO-18",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-21.090833,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","6560-Echinodermata","","b946c2f29454e7128e9b0732741c1d860d3358a1","",NA,NA,NA,"09/08/2014","e9f8311c-375d-482f-b6e8-13f89565f983","",NA,NA,NA,"e9f8311c-375d-482f-b6e8-13f89565f983","","","","",14,NA,NA,NA,NA,"",8,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T15:23:47.173Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",55.229444,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","France",NA,NA,"Holothuroidea","","",NA,NA,"",2007,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay",NA,NA,NA,NA
