"","dwc.disposition","dwc.earliestEraOrLowestErathem","idigbio.recordId","idigbio.associateCommonName","dwc.associatedSequences","fcc.subfamily","dwc.identificationRemarks","dwc.namePublishedInID","dwc.namePublishedIn","dwc.countryCode","dcterms.bibliographicCitation","dwc.locationRemarks","dwc.maximumElevationInMeters","dwc.identificationReferences","idigbio.endangeredStatus","dwc.nomenclaturalCode","idigbio.uuid","inhs.juv_undetermined","idigbio.tribe","inhs.location_RiverMile","dwc.county","idigbio.associateRelationship","dwc.minimumDepthInMeters","dcterms.rights","dwc.islandGroup","dwc.associatedTaxa","dwc.collectionCode","dwc.associatedOccurrences","dwc.sex","dwc.habitat","idigbio.barcodeValue","dwc.latestAgeOrHighestStage","dwc.identificationVerificationStatus","dwc.verbatimCoordinates","idigbio.associateNotes","dwc.accessRights","row.number","dwc.maximumDepthInMeters","idigbio.substrate","dwc.infraspecificEpithet","idigbio.preparationCount","dwc.taxonRank","dwc.decimalLatitude","dwc.member","dwc.fieldNotes","dwc.georeferencedBy","dwc.associatedMedia","dwc.recordedBy","dwc.taxonID","id","dwc.georeferenceProtocol","dwc.earliestEpochOrLowestSeries","dwc.nameAccordingTo","dwc.taxonRemarks","inhs.formI_males","dwc.verbatimTaxonRank","dwc.latestEpochOrHighestSeries","dwc.locationAccordingTo","inhs.locationTrs","http...symbiota.org.terms.verbatimScientificName","dwc.identificationQualifier","inhs.instars_Male","dwc.verbatimLongitude","dwc.institutionID","dwc.dynamicProperties","dwc.scientificName","dwc.datasetName","dwc.decimalLongitude","dwc.locality","dwc.startDayOfYear","dwc.rights","dwc.collectionID","dwc.georeferenceRemarks","idigbio.hostFamily","dwc.catalogNumber","dwc.continent","idigbio.etag","dwc.day","dwc.genus","idigbio.createdBy","dwc.latestEraOrHighestErathem","dwc.locationID","dwc.subgenus","dwc.latestPeriodOrHighestSystem","dwc.occurrenceRemarks","dwc.vernacularName","dwc.verbatimEventDate","inhs.location_Stream","dwc.georeferenceVerificationStatus","dwc.otherCatalogNumbers","idigbio.recordIds","dwc.occurrenceStatus","idigbio.preservative","dwc.samplingProtocol","inhs.total_females","idigbio.subgenus","idigbio.associateCondition","dwc.establishmentMeans","dwc.order","dwc.behavior","dwc.verbatimElevation","dwc.dateIdentified","dwc.samplingEffort","dwc.identifiedBy","dwc.relatedResourceID","symbiota.verbatimScientificName","dwc.verbatimCoordinateSystem","inhs.instars_Female","symbiotaverbatimScientificName","dwc.preparations","idigbio.determinationHistory","idigbio.associateIdentifier","inhs.formII_females","dwc.year","fcc.pickedBy","inhs.vouchered","dwc.typeStatus","dwc.eventID","dwc.identificationID","dwc.month","dwc.lithostratigraphicTerms","dwc.verbatimSRS","dwc.waterBody","dwc.eventTime","inhs.total_Males","inhs.dead","dwc.dataGeneralizations","idigbio.associateDeterminedBy","idigbio.associatedFamily","dwc.individualID","dwc.georeferenceSources","fcc.superfamily","dcterms.type","inhs.juv_females","dwc.verbatimLatitude","dwc.bed","dwc.georeferencedDate","dwc.scientificNameID","dwc.kingdom","dwc.previousIdentifications","dwc.lowestBiostratigraphicZone","inhs.formII_males","dwc.endDayOfYear","dwc.reproductiveCondition","dwc.nomenclaturalStatus","idigbio.recordID","dwc.lifeStage","dwc.institutionCode","dwc.VerbatimEventDate","dcterms.language","dwc.informationWithheld","dwc.higherGeography","dwc.higherClassification","dwc.eventRemarks","dwc.municipality","dcterms.accessRights","idigbio.dateModified","dwc.class","dcterms.rightsHolder","dwc.rightsHolder","dwc.ownerInstitutionCode","idigbio.subfamily","inhs.juv_males","dwc.occurrenceID","dwc.basisOfRecord","dwc.individualCount","dwc.coordinateUncertaintyInMeters","dwc.geodeticDatum","dwc.minimumElevationInMeters","dcterms.modified","dwc.coordinatePrecision","dwc.originalNameUsage","idigbio.associateAuthor","dwc.stateProvince","dwc.verbatimLocality","dwc.country","dcterms.source","dwc.fieldNumber","dwc.recordNumber","dcterms.references","inhs.location_Basin","inhs.relic","dwc.footprintWKT","idigbio.associatedRelationship","dwc.verbatimDepth","fcc.datePicked","inhs.live","dwc.specificEpithet","dcterms.reference","dwc.associatedReferences","dwc.formation","dwc.family","dwc.datasetID","idigbio.version","dwc.scientificNameAuthorship","dwc.group","inhs.superfamily","dwc.phylum","dwc.earliestPeriodOrLowestSystem","dwc.earliestAgeOrLowestStage","dwc.island","dwc.eventDate","dwc.preparation"
"1706","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","a9ac8973-8443-48f9-bbad-c2f7ea9e5e26",NA,NA,NA,"Yap State",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,9.51362,NA,NA,"","","Kris Netchy & Alex Kerr",NA,"a9ac8973-8443-48f9-bbad-c2f7ea9e5e26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,138.13182,"",NA,NA,NA,"",NA,"5888-Echinodermata","","5f8e96b12e59b73cfbf0c21aeb4f03a30efb34f6",30,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"AK-Yap-02",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2007,NA,NA,"",NA,NA,7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T17:13:08.732Z","Holothuroidea","",NA,"",NA,NA,"699E6C3C-F503-483C-A289-D6BA988A672A","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1750","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","5af2699c-c60f-486b-b83d-df070bbd6787",NA,NA,NA,"Chuuk Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,7.271531,NA,NA,"","","Sun Kim",NA,"5af2699c-c60f-486b-b83d-df070bbd6787","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,151.535727,"",NA,NA,NA,"",NA,"11378-Echinodermata","","f3250b16e1995eada177c011acf04e5a31d6876e",4,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"Kim-CHK-St-05",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2011,NA,NA,"",NA,NA,7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T16:59:10.210Z","Holothuroidea","",NA,"",NA,NA,"735FBDB4-5269-4551-A2D6-DC34EFD159B7","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1847","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","268104c2-7ad7-4934-8247-2fd97aea51cc",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Paulay, G.",NA,"268104c2-7ad7-4934-8247-2fd97aea51cc","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"1320-Echinodermata","","327112cef3805ee9a69a52adcc5e27c60ac5b361",26,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"GP-Loc-607",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1999,NA,NA,"",NA,NA,7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T13:52:14.700Z","Holothuroidea","",NA,"",NA,NA,"80F3C269-84AF-43D5-847B-771BA4A46515","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"",NA,"Palau",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1933","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","330cd553-273f-475a-8964-78cbfaa150ad",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-22.66813,NA,NA,"","","Nathaniel Evans",NA,"330cd553-273f-475a-8964-78cbfaa150ad","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,167.42478,"",NA,NA,NA,"",NA,"15770-Echinodermata","","967a0724e316d371eef52ab36cf75d4cee09f7f3",28,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"NEST1",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2013,NA,NA,"",NA,NA,10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T10:55:32.770Z","Holothuroidea","",NA,"",NA,NA,"5A0B0A63-C3F5-43F1-8D2F-A84C8A67A110","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"New Caledonia",NA,"France",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1942","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","3861f92a-7856-41ae-97fd-029a4f47a004",NA,NA,NA,"Pohnpei State",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","R. Strong",NA,"3861f92a-7856-41ae-97fd-029a4f47a004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"12326-Echinodermata","","f12a2fd177ed7a9c662ae324bf32ec7aaf75b86e",NA,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"UGI-Station-384",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1975,NA,NA,"",NA,NA,12,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T11:17:40.007Z","Holothuroidea","",NA,"",NA,NA,"F294A44C-F86D-4A29-BFD5-71DAFE7DB927","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2037","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","3bac238c-2d4e-4ee8-9d81-e2bb1c13a0ed",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-14.6813,NA,NA,"","","François Michonneau",NA,"3bac238c-2d4e-4ee8-9d81-e2bb1c13a0ed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,145.4457,"",NA,NA,NA,"",NA,"8304-Echinodermata","","2a20a08714290c1c6100ee24d2b0b548fec15f87",11,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"AUST-ST-037",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2009,NA,NA,"",NA,NA,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T18:46:17.017Z","Holothuroidea","",NA,"",NA,NA,"6B01D2BD-48B7-4735-BE09-C042B3579F47","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Queensland",NA,"Australia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2120","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","f35835b6-a054-4e80-abd5-8d2880e89c03",NA,NA,NA,"Viti Levu Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-18.1588833333333,NA,NA,"","","Bonito, V.",NA,"f35835b6-a054-4e80-abd5-8d2880e89c03","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,178.424716666667,"",NA,NA,NA,"",NA,"552-Echinodermata","","3044c3f8980b53dda978a467de366230424e0635",10,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"LAK-013B",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2001,NA,NA,"",NA,NA,10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T12:12:00.635Z","Holothuroidea","",NA,"",NA,NA,"0C34817C-D3D6-4F63-8825-28BE8CD7F2BF","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Fiji Islands",NA,"Fiji",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2179","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","f897f43c-fd4e-4910-8c55-6a21af7ca55e",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Gustav Paulay",NA,"f897f43c-fd4e-4910-8c55-6a21af7ca55e","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"12611-Echinodermata","","99d27a9ed991e077cd2f8be41bfbacb23cee5044",14,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"Paulay-1996-03-14",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1996,NA,NA,"",NA,NA,3,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T13:14:14.229Z","Holothuroidea","",NA,"",NA,NA,"ACC19795-63F3-4CE8-82ED-6407AB7DA6A6","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"",NA,"Palau",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2223","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","506f03c4-4255-4e1c-b818-6087b04719f8",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Paulay, G.",NA,"506f03c4-4255-4e1c-b818-6087b04719f8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"1742-Echinodermata","","ac44d2c2dffd76e92cfade8891d150a93d265611",26,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"GP-Loc-607",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1999,NA,NA,"",NA,NA,7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T15:43:20.131Z","Holothuroidea","",NA,"",NA,NA,"0A63B24E-CB95-4874-BB15-53B55272D7BE","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"",NA,"Palau",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2309","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","f0c4e9e2-7a37-4dbe-8aa6-a6ebf53d0204",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Paulay, G.",NA,"f0c4e9e2-7a37-4dbe-8aa6-a6ebf53d0204","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"1634-Echinodermata","","5b7b1876487cefbafb101822307594394ce2b9d7",5,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"BPAL-094",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2003,NA,NA,"",NA,NA,3,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T18:05:45.874Z","Holothuroidea","",NA,"",NA,NA,"3172B587-0FC3-4300-B8EE-667F25CF0EDD","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"",NA,"Palau",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2436","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","d26ef01c-b68e-45ac-83a6-0d154ba1e181",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-22.66813,NA,NA,"","","Nathaniel Evans",NA,"d26ef01c-b68e-45ac-83a6-0d154ba1e181","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,167.42478,"",NA,NA,NA,"",NA,"15843-Echinodermata","","8c71c61e51f44bbe02e1161008625db45287b74a",28,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"NEST1",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2013,NA,NA,"",NA,NA,10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T18:45:10.263Z","Holothuroidea","",NA,"",NA,NA,"876FB35A-5B71-47DB-908C-6F850493E55A","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"New Caledonia",NA,"France",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2506","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","f6bb9d95-18e3-423e-a21c-72015d380e1c",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Paulay, G.",NA,"f6bb9d95-18e3-423e-a21c-72015d380e1c","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"1636-Echinodermata","","695381a92d3f5dc8b272f946d744392a0599e59f",5,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"BPAL-094",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2003,NA,NA,"",NA,NA,3,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T09:34:15.106Z","Holothuroidea","",NA,"",NA,NA,"30B6E591-CAF3-40E7-86FD-9DBF6E3B905E","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"",NA,"Palau",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2764","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","b94f2a25-68c5-46eb-8138-9c4ef95ccec2",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-5.002631,NA,NA,"","","Pierre Lozouet, Laurent Charles, Timea Neusser, Bastian Brenzinger, John Slapcinsky, Juliette Gorson, Mande Holford, Cyndie Dupoux",NA,"b94f2a25-68c5-46eb-8138-9c4ef95ccec2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,145.794118,"",NA,NA,NA,"",NA,"14643-Echinodermata","","97f4a9ec36c687ab3dc839406c9d0f0764e2c6e6",9,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"PM12",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2012,NA,NA,"",NA,NA,11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T18:04:51.095Z","Holothuroidea","",NA,"",NA,NA,"5035B52A-F845-4F77-AB64-0A085888F1CD","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Madang Province",NA,"Papua New Guinea",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"2771","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","ef4e1476-8100-4ba7-b726-71f6de950e1d",NA,NA,NA,"Viti Levu Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,"ef4e1476-8100-4ba7-b726-71f6de950e1d","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"1759-Echinodermata","","c18a6590f5ebf6fc2acf213060cf8001a403ec0a",1,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"BFIJI-369A",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1988,NA,NA,"",NA,NA,11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T16:03:06.032Z","Holothuroidea","",NA,"",NA,NA,"915BB0AC-3CD9-4B23-8423-08127611E140","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Fiji Islands",NA,"Fiji",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
