"","inhs.formII_females","dwc.month","dwc.year","dcterms.source","dwc.maximumDepthInMeters","dwc.decimalLongitude","row.number","dwc.stateProvince","dcterms.modified","dcterms.accessRights","dwc.scientificNameAuthorship","dwc.islandGroup","dwc.dynamicProperties","dwc.lifeStage","idigbio.determinationHistory","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinateSystem","dwc.continent","dwc.recordedBy","dwc.maximumElevationInMeters","idigbio.subgenus","dwc.establishmentMeans","dwc.latestPeriodOrHighestSystem","dwc.georeferenceVerificationStatus","dwc.typeStatus","dwc.individualID","dwc.order","dwc.scientificName","dwc.taxonID","idigbio.preservative","dwc.institutionID","dwc.eventDate","idigbio.substrate","idigbio.associatedRelationship","dwc.family","dwc.genus","dwc.latestEpochOrHighestSeries","dwc.startDayOfYear","dwc.samplingProtocol","dcterms.reference","dwc.footprintWKT","dwc.verbatimLatitude","dwc.verbatimSRS","dwc.associatedOccurrences","dcterms.type","dwc.basisOfRecord","idigbio.etag","http...symbiota.org.terms.verbatimScientificName","idigbio.barcodeValue","dwc.datasetID","dwc.kingdom","inhs.vouchered","dwc.geodeticDatum","inhs.superfamily","dwc.namePublishedInID","dwc.datasetName","dwc.collectionID","dwc.class","dwc.waterBody","dwc.county","inhs.juv_females","dwc.specificEpithet","dwc.island","dwc.individualCount","dwc.verbatimEventDate","dwc.nameAccordingTo","dwc.georeferencedBy","symbiotaverbatimScientificName","dwc.associatedSequences","dwc.vernacularName","dwc.institutionCode","dwc.scientificNameID","dwc.dateIdentified","inhs.dead","dwc.accessRights","dwc.earliestPeriodOrLowestSystem","idigbio.associateNotes","fcc.superfamily","idigbio.version","dwc.ownerInstitutionCode","dwc.member","inhs.formII_males","dwc.higherGeography","dwc.verbatimLocality","dwc.identificationRemarks","idigbio.associateCommonName","inhs.juv_undetermined","dwc.collectionCode","dwc.georeferenceRemarks","idigbio.recordIds","idigbio.createdBy","dwc.day","inhs.total_females","dwc.coordinatePrecision","dwc.latestAgeOrHighestStage","dwc.VerbatimEventDate","dwc.earliestEraOrLowestErathem","dwc.originalNameUsage","idigbio.associateRelationship","dwc.eventID","dwc.municipality","dwc.locationAccordingTo","dwc.occurrenceRemarks","dwc.occurrenceStatus","dwc.namePublishedIn","dcterms.references","dwc.countryCode","dwc.rights","dwc.minimumDepthInMeters","dwc.identificationVerificationStatus","dwc.behavior","dwc.catalogNumber","dwc.recordNumber","fcc.subfamily","dwc.taxonRemarks","dwc.georeferenceSources","dwc.locality","inhs.total_Males","dwc.habitat","dwc.fieldNotes","dwc.earliestAgeOrLowestStage","inhs.relic","dwc.formation","dwc.associatedMedia","dwc.previousIdentifications","dwc.decimalLatitude","dwc.identificationReferences","dwc.georeferencedDate","dwc.subgenus","dwc.phylum","symbiota.verbatimScientificName","dcterms.rightsHolder","dwc.preparation","dwc.fieldNumber","dwc.verbatimElevation","dcterms.bibliographicCitation","fcc.pickedBy","inhs.instars_Female","idigbio.recordID","dwc.sex","idigbio.associateAuthor","id","idigbio.associatedFamily","dwc.rightsHolder","dwc.taxonRank","dwc.verbatimLongitude","dwc.relatedResourceID","inhs.location_Stream","dwc.minimumElevationInMeters","dwc.verbatimDepth","dwc.group","dwc.earliestEpochOrLowestSeries","dwc.verbatimTaxonRank","idigbio.associateDeterminedBy","dwc.samplingEffort","idigbio.tribe","dwc.lowestBiostratigraphicZone","dcterms.rights","inhs.juv_males","dwc.nomenclaturalCode","idigbio.uuid","dwc.georeferenceProtocol","idigbio.associateCondition","dwc.eventRemarks","dwc.identifiedBy","dwc.reproductiveCondition","dcterms.language","dwc.higherClassification","dwc.associatedTaxa","dwc.eventTime","dwc.latestEraOrHighestErathem","dwc.dataGeneralizations","idigbio.associateIdentifier","dwc.informationWithheld","dwc.country","inhs.location_RiverMile","dwc.occurrenceID","dwc.verbatimCoordinates","fcc.datePicked","inhs.location_Basin","idigbio.subfamily","dwc.endDayOfYear","dwc.preparations","dwc.bed","dwc.nomenclaturalStatus","dwc.locationRemarks","dwc.locationID","idigbio.hostFamily","dwc.associatedReferences","idigbio.recordId","inhs.instars_Male","idigbio.preparationCount","dwc.disposition","dwc.identificationQualifier","inhs.formI_males","idigbio.endangeredStatus","dwc.otherCatalogNumbers","dwc.lithostratigraphicTerms","dwc.identificationID","inhs.locationTrs","inhs.live","idigbio.dateModified","dwc.infraspecificEpithet"
"1954",NA,5,2012,NA,NA,-61.538783,NA,"Guadeloupe Island","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Dominique Lamy, Laurent Pruvost",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","6a233d2ad1635b78c64bcf9ce43152d3bc2bb6ce",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12831-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,16.351933,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"a03d870e-8177-480d-8f5f-8622d5b1161c",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","a03d870e-8177-480d-8f5f-8622d5b1161c","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Lesser Antilles",NA,"ABD966FF-B73E-4EEF-8F3C-6DD6F257D1CA","",NA,NA,NA,NA,"",NA,NA,"","GD42-MNHN",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T10:48:35.228Z",""
"1991",NA,5,1984,NA,NA,NA,NA,"Virgin Islands","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Beets, J.",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","da4ba86f2e8f7e470ff614dac0548eacd2646705",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","St. John",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"1423-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"221b8ac2-8478-4022-8471-60f7d78d2b43",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","221b8ac2-8478-4022-8471-60f7d78d2b43","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"USA",NA,"5F5AF65E-98D6-4181-BE3B-4C6327BD3901","",NA,NA,NA,NA,"",NA,NA,"","ZZZ-088586",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T13:38:02.288Z",""
"2016",NA,5,2006,NA,NA,NA,NA,"","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","J. Pahalas",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","10f1896e24918ba0162f92ad1d4a577a9433ab09",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"4877-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"80ac37c0-b98a-4106-8008-d9a8649eef2b",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","80ac37c0-b98a-4106-8008-d9a8649eef2b","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Belize",NA,"1E37E1F2-28DA-4A8D-96B0-0E3ABD26E8F1","",NA,NA,NA,NA,"",NA,NA,"","SMBZE-003",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T13:41:19.274Z",""
"2155",NA,7,1965,NA,NA,NA,NA,"","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Bryce C. Brown",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","ec79aadc3340dfd83148d314e81ca71b6437a4c0",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12717-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"bc2efeaa-cc42-4cad-8d0c-b404d12933c2",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","bc2efeaa-cc42-4cad-8d0c-b404d12933c2","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Puerto Rico",NA,"BB52F09B-4F19-4828-8EB6-A76A9EB3B981","",NA,NA,NA,NA,"",NA,NA,"","Brown-1965-07",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T11:41:30.085Z",""
"2255",NA,1,2010,NA,NA,-75.0243333333333,NA,"","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","e5a00adcc0a0000004e1e057df0f72a2108b0913",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"11477-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,18.4001666666667,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"dd024535-0d78-43d5-8756-1094e8ce890e",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","dd024535-0d78-43d5-8756-1094e8ce890e","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Navassa",NA,"CF7F6B3A-18BA-4106-A52E-5AC7992A91BA","",NA,NA,NA,NA,"",NA,NA,"","NCI-Navassa 1",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T18:40:52.475Z",""
"2452",NA,4,2008,NA,NA,-81.2866666666667,NA,"Florida","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","e68bb0b3cbfca7bde400c6c05c635a89cc526496",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","Monroe Co.",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"11459-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,24.6581666666667,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"d2a532a7-ca8a-4cf4-a9f5-081d816b2b0d",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","d2a532a7-ca8a-4cf4-a9f5-081d816b2b0d","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"USA",NA,"12DEC3AA-0F12-4729-9D1C-B0C0E81A019E","",NA,NA,NA,NA,"",NA,NA,"","NCI-Bahia Honda",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T15:49:39.669Z",""
"2483",NA,NA,NA,NA,NA,-87.366667,NA,"Quintana Roo","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Vokes, H. E.",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","3d4d90f27224d1f35c096eda7ecffa3aa1b5f971",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"2454-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,18.583333,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"a4e0dccc-f2e5-4bab-93d7-e42cbc36c1b7",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","a4e0dccc-f2e5-4bab-93d7-e42cbc36c1b7","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Mexico",NA,"E4267388-91C9-4811-9E95-444F69C78179","",NA,NA,NA,NA,"",NA,NA,"","R-0117",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T11:27:10.008Z",""
"2827",NA,4,2012,NA,NA,-63.02,NA,"St. Martin","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Gustav Paulay, François Michonneau",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","f3a654ab833d8353112ad85d4668308ddb1d6895",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"11894-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,18.104,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"a05f0af1-5805-4814-9b41-7ea80ae3f69c",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","a05f0af1-5805-4814-9b41-7ea80ae3f69c","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"French Antilles",NA,"EEB21453-BC0D-458B-8376-84342868FF44","",NA,NA,NA,NA,"",NA,NA,"","STM-058",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T10:58:46.788Z",""
"2844",NA,7,1973,NA,NA,NA,NA,"Yucatan","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Bryce C. Brown et al.",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","7202aba5df320c9148617889bd6512d285cf3262",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12716-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"18bc9e69-3c54-49fd-9604-8bd80c26ba83",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","18bc9e69-3c54-49fd-9604-8bd80c26ba83","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Mexico",NA,"A9ADE12E-01E8-4793-B09B-C44C8A7F216B","",NA,NA,NA,NA,"",NA,NA,"","Brown-1973-07-31",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T12:41:13.179Z",""
"2944",NA,8,1973,NA,NA,NA,NA,"Quintano Roo","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Bryce C. Brown et al.",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","df7ec2929a710dc8080e31bb817c104732b08a08",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12715-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"43e8b7f8-c08b-4ec2-acb5-724cdf799386",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","43e8b7f8-c08b-4ec2-acb5-724cdf799386","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Mexico",NA,"86161707-DE8A-4998-BA65-0EC3DD373E29","",NA,NA,NA,NA,"",NA,NA,"","Brown-1973-08-06",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T16:22:25.531Z",""
