"","dwc.earliestEpochOrLowestSeries","dwc.associatedMedia","dwc.decimalLongitude","dwc.relatedResourceID","dwc.locality","dwc.class","dwc.day","inhs.instars_Male","symbiotaverbatimScientificName","dwc.fieldNumber","dwc.identificationVerificationStatus","dwc.group","fcc.subfamily","dwc.georeferenceVerificationStatus","dwc.family","idigbio.version","idigbio.recordID","dwc.islandGroup","dwc.datasetName","dwc.verbatimCoordinates","dwc.coordinatePrecision","dwc.vernacularName","dwc.member","dwc.genus","dcterms.accessRights","inhs.live","dwc.recordedBy","idigbio.endangeredStatus","dwc.associatedOccurrences","dwc.occurrenceRemarks","dwc.disposition","dwc.sex","dwc.latestAgeOrHighestStage","dwc.identificationRemarks","dwc.behavior","inhs.formII_females","dwc.individualID","dwc.earliestEraOrLowestErathem","dwc.informationWithheld","dwc.nomenclaturalCode","dwc.island","dwc.startDayOfYear","dwc.VerbatimEventDate","fcc.pickedBy","dwc.identificationReferences","inhs.location_RiverMile","inhs.juv_undetermined","dwc.dateIdentified","dwc.establishmentMeans","dwc.nameAccordingTo","dwc.basisOfRecord","dwc.institutionID","dwc.collectionID","dwc.lowestBiostratigraphicZone","dwc.habitat","dwc.lithostratigraphicTerms","inhs.total_Males","dcterms.modified","dwc.waterBody","idigbio.subgenus","inhs.formII_males","dwc.datasetID","dwc.latestEpochOrHighestSeries","dwc.specificEpithet","dwc.rightsHolder","dwc.latestPeriodOrHighestSystem","dwc.eventDate","dwc.verbatimSRS","dwc.dataGeneralizations","idigbio.associateRelationship","dwc.endDayOfYear","dwc.georeferencedDate","row.number","idigbio.dateModified","inhs.location_Basin","dwc.locationAccordingTo","inhs.juv_males","dwc.scientificName","idigbio.hostFamily","dwc.samplingProtocol","dwc.geodeticDatum","dwc.municipality","inhs.instars_Female","dwc.earliestPeriodOrLowestSystem","dwc.taxonRemarks","dwc.nomenclaturalStatus","dwc.individualCount","dwc.order","dwc.scientificNameAuthorship","dwc.identifiedBy","dwc.institutionCode","dwc.lifeStage","dwc.decimalLatitude","dwc.otherCatalogNumbers","dwc.samplingEffort","idigbio.preservative","idigbio.preparationCount","dwc.associatedSequences","dwc.phylum","dwc.month","dwc.georeferencedBy","idigbio.associateCommonName","dwc.ownerInstitutionCode","dwc.subgenus","dcterms.reference","dwc.reproductiveCondition","fcc.superfamily","idigbio.associateIdentifier","inhs.formI_males","dwc.formation","dwc.typeStatus","dwc.year","dwc.higherClassification","idigbio.substrate","fcc.datePicked","idigbio.barcodeValue","symbiota.verbatimScientificName","dwc.eventRemarks","idigbio.associatedRelationship","dwc.eventTime","dwc.country","idigbio.associateNotes","dwc.occurrenceID","idigbio.tribe","dwc.verbatimLocality","dwc.verbatimLatitude","dwc.identificationQualifier","dwc.verbatimCoordinateSystem","dcterms.rightsHolder","dwc.recordNumber","dwc.associatedReferences","dwc.eventID","inhs.dead","dwc.continent","http...symbiota.org.terms.verbatimScientificName","dwc.georeferenceSources","inhs.total_females","dwc.earliestAgeOrLowestStage","id","dwc.footprintWKT","inhs.superfamily","dwc.countryCode","dwc.originalNameUsage","inhs.vouchered","dcterms.rights","dcterms.references","dwc.bed","dwc.minimumDepthInMeters","dwc.previousIdentifications","dwc.kingdom","idigbio.associateDeterminedBy","inhs.juv_females","dwc.higherGeography","dwc.scientificNameID","dwc.latestEraOrHighestErathem","dwc.coordinateUncertaintyInMeters","dwc.georeferenceRemarks","dwc.identificationID","dwc.verbatimTaxonRank","idigbio.associatedFamily","dcterms.bibliographicCitation","idigbio.recordId","dwc.county","dwc.occurrenceStatus","dwc.preparation","dcterms.language","dwc.locationRemarks","dcterms.source","idigbio.etag","dwc.verbatimLongitude","dwc.accessRights","dwc.collectionCode","idigbio.recordIds","dwc.maximumElevationInMeters","dwc.locationID","idigbio.uuid","idigbio.associateCondition","dwc.namePublishedIn","inhs.locationTrs","dwc.rights","dwc.georeferenceProtocol","dwc.namePublishedInID","dwc.associatedTaxa","idigbio.subfamily","dwc.minimumElevationInMeters","dwc.infraspecificEpithet","dwc.dynamicProperties","dwc.verbatimElevation","dwc.preparations","idigbio.associateAuthor","dcterms.type","dwc.taxonID","dwc.catalogNumber","idigbio.determinationHistory","dwc.verbatimEventDate","dwc.verbatimDepth","dwc.stateProvince","inhs.location_Stream","dwc.maximumDepthInMeters","idigbio.createdBy","dwc.taxonRank","inhs.relic","dwc.fieldNotes"
"1266",NA,"",NA,NA,"","Holothuroidea",1,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Alex Kerr",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T17:42:56.490Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",1992,"",NA,NA,NA,NA,"",NA,NA,"Federated States of Micronesia",NA,"1815AA02-C0A8-48D6-9B8D-518CC7094C21",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"e6af7051-fa82-4046-a25a-b0ed57e0b52c",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Kosrae State",NA,NA,"","",NA,"f63aedfc69dbc19e1f1f538439ef3755962342c8","",NA,"Invertebrate Zoology",NA,NA,"UGI-Station-336","e6af7051-fa82-4046-a25a-b0ed57e0b52c",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"12360-Echinodermata",NA,"","","Caroline Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1353",NA,"",NA,NA,"","Holothuroidea",23,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Paulay, G.",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T10:42:40.694Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",1982,"",NA,NA,NA,NA,"",NA,NA,"Fiji",NA,"1BAFFAC0-83D2-4376-B9C6-3ADBA7A41449",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"a01ddf5b-72b7-4dca-a618-8244bdcf6c7a",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Viti Levu Island",NA,NA,"","",NA,"3b24b8a8008be25701278c3332982ff95bfec710","",NA,"Invertebrate Zoology",NA,NA,"HFIJI-014","a01ddf5b-72b7-4dca-a618-8244bdcf6c7a",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"987-Echinodermata",NA,"","","Fiji Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1378",NA,"",NA,NA,"","Holothuroidea",NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Hal Koike",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T10:53:05.652Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,"Seychelles",NA,"4259441B-42CB-4B05-9343-AB22758ADEFF",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"0d4e2a68-6e21-4cce-af5a-0a9ccc335d6a",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"de864a125406e371e9b0867a96bec5340a53e1d2","",NA,"Invertebrate Zoology",NA,NA,"Koike-Mahe Plateau","0d4e2a68-6e21-4cce-af5a-0a9ccc335d6a",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"11329-Echinodermata",NA,"","","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1393",NA,"",158.2,NA,"","Holothuroidea",19,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Alexander M. Kerr",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T12:07:06.418Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,7,"",NA,NA,NA,NA,"",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2005,"",NA,NA,NA,NA,"",NA,NA,"Federated States of Micronesia",NA,"E9C3C809-76AD-4607-94DF-77B5619B57F3",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"ac0718fe-6843-4d5e-ab1e-f80e20ebf9eb",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pohnpei Island",NA,NA,"","",NA,"089648f2bce1e84bec761cc3003d1f22fada8f3d","",NA,"Invertebrate Zoology",NA,NA,"Kerr-009","ac0718fe-6843-4d5e-ab1e-f80e20ebf9eb",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"11313-Echinodermata",NA,"","","Caroline Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1437",NA,"",42.5826,NA,"","Holothuroidea",11,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Gustav Paulay, Noah DesRossiers, Patrick Norby",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T17:09:22.500Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,16.8337,"",NA,NA,NA,NA,"",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2013,"",NA,NA,NA,NA,"",NA,NA,"Saudi Arabia",NA,"5D743DEF-3208-484C-B89C-0B26F4F88043",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"2b8e405c-dd6e-44f0-8603-e140069a27d9",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"f3263b5ed2456cdcc3557bf7854e3ec7160bae5a","",NA,"Invertebrate Zoology",NA,NA,"SAFA-026","2b8e405c-dd6e-44f0-8603-e140069a27d9",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"13995-Echinodermata",NA,"","","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1552",NA,"",103.754,NA,"","Holothuroidea",23,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Tan Heok Hui, Zeehan Jaafar, Zarina, Debby Ng, Lin Chia-wei, Daisuke Uyeno, Wang Tuan Wah, Catherine Head, Sammy Benny Jacky De Grave, Charles Garrette Messing  , David John William Lane",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T12:12:36.169Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,1.20648333333333,"",NA,NA,NA,NA,"",5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2013,"",NA,NA,NA,NA,"",NA,NA,"Singapore",NA,"E175D63A-0DB0-42F6-B724-102FC2C192F7",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"3ef8d2dc-4c56-48d8-ad51-9bc635c2a7da",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"3195d7898c6c51150acc0e0c51eec1d6cc557c9f","",NA,"Invertebrate Zoology",NA,NA,"SD40","3ef8d2dc-4c56-48d8-ad51-9bc635c2a7da",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"13694-Echinodermata",NA,"","","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1596",NA,"",NA,NA,"","Holothuroidea",3,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Ron Clouse, Daniel Janies",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T11:36:43.078Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2002,"",NA,NA,NA,NA,"",NA,NA,"Federated States of Micronesia",NA,"00B0FF53-38D9-4AC1-9455-6C611A5D3ED6",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"299858b2-a2fe-4aea-a4dc-846d99678069",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pohnpei Island",NA,NA,"","",NA,"25f157a54fc7603c012a88106dd5ae894d0b9859","",NA,"Invertebrate Zoology",NA,NA,"Clouse-2002-Temwen","299858b2-a2fe-4aea-a4dc-846d99678069",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"13338-Echinodermata",NA,"","","Caroline Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1604",NA,"",145.800171,NA,"","Holothuroidea",16,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Baptiste Faure, Rachel James, Richard Ibik, Selma Pomalak, Michel Le Gall",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T11:46:12.143Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,-5.0888,"",NA,NA,NA,NA,"",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2012,"",NA,NA,NA,NA,"",NA,NA,"Papua New Guinea",NA,"864F856D-C3FF-4592-B2B6-DE0E27FDC34F",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"abeab4f2-0d96-4653-9b3e-a9894c018cd1",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"0a03db873f4e617cc7a3eb957b973f1b8b4a92b2","",NA,"Invertebrate Zoology",NA,NA,"PR45","abeab4f2-0d96-4653-9b3e-a9894c018cd1",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"14775-Echinodermata",NA,"","","Madang Province",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1628",NA,"",127.92575,NA,"","Holothuroidea",25,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Paulay, G.",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T18:03:24.105Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,26.33185,"",NA,NA,NA,NA,"",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2004,"",NA,NA,NA,NA,"",NA,NA,"Japan",NA,"1E7B2E2C-9DA9-45D2-B0A4-8BA2CB1FC180",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"56593f57-11ae-4d2c-9e9f-473a9a38baaf",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"f5d81d37ffa8e4c9d95cd7262a637fa9e29b5604","",NA,"Invertebrate Zoology",NA,NA,"GP-Loc-789","56593f57-11ae-4d2c-9e9f-473a9a38baaf",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"3939-Echinodermata",NA,"","","Okinawa",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"1660",NA,"",NA,NA,"","Holothuroidea",1,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T16:50:09.609Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",1988,"",NA,NA,NA,NA,"",NA,NA,"Fiji",NA,"734A8FB1-D970-44EE-B94D-3DE31C406B1E",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"7756de56-837d-4d53-9174-0e9c31ff9a41",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Viti Levu Island",NA,NA,"","",NA,"5451246707e7df4a43afab36b16236bb5652264e","",NA,"Invertebrate Zoology",NA,NA,"BFIJI-369B","7756de56-837d-4d53-9174-0e9c31ff9a41",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"1758-Echinodermata",NA,"","","Fiji Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"2127",NA,"",42.5826,NA,"","Holothuroidea",11,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Gustav Paulay, Noah DesRossiers, Patrick Norby",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T12:20:02.405Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,16.8337,"",NA,NA,NA,NA,"",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2013,"",NA,NA,NA,NA,"",NA,NA,"Saudi Arabia",NA,"725DA5D6-C273-49B0-A7BB-87EB08690279",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"5b8c75ef-8a0c-4c44-9590-3fb242824885",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"a129089bfaf98b14deceb22ab9d6b00b3ea08523","",NA,"Invertebrate Zoology",NA,NA,"SAFA-026","5b8c75ef-8a0c-4c44-9590-3fb242824885",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"13996-Echinodermata",NA,"","","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"2189",NA,"",123.17229,NA,"","Holothuroidea",24,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Kris Netchy & Alex Kerr",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T13:24:59.083Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,9.60988,"",NA,NA,NA,NA,"",5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2006,"",NA,NA,NA,NA,"",NA,NA,"Philippines",NA,"1DBCA601-9516-41F4-86E5-061D5CE1A2A7",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"60e025b5-31b7-4a85-9656-b58579978f2e",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"c9a2fe52993d4ce92cf9a13912d0ab743ccb14c7","",NA,"Invertebrate Zoology",NA,NA,"SEMP-07","60e025b5-31b7-4a85-9656-b58579978f2e",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"5615-Echinodermata",NA,"","","Negros Oriental",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"2609",NA,"",45.086434,NA,"","Holothuroidea",7,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Arthur Anker, François Michonneau",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T18:28:46.303Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,-12.964231,"",NA,NA,NA,NA,"",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2008,"",NA,NA,NA,NA,"",NA,NA,"France",NA,"E97165AA-DADF-481D-AD74-23253FF481E3",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"0507a7ca-7ca9-4c6b-80e0-3fb10e6ace2b",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Mayotte Island",NA,NA,"","",NA,"f488e3144fb8515ad10344556a22df70fce11872","",NA,"Invertebrate Zoology",NA,NA,"MAY08-St7","0507a7ca-7ca9-4c6b-80e0-3fb10e6ace2b",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"7836-Echinodermata",NA,"","","Comoros Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"2790",NA,"",NA,NA,"","Holothuroidea",21,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"DAG",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T09:25:24.974Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",1977,"",NA,NA,NA,NA,"",NA,NA,"Micronesia",NA,"3E997641-2294-46D9-A2FA-5982114A2A3B",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"e8e46874-a7cc-46a7-81b6-3a5c46db7260",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Yap Island",NA,NA,"","",NA,"04d2d321774e4fd70d86f32ec540a0a7cab36ed6","",NA,"Invertebrate Zoology",NA,NA,"DAG-1977-07-21","e8e46874-a7cc-46a7-81b6-3a5c46db7260",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"12661-Echinodermata",NA,"","","Yap Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
