"","dwc.georeferenceVerificationStatus","dwc.latestEpochOrHighestSeries","dcterms.bibliographicCitation","dwc.locationAccordingTo","dwc.accessRights","dwc.higherClassification","dwc.VerbatimEventDate","dwc.dateIdentified","inhs.locationTrs","dwc.year","dwc.rights","fcc.superfamily","dwc.associatedMedia","dwc.country","dwc.ownerInstitutionCode","dwc.member","dwc.locationID","idigbio.barcodeValue","dwc.lowestBiostratigraphicZone","symbiotaverbatimScientificName","dwc.nomenclaturalCode","fcc.pickedBy","dwc.occurrenceRemarks","idigbio.associateAuthor","idigbio.hostFamily","dwc.scientificName","dwc.endDayOfYear","dcterms.rights","dwc.taxonID","fcc.subfamily","dwc.eventDate","idigbio.associateNotes","dwc.eventTime","dwc.basisOfRecord","http...symbiota.org.terms.verbatimScientificName","dwc.maximumElevationInMeters","inhs.location_Basin","inhs.relic","dwc.associatedReferences","inhs.juv_males","dwc.verbatimEventDate","dwc.originalNameUsage","dwc.subgenus","dwc.catalogNumber","dwc.samplingProtocol","idigbio.associateRelationship","dwc.scientificNameID","dwc.georeferenceRemarks","dwc.scientificNameAuthorship","dwc.georeferencedDate","dcterms.type","dwc.order","idigbio.associateIdentifier","inhs.instars_Female","inhs.superfamily","dwc.samplingEffort","dwc.preparation","dwc.higherGeography","dwc.class","dwc.disposition","dwc.taxonRemarks","dwc.verbatimDepth","inhs.juv_females","inhs.formI_males","dwc.eventRemarks","dwc.nomenclaturalStatus","inhs.live","dwc.georeferenceProtocol","dwc.verbatimTaxonRank","dwc.associatedTaxa","idigbio.dateModified","dwc.locationRemarks","dwc.coordinateUncertaintyInMeters","dcterms.language","inhs.location_RiverMile","dwc.footprintWKT","dwc.verbatimElevation","dwc.latestAgeOrHighestStage","dwc.earliestEraOrLowestErathem","dwc.verbatimSRS","dwc.identifiedBy","idigbio.determinationHistory","idigbio.subfamily","dwc.lithostratigraphicTerms","dwc.dynamicProperties","id","inhs.formII_males","dwc.latestPeriodOrHighestSystem","dwc.informationWithheld","dwc.maximumDepthInMeters","dwc.collectionID","row.number","inhs.dead","symbiota.verbatimScientificName","idigbio.preparationCount","dwc.verbatimLatitude","dwc.genus","dwc.startDayOfYear","dwc.identificationQualifier","idigbio.associatedFamily","dwc.typeStatus","dwc.previousIdentifications","dcterms.accessRights","idigbio.createdBy","idigbio.subgenus","dwc.island","dwc.otherCatalogNumbers","dwc.specificEpithet","dwc.sex","idigbio.tribe","dwc.taxonRank","idigbio.etag","dwc.minimumElevationInMeters","dwc.rightsHolder","idigbio.version","dwc.georeferencedBy","inhs.vouchered","dwc.dataGeneralizations","dwc.locality","idigbio.associateDeterminedBy","dcterms.rightsHolder","dwc.earliestEpochOrLowestSeries","fcc.datePicked","dwc.datasetName","dwc.recordedBy","dwc.family","dwc.institutionCode","dwc.reproductiveCondition","inhs.instars_Male","inhs.juv_undetermined","dwc.occurrenceID","idigbio.recordId","dwc.waterBody","dwc.identificationID","inhs.total_females","dwc.preparations","dwc.verbatimLongitude","dwc.continent","idigbio.preservative","dwc.institutionID","dwc.decimalLatitude","dwc.county","dwc.verbatimCoordinateSystem","dwc.month","dwc.datasetID","dwc.verbatimCoordinates","dwc.associatedOccurrences","dwc.fieldNotes","dwc.vernacularName","idigbio.associateCommonName","dwc.phylum","idigbio.uuid","dwc.bed","idigbio.associateCondition","dwc.namePublishedInID","idigbio.recordIds","dwc.geodeticDatum","dwc.recordNumber","dwc.nameAccordingTo","inhs.total_Males","dwc.earliestAgeOrLowestStage","dwc.relatedResourceID","dwc.islandGroup","dwc.earliestPeriodOrLowestSystem","dwc.eventID","dwc.fieldNumber","dwc.latestEraOrHighestErathem","dwc.formation","dwc.infraspecificEpithet","dwc.individualCount","dwc.identificationVerificationStatus","dwc.minimumDepthInMeters","dcterms.reference","dwc.namePublishedIn","dwc.occurrenceStatus","dwc.identificationRemarks","inhs.location_Stream","dwc.establishmentMeans","dwc.associatedSequences","inhs.formII_females","dwc.kingdom","idigbio.endangeredStatus","dcterms.modified","dwc.municipality","dwc.collectionCode","dwc.habitat","dwc.georeferenceSources","dwc.group","dcterms.references","dwc.individualID","dwc.coordinatePrecision","dwc.lifeStage","dwc.countryCode","dcterms.source","dwc.behavior","dwc.verbatimLocality","dwc.stateProvince","dwc.identificationReferences","dwc.decimalLongitude","idigbio.substrate","dwc.day","idigbio.recordID","idigbio.associatedRelationship"
"801",NA,NA,NA,NA,NA,"",NA,"",NA,2013,NA,NA,"","France","",NA,"NEST32",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"15774-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T17:08:46.531Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","005fc35b-f0fb-4b07-80da-ba755cc4e1f6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"cec50db0f96248b77ed35e0271ea8c3b04a81335",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans","Holothuriidae","FLMNH",NA,NA,NA,"3C58B214-D6A1-4F0D-B27E-60595567DA08",NA,"",NA,NA,"","","",NA,"",-18.48788,"","",11,NA,"","",NA,NA,NA,"","005fc35b-f0fb-4b07-80da-ba755cc4e1f6",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"New Caledonia",NA,163.09553,NA,21,NA,NA
"984",NA,NA,NA,NA,NA,"",NA,"",NA,2003,NA,NA,"","Northern Mariana Islands","",NA,"ZZZ-093161",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"4425-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T10:24:58.489Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","c15bea57-cc4c-4c3f-aedf-722b9c0951d0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"12f1b03a2ecc8a0fcc6ae691fa6815e190119a36",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Starmer, J.","Holothuriidae","FLMNH",NA,NA,NA,"7D969575-CB48-4B80-9C85-D6E2B3AA21C0",NA,"",NA,NA,"","","",NA,"",NA,"","",1,NA,"","",NA,NA,NA,"","c15bea57-cc4c-4c3f-aedf-722b9c0951d0",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Mariana Islands",NA,NA,NA,1,NA,NA
"1058",NA,NA,NA,NA,NA,"",NA,"",NA,2011,NA,NA,"","French Polynesia","",NA,"MQ030",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"11267-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T18:46:05.158Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","466d913b-fcaa-4166-846a-81b7c27dc69f",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"c38aa557012efb63b5d1488429a5e8fd11bae85c",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri","Holothuriidae","FLMNH",NA,NA,NA,"3381C483-9E8D-41BD-A3D5-9B442C9B6007",NA,"",NA,NA,"","","",NA,"",-9.97783333333333,"Tahuata","",12,NA,"","",NA,NA,NA,"","466d913b-fcaa-4166-846a-81b7c27dc69f",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Marquesas Islands",NA,-139.132483333333,NA,5,NA,NA
"1099",NA,NA,NA,NA,NA,"",NA,"",NA,2013,NA,NA,"","France","",NA,"NEST31",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"15965-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T13:21:21.737Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","71dc17b8-9a1b-4acb-b5ea-899f1b6a2f52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"93ae818d4a921bbd651cdabf30158a23933f8b72",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans","Holothuriidae","FLMNH",NA,NA,NA,"DD4D049D-9EA2-4BCB-AF6E-5D1F280D2E0F",NA,"",NA,NA,"","","",NA,"",-18.48788,"","",11,NA,"","",NA,NA,NA,"","71dc17b8-9a1b-4acb-b5ea-899f1b6a2f52",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"New Caledonia",NA,163.09553,NA,20,NA,NA
"1129",NA,NA,NA,NA,NA,"",NA,"",NA,2009,NA,NA,"","Australia","",NA,"AUST-ST-012",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"8287-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T17:21:01.957Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","708eafa8-fd87-46b4-a917-d1bdbf2d82bd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"04e803bf6f0b238e51ffab98328cc518d8dd47ed",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Robert Lasley, François Michonneau","Holothuriidae","FLMNH",NA,NA,NA,"D5C77B4D-9DFD-45F6-8F48-2C739A0C4A2D",NA,"",NA,NA,"","","",NA,"",-14.6805,"","",2,NA,"","",NA,NA,NA,"","708eafa8-fd87-46b4-a917-d1bdbf2d82bd",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Queensland",NA,145.4714,NA,10,NA,NA
"1141",NA,NA,NA,NA,NA,"",NA,"",NA,2009,NA,NA,"","France","",NA,"GLOR-12",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"9344-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T18:14:34.877Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","032a3aa1-1b58-4235-9fab-d27a076f02f1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"8e405560aac03ce1983bde396c3d13573700c440",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"M. Guillaume, H. Bruggemann, M. Malay, V. Denis, A. Chauvin, D. Ringler, K. Coustaut","Holothuriidae","FLMNH",NA,NA,NA,"13804CA2-60AB-422C-94A7-46617938613B",NA,"",NA,NA,"","","",NA,"",-11.51576667,"Ile du Lys","",5,NA,"","",NA,NA,NA,"","032a3aa1-1b58-4235-9fab-d27a076f02f1",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Scattered Islands",NA,47.37331667,NA,7,NA,NA
"1299",NA,NA,NA,NA,NA,"",NA,"",NA,2006,NA,NA,"","USA","",NA,"FFS-0196",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"6263-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T14:59:15.860Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","aa262215-b355-4b84-943c-ca617c8281b5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"a6c4f74b44b05deb6f55aa56e192fcf8fd5074ca",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Gustav Paulay, Sea McKeon, John Starmer & Jim Maragos","Holothuriidae","FLMNH",NA,NA,NA,"1E4C565A-8D53-4316-B009-8CB44BE004C7",NA,"",NA,NA,"","","",NA,"",23.8538,"French Frigate Shoals","",10,NA,"","",NA,NA,NA,"","aa262215-b355-4b84-943c-ca617c8281b5",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,-166.3267,NA,26,NA,NA
"1541",NA,NA,NA,NA,NA,"",NA,"",NA,1984,NA,NA,"","USA","",NA,"ZZZ-085838",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"148-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T10:07:51.937Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","6d938367-2fa5-4034-9b03-f01a6ddcfa4a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"5b374571ae05fdf72aebf7315f593c81dd0481bc",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Paulay, G.","Holothuriidae","FLMNH",NA,NA,NA,"F75D9B27-92D5-4815-B5A4-8A4835A1803A",NA,"",NA,NA,"","","",NA,"",13.5,"Guam Island","",8,NA,"","",NA,NA,NA,"","6d938367-2fa5-4034-9b03-f01a6ddcfa4a",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Mariana Islands",NA,144.8,NA,22,NA,NA
"1666",NA,NA,NA,NA,NA,"",NA,"",NA,2011,NA,NA,"","French Polynesia","",NA,"MQ021",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"11239-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T13:33:50.323Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","9b315c02-6a54-47e1-a0d4-bdf52b95b545",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"020a89f76f453654fff26e27a8937a87ff9ca1b0",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri","Holothuriidae","FLMNH",NA,NA,NA,"38B81334-706B-4A40-A8B9-A7579E48DD9D",NA,"",NA,NA,"","","",NA,"",-8.9398,"Ua Huka","",11,NA,"","",NA,NA,NA,"","9b315c02-6a54-47e1-a0d4-bdf52b95b545",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Marquesas Islands",NA,-139.5549,NA,30,NA,NA
"1676",NA,NA,NA,NA,NA,"",NA,"",NA,1998,NA,NA,"","USA","",NA,"UGI-Station-286",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"12385-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T15:03:07.335Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","ecf69338-0011-4485-b667-afd0a5469588",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"ba6321910a53865d90e171e49a54479a60d91f12",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"John Starmer","Holothuriidae","FLMNH",NA,NA,NA,"59F73456-044B-4313-890A-5D8B462836EF",NA,"",NA,NA,"","","",NA,"",13.5,"Guam Island","",12,NA,"","",NA,NA,NA,"","ecf69338-0011-4485-b667-afd0a5469588",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Mariana Islands",NA,144.8,NA,NA,NA,NA
"1679",NA,NA,NA,NA,NA,"",NA,"",NA,2007,NA,NA,"","American Samoa","",NA,"SMOFU-001",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"5030-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T16:30:01.750Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","f9080b1a-84f6-447c-b7c2-92a81271d3fa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"d1b1b2c5220ef5cd150cc3aad9c1c9504e700bce",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Sea McKeon","Holothuriidae","FLMNH",NA,NA,NA,"5854946A-418C-4153-BC33-E1EA0D8545B3",NA,"",NA,NA,"","","",NA,"",-14.2,"Ofu Island","",2,NA,"","",NA,NA,NA,"","f9080b1a-84f6-447c-b7c2-92a81271d3fa",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Samoa Islands",NA,-169.7,NA,NA,NA,NA
"1681",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Northern Mariana Islands","",NA,"Starmer-CNMI",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"12559-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T16:36:38.367Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","6d12b515-961e-46bc-85a3-452b238b721e",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"f1eb07ae4e715a58b2ee5274289ee54d816e344b",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","Holothuriidae","FLMNH",NA,NA,NA,"C947CF4D-C8EB-4C5A-B6ED-86B88833BF14",NA,"",NA,NA,"","","",NA,"",NA,"","",NA,NA,"","",NA,NA,NA,"","6d12b515-961e-46bc-85a3-452b238b721e",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"1723",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Northern Mariana Islands","",NA,"Starmer-Laolao",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"12534-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T15:11:22.239Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","1f5d7976-9d07-4f38-9ffd-da9e7c31aa13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"612d33db129dc8f8bcde08ff5d29e9dc6baddae1",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"John Starmer","Holothuriidae","FLMNH",NA,NA,NA,"A1A6D226-78D7-45C6-B369-9FD1F8C966CE",NA,"",NA,NA,"","","",NA,"",15.2,"Saipan Island","",NA,NA,"","",NA,NA,NA,"","1f5d7976-9d07-4f38-9ffd-da9e7c31aa13",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,145.7,NA,NA,NA,NA
"1867",NA,NA,NA,NA,NA,"",NA,"",NA,2006,NA,NA,"","Philippines","",NA,"SEMP-35",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"5606-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T11:39:41.171Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","0819b5c3-0edb-4d3f-ac7f-fea44685a6e0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"836719205afb5b9006abf7c0882834a853f5ab14",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Kris Netchy & Alex Kerr","Holothuriidae","FLMNH",NA,NA,NA,"887A56C8-B725-4918-901A-B65971AFED4D",NA,"",NA,NA,"","","",NA,"",NA,"","",6,NA,"","",NA,NA,NA,"","0819b5c3-0edb-4d3f-ac7f-fea44685a6e0",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Bohol",NA,NA,NA,13,NA,NA
