"","idigbio.associateIdentifier","dwc.higherClassification","idigbio.associateNotes","dwc.eventID","dwc.recordNumber","dwc.rights","fcc.datePicked","dcterms.modified","dcterms.language","dwc.otherCatalogNumbers","dwc.verbatimCoordinates","dwc.collectionCode","dwc.preparations","idigbio.substrate","idigbio.preservative","dcterms.type","dwc.group","dwc.countryCode","dwc.eventRemarks","dwc.collectionID","dwc.occurrenceStatus","dwc.lithostratigraphicTerms","dwc.preparation","dwc.nomenclaturalStatus","inhs.total_Males","inhs.relic","inhs.formII_males","dwc.georeferenceProtocol","dwc.lifeStage","idigbio.etag","dwc.identificationID","dwc.nameAccordingTo","dwc.identificationQualifier","inhs.instars_Female","idigbio.determinationHistory","dwc.family","dwc.taxonRank","dwc.latestAgeOrHighestStage","idigbio.createdBy","dwc.associatedTaxa","dwc.verbatimSRS","idigbio.associateCommonName","fcc.superfamily","dwc.locationRemarks","dwc.coordinateUncertaintyInMeters","dwc.order","idigbio.uuid","idigbio.associateRelationship","idigbio.recordIds","dcterms.accessRights","dwc.scientificNameAuthorship","dwc.namePublishedIn","dwc.individualID","dwc.country","dwc.identifiedBy","dwc.waterBody","inhs.juv_undetermined","dwc.datasetID","dwc.fieldNotes","dwc.sex","dwc.previousIdentifications","dwc.infraspecificEpithet","dcterms.rightsHolder","dwc.catalogNumber","inhs.locationTrs","dwc.county","inhs.location_Stream","dwc.georeferenceSources","dwc.georeferencedDate","dwc.verbatimDepth","dwc.identificationVerificationStatus","dcterms.source","idigbio.associateDeterminedBy","inhs.total_females","dwc.establishmentMeans","dwc.minimumElevationInMeters","dwc.verbatimElevation","dwc.latestEpochOrHighestSeries","idigbio.subgenus","idigbio.version","dwc.individualCount","dwc.latestEraOrHighestErathem","symbiota.verbatimScientificName","dwc.bed","dwc.typeStatus","dwc.dataGeneralizations","dwc.occurrenceID","dwc.identificationReferences","dwc.reproductiveCondition","dwc.verbatimLongitude","idigbio.hostFamily","inhs.dead","idigbio.subfamily","dwc.earliestAgeOrLowestStage","dwc.verbatimLocality","dwc.taxonRemarks","idigbio.barcodeValue","dwc.island","dwc.accessRights","dcterms.rights","dwc.georeferencedBy","dwc.ownerInstitutionCode","dwc.associatedOccurrences","dwc.earliestPeriodOrLowestSystem","idigbio.preparationCount","idigbio.recordId","dwc.georeferenceRemarks","dwc.subgenus","dwc.associatedMedia","dwc.nomenclaturalCode","idigbio.associateCondition","dwc.rightsHolder","dwc.stateProvince","dwc.footprintWKT","inhs.live","dwc.associatedReferences","dwc.day","dwc.earliestEraOrLowestErathem","dwc.startDayOfYear","dwc.maximumDepthInMeters","dwc.verbatimEventDate","dwc.dynamicProperties","http...symbiota.org.terms.verbatimScientificName","dwc.VerbatimEventDate","dwc.decimalLatitude","dwc.fieldNumber","idigbio.associatedRelationship","dwc.latestPeriodOrHighestSystem","dwc.coordinatePrecision","dwc.maximumElevationInMeters","dcterms.reference","dwc.higherGeography","idigbio.dateModified","dwc.lowestBiostratigraphicZone","dwc.year","id","dwc.geodeticDatum","dwc.class","dwc.datasetName","dcterms.bibliographicCitation","inhs.superfamily","fcc.pickedBy","dwc.associatedSequences","dwc.basisOfRecord","dwc.relatedResourceID","inhs.vouchered","dwc.locationID","dwc.dateIdentified","dwc.phylum","dwc.formation","inhs.formI_males","dwc.municipality","dwc.namePublishedInID","idigbio.tribe","dwc.occurrenceRemarks","idigbio.recordID","dwc.kingdom","symbiotaverbatimScientificName","dwc.scientificName","dwc.institutionCode","idigbio.associatedFamily","dwc.originalNameUsage","dwc.georeferenceVerificationStatus","dwc.samplingEffort","dwc.month","row.number","dwc.institutionID","dwc.minimumDepthInMeters","fcc.subfamily","dwc.disposition","dwc.habitat","dwc.behavior","dwc.continent","idigbio.associateAuthor","dwc.vernacularName","inhs.formII_females","inhs.location_RiverMile","dwc.recordedBy","dwc.locality","dwc.specificEpithet","dwc.decimalLongitude","inhs.instars_Male","idigbio.endangeredStatus","dwc.endDayOfYear","dwc.eventTime","dwc.scientificNameID","dwc.earliestEpochOrLowestSeries","dwc.verbatimLatitude","dwc.samplingProtocol","dwc.eventDate","inhs.juv_females","inhs.location_Basin","dwc.verbatimCoordinateSystem","dwc.verbatimTaxonRank","dwc.genus","inhs.juv_males","dcterms.references","dwc.identificationRemarks","dwc.member","dwc.locationAccordingTo","dwc.islandGroup","dwc.taxonID","dwc.informationWithheld"
"2109",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-03-11 11:51:59.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"dc33956049df60184ba76c2e1764ac8e0656fe97",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",20817,"Aspidochirotida","1b37c46f-f1d1-426f-8e88-7866cdf0f017",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-637",NA,"",NA,"J.H. Blake Hassler expedition Journal",NA,"","migration",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-637",NA,NA,"-90.930267d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew D. Williston","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"Georeferenced for Hassler Expedition passage through Galapagos (Isla Santiago)",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-637","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"June 15-16, 1872","",NA,NA,-0.253121,"",NA,NA,20817,NA,NA,"Pacific Ocean, Pacific, Southeast","2014-07-12T20:33:07.696Z",NA,NA,"1b37c46f-f1d1-426f-8e88-7866cdf0f017","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Hassler Expedition","Ecuador: Galápagos Archipelago, James Island","impatiens",-90.930267,NA,NA,NA,NA,NA,NA,"-0.253121d","","1872-06-15/1872-06-16",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-637","",NA,NA,NA,NA,NA
"2113",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-05-14 09:46:55.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Google Earth",NA,"b6502ef75d4e732c3d596358b320b149a9f8d7f1",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","c4eda09d-8980-4fa6-abca-4ea6536d5504",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1405",NA,"",NA,"Coordinates based on JH Blakes travel journal kept during the Hassler Expedition",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1405",NA,NA,"64d 45m 32s W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penny Benson","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"Georeference based on reference to St. Thomas from Dec 14-24, 1871 (Penny Benson)",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1405","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"December 15-21, 1871","",NA,NA,18.2644444444,"",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","2014-07-12T18:57:11.129Z",NA,NA,"c4eda09d-8980-4fa6-abca-4ea6536d5504","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Atlantic Ocean",NA,NA,NA,NA,"Hassler Expedition","St. Thomas","impatiens",-64.7588888889,NA,NA,NA,NA,NA,NA,"18d 15m 52s N","","1871-12-15/1871-12-21",NA,NA,"deg. min. sec.",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1405","",NA,NA,NA,NA,NA
"2355",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"1",NA,NA,"2013-01-10 11:11:11.0","en","collector number=1","","IZ","fragment (dry)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"63773b52d816e3710ff2a571c6337cdb2b1ec0fa",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","1b43dad1-7ab7-49f8-a736-652344a33774",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], [no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-4077",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-4077",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4077","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1962-01-31","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-02-28T07:51:10.431Z",NA,NA,"1b43dad1-7ab7-49f8-a736-652344a33774","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"CAW Jr","Off Mexico, Sonora, Norse Beach","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1962-01-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4077","Found dry on March 22, 2007 by TT.",NA,NA,NA,NA,NA
"2358",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2012-12-14 11:52:51.0","en","","","IZ","whole animal (dry)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"cb96bd8ed74d05004f9019bd21a1fb5d5390a16a",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","f15599d0-d9df-471b-be63-2582001a379f",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","Francisco Sólis Marín","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","127825",NA,"",NA,"Unknown",NA,"","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:127825",NA,NA,"105d 8m 30s W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Museum of Comparative Zoology, Harvard University","from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3232044""> MCZ IZ 126402</a>",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127825","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"12/15/32","",NA,NA,19.6,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-02-28T07:35:29.930Z",NA,NA,"f15599d0-d9df-471b-be63-2582001a379f","unknown","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","2012-11-01 00:00:00.0","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Fred E. Lewis, Yacht Stranger","Jalisco, Mexico","impatiens",-105.1416666667,NA,NA,NA,NA,NA,NA,"19d 36m 0s N","","1932-12-15",NA,NA,"deg. min. sec.",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127825","",NA,NA,NA,NA,NA
"2367",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-05-22 10:40:20.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"e0aeb3314ce9b4b89ea0086bec80c454436f4f86",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","f6e42c76-5792-4742-9ce6-7b435e2214c6",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","Hubert Lyman Clark","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1038",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1038",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1038","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"December 6, 1913","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-06-18T07:16:16.146Z",NA,NA,"f6e42c76-5792-4742-9ce6-7b435e2214c6","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Carnegie Expedition to the Torres Strait, Hubert Lyman Clark","United States, Hawaii, Maui Island, Lahaina","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1913-12-06",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1038","",NA,NA,NA,NA,NA
"2371",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-04 15:02:26.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"d232693180f179a44cd6b412f2e62026a064bd91",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",130916,"Aspidochirotida","7fb39cd0-86e9-4b24-96da-484e7fa0951b",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1411",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1411",NA,NA,"-77.313232d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jessica Anne Mullen","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1411","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1896 & 1897","",NA,NA,18.218696,"",NA,NA,130916,NA,NA,"Atlantic Ocean, Atlantic, Western Central","2014-07-12T17:25:08.455Z",NA,NA,"7fb39cd0-86e9-4b24-96da-484e7fa0951b","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Atlantic Ocean",NA,NA,NA,NA,"Hubert Lyman Clark","Jamaica","impatiens",-77.313232,NA,NA,NA,NA,NA,NA,"18.218696d","","1896-01-01/1897-12-31",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1411","",NA,NA,NA,NA,NA
"2375",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-06-09 14:24:30.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"b9b495cb64d32af59588ac030f07238877bb776c",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",2768,"Aspidochirotida","b6f007ea-0dab-417e-923b-b04a38206481",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1033",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1033",NA,NA,"144.05164d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jessica Anne Mullen","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1033","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"October 1913","",NA,NA,-9.91518,"",NA,NA,2768,NA,NA,"Pacific Ocean, Pacific, Western Central","2014-07-12T22:24:09.084Z",NA,NA,"b6f007ea-0dab-417e-923b-b04a38206481","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","Australia, Queensland, Torres Strait, Murray Islands (Mer)","impatiens",144.05164,NA,NA,NA,NA,NA,NA,"-9.91518d","","1913-10-01/1913-10-31",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1033","Original of Mr. Grosse's. Fig. 89",NA,NA,NA,NA,NA
"2379",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-06-04 11:08:20.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"4ca0b771fe24ec5c84d88ab12ddfb9849644fba5",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","c0d56013-cbe9-42d1-ba05-014575b6b213",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1244",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1244",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1244","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1917","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-12T17:20:22.993Z",NA,NA,"c0d56013-cbe9-42d1-ba05-014575b6b213","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"John W. Mills","Samoa, Tutuila Island, Pago Pago","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1917-01-01/1917-12-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1244","",NA,NA,NA,NA,NA
"2383",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-02-19 10:02:27.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"87e29c0a6626084ebca8a1116a56c544400ee77a",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","a7d4ce0d-c68c-4347-829f-f148fd5c935e",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-636",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-636",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-636","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1898","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-13T03:37:59.512Z",NA,NA,"a7d4ce0d-c68c-4347-829f-f148fd5c935e","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Hubert Lyman Clark, Hopkins-Stanford Galapagos Expedition 1898-99","Ecuador: Galapagos Islands","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1898-01-01/1898-12-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-636","",NA,NA,NA,NA,NA
"2392",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-02-19 10:02:27.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"9ee9880d312aed87712f13bbff3e79c5e5db819f",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","fdf1686f-c6ca-46ea-acd5-825dc5ad59cb",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-638",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-638",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-638","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"[date unknown]","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Indian Ocean, Indian Ocean, Eastern","2014-07-12T18:24:38.829Z",NA,NA,"fdf1686f-c6ca-46ea-acd5-825dc5ad59cb","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Indian Ocean",NA,NA,NA,NA,"William Theobald","Calcutta","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-638","",NA,NA,NA,NA,NA
