"","dwc.endDayOfYear","dwc.earliestPeriodOrLowestSystem","idigbio.barcodeValue","idigbio.createdBy","dwc.individualCount","dwc.country","dwc.identificationVerificationStatus","dwc.occurrenceID","inhs.total_Males","idigbio.associateCommonName","idigbio.dateModified","dwc.taxonRemarks","dwc.day","dwc.sex","dwc.earliestAgeOrLowestStage","dwc.nomenclaturalCode","inhs.location_RiverMile","idigbio.subfamily","dwc.subgenus","dwc.class","idigbio.associateNotes","dcterms.references","dwc.georeferenceVerificationStatus","dwc.order","dwc.kingdom","dwc.associatedTaxa","dwc.month","dcterms.rights","dwc.VerbatimEventDate","dwc.eventID","dwc.datasetName","dwc.footprintWKT","dwc.recordNumber","idigbio.endangeredStatus","idigbio.uuid","dwc.eventDate","dwc.verbatimCoordinateSystem","inhs.juv_undetermined","dwc.recordedBy","dwc.latestEraOrHighestErathem","idigbio.recordIds","dwc.latestEpochOrHighestSeries","idigbio.etag","dwc.institutionID","inhs.juv_males","fcc.superfamily","dwc.specificEpithet","dwc.datasetID","dwc.scientificNameAuthorship","dwc.identificationQualifier","dwc.locationRemarks","dwc.minimumElevationInMeters","inhs.formII_males","dcterms.modified","idigbio.associatedRelationship","dwc.infraspecificEpithet","inhs.locationTrs","inhs.superfamily","dwc.associatedOccurrences","dwc.verbatimSRS","dwc.locality","dwc.nomenclaturalStatus","dwc.habitat","dwc.reproductiveCondition","dwc.institutionCode","dwc.year","dwc.fieldNotes","dwc.county","dwc.latestPeriodOrHighestSystem","dcterms.rightsHolder","dwc.verbatimElevation","inhs.dead","inhs.live","dwc.relatedResourceID","dwc.minimumDepthInMeters","dwc.latestAgeOrHighestStage","dcterms.reference","dcterms.language","dwc.formation","dwc.ownerInstitutionCode","dwc.rightsHolder","dwc.lithostratigraphicTerms","dwc.nameAccordingTo","http...symbiota.org.terms.verbatimScientificName","dwc.startDayOfYear","dwc.countryCode","dwc.establishmentMeans","idigbio.associatedFamily","dwc.scientificNameID","dwc.geodeticDatum","dwc.samplingProtocol","idigbio.associateAuthor","dwc.scientificName","dwc.behavior","dwc.verbatimDepth","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dwc.eventRemarks","dwc.municipality","dwc.occurrenceStatus","dwc.georeferencedDate","dcterms.source","dwc.group","inhs.instars_Female","dwc.fieldNumber","dwc.georeferenceSources","inhs.formI_males","dwc.informationWithheld","dwc.collectionCode","dwc.identificationID","dwc.phylum","dwc.higherGeography","dwc.previousIdentifications","dwc.identificationReferences","dcterms.accessRights","idigbio.associateIdentifier","dwc.associatedMedia","inhs.relic","symbiota.verbatimScientificName","dwc.bed","fcc.datePicked","dwc.verbatimLongitude","dwc.family","dwc.earliestEpochOrLowestSeries","dwc.verbatimCoordinates","inhs.formII_females","dwc.taxonID","dwc.dataGeneralizations","dwc.catalogNumber","inhs.vouchered","dwc.rights","dwc.genus","dwc.georeferenceRemarks","dwc.higherClassification","dwc.island","dwc.decimalLongitude","dwc.maximumDepthInMeters","dwc.stateProvince","idigbio.associateRelationship","idigbio.recordId","dwc.earliestEraOrLowestErathem","inhs.juv_females","idigbio.preparationCount","dwc.locationID","idigbio.version","dcterms.type","dwc.verbatimTaxonRank","idigbio.determinationHistory","inhs.total_females","idigbio.associateDeterminedBy","dwc.individualID","idigbio.preservative","inhs.instars_Male","idigbio.substrate","dwc.lifeStage","dwc.islandGroup","dcterms.bibliographicCitation","dwc.locationAccordingTo","dwc.basisOfRecord","dwc.verbatimLocality","dwc.georeferenceProtocol","fcc.pickedBy","dwc.continent","dwc.eventTime","dwc.identifiedBy","dwc.dynamicProperties","dwc.lowestBiostratigraphicZone","dwc.maximumElevationInMeters","dwc.associatedReferences","dwc.namePublishedIn","dwc.dateIdentified","dwc.samplingEffort","dwc.waterBody","dwc.collectionID","id","idigbio.subgenus","inhs.location_Basin","dwc.disposition","inhs.location_Stream","idigbio.associateCondition","dwc.georeferencedBy","fcc.subfamily","dwc.verbatimLatitude","row.number","dwc.member","dwc.taxonRank","dwc.accessRights","dwc.decimalLatitude","idigbio.tribe","dwc.associatedSequences","dwc.typeStatus","dwc.identificationRemarks","dwc.originalNameUsage","dwc.namePublishedInID","dwc.preparation","dwc.coordinatePrecision","symbiotaverbatimScientificName","dwc.preparations","dwc.vernacularName","dwc.coordinateUncertaintyInMeters","idigbio.recordID","dwc.verbatimEventDate","idigbio.hostFamily"
"1250",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1180",NA,NA,"2014-08-04T20:14:52.952Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1180",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"6f36ede3-412a-4332-b8b0-cd9b5e44a1f9","1916-04-01/1916-04-30","decimal degrees",NA,"Hubert Lyman Clark, Carnegie Expedition",NA,NA,NA,"92017b927732bec84b2062a6f499ef4425dc0b0f","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:27.0",NA,"",NA,NA,"",NA,"Trinidad and Tobago, Tobago: Buccoo reef",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1180",NA,NA,NA,NA,"-60.835592d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1180",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-60.835592,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"Elisabeth Deichmann","",NA,NA,"",NA,"",NA,"",NA,"6f36ede3-412a-4332-b8b0-cd9b5e44a1f9",NA,NA,"not applicable",NA,NA,"Penny Benson",NA,"11.179396d",NA,NA,NA,NA,11.179396,NA,NA,"","",NA,NA,NA,1465,NA,"whole animal (70% ethanol)",NA,1465,NA,"April 1916",NA
"1464",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","","MCZ:IZ:HOL-4279",NA,NA,"2014-05-28T21:43:40.503Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4279",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"416",NA,"3affcc47-adac-49d8-95de-cf169a1cff80","1959-08-23","",NA,"Arthur G. Humes, Richard U. Gooding",NA,NA,NA,"fc559398ce40f9100c9480a939f2960353cbccc3","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-05-16 09:29:09.0",NA,"",NA,NA,"",NA,"Puerto Rico, La Parguera Bay, Corona del Diablo",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"collector number=416","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4279",NA,NA,NA,NA,"","Holothuriidae",NA,"",NA,NA,NA,"HOL-4279",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"3affcc47-adac-49d8-95de-cf169a1cff80",NA,NA,"not applicable",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","host: Porites",NA,NA,NA,NA,NA,"whole animal (dry)",NA,NA,NA,"August 23, 1959",NA
"1479",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","","MCZ:IZ:HOL-1063",NA,NA,"2014-07-12T19:54:45.995Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1063",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"1014",NA,"664711e8-945f-42e8-810e-4f5442a12fa9","1911-06-29","",NA,"A.O. Gross, Bermuda Institute of Ocean Sciences",NA,NA,NA,"e9af657f3a78f21ad32aff340b878f7b5fc867fa","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 12:02:27.0",NA,"",NA,NA,"",NA,"Bermuda, Agar's Island, Fairyland Bay",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"collector number=1014","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1063",NA,NA,NA,NA,"","Holothuriidae",NA,"",NA,NA,NA,"HOL-1063",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"664711e8-945f-42e8-810e-4f5442a12fa9",NA,NA,"not applicable",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"June 29, 1911",NA
"1487",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-712",NA,NA,"2014-07-13T05:02:01.315Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-712",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"d1fbff2b-b2f7-4490-94aa-3f8df78c5be9","1898-01-01/1898-12-31","decimal degrees",NA,"Hubert Lyman Clark",NA,NA,NA,"6868fbab03e83ce01d55303c14c8ee605060a2fc","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 12:02:27.0",NA,"",NA,NA,"",NA,"Bermuda",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-712",NA,NA,NA,NA,"-64.770206d","Holothuriidae",NA,"",NA,NA,NA,"HOL-712",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.770206,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"d1fbff2b-b2f7-4490-94aa-3f8df78c5be9",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.335778d",NA,NA,NA,NA,32.335778,NA,NA,"","",NA,NA,NA,13804,NA,"whole animal (70% ethanol)",NA,13804,NA,"1898",NA
"1498",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","","MCZ:IZ:HOL-710",NA,NA,"2014-07-12T23:27:24.930Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-710",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"d7507c42-f68e-491d-934f-fb7aa970d332","1858-04-01/1858-04-30","",NA,"G. W. Wurdemann",NA,NA,NA,"5e5798d59deb456771fa807c7958b77707c3d948","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-01-15 10:01:15.0",NA,"",NA,NA,"",NA,"Florida, United States: Cape Florida",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-710",NA,NA,NA,NA,"","Holothuriidae",NA,"",NA,NA,NA,"HOL-710",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"Atlantic Ocean",NA,"E. Selenka, World Register of Marine Species, [no agent data]","",NA,NA,"",NA,"2012-09-19 00:00:00.0",NA,"",NA,"d7507c42-f68e-491d-934f-fb7aa970d332",NA,NA,"not applicable",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"Syntype","",NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"April 1858",NA
"1796",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-713",NA,NA,"2014-07-12T15:55:11.552Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-713",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"318fe86f-aeea-48cb-a21a-badbb07714b4","1896-01-01/1897-12-31","decimal degrees",NA,"Hubert Lyman Clark",NA,NA,NA,"28bd4a0180d3111b0bcfef52f08edbbfe4353266","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 12:02:27.0",NA,"",NA,NA,"",NA,"Jamaica, Kingston Harbor, Port Royal, Drunken Mans Cay, Folly Point",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-713",NA,NA,NA,NA,"-76.845067d","Holothuriidae",NA,"",NA,NA,NA,"HOL-713",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-76.845067,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"318fe86f-aeea-48cb-a21a-badbb07714b4",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"17.905085d",NA,NA,NA,NA,17.905085,NA,NA,"","",NA,NA,NA,496,NA,"whole animal (70% ethanol)",NA,496,NA,"1896-1897",NA
"1817",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1126",NA,NA,"2014-07-12T16:10:43.304Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1126",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"d12c238b-4589-45ee-ad09-531358bff61a","1915-01-01/1915-12-31","decimal degrees",NA,"William John Crozier, Bermuda Institute of Ocean Sciences",NA,NA,NA,"b919369c8e96ebfd348bb422fc369fa7fb6af5d9","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:26.0",NA,"",NA,NA,"",NA,"Bermuda, Soncy",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1126",NA,NA,NA,NA,"-64.787373d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1126",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.787373,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"d12c238b-4589-45ee-ad09-531358bff61a",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.328816d",NA,NA,NA,NA,32.328816,NA,NA,"","",NA,NA,NA,13784,NA,"whole animal (70% ethanol)",NA,13784,NA,"1915",NA
"2062",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1332",NA,NA,"2014-07-12T18:23:45.615Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1332",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"f8f02e8d-da3a-4a45-8b1b-a88041ca100c","1700-01-01/2014-06-18","decimal degrees",NA,"[no agent data]",NA,NA,NA,"8eaba29f4f98f5176bf88aee819ea03fd0112114","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-25 09:02:27.0",NA,"",NA,NA,"",NA,"Bermuda",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1332",NA,NA,NA,NA,"-64.770206d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1332",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.770206,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"f8f02e8d-da3a-4a45-8b1b-a88041ca100c",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.335778d",NA,NA,NA,NA,32.335778,NA,NA,"","",NA,NA,NA,13804,NA,"whole animal (70% ethanol)",NA,13804,NA,"[date unknown]",NA
"2064",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"United States","unverified","MCZ:IZ:HOL-538",NA,NA,"2014-07-12T17:49:22.558Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-538",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"249ab96b-aa3b-42c1-85c4-606192237d6e","","decimal degrees",NA,"G. W. Wurdemann",NA,NA,NA,"13ee38032c769edff94c9023bcb7faaa64d846bc","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 12:02:26.0",NA,"",NA,NA,"",NA,"Cape Florida",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","BioGeomancer",NA,NA,"IZ",NA,"Echinodermata","North America, United States, Florida",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-538",NA,NA,NA,NA,"-80.1581183d","Holothuriidae",NA,"",NA,NA,NA,"HOL-538",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-80.1581183,NA,"Florida",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"MaNIS/HerpNET/ORNIS Georeferencing Guidelines",NA,"North America",NA,"Elisabeth Deichmann","",NA,NA,"",NA,"",NA,"",NA,"249ab96b-aa3b-42c1-85c4-606192237d6e",NA,NA,"not applicable",NA,NA,"Michelle Fucci (UMMZ)",NA,"25.6704374d",NA,NA,NA,NA,25.6704374,NA,NA,"","",NA,NA,NA,1143,NA,"whole animal (70% ethanol)",NA,1143,NA,"[date unknown]",NA
"2073",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-2002",NA,NA,"2014-07-12T22:16:17.117Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2002",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"f3eb469b-9c39-4cd8-8df0-a53e873b4b58","1700-01-01/2014-06-18","decimal degrees",NA,"[no agent data]",NA,NA,NA,"530b2f8a35c5e6f4240d64a85bb8e88743fc19a8","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-25 09:02:26.0",NA,"",NA,NA,"",NA,"Bermuda",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2002",NA,NA,NA,NA,"-64.770206d","Holothuriidae",NA,"",NA,NA,NA,"HOL-2002",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.770206,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"f3eb469b-9c39-4cd8-8df0-a53e873b4b58",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.335778d",NA,NA,NA,NA,32.335778,NA,NA,"","",NA,NA,NA,13804,NA,"whole animal (70% ethanol)",NA,13804,NA,"[date unknown]",NA
