"","dwc.verbatimLocality","idigbio.associateIdentifier","dwc.occurrenceRemarks","dwc.family","inhs.formII_males","inhs.location_Stream","dwc.locationAccordingTo","dwc.datasetName","inhs.instars_Female","dwc.catalogNumber","idigbio.associateNotes","dwc.continent","dwc.occurrenceStatus","dwc.rightsHolder","dwc.associatedSequences","idigbio.associateCondition","dwc.stateProvince","inhs.dead","dcterms.rightsHolder","dwc.habitat","dwc.latestAgeOrHighestStage","dwc.taxonRank","dwc.dataGeneralizations","row.number","dwc.eventTime","idigbio.uuid","dcterms.references","dwc.lifeStage","dwc.georeferenceProtocol","dwc.day","inhs.formI_males","idigbio.recordIds","dwc.dynamicProperties","dwc.genus","dwc.identificationQualifier","inhs.total_Males","dwc.taxonID","dwc.municipality","dwc.originalNameUsage","dwc.previousIdentifications","dwc.month","dwc.maximumDepthInMeters","idigbio.associatedRelationship","dwc.vernacularName","dwc.latestEraOrHighestErathem","dwc.startDayOfYear","dwc.collectionID","fcc.pickedBy","dcterms.bibliographicCitation","dwc.verbatimLatitude","dwc.verbatimEventDate","idigbio.substrate","dwc.identificationRemarks","dwc.latestEpochOrHighestSeries","inhs.locationTrs","dwc.verbatimTaxonRank","dwc.formation","dwc.bed","dwc.minimumDepthInMeters","dwc.behavior","dwc.eventDate","dwc.rights","dwc.latestPeriodOrHighestSystem","dwc.higherClassification","dwc.institutionID","dwc.fieldNumber","dcterms.type","idigbio.createdBy","dwc.higherGeography","dwc.informationWithheld","dwc.kingdom","idigbio.associateCommonName","dwc.group","dwc.eventRemarks","dwc.nomenclaturalCode","dwc.dateIdentified","dwc.occurrenceID","dwc.footprintWKT","dwc.associatedTaxa","inhs.total_females","dwc.namePublishedInID","dwc.georeferenceRemarks","symbiota.verbatimScientificName","inhs.juv_females","dwc.lithostratigraphicTerms","dwc.verbatimLongitude","inhs.vouchered","dwc.islandGroup","dwc.reproductiveCondition","inhs.formII_females","dwc.taxonRemarks","dwc.infraspecificEpithet","dwc.recordedBy","idigbio.determinationHistory","dwc.endDayOfYear","inhs.relic","dwc.institutionCode","symbiotaverbatimScientificName","dwc.phylum","idigbio.associateDeterminedBy","dcterms.source","idigbio.hostFamily","dwc.ownerInstitutionCode","idigbio.tribe","idigbio.associatedFamily","dcterms.reference","dwc.sex","dwc.fieldNotes","dwc.associatedMedia","dwc.earliestEpochOrLowestSeries","dcterms.language","dwc.specificEpithet","dwc.associatedReferences","idigbio.endangeredStatus","dwc.collectionCode","dwc.identifiedBy","dwc.eventID","dwc.countryCode","dwc.typeStatus","dwc.preparations","dwc.basisOfRecord","inhs.location_Basin","dwc.coordinateUncertaintyInMeters","idigbio.dateModified","dwc.identificationID","idigbio.subfamily","dwc.identificationVerificationStatus","fcc.subfamily","dwc.earliestEraOrLowestErathem","dwc.verbatimElevation","dwc.year","idigbio.version","dwc.decimalLongitude","dwc.georeferenceVerificationStatus","dwc.georeferenceSources","id","inhs.instars_Male","dwc.scientificNameID","dwc.order","http...symbiota.org.terms.verbatimScientificName","dwc.decimalLatitude","dwc.namePublishedIn","dwc.locationID","dwc.relatedResourceID","idigbio.preservative","inhs.juv_undetermined","dwc.datasetID","idigbio.barcodeValue","dwc.maximumElevationInMeters","dwc.earliestAgeOrLowestStage","dwc.island","idigbio.associateAuthor","idigbio.etag","dwc.georeferencedDate","dwc.subgenus","dwc.locationRemarks","dwc.verbatimCoordinates","dwc.nameAccordingTo","dwc.samplingProtocol","dwc.minimumElevationInMeters","dwc.locality","dwc.member","dwc.establishmentMeans","dcterms.rights","idigbio.associateRelationship","dwc.otherCatalogNumbers","dwc.verbatimCoordinateSystem","dwc.identificationReferences","idigbio.preparationCount","dwc.lowestBiostratigraphicZone","idigbio.recordID","dwc.individualCount","inhs.juv_males","dwc.country","dwc.individualID","dwc.coordinatePrecision","dwc.nomenclaturalStatus","inhs.superfamily","dwc.scientificNameAuthorship","fcc.datePicked","dwc.verbatimSRS","dwc.class","dwc.accessRights","dwc.georeferencedBy","dwc.waterBody","dwc.verbatimDepth","dwc.recordNumber","dwc.samplingEffort","idigbio.subgenus","dwc.county","inhs.location_RiverMile","dwc.disposition","fcc.superfamily","dwc.earliestPeriodOrLowestSystem","dwc.associatedOccurrences","dwc.preparation","idigbio.recordId","inhs.live","dcterms.accessRights","dcterms.modified","dwc.VerbatimEventDate","dwc.geodeticDatum","dwc.scientificName"
"1219",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"HOL-1527",NA,"Indian Ocean",NA,NA,NA,NA,"",NA,"President and Fellows of Harvard College","",NA,NA,NA,NA,NA,"bfd31895-de61-460b-9cf1-39443977f635","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1527",NA,"",NA,NA,NA,"","Holothuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"","1929",NA,"",NA,NA,NA,NA,NA,NA,NA,"1929-01-01/1929-12-31",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) michaelseni","b4640710-8e03-11d8-b956-b8a03c50a862","","PhysicalObject","872733a2-67a3-4c54-aa76-862735a5f334","Indian Ocean, Indian Ocean, Eastern",NA,"Animalia",NA,NA,"","ICZN","","MCZ:IZ:HOL-1527",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","Carnegie Australian Harvard Expedition",NA,NA,NA,"MCZ",NA,"Echinodermata",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1527",NA,"en","michaelseni","",NA,"IZ","[no agent data]",NA,NA,"","whole animal (70% ethanol)","PreservedSpecimen",NA,NA,"2014-07-12T21:02:33.874Z",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","bfd31895-de61-460b-9cf1-39443977f635",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fee141d276d21fd114edbc9b14176283d4e214d8",NA,NA,"","",NA,"",NA,"Australia, Western Australia, Pender Bay",NA,NA,NA,NA,"","",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,"Erwe, 1913",NA,NA,"Holothuroidea",NA,"","","","",NA,NA,"",NA,"not applicable",NA,NA,"",NA,NA,NA,NA,"2014-05-16 16:02:28.0",NA,"","Holothuria (Theelothuria) michaelseni"
"2676",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"HOL-1526",NA,"Indian Ocean",NA,NA,NA,NA,"",NA,"President and Fellows of Harvard College","",NA,NA,NA,NA,NA,"c5dc0339-9ede-46cf-b17f-a40796d93ca4","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1526",NA,"GEOLocate",NA,NA,NA,"","Holothuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"-18.571347d","August -September 1929",NA,"",NA,NA,NA,NA,NA,NA,NA,"1929-08-01/1929-09-30",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) michaelseni","b4640710-8e03-11d8-b956-b8a03c50a862","","PhysicalObject","872733a2-67a3-4c54-aa76-862735a5f334","Indian Ocean, Indian Ocean, Eastern",NA,"Animalia",NA,NA,"","ICZN","","MCZ:IZ:HOL-1526",NA,NA,NA,NA,"",NA,NA,NA,"121.729044d",NA,NA,NA,NA,NA,"","Carnegie Australian Harvard Expedition",NA,NA,NA,"MCZ",NA,"Echinodermata",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1526",NA,"en","michaelseni","",NA,"IZ","[no agent data]",NA,NA,"","whole animal (70% ethanol)","PreservedSpecimen",NA,1021,"2014-07-13T01:50:34.046Z",NA,NA,"unverified",NA,NA,NA,NA,NA,121.729044,NA,"GEOLocate and Mapcarta","c5dc0339-9ede-46cf-b17f-a40796d93ca4",NA,NA,"Aspidochirotida",NA,-18.571347,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"672df76f001c226f3c6d9c4327fa24d0005a8f6c",NA,NA,"","",NA,"",NA,"Australia, Western Australia, Broome, False Cape Bossut",NA,NA,NA,NA,"","decimal degrees",NA,NA,NA,NA,1,NA,"",NA,1021,NA,NA,"Erwe, 1913",NA,NA,"Holothuroidea",NA,"Penny Benson","","","",NA,NA,"",NA,"not applicable",NA,NA,"",NA,NA,NA,NA,"2014-06-19 11:19:39.0",NA,"WGS84","Holothuria (Theelothuria) michaelseni"
