"","dwc.identificationVerificationStatus","inhs.vouchered","dwc.member","dwc.earliestPeriodOrLowestSystem","dwc.reproductiveCondition","inhs.juv_males","idigbio.subfamily","dwc.islandGroup","dwc.scientificName","dwc.verbatimSRS","idigbio.determinationHistory","idigbio.recordIds","dwc.latestAgeOrHighestStage","dwc.latestEpochOrHighestSeries","dwc.behavior","dwc.minimumElevationInMeters","dwc.georeferencedBy","dwc.establishmentMeans","dwc.samplingProtocol","idigbio.createdBy","dwc.specificEpithet","dwc.verbatimLongitude","dwc.geodeticDatum","dwc.phylum","inhs.dead","dwc.accessRights","idigbio.associatedFamily","idigbio.barcodeValue","dwc.preparations","dwc.coordinatePrecision","inhs.juv_undetermined","idigbio.tribe","inhs.location_RiverMile","dwc.kingdom","dwc.decimalLongitude","dwc.georeferenceProtocol","dwc.institutionCode","dwc.recordedBy","dwc.country","dwc.county","dwc.lowestBiostratigraphicZone","dwc.associatedTaxa","dwc.year","inhs.formI_males","inhs.instars_Female","idigbio.subgenus","dwc.VerbatimEventDate","dcterms.language","dcterms.references","dwc.scientificNameID","dwc.municipality","dwc.occurrenceStatus","dwc.island","idigbio.dateModified","dwc.lithostratigraphicTerms","dwc.identificationRemarks","dwc.associatedSequences","idigbio.associateNotes","dwc.basisOfRecord","dwc.collectionID","dwc.otherCatalogNumbers","dwc.samplingEffort","fcc.pickedBy","dcterms.type","dwc.earliestEraOrLowestErathem","idigbio.version","inhs.formII_males","dwc.locationRemarks","dwc.countryCode","inhs.total_Males","dwc.originalNameUsage","dwc.earliestEpochOrLowestSeries","dwc.subgenus","idigbio.uuid","inhs.instars_Male","dwc.recordNumber","dwc.day","dwc.individualCount","dwc.formation","dwc.taxonRank","dwc.endDayOfYear","dwc.locationAccordingTo","dwc.rights","inhs.location_Basin","dwc.month","dwc.nameAccordingTo","symbiota.verbatimScientificName","dwc.datasetID","inhs.relic","idigbio.preparationCount","dwc.verbatimDepth","dwc.occurrenceRemarks","idigbio.associateIdentifier","dwc.dynamicProperties","idigbio.associateAuthor","dwc.group","idigbio.etag","dcterms.modified","inhs.live","dwc.higherClassification","dwc.namePublishedInID","dwc.nomenclaturalStatus","idigbio.associateCondition","http...symbiota.org.terms.verbatimScientificName","row.number","dwc.georeferencedDate","dwc.footprintWKT","dwc.higherGeography","dwc.taxonRemarks","dwc.latestEraOrHighestErathem","dwc.verbatimLatitude","dwc.sex","dwc.georeferenceVerificationStatus","dwc.ownerInstitutionCode","dwc.georeferenceSources","dwc.maximumDepthInMeters","dwc.latestPeriodOrHighestSystem","fcc.superfamily","dwc.associatedMedia","dwc.dateIdentified","dwc.habitat","dcterms.reference","dwc.family","dwc.namePublishedIn","dwc.genus","dwc.taxonID","inhs.locationTrs","dwc.identificationQualifier","dcterms.rights","dwc.scientificNameAuthorship","dwc.rightsHolder","dwc.datasetName","dwc.coordinateUncertaintyInMeters","dwc.verbatimElevation","symbiotaverbatimScientificName","dwc.eventID","idigbio.hostFamily","dwc.informationWithheld","fcc.datePicked","dwc.catalogNumber","dwc.typeStatus","dcterms.source","dwc.stateProvince","dwc.eventRemarks","dcterms.rightsHolder","inhs.formII_females","dwc.occurrenceID","dwc.fieldNumber","dwc.identifiedBy","dwc.verbatimLocality","dwc.earliestAgeOrLowestStage","dwc.verbatimTaxonRank","fcc.subfamily","dwc.disposition","id","dwc.identificationID","dwc.associatedReferences","dwc.minimumDepthInMeters","dwc.identificationReferences","dwc.fieldNotes","dwc.decimalLatitude","dwc.dataGeneralizations","dwc.verbatimEventDate","idigbio.preservative","idigbio.recordID","dwc.startDayOfYear","dcterms.bibliographicCitation","idigbio.associateCommonName","dwc.collectionCode","dcterms.accessRights","dwc.institutionID","dwc.bed","dwc.georeferenceRemarks","dwc.locationID","dwc.eventDate","dwc.infraspecificEpithet","inhs.location_Stream","dwc.verbatimCoordinates","inhs.superfamily","inhs.total_females","idigbio.associatedRelationship","dwc.preparation","dwc.nomenclaturalCode","idigbio.substrate","dwc.waterBody","dwc.order","dwc.locality","idigbio.associateRelationship","idigbio.associateDeterminedBy","dwc.relatedResourceID","dwc.class","dwc.associatedOccurrences","dwc.individualID","dwc.verbatimCoordinateSystem","dwc.eventTime","dwc.previousIdentifications","dwc.vernacularName","idigbio.recordId","dwc.maximumElevationInMeters","dwc.lifeStage","idigbio.endangeredStatus","dwc.continent","inhs.juv_females"
"952","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",144.8,"","FLMNH","Paulay, G. & Starmer, J.","USA","Guam Island",NA,NA,1997,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:26:24.400Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"f68322b9-923d-48a6-b4cc-f6d00605b37f",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"21b3a77a6c0b5e15785311eead22e864671d5291","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"182-Echinodermata","",NA,"Mariana Islands","","",NA,"BF972249-A54D-4790-AE6F-50BE4D93F14E","","",NA,NA,NA,NA,"","f68322b9-923d-48a6-b4cc-f6d00605b37f",NA,"",NA,NA,NA,13.5,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","ZZZ-085814","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"999","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-157.4963,"","FLMNH","Gustav Paulay","Kiribati","Kiritimati Atoll",NA,NA,2005,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T09:07:28.555Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"e2668b69-30c4-455e-b7a2-a01e822bc7db",NA,"",7,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"badca5daaadea10ccad2f62dac429f8b9534b381","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5778-Echinodermata","",NA,"Line Islands","","",NA,"B81C0003-2D42-4266-A67D-E554E5CCD131","","",NA,NA,NA,NA,"","e2668b69-30c4-455e-b7a2-a01e822bc7db",NA,"",NA,NA,NA,1.9393,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","GP-Loc-830","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1028","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",48.3642,"","FLMNH","G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner","Madagascar","",NA,NA,2008,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T09:54:04.814Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"9842be93-ae70-4dec-84bc-3a573605d473",NA,"",15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"510717b2c43117b7efd69a03df0cb48f7501de24","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7477-Echinodermata","",NA,"","","",NA,"463FAE68-3D93-4771-BAAB-91935689C92C","","",NA,NA,NA,NA,"","9842be93-ae70-4dec-84bc-3a573605d473",NA,"",NA,NA,NA,-13.4244,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","MGNW-20","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1416","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",167.214166666667,"","FLMNH","Meyer, C.","Vanuatu","",NA,NA,2005,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T14:19:29.959Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"8d14451b-e60e-4dcd-9250-5ea5a684eda2",NA,"",16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"96cb281e8d660bd4f52698a033a0cab8e3760db4","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4306-Echinodermata","",NA,"Sanma Province","","",NA,"CF5A7003-95D9-45FA-8835-AB011C98B067","","",NA,NA,NA,NA,"","8d14451b-e60e-4dcd-9250-5ea5a684eda2",NA,"",NA,NA,NA,-15.5325,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","CPM-VAN-010","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1555","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-148.283333,"","FLMNH","Paulay, G.","French Polynesia","Tikehau Atoll",NA,NA,2001,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:18:47.701Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"443c4d05-bc6e-4e27-ad29-701e6cc5299c",NA,"",10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"f8451323e7018325e297abc92b795ac2b0876872","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"582-Echinodermata","",NA,"Tuamotu Islands","","",NA,"0B518AB3-9FD3-4694-8DBF-84BDF86B2776","","",NA,NA,NA,NA,"","443c4d05-bc6e-4e27-ad29-701e6cc5299c",NA,"",NA,NA,NA,-15.016667,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","BTIK-004","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1556","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",127.843634,"","FLMNH","Daisuke Uyeno, Tohru Naruse, Yoshida Ryuta","Japan","Okinawa",NA,NA,2011,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:19:05.948Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"ee724cab-132b-471f-b3c0-cd859c26bd96",NA,"",17,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"cd7439375b298d9db454bd0a2773a26071bfdd54","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10993-Echinodermata","",NA,"Ryukyus","","",NA,"7CFBCB89-F7A3-4ABB-B565-1F4BB3D72139","","",NA,NA,NA,NA,"","ee724cab-132b-471f-b3c0-cd859c26bd96",NA,"",NA,NA,NA,26.504484,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","FMOK11-St-25","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1605","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","FLMNH","John Starmer","Mauritius","Mauritius Island",NA,NA,1999,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T13:21:48.137Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"5b096292-2ffe-4c5d-84d0-80e6309e231d",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"101d6578d5984bb9136e868524b8c13cbed539ed","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3516-Echinodermata","",NA,"Mascarene Islands","","",NA,"E12EE664-97CE-49DE-AE05-F29C594D9DA7","","",NA,NA,NA,NA,"","5b096292-2ffe-4c5d-84d0-80e6309e231d",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","JAS-MAU-073","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1693","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",127.772746,"","FLMNH","François Michonneau, Yoshida Ryuta","Japan","Okinawa",NA,NA,2011,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:22:57.562Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"68831b73-a64b-4c7d-b8e3-815d65400181",NA,"",14,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"04f970e945d4dc3d0e22f271788812abf9811e23","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10916-Echinodermata","",NA,"Ryukyus","","",NA,"33E16AC4-6DCA-4779-AEA5-50273B77DF1C","","",NA,NA,NA,NA,"","68831b73-a64b-4c7d-b8e3-815d65400181",NA,"",NA,NA,NA,26.444199,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","FMOK11-St-19","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1767","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",171.34597,"","FLMNH","François Michonneau & Sun Kim","Republic of the Marshall Islands","Majuro Atoll",NA,NA,2008,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T16:07:40.377Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"42973944-12c8-4bb6-b834-5da73969c444",NA,"",3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"5746990216bfe3116d5b6830140062abdbd5b52e","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6790-Echinodermata","",NA,"Marshall Islands","","",NA,"29E22266-AB1B-4C74-AAA1-D5CAFD1198CF","","",NA,NA,NA,NA,"","42973944-12c8-4bb6-b834-5da73969c444",NA,"",NA,NA,NA,7.08144,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","FM-St-MAJ08-01","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"1989","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-149.833333,"","FLMNH","Machel Malay & Esther Emmanuelli","French Polynesia","Moorea Island",NA,NA,2006,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:36:17.609Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"346b5d11-095b-4929-8289-8d4e8715af09",NA,"",22,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"78483147a21eea333302814cc087e9e98105feec","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5111-Echinodermata","",NA,"Society Islands","","",NA,"1847FE34-166A-4425-8078-08AF3FE6133F","","",NA,NA,NA,NA,"","346b5d11-095b-4929-8289-8d4e8715af09",NA,"",NA,NA,NA,-17.533333,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","MMOOR-14","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"2129","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","FLMNH","François Michonneau, Molly Timmers","Australia","",NA,NA,2009,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T11:00:36.191Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"5336b910-5f95-4058-9339-638d00b1c971",NA,"",15,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"d947617802493f6b4e18c735f1a781b171493519","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8335-Echinodermata","",NA,"Queensland","","",NA,"64A10C43-C9A6-4DAD-983C-FBF5B1305383","","",NA,NA,NA,NA,"","5336b910-5f95-4058-9339-638d00b1c971",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","AUST-ST-045","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"2154","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-149.83159,"","FLMNH","BioCode IZ/ARMS team","French Polynesia","Moorea Island",NA,NA,2012,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T11:40:20.834Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"9c933827-a6ac-451f-b171-f41cee62e675",NA,"",1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"204323fbf169595f78329ee047cf16bd19799794","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12464-Echinodermata","",NA,"Society Islands","","",NA,"EA3385B6-52C3-4261-B87B-530FB4F048CC","","",NA,NA,NA,NA,"","9c933827-a6ac-451f-b171-f41cee62e675",NA,"",NA,NA,NA,-17.47638,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","BIZ-783","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"2209","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-166.2602,"","FLMNH","John Starmer, Gustav Paulay, Sea McKeon, Scott Godwin & Jim Maragos","USA","French Frigate Shoals",NA,NA,2006,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T18:50:12.249Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"295693c9-b2ad-4bbd-a112-6a7e8a47a418",NA,"",25,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"ef942b7426faf5af5494d24b889e2fedd8cd47c7","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6253-Echinodermata","",NA,"Hawaiian Islands","","",NA,"99A1675D-A7EB-4751-ACB3-53F45039D942","","",NA,NA,NA,NA,"","295693c9-b2ad-4bbd-a112-6a7e8a47a418",NA,"",NA,NA,NA,23.7683,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","FFS-0187","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"2226","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",55.229444,"","FLMNH","Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay","France","Reunion Island",NA,NA,2007,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T16:03:43.279Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"dda3ebb2-dde3-4ff8-9efd-9e2c652c8438",NA,"",14,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"0bea148e309833eba4342cc1394b5930e689ce87","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6568-Echinodermata","",NA,"Mascarene Islands","","",NA,"58631E87-5658-4101-992A-57FD4F44ADD8","","",NA,NA,NA,NA,"","dda3ebb2-dde3-4ff8-9efd-9e2c652c8438",NA,"",NA,NA,NA,-21.090833,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","SWIO-18","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"2228","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",171.03608,"","FLMNH","François Michonneau & Sun Kim","Republic of the Marshall Islands","Majuro Atoll",NA,NA,2008,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T15:17:51.156Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"cf60535a-5727-4d9a-a590-920042b16c83",NA,"",4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"a7f3c1c8cfc59dbdbe54e732f749370fb79673e0","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6793-Echinodermata","",NA,"Marshall Islands","","",NA,"F7E383AA-A309-4C0D-9006-DFD0D70FA8D6","","",NA,NA,NA,NA,"","cf60535a-5727-4d9a-a590-920042b16c83",NA,"",NA,NA,NA,7.16517,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","FM-St-MAJ08-02","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
