"","dwc.individualCount","dcterms.reference","dwc.minimumElevationInMeters","dwc.georeferenceRemarks","dwc.kingdom","dwc.sex","dwc.identifiedBy","dcterms.bibliographicCitation","dwc.lifeStage","dwc.nameAccordingTo","dwc.preparations","dwc.occurrenceStatus","dwc.class","dwc.ownerInstitutionCode","dwc.latestEpochOrHighestSeries","dwc.earliestPeriodOrLowestSystem","dwc.waterBody","dwc.associatedMedia","idigbio.dateModified","dwc.vernacularName","dwc.verbatimEventDate","dwc.month","dwc.recordedBy","dcterms.accessRights","idigbio.recordID","dwc.rightsHolder","dwc.taxonRemarks","dwc.identificationRemarks","dwc.verbatimSRS","dwc.nomenclaturalStatus","dwc.collectionID","dwc.occurrenceID","inhs.dead","fcc.datePicked","dwc.taxonID","dwc.behavior","idigbio.associateAuthor","dwc.locationRemarks","dwc.locationID","idigbio.associateDeterminedBy","dwc.associatedOccurrences","dwc.family","dwc.county","dwc.earliestAgeOrLowestStage","dwc.dateIdentified","dwc.stateProvince","dwc.group","dwc.institutionID","fcc.subfamily","idigbio.preparationCount","dwc.maximumElevationInMeters","inhs.locationTrs","inhs.location_RiverMile","dwc.samplingEffort","dwc.georeferenceProtocol","dwc.individualID","dwc.specificEpithet","dwc.georeferencedDate","idigbio.substrate","dwc.coordinateUncertaintyInMeters","dwc.samplingProtocol","dwc.namePublishedInID","dwc.day","idigbio.preservative","dwc.year","dwc.infraspecificEpithet","idigbio.tribe","dwc.disposition","dwc.verbatimElevation","inhs.instars_Male","dwc.footprintWKT","dwc.typeStatus","dwc.continent","inhs.juv_undetermined","idigbio.createdBy","dwc.lowestBiostratigraphicZone","inhs.formII_males","dwc.associatedSequences","idigbio.etag","dwc.municipality","dcterms.source","dwc.catalogNumber","idigbio.uuid","idigbio.hostFamily","dwc.verbatimCoordinates","dwc.eventTime","dwc.occurrenceRemarks","idigbio.determinationHistory","dwc.collectionCode","dwc.eventID","dcterms.rightsHolder","dwc.earliestEpochOrLowestSeries","dwc.subgenus","idigbio.subfamily","dwc.dynamicProperties","dwc.latestEraOrHighestErathem","fcc.superfamily","dwc.member","dwc.island","idigbio.endangeredStatus","idigbio.associatedFamily","dwc.startDayOfYear","dwc.higherGeography","dcterms.type","dwc.verbatimTaxonRank","idigbio.barcodeValue","dwc.decimalLatitude","dwc.informationWithheld","fcc.pickedBy","dwc.georeferenceSources","dwc.fieldNumber","dwc.scientificNameID","dwc.locationAccordingTo","dwc.dataGeneralizations","idigbio.associatedRelationship","dwc.relatedResourceID","dwc.verbatimDepth","dwc.georeferenceVerificationStatus","idigbio.associateNotes","dwc.preparation","inhs.total_Males","inhs.total_females","dcterms.references","dwc.identificationVerificationStatus","dwc.countryCode","dwc.associatedTaxa","dwc.earliestEraOrLowestErathem","idigbio.recordIds","dwc.datasetID","dwc.basisOfRecord","dwc.scientificNameAuthorship","symbiota.verbatimScientificName","dcterms.modified","inhs.superfamily","dcterms.language","idigbio.subgenus","dwc.latestAgeOrHighestStage","dwc.endDayOfYear","dwc.country","inhs.location_Stream","inhs.live","dwc.associatedReferences","inhs.vouchered","id","idigbio.associateRelationship","dwc.institutionCode","dwc.VerbatimEventDate","dcterms.rights","dwc.rights","dwc.habitat","inhs.formI_males","dwc.eventRemarks","dwc.lithostratigraphicTerms","dwc.accessRights","inhs.juv_females","idigbio.associateCondition","dwc.bed","dwc.maximumDepthInMeters","dwc.eventDate","dwc.islandGroup","dwc.verbatimLatitude","dwc.verbatimLocality","dwc.scientificName","idigbio.associateCommonName","dwc.latestPeriodOrHighestSystem","idigbio.associateIdentifier","dwc.reproductiveCondition","symbiotaverbatimScientificName","idigbio.version","dwc.phylum","dwc.verbatimCoordinateSystem","dwc.identificationQualifier","dwc.higherClassification","dwc.identificationID","inhs.relic","dwc.locality","idigbio.recordId","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.identificationReferences","dwc.datasetName","dwc.order","dwc.decimalLongitude","dwc.namePublishedIn","dwc.taxonRank","row.number","dwc.establishmentMeans","inhs.juv_males","dwc.geodeticDatum","inhs.formII_females","dwc.previousIdentifications","dwc.fieldNotes","inhs.location_Basin","dwc.genus","dwc.georeferencedBy","dwc.formation","dwc.nomenclaturalCode","dwc.originalNameUsage","inhs.instars_Female","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimLongitude","dwc.coordinatePrecision","dwc.recordNumber"
"1513",1,NA,NA,"","Animalia","","[no agent data], Francisco Sólis Marín",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:32010","2014-08-04T20:18:52.816Z",NA,"1938",NA,"Zaca Expedition, Templeton Crocker, William Beebe",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:32010",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"2012-11-07 00:00:00.0","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"c9a9e996a66ce630475993c67dd3241457d81dc6",NA,NA,"32010","593a011d-4d9a-4558-87e2-d16c7de93411",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:32010","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-04-24 12:55:53.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"593a011d-4d9a-4558-87e2-d16c7de93411",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,3.6576,"1938-01-01/1938-12-31",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Nicaragua: Cardon Islands, Corinto",NA,"",3.6576,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1773",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2107","2014-05-28T20:24:19.998Z",NA,"March 18, 1940",NA,"Edward Flanders Ricketts, John Steinbeck",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-2107",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"2add5e239e32793df6e21fddcb7acdd205477d30",NA,NA,"HOL-2107","6425341f-1fd8-41f3-ad4f-440dfc043152",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2107","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-09 10:02:27.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"6425341f-1fd8-41f3-ad4f-440dfc043152",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1940-03-18",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico: Cape Saint Lucas",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1783",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1328","2014-05-28T20:37:17.680Z",NA,"October 31, 1904",NA,"USFC Steamer Albatross",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1328",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"unknown",NA,"lubrica",NA,NA,0,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"bc4cd48de2f47a31f32cc75fdb6c0f590ec9f38d",NA,NA,"HOL-1328","2dec113c-fd04-453e-b7ef-c81e632b28aa",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,8.9166666667,NA,NA,"unknown","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1328","unknown",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 11:51:10.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"2dec113c-fd04-453e-b7ef-c81e632b28aa",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1904-10-31",NA,"8d 55m 0s N",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","deg. min. sec.",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Panama, Bay of Panama, Taboguilla Island",NA,"",NA,NA,NA,"Aspidochirotida",-79.525,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,"Holothuria","[no agent data]",NA,"ICZN",NA,NA,NA,"79d 31m 30s W",0,""
"1784",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2109","2014-05-28T19:32:59.933Z",NA,"April 4, 1940",NA,"Edward Flanders Ricketts, John Steinbeck",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-2109",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"d4feee6cd8586112d7a3baad86198c3ab7675e03",NA,NA,"HOL-2109","d7799760-710e-44ed-8589-d88f8a5aa675",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2109","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-09 11:02:26.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"d7799760-710e-44ed-8589-d88f8a5aa675",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1940-04-04",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico: Sonora, San Carlos Bay",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1826",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (dry)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125705","2014-07-12T20:16:31.585Z",NA,"Mch 25-26.",NA,"[no agent data]",NA,NA,NA,NA,"Found dry on shelf in Feb. 2007 by GCB.",NA,NA,NA,"MCZ:IZ:125705",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"fd255bce2faf88a90c608d88fdafd4bedd986f91",NA,NA,"125705","fb915d0a-42d7-48f2-bf32-3b46fe0de134",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125705","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2013-01-10 11:11:12.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"fb915d0a-42d7-48f2-bf32-3b46fe0de134",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1800-01-01/1975-12-31",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Puerto Escondido, Oaxaca, Mexico",NA,"other number=2110",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1839",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-657","2014-07-13T03:48:53.196Z",NA,"[date unknown]",NA,"[no agent data]",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-657",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"bc6eb998e8f64ed026aea546f533289e4e6c086c",NA,NA,"HOL-657","4bafffb5-eb1c-45b5-b471-5b391bed89bf",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-657","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 11:02:26.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"4bafffb5-eb1c-45b5-b471-5b391bed89bf",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-05-07",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico, Lower California, Sequina Bay",NA,"other number=1492",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"2057",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-655","2014-05-28T20:29:46.926Z",NA,"April 24, 1875",NA,"[no agent data]",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-655",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"e4bbc581fa831f941c5fab4d32dc0362dd8b0915",NA,NA,"HOL-655","cbebb24d-3845-4849-8429-f919f2a33f67",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-655","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 11:02:27.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"cbebb24d-3845-4849-8429-f919f2a33f67",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1875-04-24",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Panama Bay, Isle of Pearls",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"2072",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-658","2014-07-12T23:56:59.695Z",NA,"June 24-July 23, 1872",NA,"Hassler Expedition",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-658",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Central America",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"52167cf8687109498db04a0738517e31510e8fc4",NA,NA,"HOL-658","f3018842-aa26-4f64-9c6d-8f64ae4e0e76",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Central America, Panama","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-658","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 10:56:09.0",NA,"en",NA,NA,NA,"Panama",NA,NA,"",NA,"f3018842-aa26-4f64-9c6d-8f64ae4e0e76",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1872-06-24/1872-07-23",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Panama",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"2089",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1981","2014-07-12T14:43:18.651Z",NA,"[date unknown]",NA,"Yacht Stranger, Milo Woodbridge Williams",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1981",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"unknown",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"dc83e4ac282697df0374bf526c4e7c489cf309ef",NA,NA,"HOL-1981","bc991c62-6142-47d2-9684-1b4862d97b0f",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,14.6666666667,NA,NA,"Unknown","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1981","unknown",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-09 10:02:26.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"bc991c62-6142-47d2-9684-1b4862d97b0f",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1916-01-01/1939-12-31",NA,"14d 40m 0s N",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","deg. min. sec.",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico, north side of Isle Grande",NA,"station number=870",NA,NA,NA,"Aspidochirotida",-101.7,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,"Holothuria","[no agent data]",NA,"ICZN",NA,NA,NA,"101d 42m 0s W",NA,""
"2372",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-659","2014-07-13T00:32:06.887Z",NA,"[date unknown]",NA,"Alexander Agassiz",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-659",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"lubrica",NA,NA,368458,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Central America",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"f7ee262a85ad5d7b570da9dec4485aa4cd96d1b0",NA,NA,"HOL-659","5e3b4169-33e5-4280-a516-9b455adb0152",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Central America, Panama","PhysicalObject",NA,NA,8.966667,NA,NA,"GEOLocate","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-659","unverified",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 13:39:38.0",NA,"en",NA,NA,NA,"Panama",NA,NA,"",NA,"5e3b4169-33e5-4280-a516-9b455adb0152",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-05-07",NA,"8.966667d",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"off Panama",NA,"other number=443",NA,NA,NA,"Aspidochirotida",-79.533333,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,"Holothuria","Penny Benson",NA,"ICZN",NA,NA,NA,"-79.533333d",368458,""
"2386",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1907","2014-07-13T00:48:03.822Z",NA,"February 25 1938",NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1907",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"cfc1f429f72a43a7b9042b40b9681c7c762ebf35",NA,NA,"HOL-1907","159491ad-9d89-4994-8094-ebcf584bcbd5",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1907","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-07-02 13:06:13.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"159491ad-9d89-4994-8094-ebcf584bcbd5",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1935-02-25",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Colombia, off Port Utria",NA,"station number=858",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
