"","idigbio.recordID","dwc.stateProvince","dwc.collectionCode","idigbio.associatedRelationship","inhs.vouchered","dwc.informationWithheld","dwc.order","dwc.georeferencedDate","dwc.samplingEffort","dwc.bed","dwc.scientificName","dwc.eventDate","dwc.originalNameUsage","dwc.occurrenceRemarks","id","inhs.superfamily","dwc.disposition","idigbio.hostFamily","dwc.year","inhs.formI_males","dwc.lowestBiostratigraphicZone","dwc.catalogNumber","dwc.municipality","dwc.nomenclaturalCode","idigbio.associateRelationship","dwc.decimalLongitude","inhs.instars_Female","dwc.verbatimLatitude","dwc.maximumDepthInMeters","dwc.day","dcterms.references","inhs.formII_males","dwc.verbatimDepth","dcterms.language","dwc.verbatimCoordinateSystem","dwc.datasetName","dwc.startDayOfYear","fcc.superfamily","idigbio.version","dwc.occurrenceID","idigbio.tribe","dwc.month","dwc.verbatimSRS","symbiotaverbatimScientificName","dwc.associatedTaxa","dwc.dynamicProperties","idigbio.associateCommonName","dwc.occurrenceStatus","dwc.georeferencedBy","dwc.continent","dwc.verbatimElevation","dwc.typeStatus","dwc.samplingProtocol","dcterms.bibliographicCitation","dwc.earliestPeriodOrLowestSystem","inhs.juv_males","idigbio.barcodeValue","dwc.dateIdentified","dwc.group","dwc.identifiedBy","idigbio.subgenus","dwc.recordedBy","dwc.verbatimLocality","dwc.individualID","dwc.rights","dwc.higherClassification","dwc.waterBody","dwc.member","dwc.otherCatalogNumbers","dwc.identificationID","dwc.reproductiveCondition","symbiota.verbatimScientificName","dwc.earliestEraOrLowestErathem","dwc.vernacularName","idigbio.recordIds","dwc.higherGeography","dwc.institutionCode","dwc.latestPeriodOrHighestSystem","dwc.nomenclaturalStatus","dcterms.reference","idigbio.associatedFamily","dwc.associatedSequences","dwc.preparations","dwc.identificationVerificationStatus","idigbio.associateDeterminedBy","idigbio.etag","dwc.locality","dwc.recordNumber","dwc.county","dwc.scientificNameAuthorship","dwc.fieldNumber","dwc.sex","dwc.latestEraOrHighestErathem","idigbio.associateIdentifier","dwc.geodeticDatum","dwc.accessRights","idigbio.dateModified","dwc.verbatimTaxonRank","idigbio.createdBy","dwc.coordinatePrecision","inhs.total_Males","dwc.preparation","dwc.eventTime","fcc.pickedBy","dwc.verbatimEventDate","dwc.minimumDepthInMeters","inhs.locationTrs","dcterms.rightsHolder","dwc.datasetID","http...symbiota.org.terms.verbatimScientificName","dwc.georeferenceSources","dwc.country","idigbio.endangeredStatus","dwc.georeferenceVerificationStatus","dwc.identificationReferences","dwc.earliestAgeOrLowestStage","dwc.georeferenceProtocol","dcterms.type","inhs.live","dwc.associatedReferences","idigbio.preservative","dwc.taxonID","inhs.location_Stream","idigbio.preparationCount","dwc.family","dwc.locationRemarks","dwc.taxonRank","dwc.ownerInstitutionCode","dwc.subgenus","dwc.locationAccordingTo","inhs.location_RiverMile","idigbio.subfamily","row.number","dwc.basisOfRecord","dwc.class","dwc.individualCount","dwc.nameAccordingTo","dwc.collectionID","dwc.islandGroup","idigbio.associateAuthor","dwc.associatedMedia","idigbio.substrate","dwc.formation","dwc.locationID","dwc.VerbatimEventDate","fcc.datePicked","idigbio.associateNotes","dwc.infraspecificEpithet","fcc.subfamily","dcterms.source","inhs.instars_Male","dwc.phylum","inhs.formII_females","dwc.minimumElevationInMeters","dwc.kingdom","dwc.namePublishedIn","dwc.relatedResourceID","dcterms.modified","dwc.establishmentMeans","dwc.eventRemarks","dwc.previousIdentifications","dwc.behavior","dwc.habitat","dwc.eventID","inhs.total_females","dwc.taxonRemarks","dwc.decimalLatitude","inhs.dead","dwc.latestEpochOrHighestSeries","dwc.maximumElevationInMeters","dwc.latestAgeOrHighestStage","dwc.fieldNotes","dwc.lithostratigraphicTerms","dwc.footprintWKT","dwc.namePublishedInID","idigbio.uuid","dcterms.rights","inhs.juv_undetermined","dwc.dataGeneralizations","idigbio.associateCondition","dwc.rightsHolder","dwc.identificationQualifier","dwc.verbatimCoordinates","dwc.endDayOfYear","dwc.coordinateUncertaintyInMeters","dwc.verbatimLongitude","inhs.juv_females","idigbio.recordId","dwc.specificEpithet","dcterms.accessRights","dwc.institutionID","dwc.countryCode","dwc.georeferenceRemarks","idigbio.determinationHistory","dwc.genus","dwc.earliestEpochOrLowestSeries","dwc.lifeStage","dwc.island","inhs.location_Basin","dwc.associatedOccurrences","inhs.relic","dwc.identificationRemarks","dwc.scientificNameID"
"903",NA,"","IZ",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"Holothuria (Selenkothuria) moebii","1923-01-01/1923-12-31",NA,NA,"679143ba-8186-4482-9a58-e0595f3a4195",NA,"not applicable",NA,NA,NA,NA,"HOL-1372",NA,"ICZN",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1372",NA,"","en","",NA,0,NA,NA,"MCZ:IZ:HOL-1372",NA,NA,NA,NA,NA,"",NA,NA,"","Pacific Ocean",NA,"","",NA,NA,NA,NA,"",NA,"[no agent data]",NA,"Arthur S. Campbell",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) moebii","",NA,"",NA,NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Northwest","MCZ",NA,NA,NA,NA,NA,"whole animal (70% ethanol)","",NA,"0dc5b23a5803807f58ffc0787399cc8be3481cca","China, Hong Kong","","","Ludwig, 1883","","",NA,NA,"",NA,"2014-07-13T00:42:13.709Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"1923",NA,NA,"President and Fellows of Harvard College",NA,NA,"","",NA,NA,NA,NA,"","PhysicalObject",NA,"",NA,NA,NA,NA,"Holothuriidae","",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"PreservedSpecimen","Holothuroidea",1,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1372",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"Echinodermata",NA,NA,"Animalia",NA,NA,"2014-05-12 10:02:25.0",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"679143ba-8186-4482-9a58-e0595f3a4195",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"moebii",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA
"2397",NA,"","IZ",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"Holothuria (Selenkothuria) moebii","1932-04-01/1932-04-30",NA,NA,"f7229182-45b0-488c-96b7-9f3b7da5034c",NA,"not applicable",NA,NA,NA,NA,"HOL-1531",NA,"ICZN",NA,159.0727,NA,"-31.532389d",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1531",NA,"","en","decimal degrees",NA,0,NA,NA,"MCZ:IZ:HOL-1531",NA,NA,NA,NA,NA,"",NA,NA,"Penny Benson","Pacific Ocean",NA,"","",NA,NA,NA,NA,"",NA,"[no agent data]",NA,"Harvard Australia Expedition 1931-1932",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) moebii","",NA,"",NA,NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Southwest","MCZ",NA,NA,NA,NA,NA,"whole animal (70% ethanol)","migration",NA,"1376e029af07afdd0c2b73b5629d2ad9a0216fdf","Australia, New South Wales, Lord Howe Island","","","Ludwig, 1883","","",NA,NA,"WGS84",NA,"2014-07-12T22:58:01.401Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334",12662,NA,NA,NA,NA,"April 1932",NA,NA,"President and Fellows of Harvard College",NA,NA,"GEOLocate","",NA,NA,NA,NA,"GEOLocate","PhysicalObject",NA,"",NA,NA,NA,NA,"Holothuriidae","",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"PreservedSpecimen","Holothuroidea",1,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1531",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"Echinodermata",NA,NA,"Animalia",NA,NA,"2014-06-18 15:18:05.0",NA,"",NA,NA,"",NA,NA,NA,-31.532389,NA,NA,NA,NA,NA,NA,NA,NA,"f7229182-45b0-488c-96b7-9f3b7da5034c",NA,NA,NA,NA,NA,NA,"",NA,12662,"159.0727d",NA,NA,"moebii",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA
