"","dcterms.modified","dwc.subgenus","dwc.typeStatus","dwc.earliestEpochOrLowestSeries","dwc.locality","idigbio.dateModified","dwc.higherClassification","dwc.collectionID","dwc.verbatimCoordinateSystem","idigbio.recordId","idigbio.associatedFamily","fcc.datePicked","dwc.preparations","dwc.recordNumber","dwc.geodeticDatum","dwc.country","inhs.formII_females","dwc.verbatimElevation","dwc.month","dwc.earliestPeriodOrLowestSystem","inhs.superfamily","dwc.individualID","dwc.earliestAgeOrLowestStage","idigbio.associateCommonName","dwc.VerbatimEventDate","dwc.otherCatalogNumbers","idigbio.preservative","idigbio.recordIds","dwc.originalNameUsage","dwc.dataGeneralizations","symbiota.verbatimScientificName","dwc.behavior","dwc.identificationReferences","dwc.samplingEffort","row.number","dcterms.references","dwc.georeferenceVerificationStatus","dwc.verbatimLongitude","dwc.identificationRemarks","dcterms.type","idigbio.uuid","dwc.verbatimDepth","dwc.previousIdentifications","dwc.identificationID","dwc.municipality","dwc.scientificName","inhs.location_Stream","idigbio.endangeredStatus","inhs.juv_males","dwc.vernacularName","dwc.verbatimLatitude","inhs.vouchered","dwc.locationID","dwc.dynamicProperties","dcterms.rightsHolder","dwc.group","dwc.locationAccordingTo","inhs.juv_undetermined","dwc.islandGroup","dwc.samplingProtocol","inhs.location_RiverMile","dwc.taxonID","inhs.live","dwc.scientificNameAuthorship","idigbio.subgenus","idigbio.associateCondition","inhs.instars_Male","idigbio.associatedRelationship","dwc.taxonRank","inhs.total_females","dwc.ownerInstitutionCode","dwc.occurrenceStatus","dwc.minimumElevationInMeters","dwc.preparation","dwc.basisOfRecord","dwc.startDayOfYear","dwc.fieldNumber","dwc.order","dwc.infraspecificEpithet","dwc.latestAgeOrHighestStage","dwc.associatedMedia","dwc.eventTime","dcterms.reference","dwc.stateProvince","dwc.latestEpochOrHighestSeries","dwc.member","idigbio.determinationHistory","dwc.collectionCode","dwc.associatedReferences","dwc.identificationVerificationStatus","inhs.juv_females","idigbio.substrate","dwc.occurrenceID","dwc.georeferencedBy","dcterms.rights","idigbio.tribe","dwc.verbatimTaxonRank","dwc.nomenclaturalStatus","dwc.eventRemarks","dwc.taxonRemarks","dwc.verbatimSRS","dwc.eventID","dwc.institutionCode","dwc.phylum","dwc.scientificNameID","dcterms.language","dwc.latestPeriodOrHighestSystem","dwc.eventDate","dwc.datasetName","dwc.verbatimEventDate","dwc.namePublishedInID","inhs.formII_males","dwc.catalogNumber","idigbio.associateIdentifier","dwc.georeferenceRemarks","idigbio.recordID","dwc.waterBody","dwc.rightsHolder","dwc.establishmentMeans","idigbio.associateNotes","dwc.associatedSequences","inhs.location_Basin","dwc.nomenclaturalCode","fcc.pickedBy","dwc.maximumElevationInMeters","dwc.datasetID","dwc.associatedOccurrences","idigbio.associateDeterminedBy","dwc.kingdom","idigbio.etag","dwc.georeferenceSources","dwc.fieldNotes","dwc.family","dwc.formation","dwc.lowestBiostratigraphicZone","dwc.disposition","inhs.locationTrs","dwc.locationRemarks","dwc.associatedTaxa","dwc.informationWithheld","id","dwc.recordedBy","dwc.dateIdentified","dwc.countryCode","dwc.year","fcc.superfamily","dwc.bed","dwc.accessRights","dwc.decimalLongitude","dwc.decimalLatitude","idigbio.version","dwc.nameAccordingTo","dwc.latestEraOrHighestErathem","dwc.sex","inhs.relic","dwc.verbatimLocality","dwc.relatedResourceID","inhs.instars_Female","dwc.lithostratigraphicTerms","dwc.specificEpithet","inhs.formI_males","idigbio.subfamily","idigbio.createdBy","idigbio.associateRelationship","dwc.class","dwc.continent","dwc.namePublishedIn","dwc.habitat","dwc.georeferenceProtocol","dwc.higherGeography","dwc.earliestEraOrLowestErathem","dwc.rights","dwc.occurrenceRemarks","inhs.total_Males","dwc.maximumDepthInMeters","dwc.coordinatePrecision","dwc.coordinateUncertaintyInMeters","dwc.individualCount","dwc.identificationQualifier","dwc.lifeStage","idigbio.barcodeValue","dwc.identifiedBy","dwc.reproductiveCondition","dwc.institutionID","dwc.footprintWKT","idigbio.associateAuthor","idigbio.hostFamily","http...symbiota.org.terms.verbatimScientificName","dwc.genus","dcterms.accessRights","symbiotaverbatimScientificName","inhs.dead","fcc.subfamily","dwc.county","dwc.endDayOfYear","dwc.verbatimCoordinates","dwc.island","dwc.day","dwc.georeferencedDate","dwc.minimumDepthInMeters","idigbio.preparationCount","dcterms.source","dcterms.bibliographicCitation"
"1840","2014-07-02 13:06:13.0",NA,"",NA,"Ecuador, Galapagos Islands, Albemarle Island","2014-07-12T14:22:41.266Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"station number=800",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1910",NA,"","","PhysicalObject","edf44549-9790-4411-a189-671e8a4260d8","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1910",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-1910","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1938-01-22",NA,"January 22, 1938",NA,NA,"HOL-1910",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","61d58e1e44e5079f08816f664ad28d5d10eac60c","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"edf44549-9790-4411-a189-671e8a4260d8","RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"1841","2013-06-18 15:17:42.0",NA,"Syntype",NA,"off Hawaii","2014-07-12T15:09:16.610Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other number=389, 476, 657",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-676",NA,"","possibly designated as LECTOTYPE by Rowe & Hanley but unable to locate publication, PB 2012","PhysicalObject","6a5110d3-3524-4f79-be29-54d8e2aeaabb","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-676",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-676","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/1867-12-31",NA,"Unknown",NA,NA,"HOL-676",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","4d8d9a88cdbeee84518164a52f56921c0e9a718a","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"6a5110d3-3524-4f79-be29-54d8e2aeaabb","[no agent data]","2012-08-08 00:00:00.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data], World Register of Marine Species",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"1845","2014-06-19 11:24:19.0",NA,"",NA,"Australia, Western Australia, Broome, False Cape Bossut","2014-08-11T17:35:16.883Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1540",NA,"121.729044d","","PhysicalObject","35525f18-2428-4d77-b9c2-328bcf7eff4d","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"-18.571347d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1540",NA,NA,"",NA,NA,NA,"IZ","","unverified",NA,NA,"MCZ:IZ:HOL-1540","Penny Benson",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1929-09-20/1929-09-29",NA,"September 20-22, 1929",NA,NA,"HOL-1540",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","e5ef61e689e1f861dd8f0391b52d96646debe41c","GEOLocate and Mapcarta",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"35525f18-2428-4d77-b9c2-328bcf7eff4d","Hubert Lyman Clark, Carnegie Australian Harvard Expedition","",NA,NA,NA,NA,NA,121.729044,-18.571347,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Indian Ocean",NA,"","GEOLocate","Indian Ocean, Indian Ocean, Eastern",NA,NA,NA,NA,NA,1021,1021,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2088","2013-06-18 15:17:42.0",NA,"Syntype",NA,"off Hawaii","2014-07-12T16:14:41.055Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other number=389, 476, 657",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126515",NA,"","possibly designated as PARALECTOTYPES by Rowe & Hanley but unable to locate publication, PB 2012","PhysicalObject","5d4d239d-2747-4628-ab00-bad38a2ffc90","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126515",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:126515","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/1867-12-31",NA,"Unknown",NA,NA,"126515",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3242820""> MCZ IZ HOL-676</a>",NA,"Animalia","e70005ee2da5ab38a2c459655c31cbb0cbdec381","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"5d4d239d-2747-4628-ab00-bad38a2ffc90","[no agent data]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"World Register of Marine Species, [no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2090","2014-06-13 13:30:59.0",NA,"",NA,"Australia, Western Australia; Broome","2014-07-12T16:12:46.550Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1542",NA,"122.23028d","","PhysicalObject","0114b03d-85cd-40ca-b65f-f791428b3681","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"-17.96361d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1542",NA,NA,"",NA,NA,NA,"IZ","","unverified",NA,NA,"MCZ:IZ:HOL-1542","Penny Benson",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1932-06-01/1932-06-30",NA,"June 1932",NA,NA,"HOL-1542",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","b3dbcfbfc61e9cb5ad4f8f9ca0db2d7528837141","GEOLocate",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"0114b03d-85cd-40ca-b65f-f791428b3681","Harvard Australian Expedition 1931-1932","",NA,NA,NA,NA,NA,122.23028,-17.96361,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Indian Ocean",NA,"","GEOLocate","Indian Ocean, Indian Ocean, Eastern",NA,NA,NA,NA,NA,301,301,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2103","2014-06-04 11:10:08.0",NA,"",NA,"Republic of Fiji, Suva, Viti Levu","2014-07-12T21:51:11.771Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1263",NA,"178.462672d","","PhysicalObject","327c7b3c-b82f-48af-b87d-5c7d1456818c","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"-18.152256d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1263",NA,NA,"",NA,NA,NA,"IZ","","unverified",NA,NA,"MCZ:IZ:HOL-1263","Jessica Anne Mullen",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1917-01-01/1917-12-31",NA,"1917",NA,NA,"HOL-1263",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","a9fd2059030fcd1700dd8d6f5a73199865089d90","GEOLocate",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"327c7b3c-b82f-48af-b87d-5c7d1456818c","John W. Mills","",NA,NA,NA,NA,NA,178.462672,-18.152256,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","GEOLocate","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,5578,5578,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2362","2014-05-22 14:02:34.0",NA,"",NA,"Australia, Northern Territory, Allaru Island, Cobourg Peninsula","2014-06-18T08:03:34.070Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1539",NA,"","","PhysicalObject","3cd7fa3c-44a3-417d-b8e9-886b6bb76d7d","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1539",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-1539","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1932-05-22",NA,"May 22, 1932",NA,NA,"HOL-1539",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","5ad149278b8ef2fa199d34a883086db179537381","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"3cd7fa3c-44a3-417d-b8e9-886b6bb76d7d","Harvard Australian Expedition 1931-1932 , Hubert Lyman Clark","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2365","2014-05-22 11:02:26.0",NA,"",NA,"United States, Hawaii, Hilo","2014-06-18T07:21:48.214Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-962",NA,"","","PhysicalObject","05b64478-d646-414c-9df0-36025731ac9a","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-962",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-962","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1913-12-08",NA,"December 8, 1913",NA,NA,"HOL-962",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","7be4d08189504bd1c2fd4ddc971fdf5085d6f965","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"05b64478-d646-414c-9df0-36025731ac9a","Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2702","2014-06-10 16:59:13.0",NA,"",NA,"[no specific locality]","2014-07-13T03:08:36.474Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1420",NA,"","","PhysicalObject","37947cf2-62c9-42f9-ac13-1a6f0a2ae8c7","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1420",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-1420","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/2014-04-02",NA,"[date unknown]",NA,NA,"HOL-1420",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","24561d0579ff84e4bd20bbd7b914ef51a7db3bd5","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"37947cf2-62c9-42f9-ac13-1a6f0a2ae8c7","[no agent data]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","[no higher geography data]",NA,"","","[no higher geography data], null",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"2710","2013-01-10 11:11:11.0",NA,"",NA,"off Queensland; Lindeman Island; Cumberland group [Australia]","2014-07-13T00:38:26.208Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (dry)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4086",NA,"","may be 1 small specimen of H. impatiens also. Found dry on shelf in April 2007 by GCB.","PhysicalObject","4fd12b2b-3168-46d0-bb2c-70ff1322dfb2","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4086",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-4086","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/2012-06-19",NA,"[no date data]",NA,NA,"HOL-4086",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","6a3615b4f5d6c0e68442ccaefe394c0372eb48a7","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"4fd12b2b-3168-46d0-bb2c-70ff1322dfb2","[no agent data]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"under stones between tide marks","","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
