"","inhs.live","dwc.informationWithheld","dwc.month","dwc.startDayOfYear","dwc.verbatimTaxonRank","idigbio.associateRelationship","dwc.individualID","inhs.juv_undetermined","idigbio.barcodeValue","dwc.rightsHolder","dwc.year","dwc.fieldNumber","dwc.verbatimCoordinateSystem","dwc.eventRemarks","dwc.genus","idigbio.version","idigbio.uuid","dwc.associatedReferences","dcterms.source","dwc.taxonID","dwc.maximumElevationInMeters","dwc.islandGroup","dwc.behavior","idigbio.associateAuthor","dwc.occurrenceID","dwc.island","dwc.identificationReferences","dwc.endDayOfYear","dwc.datasetID","dwc.otherCatalogNumbers","dwc.ownerInstitutionCode","dwc.VerbatimEventDate","idigbio.associateDeterminedBy","inhs.formI_males","dwc.scientificName","dwc.identifiedBy","dwc.locationRemarks","dwc.latestAgeOrHighestStage","dwc.formation","dwc.individualCount","dwc.eventDate","dwc.coordinatePrecision","dwc.georeferenceRemarks","dwc.family","dwc.georeferencedDate","dwc.geodeticDatum","symbiotaverbatimScientificName","dwc.waterBody","dwc.collectionID","dwc.identificationQualifier","dwc.footprintWKT","inhs.location_Basin","dwc.decimalLatitude","dwc.bed","dwc.higherGeography","dwc.fieldNotes","dwc.typeStatus","dwc.georeferenceSources","fcc.datePicked","idigbio.determinationHistory","dcterms.bibliographicCitation","dwc.associatedOccurrences","inhs.vouchered","idigbio.hostFamily","dwc.latestEraOrHighestErathem","idigbio.associatedRelationship","dwc.minimumElevationInMeters","dwc.subgenus","fcc.subfamily","dwc.institutionID","dwc.georeferencedBy","dwc.identificationRemarks","dwc.specificEpithet","inhs.formII_males","dwc.scientificNameAuthorship","inhs.dead","dwc.verbatimLocality","dwc.identificationVerificationStatus","dwc.institutionCode","dwc.preparation","dcterms.modified","idigbio.preparationCount","dwc.phylum","idigbio.preservative","dcterms.accessRights","dwc.lifeStage","dwc.rights","row.number","idigbio.recordID","dwc.latestPeriodOrHighestSystem","idigbio.associateNotes","idigbio.etag","idigbio.associateCondition","dwc.basisOfRecord","dcterms.language","fcc.superfamily","idigbio.associatedFamily","dwc.vernacularName","dwc.preparations","inhs.superfamily","dwc.verbatimElevation","dwc.earliestEraOrLowestErathem","dwc.reproductiveCondition","inhs.location_Stream","idigbio.recordId","dwc.recordNumber","dwc.sex","dcterms.reference","idigbio.subfamily","idigbio.associateCommonName","inhs.total_females","dwc.stateProvince","dwc.occurrenceRemarks","dwc.georeferenceProtocol","dwc.nameAccordingTo","dwc.establishmentMeans","dwc.verbatimCoordinates","dwc.locationAccordingTo","dwc.lowestBiostratigraphicZone","dwc.namePublishedInID","dwc.earliestAgeOrLowestStage","dwc.latestEpochOrHighestSeries","dwc.member","id","dwc.countryCode","inhs.total_Males","dwc.municipality","dwc.verbatimLongitude","inhs.location_RiverMile","fcc.pickedBy","dwc.nomenclaturalCode","dwc.eventTime","dwc.samplingEffort","dwc.associatedSequences","dwc.identificationID","idigbio.tribe","dcterms.references","dwc.dataGeneralizations","dwc.group","dwc.verbatimDepth","dwc.taxonRank","idigbio.createdBy","dwc.namePublishedIn","dwc.day","dwc.taxonRemarks","inhs.juv_females","dwc.accessRights","dwc.catalogNumber","inhs.juv_males","dwc.scientificNameID","dwc.dateIdentified","dwc.order","inhs.instars_Male","dwc.class","inhs.relic","dwc.datasetName","dwc.habitat","inhs.formII_females","dwc.coordinateUncertaintyInMeters","dwc.locationID","dwc.maximumDepthInMeters","idigbio.associateIdentifier","http...symbiota.org.terms.verbatimScientificName","idigbio.dateModified","idigbio.substrate","dwc.nomenclaturalStatus","dwc.kingdom","dwc.infraspecificEpithet","dwc.continent","idigbio.endangeredStatus","dwc.originalNameUsage","dwc.associatedTaxa","symbiota.verbatimScientificName","inhs.locationTrs","dwc.verbatimEventDate","dwc.minimumDepthInMeters","dwc.associatedMedia","dwc.decimalLongitude","dwc.occurrenceStatus","dwc.relatedResourceID","dwc.eventID","dwc.earliestEpochOrLowestSeries","dwc.county","dwc.verbatimSRS","dwc.samplingProtocol","dwc.previousIdentifications","dwc.locality","dcterms.type","dcterms.rightsHolder","dwc.earliestPeriodOrLowestSystem","dwc.disposition","dwc.dynamicProperties","idigbio.recordIds","dwc.country","dwc.higherClassification","dwc.recordedBy","dwc.lithostratigraphicTerms","dwc.georeferenceVerificationStatus","dcterms.rights","dwc.verbatimLatitude","inhs.instars_Female","dwc.collectionCode","idigbio.subgenus"
"649",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","decimal degrees","","Holothuria",NA,"ab8888f4-327a-4f4d-889a-61d178d39782","",NA,NA,NA,NA,NA,NA,"MCZ:IZ:HOL-1019",NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"Holothuria (Lessonothuria) cumulus","Hubert Lyman Clark, World Register of Marine Species","",NA,NA,1,"1913-10-01/1913-10-31",2768,"","Holothuriidae",NA,"WGS84",NA,"",NA,NA,NA,NA,-9.91518,NA,"Pacific Ocean, Pacific, Western Central",NA,"Paratype","GEOLocate",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Jessica Anne Mullen","note from HLC enclosed","cumulus",NA,"Hubert Lyman Clark, 1921",NA,NA,"unverified","MCZ",NA,"2014-06-09 14:24:29.0",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,"7c4cbbf77f17f3c62228096c0ecd45821d912022",NA,"PreservedSpecimen","en",NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"GEOLocate",NA,NA,"",NA,NA,NA,NA,NA,NA,"ab8888f4-327a-4f4d-889a-61d178d39782",NA,NA,NA,"144.05164d",NA,NA,"ICZN",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1019",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"HOL-1019",NA,NA,"2012-07-02 00:00:00.0","Aspidochirotida",NA,"Holothuroidea",NA,NA,"",NA,2768,"",NA,NA,NA,"2014-07-12T19:00:01.676Z",NA,NA,"Animalia","","Pacific Ocean",NA,NA,NA,NA,NA,"October 1913",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1019",144.05164,NA,NA,NA,NA,"",NA,"",NA,"Australia, Queensland, Torres Strait, Murray Islands (Mer)","PhysicalObject","President and Fellows of Harvard College",NA,"not applicable","",NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) cumulus","Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,NA,"-9.91518d",NA,"IZ",NA
"2708",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria",NA,"b0387dc2-7ac0-4cc3-8feb-dce2384a42b9","",NA,NA,NA,NA,NA,NA,"MCZ:IZ:HOL-1020",NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"Holothuria (Lessonothuria) cumulus","Hubert Lyman Clark","",NA,NA,1,"1913-12-01/1913-12-31",NA,"","Holothuriidae",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","","","cumulus",NA,"Hubert Lyman Clark, 1921",NA,NA,"","MCZ",NA,"2013-03-22 09:02:27.0",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,"5547ad41331a820604f93f5e74f3402e349d1da5",NA,"PreservedSpecimen","en",NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"b0387dc2-7ac0-4cc3-8feb-dce2384a42b9",NA,NA,NA,"",NA,NA,"ICZN",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1020",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"HOL-1020",NA,NA,"","Aspidochirotida",NA,"Holothuroidea",NA,NA,"",NA,NA,"",NA,NA,NA,"2014-07-12T12:49:21.403Z",NA,NA,"Animalia","","Pacific Ocean",NA,NA,NA,NA,NA,"December 1913",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1020",NA,NA,NA,NA,NA,"",NA,"",NA,"United States, Hawaii, Maui Island, Lahaina","PhysicalObject","President and Fellows of Harvard College",NA,"not applicable","",NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) cumulus","Carnegie Expedition to the Torres Strait, Hubert Lyman Clark",NA,NA,NA,"",NA,"IZ",NA
